state,county,category,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29
AE,Overall,grocery/pharmacy,4.497,0.666,1.123,0.361,0.844,2.28,2.354,3.247,0.387,1.541,1.322,4.633,4.998,7.328,10.368,6.93,6.272,6.91,6.16,5.214,5.994,7.642,4.443,5.579,5.504,5.671,2.577,3.992,10.942,8.125,4.845,1.851,-1.279,-10.851,-12.142,-12.581,14.121,-5.818,-18.392,-13.222,-60.35,-47.17,-25.771
AE,Overall,parks,4.145,4.873,5.496,3.825,6.101,6.082,3.544,3.375,5.132,3.388,-3.454,-0.631,-0.91,-1.424,1.786,1.458,0.036,-2.397,-2.176,-8.069,1.142,5.537,3.563,3.298,,-5.991,-15.073,-11.833,-10.648,-14.103,-17.679,-19.475,-26.249,-45.483,-37.384,-36.482,-37.842,-43.214,-47.322,-54.295,-80.383,-68.154,-52.585
AE,Overall,residential,0.765,0.98,0.914,0.747,0.868,0.731,1.024,0.857,0.983,0.955,0.674,0.737,0.894,0.375,0.61,1.106,1.09,1.636,2.324,3.218,2.141,3.058,3.525,3.947,3.798,5.047,5.065,4.036,5.143,6.392,7.468,8.766,10.991,11.323,9.996,13.062,13.554,17.076,20.649,25.34,24.701,28.053,25.576
AE,Overall,retail/recreation,0.865,-1.378,-1.636,-1.563,-1.764,-2.585,-1.91,-0.52,-2.664,-2.552,-2.157,0.901,0.91,1.603,3.124,0.266,-0.301,-1.302,-2.787,-6.757,-2.55,1.044,-2.671,-3.558,-4.309,-8.265,-15.666,-11.582,-6.495,-11.259,-16.106,-18.712,-23.988,-37.519,-31.689,-30.347,-26.761,-39.491,-50.24,-54.61,-80.353,-72.429,-55.498
AE,Overall,transitstations,1.054,0.531,-0.009,-0.573,0.875,0.021,-2.256,-1.16,-1.061,-2.382,-1.901,-1.381,-1.347,-1.208,-0.65,-2.241,-4.764,-5.094,-5.378,-9.058,-7.827,-8.934,-10.007,-11.058,-12.271,-14.925,-20.437,-17.438,-15.118,-16.776,-21.575,-25.425,-31.205,-43.932,-42.165,-44.792,-46.431,-52.779,-60.264,-66.759,-84.32,-80.364,-69.177
AE,Overall,workplace,1.794,1.761,1.669,1.547,1.052,-0.509,3.192,3.737,3.489,3.21,3.006,2.84,1.109,4.696,4.2,4.168,3.744,3.363,3.296,0.342,3.965,-0.625,-1.13,-2.19,-2.113,-2.515,-1.598,1.798,-3.621,-6.375,-8.693,-10.636,-11.865,-12.469,-7.534,-17.015,-20.438,-27.665,-34.848,-40.376,-51.974,-56.193,-44.973
AF,Overall,grocery/pharmacy,10.526,11.257,4.741,2.781,3.372,9.41,5.507,5.905,13.034,4.741,5.284,0.259,4.517,1.252,10.013,7.109,6.415,4.45,5.447,9.41,5.257,7.959,-10.072,,-1.391,-4.15,8.657,2.253,11.553,14.515,5.578,6.675,3.113,1.129,-12.766,8.986,6.813,0.279,-0.556,0.259,4.517,-19.775,-20.795
AF,Overall,parks,1.29,1.918,2.635,1.117,-0.892,3.51,5.658,2.257,4.22,1.129,1.675,0.714,0.924,0.171,1.774,3.453,1.694,0.744,2.142,8.313,4.458,3.547,-4.22,1.317,2.233,1.071,6.096,4.629,4.837,2.494,3.011,5.397,4.64,6.835,1.372,-1.774,0.384,-1.129,-2.605,-3.926,-2.402,-6.858,-13.382
AF,Overall,residential,-0.067,-1.347,-0.604,0.745,1.069,0.218,-0.194,0.51,-0.47,0.161,0.681,2.328,2.18,1.353,0.458,-0.816,0.08,0.951,1.214,1.136,0.633,-0.148,6.136,0.684,0.67,1.14,0.078,-0.404,0.361,0.598,0.388,0.717,2.278,0.907,5.649,1.393,2.468,3.47,6.112,6.909,4.532,10.542,10.268
AF,Overall,retail/recreation,2.847,5.738,2.538,-0.823,-1.706,-0.17,1.648,2.104,2.582,2.256,-0.686,-0.919,-2.04,-1.014,2.97,5.021,3.385,-1.92,3.018,2.89,,4.703,-15.062,,2.195,0.787,3.4,6.21,0.99,1.434,0.423,-0.411,-3.281,-15.129,-22.813,-11.881,-11.189,-15.371,-18.379,-17.847,-20.229,-36.121,-37.748
AF,Overall,transitstations,9.741,8.828,8.576,-0.224,4.44,6.57,6.867,6.796,8.828,8.807,3.36,3.33,3.679,4.209,9.514,8.131,7.417,-0.896,3.552,3.679,3.544,6.569,-9.292,6.258,,-1.554,4.468,5.095,5.89,3.949,-2.781,-6.496,-6.438,-19.184,-24.145,-14.498,-16.726,-18.31,-22.623,-22.867,-16.293,-31.898,-34.432
AF,Overall,workplace,4.376,5.127,5.661,4.511,6.346,6.268,5.58,6.304,6.958,6.91,5.457,7.051,5.252,6.287,8.826,7.837,8.086,7.349,10.107,7.963,7.23,6.527,-21.68,5.513,3.42,5.954,4.574,3.222,2.744,1.245,1.397,-1.164,-1.567,-6.777,-35.838,-5.637,-3.223,-4.925,-10.333,-10.263,-1.694,-27.114,-33.449
