state,county,date,grocery/pharmacy,parks,retail/recreation,transitstations,workplace
AG,Overall,2020-02-16,-1.678,,-6.537,2.861,2.635
AG,Overall,2020-02-17,-2.781,2.881,,-3.097,0.222
AG,Overall,2020-02-18,-6.054,2.618,-0.96,4.86,4.652
AG,Overall,2020-02-19,-0.954,0.663,-1.722,,2.215
AG,Overall,2020-02-20,-2.307,,0.991,-1.907,-1.317
AG,Overall,2020-02-21,1.226,1.854,-2.482,-1.854,-9.267
AG,Overall,2020-02-22,,7.195,-4.541,-4.045,4.531
AG,Overall,2020-02-23,2.797,13.653,1.032,-7.152,-0.659
AG,Overall,2020-02-24,0.927,-1.441,-5.548,-5.161,0.666
AG,Overall,2020-02-25,0.466,1.309,0.72,-2.916,1.551
AG,Overall,2020-02-26,0.954,-3.315,-5.412,-9.721,1.994
AG,Overall,2020-02-27,0.923,,1.735,1.907,0.439
AG,Overall,2020-02-28,3.678,4.944,3.724,12.979,3.39
AG,Overall,2020-02-29,7.046,7.195,4.758,8.091,5.89
AG,Overall,2020-03-01,9.509,12.353,3.441,8.582,1.976
AG,Overall,2020-03-02,7.88,7.924,7.818,11.354,1.776
AG,Overall,2020-03-03,4.657,3.272,6.483,-0.972,3.101
AG,Overall,2020-03-04,3.814,3.978,2.706,0.972,2.437
AG,Overall,2020-03-05,4.153,3.23,4.709,,1.976
AG,Overall,2020-03-06,8.173,-0.618,0.414,4.635,5.424
AG,Overall,2020-03-07,5.933,4.796,1.298,6.068,6.796
AG,Overall,2020-03-08,2.237,13.003,2.753,2.861,0.659
AG,Overall,2020-03-09,3.708,0.72,-4.287,-3.097,2.22
AG,Overall,2020-03-10,4.191,0.654,4.802,,4.209
AG,Overall,2020-03-11,8.582,1.989,-1.722,-6.805,4.652
AG,Overall,2020-03-12,13.842,5.814,7.187,-4.768,2.415
AG,Overall,2020-03-13,19.208,,0.414,3.708,4.972
AG,Overall,2020-03-14,2.225,-3.597,-10.596,-10.114,0.906
AG,Overall,2020-03-15,-1.678,-10.403,-12.387,-10.013,-6.587
AG,Overall,2020-03-16,-4.635,-7.924,-14.88,-10.322,-15.318
AG,Overall,2020-03-17,-6.985,-16.36,-19.209,-18.47,-14.62
AG,Overall,2020-03-18,-8.582,-13.925,-19.681,-19.442,-18.607
AG,Overall,2020-03-19,-2.768,-15.503,-18.092,-20.025,-21.518
AG,Overall,2020-03-20,-2.452,-17.924,-18.825,-17.615,-19.889
AG,Overall,2020-03-21,-0.371,-17.387,-23.788,-26.295,-12.686
AG,Overall,2020-03-22,-17.899,-29.257,-37.848,-38.62,-22.396
AG,Overall,2020-03-23,-14.37,-21.61,-24.212,-26.838,-25.753
AG,Overall,2020-03-24,-8.848,-30.757,-28.573,-30.135,-28.354
AG,Overall,2020-03-25,-5.245,-23.871,-23.371,-34.995,-27.025
AG,Overall,2020-03-26,-7.844,-24.547,-24.536,-31.468,-30.96
AG,Overall,2020-03-27,2.452,-22.25,-21.928,-36.156,-29.382
AG,Overall,2020-03-28,-7.046,-29.378,-34.817,-53.602,-36.697
AG,Overall,2020-03-29,-20.696,-29.907,-45.762,-67.227,-48.086
