state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
AR,Buenos Aires,2020-02-16,-2.093,-15.454,1.764,2.238,2.943,-9.007
AR,Buenos Aires,2020-02-17,-14.629,-28.076,1.924,-9.862,1.933,4.558
AR,Buenos Aires,2020-02-18,9.318,23.493,-0.862,9.881,11.44,6.972
AR,Buenos Aires,2020-02-19,4.807,30.495,-1.778,8.54,10.661,6.488
AR,Buenos Aires,2020-02-20,1.663,-2.21,-0.481,3.177,7.57,4.76
AR,Buenos Aires,2020-02-21,2.119,-2.226,-0.323,2.618,9.935,5.21
AR,Buenos Aires,2020-02-22,4.539,3.531,0.485,6.143,7.994,-3.141
AR,Buenos Aires,2020-02-23,6.666,17.973,1.492,18.454,8.952,-5.911
AR,Buenos Aires,2020-02-24,-21.533,18.811,9.568,-23.256,-42.371,-72.472
AR,Buenos Aires,2020-02-25,-18.118,5.384,11.017,-33.627,-45.573,-71.601
AR,Buenos Aires,2020-02-26,6.909,16.927,-2.14,3.204,11.48,8.278
AR,Buenos Aires,2020-02-27,6.687,4.499,0.1,4.6,10.63,7.627
AR,Buenos Aires,2020-02-28,6.923,7.354,0.134,7.297,13.574,9.481
AR,Buenos Aires,2020-02-29,16.119,4.945,1.694,17.092,13.38,-0.891
AR,Buenos Aires,2020-03-01,17.635,0.983,3.086,9.922,8.789,-9.095
AR,Buenos Aires,2020-03-02,12.37,0.687,-0.694,7.615,6.132,10.979
AR,Buenos Aires,2020-03-03,19.764,15.762,-0.737,9.64,10.029,12.31
AR,Buenos Aires,2020-03-04,18.301,20.193,-1.41,11.043,10.009,12.013
AR,Buenos Aires,2020-03-05,19.409,8.708,-0.839,10.563,12.939,10.752
AR,Buenos Aires,2020-03-06,18.343,11.342,-0.787,14.665,15.955,12.275
AR,Buenos Aires,2020-03-07,21.587,16.228,1.188,20.854,19.921,-0.178
AR,Buenos Aires,2020-03-08,22.738,-5.038,3.077,15.428,11.903,-11.347
AR,Buenos Aires,2020-03-09,16.614,24.284,-0.839,11.935,22.355,12.197
AR,Buenos Aires,2020-03-10,21.105,15.997,-1.587,13.989,14.834,14.569
AR,Buenos Aires,2020-03-11,-13.962,-29.53,2.251,-20.15,-0.535,9.812
AR,Buenos Aires,2020-03-12,34.473,-1.161,-0.544,4.068,11.085,12.546
AR,Buenos Aires,2020-03-13,32.606,-0.369,0.466,0.689,8.617,12.313
AR,Buenos Aires,2020-03-14,21.811,-51.853,11.364,-22.666,-17.724,-11.585
AR,Buenos Aires,2020-03-15,71.895,-31.484,11.082,-19.998,-14.262,-18.508
AR,Buenos Aires,2020-03-16,25.45,-30.628,9.834,-25.793,-22.632,-8.643
AR,Buenos Aires,2020-03-17,0.921,-50.493,16.44,-44.81,-39.061,-25.881
AR,Buenos Aires,2020-03-18,4.483,-44.023,18.192,-47.755,-44.881,-35.566
AR,Buenos Aires,2020-03-19,27.602,-50.336,18.139,-48.474,-47.29,-41.217
AR,Buenos Aires,2020-03-20,-43.525,-88.71,40.897,-92.77,-85.285,-80.542
AR,Buenos Aires,2020-03-21,-45.266,-91.886,33.961,-94.009,-84.877,-73.065
AR,Buenos Aires,2020-03-22,-53.705,-95.344,32.205,-95.0,-86.588,-71.884
AR,Buenos Aires,2020-03-23,-60.8,-95.369,40.835,-97.301,-93.319,-93.317
AR,Buenos Aires,2020-03-24,-61.947,-94.975,40.438,-97.465,-93.416,-93.399
AR,Buenos Aires,2020-03-25,-47.313,-86.023,37.376,-93.183,-85.357,-83.933
AR,Buenos Aires,2020-03-26,-49.127,-88.248,39.726,-93.451,-85.951,-84.687
AR,Buenos Aires,2020-03-27,-46.094,-88.372,42.715,-93.019,-85.305,-83.535
AR,Buenos Aires,2020-03-28,-42.567,-91.382,34.121,-92.696,-83.48,-74.312
AR,Buenos Aires,2020-03-29,-50.436,-94.779,31.888,-93.862,-85.891,-71.831
AR,Buenos Aires Province,2020-02-16,-6.912,-15.421,1.24,-9.966,-3.853,-4.019
AR,Buenos Aires Province,2020-02-17,-14.462,-33.566,2.242,-18.059,-5.286,4.976
AR,Buenos Aires Province,2020-02-18,6.651,-6.321,-0.937,4.351,10.242,8.84
AR,Buenos Aires Province,2020-02-19,-2.21,10.31,-2.207,-1.986,8.372,9.845
AR,Buenos Aires Province,2020-02-20,3.835,-15.022,-0.556,1.297,7.79,6.721
AR,Buenos Aires Province,2020-02-21,5.676,-18.657,-0.613,1.127,8.133,7.208
AR,Buenos Aires Province,2020-02-22,6.931,0.377,0.137,4.203,5.905,-0.962
AR,Buenos Aires Province,2020-02-23,9.433,15.788,0.101,13.3,4.182,-2.227
AR,Buenos Aires Province,2020-02-24,-14.414,34.946,7.689,-5.641,-28.282,-56.515
AR,Buenos Aires Province,2020-02-25,-15.646,7.333,8.917,-17.069,-30.93,-53.817
AR,Buenos Aires Province,2020-02-26,0.915,5.579,-2.641,-1.544,10.355,10.94
AR,Buenos Aires Province,2020-02-27,0.609,-7.348,-0.293,-1.536,8.316,9.275
AR,Buenos Aires Province,2020-02-28,1.421,-15.34,-0.389,-0.068,7.284,10.396
AR,Buenos Aires Province,2020-02-29,4.292,-11.852,1.26,2.691,5.886,1.69
AR,Buenos Aires Province,2020-03-01,0.816,-16.358,2.101,-7.019,0.686,-3.715
AR,Buenos Aires Province,2020-03-02,0.854,-12.508,-1.182,-5.278,8.018,12.734
AR,Buenos Aires Province,2020-03-03,4.518,-11.738,-0.999,-4.217,9.168,13.5
AR,Buenos Aires Province,2020-03-04,0.28,-4.146,-1.767,-5.982,8.27,14.5
AR,Buenos Aires Province,2020-03-05,5.809,-15.646,-0.929,-0.525,11.399,12.167
AR,Buenos Aires Province,2020-03-06,7.994,-14.252,-1.58,4.112,12.44,13.745
AR,Buenos Aires Province,2020-03-07,7.881,-14.853,0.847,2.538,8.585,2.115
AR,Buenos Aires Province,2020-03-08,1.409,-23.865,2.278,-3.45,1.19,-5.594
AR,Buenos Aires Province,2020-03-09,3.16,-25.082,-0.157,-5.204,12.63,10.4
AR,Buenos Aires Province,2020-03-10,9.79,-18.98,-1.627,0.193,17.055,14.758
AR,Buenos Aires Province,2020-03-11,-17.13,-44.488,1.918,-28.93,-12.751,8.755
AR,Buenos Aires Province,2020-03-12,11.773,-21.758,-1.663,-5.221,13.391,14.637
AR,Buenos Aires Province,2020-03-13,10.017,-25.528,-1.623,-7.832,8.352,15.607
AR,Buenos Aires Province,2020-03-14,-0.137,-56.565,9.247,-27.852,-26.819,-8.761
AR,Buenos Aires Province,2020-03-15,19.129,-48.834,8.427,-33.409,-18.787,-10.787
AR,Buenos Aires Province,2020-03-16,7.406,-44.884,5.787,-30.785,-13.578,1.508
AR,Buenos Aires Province,2020-03-17,-11.133,-64.773,11.309,-45.206,-31.66,-13.063
AR,Buenos Aires Province,2020-03-18,-10.102,-54.537,11.883,-45.369,-32.657,-19.232
AR,Buenos Aires Province,2020-03-19,14.599,-59.824,12.338,-40.332,-31.174,-24.913
AR,Buenos Aires Province,2020-03-20,-37.352,-85.895,31.296,-81.404,-71.576,-65.659
AR,Buenos Aires Province,2020-03-21,-49.426,-91.322,29.242,-86.726,-76.213,-62.108
AR,Buenos Aires Province,2020-03-22,-63.427,-96.032,27.23,-92.338,-83.039,-63.28
AR,Buenos Aires Province,2020-03-23,-65.66,-93.928,33.932,-92.24,-87.201,-84.462
AR,Buenos Aires Province,2020-03-24,-64.275,-93.828,33.485,-92.003,-87.076,-84.537
AR,Buenos Aires Province,2020-03-25,-49.655,-87.9,29.991,-86.023,-76.637,-73.028
AR,Buenos Aires Province,2020-03-26,-51.479,-89.861,32.429,-86.341,-77.674,-73.715
AR,Buenos Aires Province,2020-03-27,-47.677,-87.797,34.576,-84.622,-74.996,-72.196
AR,Buenos Aires Province,2020-03-28,-49.293,-90.273,30.139,-86.063,-76.543,-65.038
AR,Buenos Aires Province,2020-03-29,-61.995,-95.146,27.059,-91.346,-82.054,-62.871
AR,Catamarca Province,2020-02-16,-7.093,-13.549,3.18,-7.448,-52.76,-1.651
AR,Catamarca Province,2020-02-17,-0.712,-7.155,-0.522,-4.195,-54.714,26.294
AR,Catamarca Province,2020-02-18,6.015,-3.991,-1.065,-2.015,-53.146,28.038
AR,Catamarca Province,2020-02-19,3.203,2.297,-1.851,-0.537,-50.403,28.93
AR,Catamarca Province,2020-02-20,-3.592,-2.018,-1.148,-2.97,-4.085,28.238
AR,Catamarca Province,2020-02-21,4.167,-6.936,-1.241,0.912,66.581,24.943
AR,Catamarca Province,2020-02-22,10.234,-5.985,1.489,2.701,49.222,2.875
AR,Catamarca Province,2020-02-23,3.445,-6.091,4.11,-0.918,21.645,-2.384
AR,Catamarca Province,2020-02-24,-16.507,2.064,5.321,-24.221,-4.209,-45.418
AR,Catamarca Province,2020-02-25,-12.177,-15.274,3.222,-26.507,12.755,-39.289
AR,Catamarca Province,2020-02-26,5.71,4.458,-1.951,1.305,49.283,26.87
AR,Catamarca Province,2020-02-27,12.904,-1.639,-0.66,-0.435,32.68,26.893
AR,Catamarca Province,2020-02-28,10.618,-1.435,-0.626,2.104,44.029,25.301
AR,Catamarca Province,2020-02-29,17.104,-7.942,3.157,6.278,36.63,7.058
AR,Catamarca Province,2020-03-01,4.053,-19.391,6.987,-11.631,32.468,1.284
AR,Catamarca Province,2020-03-02,9.392,5.367,-2.609,-1.425,30.513,40.177
AR,Catamarca Province,2020-03-03,6.015,-2.614,-2.32,-7.906,31.888,41.376
AR,Catamarca Province,2020-03-04,3.342,-0.405,-2.313,-5.757,26.882,42.007
AR,Catamarca Province,2020-03-05,6.253,1.892,-2.116,-4.419,33.701,40.967
AR,Catamarca Province,2020-03-06,17.608,8.85,-3.126,2.806,61.211,40.734
AR,Catamarca Province,2020-03-07,17.805,-7.136,3.97,2.701,38.919,7.842
AR,Catamarca Province,2020-03-08,8.309,-11.436,4.417,-1.53,27.056,4.218
AR,Catamarca Province,2020-03-09,11.1,5.091,-1.218,-2.295,43.14,36.867
AR,Catamarca Province,2020-03-10,9.39,3.44,-3.666,-4.495,41.454,43.01
AR,Catamarca Province,2020-03-11,5.57,-2.567,-2.379,-4.759,38.082,40.843
AR,Catamarca Province,2020-03-12,2.129,-5.675,-1.599,-10.576,33.701,38.816
AR,Catamarca Province,2020-03-13,10.618,-4.545,-1.485,-4.7,40.808,37.324
AR,Catamarca Province,2020-03-14,3.926,-24.747,4.616,-13.358,28.617,3.79
AR,Catamarca Province,2020-03-15,13.983,-27.098,8.924,-24.078,8.117,1.651
AR,Catamarca Province,2020-03-16,5.692,-33.025,8.739,-26.042,2.104,-10.665
AR,Catamarca Province,2020-03-17,1.027,-36.328,8.551,-29.529,4.252,-12.068
AR,Catamarca Province,2020-03-18,-1.114,-39.451,9.676,-31.473,7.841,-2.597
AR,Catamarca Province,2020-03-19,1.996,-46.534,12.865,-38.03,-20.425,-15.06
AR,Catamarca Province,2020-03-20,-36.962,-71.996,26.148,-68.883,-66.581,-47.642
AR,Catamarca Province,2020-03-21,-43.181,-78.959,27.861,-72.413,-80.128,-43.653
AR,Catamarca Province,2020-03-22,-52.691,-83.781,31.583,-78.355,-86.58,-41.447
AR,Catamarca Province,2020-03-23,-59.056,-82.838,30.071,-81.133,-89.436,-67.851
AR,Catamarca Province,2020-03-24,-57.218,-82.288,28.055,-79.288,-87.16,-68.053
AR,Catamarca Province,2020-03-25,-46.234,-78.226,24.797,-73.692,-77.285,-58.129
AR,Catamarca Province,2020-03-26,-44.833,-76.549,26.207,-72.004,-77.614,-55.669
AR,Catamarca Province,2020-03-27,-44.758,-71.996,27.724,-69.795,-70.876,-53.025
AR,Catamarca Province,2020-03-28,-40.797,-75.046,27.63,-69.201,-76.694,-42.608
AR,Catamarca Province,2020-03-29,-48.233,-81.17,30.157,-74.172,-83.874,-36.495
AR,Chaco Province,2020-02-16,-1.402,-12.282,3.291,-2.23,-0.704,-0.775
AR,Chaco Province,2020-02-17,-0.702,1.721,-0.778,1.737,2.624,6.258
AR,Chaco Province,2020-02-18,-13.192,-22.238,4.134,-12.709,-9.524,-3.279
AR,Chaco Province,2020-02-19,-3.227,15.265,-0.99,5.099,3.541,7.886
AR,Chaco Province,2020-02-20,-5.739,4.422,-0.064,-1.232,-1.698,6.401
AR,Chaco Province,2020-02-21,3.037,-2.757,-0.434,-1.895,4.911,5.282
AR,Chaco Province,2020-02-22,2.531,-6.986,-0.314,1.811,4.934,-0.925
AR,Chaco Province,2020-02-23,4.267,-0.986,-0.084,3.345,9.502,-0.656
AR,Chaco Province,2020-02-24,-15.395,-6.522,4.106,-22.485,-18.892,-41.858
AR,Chaco Province,2020-02-25,-15.221,-17.376,5.133,-21.91,3.571,-35.981
AR,Chaco Province,2020-02-26,0.947,16.129,-2.127,7.198,4.131,15.007
AR,Chaco Province,2020-02-27,-4.087,-2.375,-0.181,-1.148,-9.907,13.883
AR,Chaco Province,2020-02-28,-4.141,-4.918,-1.082,-1.415,-10.081,13.999
