state,county,category,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29
AT,Lower Austria,grocery/pharmacy,18.362,5.25,5.094,3.152,3.557,4.155,2.415,21.186,8.685,10.05,11.578,9.165,11.079,3.187,7.415,7.831,4.388,4.904,5.213,4.567,0.403,16.949,6.443,13.087,23.137,34.007,57.738,-3.17,-2.825,-5.855,-26.213,-25.434,-20.645,-21.681,-35.622,-51.907,-26.144,-27.016,-28.683,-22.546,-20.889,-25.559,-37.076
AT,Lower Austria,parks,51.078,28.991,23.907,10.999,21.437,-2.441,65.891,-9.25,17.53,48.156,3.882,10.568,-8.952,20.833,11.261,32.362,,21.027,29.891,-3.255,12.597,52.687,13.821,30.738,18.439,46.498,-2.984,32.946,32.778,2.36,-5.806,42.378,36.232,33.637,-59.351,-35.393,-26.294,6.831,-21.998,-12.379,25.499,68.072,7.843
AT,Lower Austria,residential,-0.766,-1.144,-0.435,0.093,-0.36,0.226,-1.67,0.318,-0.793,-0.864,0.988,0.37,0.778,0.178,0.566,-1.097,0.344,-0.195,-0.502,0.308,0.065,-0.399,-0.549,-0.063,1.526,1.749,4.869,7.814,8.618,19.219,24.363,24.754,25.795,26.063,20.087,15.343,25.758,26.548,27.615,27.696,26.85,16.182,13.71
AT,Lower Austria,retail/recreation,14.712,5.896,6.426,2.06,2.197,0.631,11.988,1.335,4.628,13.996,-5.425,-2.339,-0.242,4.619,1.155,4.092,2.94,4.471,5.232,5.466,9.935,18.769,4.52,4.612,-3.148,-3.746,-9.643,-25.963,-54.407,-68.146,-77.971,-77.275,-77.943,-79.777,-90.152,-90.713,-78.348,-77.883,-80.172,-79.081,-78.192,-82.402,-85.013
AT,Lower Austria,transitstations,10.992,6.802,5.434,2.081,4.84,4.054,11.98,5.197,5.83,8.559,-0.661,1.786,-0.897,-3.117,-0.046,0.615,-3.057,-1.982,-0.78,-1.671,-7.081,-3.725,-3.66,-1.936,-10.638,-9.614,-19.682,-29.259,-38.585,-55.355,-64.837,-63.96,-67.626,-69.94,-77.179,-81.356,-75.89,-72.988,-76.085,-75.096,-73.468,-66.624,-76.711
AT,Lower Austria,workplace,2.948,3.83,1.618,1.815,1.886,1.839,3.949,5.065,3.873,1.088,0.675,2.071,0.92,0.103,4.914,3.83,1.171,1.027,1.22,0.414,-0.154,2.57,2.387,0.223,-1.027,-2.595,-5.932,-8.822,-17.311,-43.988,-57.661,-59.447,-61.209,-61.035,-52.16,-50.874,-61.437,-63.63,-63.527,-63.337,-62.0,-46.313,-47.321
AT,Salzburg,grocery/pharmacy,24.089,14.706,12.023,11.241,7.607,8.411,12.762,24.957,16.514,11.757,12.954,8.976,6.285,7.465,4.123,7.378,4.841,4.389,2.637,2.911,2.36,4.34,1.954,4.522,13.275,13.997,36.417,-12.425,-48.394,-25.162,-40.858,-38.166,-39.151,-39.467,-50.47,-84.635,-39.38,-42.135,-43.305,-42.498,-39.051,-39.923,-89.193
AT,Salzburg,parks,40.745,44.755,53.982,11.015,7.517,10.133,51.478,4.978,24.602,59.136,7.423,16.108,-9.728,16.15,-7.559,,-10.037,-5.268,-11.598,-18.442,-17.967,35.767,-21.2,-18.717,-6.466,4.725,-38.303,-37.75,-34.292,-63.076,-72.7,-61.303,-63.359,-62.419,-89.43,-76.327,-73.807,-69.716,-77.586,-81.615,-66.675,-53.093,-75.959
AT,Salzburg,residential,-2.457,-0.233,-0.221,0.961,0.812,0.218,-2.996,0.422,0.786,-0.095,2.095,1.636,1.288,-0.896,0.154,-0.098,1.114,-0.005,0.497,0.667,0.883,-2.936,0.933,1.333,1.11,1.71,4.501,7.147,5.407,18.762,24.262,24.42,26.59,27.017,22.015,15.976,26.44,26.683,27.509,29.042,27.902,17.717,15.405
AT,Salzburg,retail/recreation,19.427,19.795,18.901,11.849,9.86,7.156,12.897,5.562,18.648,22.471,6.449,11.252,11.006,7.489,-5.06,2.495,-3.57,2.351,3.316,-3.436,0.806,14.484,-3.709,-7.731,-8.959,-10.778,-26.223,-42.592,-62.647,-79.415,-86.969,-86.472,-87.467,-88.717,-95.3,-96.056,-86.935,-87.854,-88.791,-89.569,-87.891,-91.061,-96.481
AT,Salzburg,transitstations,5.966,5.345,0.263,-0.129,1.749,2.516,14.007,1.129,0.261,-1.052,-5.034,-0.999,8.461,4.002,-2.257,-2.086,-7.497,-1.291,-4.746,-5.717,-5.67,2.257,-4.954,-8.418,-11.488,-14.364,-25.613,-42.801,-44.021,-55.929,-72.075,-69.961,-72.817,-75.581,-88.269,-84.333,-76.919,-77.862,-78.867,-80.311,-79.126,-84.712,-84.817
AT,Salzburg,workplace,1.063,0.629,1.947,1.726,0.637,0.483,4.411,1.417,0.853,1.54,-0.318,1.955,-0.965,1.038,0.886,1.572,2.536,2.452,1.91,1.014,-0.389,-0.354,-0.539,1.132,,-2.228,-4.344,-6.486,-15.767,-41.55,-54.982,-58.395,-61.154,-61.834,-61.618,-62.89,-61.449,-62.364,-62.527,-63.064,-62.461,-58.505,-61.473
AT,Styria,grocery/pharmacy,10.504,-0.26,-0.446,-2.13,-2.592,2.222,-1.82,27.428,10.646,4.49,10.861,7.497,9.209,2.73,5.252,6.932,3.125,5.601,3.939,1.306,-1.069,20.425,4.329,11.16,17.488,25.209,50.606,-8.281,-25.385,-17.105,-36.473,-33.846,-32.35,-31.019,-42.358,-69.444,-34.659,-37.024,-36.844,-35.425,-28.109,-35.579,-63.317
AT,Styria,parks,23.754,19.593,24.752,-4.724,5.308,1.197,20.833,1.056,4.96,87.149,-11.436,-0.442,-6.186,1.877,-11.965,3.968,-3.094,8.95,8.404,-19.157,9.572,24.282,-3.968,10.829,22.126,13.933,-31.13,-24.962,-14.604,-41.171,-38.16,-31.822,-29.414,-29.933,-66.066,-57.538,-59.772,-55.435,-61.406,-67.896,-46.895,-24.962,-43.285
AT,Styria,residential,-1.734,1.408,1.859,2.38,1.922,2.653,-1.408,-1.143,-0.829,1.241,1.894,0.42,0.463,0.977,0.744,-0.764,0.453,-0.657,-0.826,0.427,-0.01,-1.592,-0.629,-0.193,0.328,1.145,5.194,9.557,8.268,19.575,24.008,24.798,25.667,26.605,20.993,15.547,26.292,27.068,27.825,28.805,27.944,17.735,14.039
AT,Styria,retail/recreation,11.956,6.669,3.828,1.272,0.737,1.053,1.958,7.713,7.574,13.28,-8.12,-1.309,-1.556,2.968,0.774,1.894,-1.057,4.715,2.248,-2.075,6.883,13.691,1.338,-0.678,-2.778,-8.81,-19.975,-36.712,-59.316,-72.449,-81.734,-81.647,-81.793,-83.563,-90.239,-92.396,-81.856,-83.489,-83.956,-84.539,-82.494,-85.522,-89.826
AT,Styria,transitstations,8.938,-8.364,-12.327,-13.65,-11.475,-13.608,7.035,3.094,1.901,4.489,-5.109,-1.565,-0.561,3.36,0.458,1.825,-3.196,1.296,1.416,-3.086,-0.105,7.792,-1.825,-4.261,-5.414,-8.569,-20.412,-36.332,-44.921,-57.406,-65.589,-65.505,-66.688,-69.585,-74.135,-78.268,-72.765,-72.437,-73.054,-74.288,-72.18,-66.154,-73.914
AT,Styria,workplace,,-19.693,-19.576,-20.123,-21.155,-20.148,-0.597,3.88,1.269,-2.93,-0.859,0.864,1.987,1.392,3.298,2.83,1.572,2.596,2.121,1.586,1.459,4.365,1.347,1.067,-0.41,-2.063,-4.44,-10.41,-17.749,-44.266,-56.342,-58.651,-60.932,-60.783,-53.376,-51.695,-60.974,-62.647,-62.652,-63.25,-61.354,-48.735,-48.689
AT,Tyrol,grocery/pharmacy,27.013,14.626,10.62,10.196,5.679,8.38,9.976,31.956,19.777,15.041,14.643,9.066,7.305,4.248,9.887,5.646,4.494,1.591,2.787,1.961,0.22,11.653,4.028,4.313,9.509,15.345,33.457,-19.637,-56.321,-38.629,-47.843,-45.666,-45.434,-47.277,-56.363,-90.572,-45.596,-48.966,-47.763,-48.044,-44.336,-49.125,-90.042
AT,Tyrol,parks,18.506,41.536,53.419,25.377,15.66,20.268,35.586,9.814,53.714,72.783,33.972,16.012,20.933,-0.954,2.243,1.087,5.787,8.391,-15.836,-2.658,-16.361,25.095,-6.959,-13.577,10.642,0.704,-25.419,-52.22,-53.555,-71.329,-72.783,-69.99,-77.069,-78.083,-89.987,-85.24,-80.245,-75.899,-79.813,-83.404,-77.087,-78.261,-85.24
AT,Tyrol,residential,-2.081,-0.392,-0.647,0.839,0.107,0.564,-1.892,-0.112,0.162,1.215,2.363,2.119,1.488,0.821,-0.445,-0.028,1.076,0.057,1.138,0.477,1.203,-2.578,0.636,2.151,1.263,2.216,5.668,8.941,8.515,21.51,25.079,26.108,28.804,30.075,23.653,18.129,27.432,28.265,28.748,29.914,29.655,20.89,17.16
AT,Tyrol,retail/recreation,13.17,13.182,17.723,10.858,8.982,1.849,9.385,3.53,17.358,21.795,8.403,5.271,0.441,1.022,-4.869,-1.547,-1.371,3.786,-3.463,-2.46,-0.866,9.786,-5.426,-9.706,-3.931,-12.902,-27.683,-49.625,-77.875,-87.127,-90.072,-89.939,-91.912,-92.785,-96.496,-98.811,-90.793,-91.085,-90.979,-91.779,-91.224,-93.535,-98.592
AT,Tyrol,transitstations,8.625,8.9,9.857,2.404,5.6,2.133,23.641,1.611,7.087,10.525,,-2.915,-1.351,-4.285,-8.436,-3.296,-6.516,-3.526,-7.594,-5.83,-11.451,-3.223,-5.934,-9.773,-11.538,-16.108,-27.09,-51.714,-59.429,-66.093,-71.087,-73.077,-77.089,-79.494,-87.692,-88.717,-77.218,-76.433,-78.365,-80.465,-80.063,-84.885,-88.054
AT,Tyrol,workplace,0.759,1.45,2.166,1.396,1.277,0.165,1.152,2.385,1.851,0.34,0.496,1.713,1.19,0.165,0.434,1.45,1.764,1.551,1.837,1.718,-1.892,-1.843,-0.525,-0.774,-1.364,-3.363,-5.651,-12.424,-27.857,-48.566,-57.592,-60.317,-64.026,-64.906,-65.989,-69.914,-64.395,-65.267,-65.0,-65.085,-64.675,-62.204,-67.421
AT,Upper Austria,grocery/pharmacy,24.487,-1.055,-1.377,-6.593,-4.382,-0.714,-0.928,23.71,10.237,8.705,6.859,5.796,6.234,2.066,19.434,7.229,2.975,2.681,1.909,4.471,-0.274,30.706,5.478,13.254,21.978,31.785,47.875,-5.841,-16.325,-9.833,-31.501,-31.132,-26.813,-26.047,-38.651,-54.415,-26.895,-30.935,-32.774,-28.887,-24.83,-28.656,-45.476
AT,Upper Austria,parks,73.08,20.089,39.062,-4.836,-2.782,-0.287,87.229,-8.453,,63.844,-4.092,4.018,-3.444,33.593,32.45,20.089,-0.42,12.277,16.691,0.861,-1.694,97.622,-11.905,15.961,5.952,25.964,-13.487,18.349,45.539,-10.789,-23.101,3.348,-10.509,-8.035,-71.138,-31.904,-37.574,-8.821,-36.458,-52.856,-16.357,22.019,-19.634
AT,Upper Austria,residential,-2.714,1.347,1.861,2.08,2.199,3.105,-2.175,-0.368,-0.017,-0.366,1.45,0.723,1.226,0.127,-0.209,-0.807,0.619,-0.553,-0.489,-0.227,0.555,-2.286,0.157,0.204,1.098,2.056,5.652,8.532,7.415,18.887,24.228,24.158,26.063,25.824,20.96,14.521,25.463,26.142,26.908,28.584,27.016,16.61,13.288
AT,Upper Austria,retail/recreation,19.158,8.139,5.186,-1.76,0.549,-4.052,3.022,,6.569,15.324,-7.919,0.284,-3.099,1.697,7.629,4.664,0.404,2.1,3.448,3.194,5.091,26.991,1.121,-1.424,-8.959,-11.974,-20.69,-35.234,-55.271,-68.047,-80.511,-80.67,-81.393,-83.063,-91.237,-91.587,-78.495,-80.851,-82.749,-83.193,-82.316,-85.224,-89.315
AT,Upper Austria,transitstations,13.376,-11.156,-10.941,-17.527,-15.115,-18.093,13.4,9.69,0.564,8.638,-5.302,1.518,-2.139,1.433,8.005,2.695,-3.263,-1.248,0.425,-0.578,-7.922,14.956,-2.131,-0.896,-8.171,-9.166,-20.001,-33.458,-38.865,-53.4,-62.833,-64.621,-66.166,-68.847,-76.187,-72.99,-69.883,-67.76,-71.233,-72.722,-70.35,-63.208,-69.304
AT,Upper Austria,workplace,-1.209,-19.286,-19.45,-19.82,-20.953,-20.858,-1.197,2.046,1.201,0.414,-0.997,0.757,0.566,0.567,2.604,2.435,1.212,2.091,1.707,1.715,0.189,4.557,1.394,0.988,0.209,-1.836,-4.172,-8.192,-17.113,-40.702,-53.454,-55.695,-57.978,-57.961,-51.044,-50.874,-58.162,-59.799,-59.733,-60.49,-59.322,-45.498,-48.456
