state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
AU,Overall,2020-02-16,4.83,8.748,0.031,3.292,2.706,-1.423
AU,Overall,2020-02-17,0.291,-5.919,-1.794,-0.627,7.235,17.241
AU,Overall,2020-02-18,-1.949,-12.831,-1.135,-3.179,7.241,13.787
AU,Overall,2020-02-19,-1.329,-5.725,-1.208,-0.686,7.571,13.042
AU,Overall,2020-02-20,0.873,4.553,-1.801,0.243,8.975,13.49
AU,Overall,2020-02-21,3.712,-1.312,-2.714,3.286,11.6,15.719
AU,Overall,2020-02-22,3.896,9.521,-0.778,5.434,8.075,3.201
AU,Overall,2020-02-23,4.289,8.626,-0.265,3.357,4.067,-1.663
AU,Overall,2020-02-24,0.809,-9.52,-1.45,-0.816,7.885,17.296
AU,Overall,2020-02-25,-0.769,-8.392,-1.337,-2.523,10.099,14.679
AU,Overall,2020-02-26,-0.263,-5.044,-1.142,-0.575,9.649,13.952
AU,Overall,2020-02-27,1.371,-1.536,-1.41,-0.397,10.323,14.185
AU,Overall,2020-02-28,5.725,-0.465,-2.665,3.973,13.742,16.648
AU,Overall,2020-02-29,6.111,17.79,-1.016,6.406,10.969,3.998
AU,Overall,2020-03-01,7.445,19.704,-0.49,3.711,5.54,-0.987
AU,Overall,2020-03-02,4.664,-0.578,-0.448,-0.488,5.861,10.258
AU,Overall,2020-03-03,7.385,-14.024,-1.453,-1.671,9.063,15.069
AU,Overall,2020-03-04,12.479,-15.161,-0.695,0.351,6.528,13.914
AU,Overall,2020-03-05,9.144,-18.637,-0.385,-2.035,6.137,13.515
AU,Overall,2020-03-06,14.236,-6.477,-2.167,3.228,9.372,15.643
AU,Overall,2020-03-07,12.251,9.758,-0.084,3.461,2.711,2.36
AU,Overall,2020-03-08,8.202,13.535,-0.157,3.147,0.481,-1.808
AU,Overall,2020-03-09,3.117,5.019,3.993,-3.069,-9.277,-14.381
AU,Overall,2020-03-10,8.637,-11.443,-0.712,-2.474,6.062,13.453
AU,Overall,2020-03-11,8.271,-1.636,-0.675,-1.289,5.577,13.564
AU,Overall,2020-03-12,10.859,2.171,-0.757,-1.382,5.819,13.125
AU,Overall,2020-03-13,17.279,-8.244,-0.814,0.649,4.785,14.491
AU,Overall,2020-03-14,19.726,-15.395,2.208,-0.598,-10.17,3.049
AU,Overall,2020-03-15,23.906,-7.69,2.447,-2.032,-12.687,-1.466
AU,Overall,2020-03-16,33.401,-17.629,1.143,-1.462,-7.251,12.346
AU,Overall,2020-03-17,34.767,-20.641,3.017,-5.148,-13.603,5.298
AU,Overall,2020-03-18,31.834,-14.669,4.708,-6.55,-18.353,1.678
AU,Overall,2020-03-19,25.115,-8.98,5.478,-10.258,-21.534,-0.307
AU,Overall,2020-03-20,20.047,-12.112,5.655,-11.572,-22.156,0.319
AU,Overall,2020-03-21,10.718,-9.077,6.709,-16.582,-27.751,-4.426
AU,Overall,2020-03-22,9.729,-10.825,6.443,-18.365,-33.724,-11.595
AU,Overall,2020-03-23,17.457,-27.205,7.894,-17.068,-35.879,-5.821
AU,Overall,2020-03-24,4.101,-30.225,12.387,-30.068,-44.792,-18.696
AU,Overall,2020-03-25,1.908,-32.883,14.39,-30.98,-49.923,-22.747
AU,Overall,2020-03-26,1.702,-23.25,15.934,-34.287,-53.014,-27.022
AU,Overall,2020-03-27,2.21,-30.143,16.725,-35.527,-52.987,-26.458
AU,Overall,2020-03-28,-8.513,-33.565,14.791,-41.004,-53.271,-26.84
AU,Overall,2020-03-29,-18.754,-34.7,13.298,-44.95,-58.218,-32.715
