state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
Alabama,Overall,2020-02-16,-2.177,-6.821,0.698,-0.273,2.802,-1.427
Alabama,Overall,2020-02-17,-0.256,17.176,3.956,3.45,6.844,-16.768
Alabama,Overall,2020-02-18,-3.248,-11.014,1.766,-3.947,-1.193,0.847
Alabama,Overall,2020-02-19,1.11,6.441,0.061,3.666,4.217,1.132
Alabama,Overall,2020-02-20,-5.671,-25.452,3.037,-6.648,-0.853,-0.446
Alabama,Overall,2020-02-21,-0.148,11.673,0.194,3.161,8.993,1.219
Alabama,Overall,2020-02-22,3.723,46.095,-1.273,5.171,13.162,5.825
Alabama,Overall,2020-02-23,2.104,23.972,-0.4,3.353,16.127,1.713
Alabama,Overall,2020-02-24,-2.678,-13.269,2.198,-1.983,1.724,-2.044
Alabama,Overall,2020-02-25,2.799,27.034,0.316,6.975,7.457,-1.46
Alabama,Overall,2020-02-26,4.915,6.692,-0.937,15.612,11.064,0.468
Alabama,Overall,2020-02-27,5.671,13.823,-0.695,11.786,8.865,1.509
Alabama,Overall,2020-02-28,6.127,20.428,-1.362,12.333,10.017,0.61
Alabama,Overall,2020-02-29,9.723,54.696,-2.923,14.607,20.174,5.487
Alabama,Overall,2020-03-01,9.828,52.844,-1.995,16.318,20.797,3.554
Alabama,Overall,2020-03-02,4.455,-1.954,0.441,8.141,4.765,1.661
Alabama,Overall,2020-03-03,14.608,33.041,-1.26,20.259,5.071,2.435
Alabama,Overall,2020-03-04,0.148,-8.03,1.153,6.706,1.538,0.272
Alabama,Overall,2020-03-05,6.209,-0.293,0.819,6.815,3.603,1.518
Alabama,Overall,2020-03-06,4.085,29.252,-1.012,9.243,9.839,1.717
Alabama,Overall,2020-03-07,7.859,62.692,-2.365,11.956,17.875,7.478
Alabama,Overall,2020-03-08,7.919,54.632,-1.43,11.974,20.174,3.269
Alabama,Overall,2020-03-09,8.405,44.69,-1.071,9.994,9.277,1.582
Alabama,Overall,2020-03-10,7.899,20.718,0.463,8.522,4.325,0.627
Alabama,Overall,2020-03-11,7.923,27.018,-0.775,10.226,6.797,0.922
Alabama,Overall,2020-03-12,21.608,42.712,-1.138,10.314,7.822,1.135
Alabama,Overall,2020-03-13,31.874,26.195,0.303,6.655,7.123,-1.605
Alabama,Overall,2020-03-14,27.782,54.757,-0.194,0.867,12.243,4.184
Alabama,Overall,2020-03-15,16.415,16.224,2.341,-7.197,5.915,-3.825
Alabama,Overall,2020-03-16,24.261,21.572,3.98,-2.2,1.724,-10.421
Alabama,Overall,2020-03-17,17.375,24.954,7.202,-10.887,-1.342,-16.91
Alabama,Overall,2020-03-18,13.463,38.896,8.201,-13.167,-2.729,-22.175
Alabama,Overall,2020-03-19,15.43,26.622,10.31,-20.245,-7.538,-25.154
Alabama,Overall,2020-03-20,10.11,7.296,13.517,-27.21,-13.801,-28.923
Alabama,Overall,2020-03-21,5.218,10.176,8.453,-35.195,-13.162,-16.46
Alabama,Overall,2020-03-22,-7.351,2.318,8.934,-39.817,-21.856,-27.418
Alabama,Overall,2020-03-23,-5.728,-11.152,14.076,-32.823,-21.698,-33.392
Alabama,Overall,2020-03-24,-5.037,3.62,14.524,-31.731,-18.096,-34.245
Alabama,Overall,2020-03-25,-4.391,35.633,13.381,-27.567,-15.232,-35.654
Alabama,Overall,2020-03-26,-3.419,31.595,14.339,-30.29,-19.295,-35.744
Alabama,Overall,2020-03-27,-1.739,29.6,15.633,-30.523,-24.041,-36.823
Alabama,Overall,2020-03-28,-2.363,22.472,9.056,-36.263,-24.6,-21.771
Alabama,Overall,2020-03-29,-13.459,19.071,9.489,-40.789,-30.137,-31.657
