state,county,category,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29
Alabama,Autauga County,grocery/pharmacy,0.795,-0.398,0.401,-0.402,-2.871,-2.07,1.353,3.181,-5.169,,5.228,11.483,10.003,10.146,13.12,3.976,8.413,-4.022,12.303,10.348,10.823,8.349,11.927,12.42,12.066,27.477,53.118,39.908,22.662,23.457,16.426,23.327,28.297,23.8,11.837,1.988,7.156,2.804,4.826,11.073,13.452,6.088,-7.952
Alabama,Autauga County,retail/recreation,0.179,8.054,-1.745,-1.733,-8.061,-2.876,1.022,-0.179,-2.148,10.295,18.199,14.384,12.755,22.367,15.777,15.392,22.508,5.373,7.745,4.127,9.842,10.219,15.392,13.61,12.653,14.542,8.378,5.752,-4.662,3.222,-5.932,-6.413,-13.594,-25.135,-30.803,-39.981,-22.91,-20.589,-21.319,-22.604,-28.136,-29.908,-43.388
Alabama,Autauga County,workplace,-4.223,-28.153,1.89,1.868,1.248,3.269,8.43,4.927,1.733,3.15,3.735,1.871,2.397,5.419,2.815,4.764,3.78,2.905,2.911,4.141,10.838,9.15,3.682,-1.68,3.735,2.287,2.615,3.011,-6.334,-13.427,-19.111,-23.655,-26.821,-30.727,-18.666,-33.08,-35.083,-35.912,-38.181,-37.633,-37.483,-19.87,-36.599
Alabama,Baldwin County,grocery/pharmacy,8.439,9.56,8.73,9.25,5.146,13.53,17.949,20.597,8.895,10.086,19.882,11.62,14.839,17.724,23.955,10.392,14.663,6.224,11.122,10.111,22.906,26.677,14.299,14.578,20.142,29.216,40.081,44.235,50.632,40.652,32.123,31.812,24.734,13.457,2.103,-5.989,-9.394,-9.154,-8.299,-10.707,-9.384,-14.119,-19.509
Alabama,Baldwin County,parks,-12.984,32.197,22.066,43.056,-10.507,61.92,58.652,95.609,12.942,35.696,39.236,40.226,69.014,113.786,55.477,28.093,38.292,6.25,26.117,66.112,70.617,74.658,46.086,62.63,64.931,67.543,109.649,96.19,87.642,50.505,59.709,60.069,32.721,8.385,-26.511,-14.164,-28.409,-21.417,-13.542,-22.514,-6.45,-33.784,-28.329
Alabama,Baldwin County,residential,2.117,0.928,0.256,-1.055,2.622,-1.125,-2.261,-2.121,2.623,3.242,-1.312,-0.162,-0.961,-2.8,-2.096,-1.088,-1.669,1.013,-0.464,-1.56,-2.308,-1.159,-0.992,-0.599,-1.799,-1.79,-0.368,-1.25,-0.259,1.57,4.529,6.083,8.097,10.753,8.966,8.025,10.769,12.043,11.163,12.51,13.429,9.311,9.636
Alabama,Baldwin County,retail/recreation,8.651,9.181,7.242,12.919,5.083,15.125,16.002,17.561,10.208,11.184,20.833,13.047,13.49,18.576,17.334,7.376,14.025,4.379,7.023,8.834,16.257,20.153,10.799,11.306,17.236,16.044,15.453,16.155,16.492,9.399,1.344,-2.628,-14.575,-28.967,-40.133,-41.829,-36.724,-37.157,-34.91,-37.142,-37.952,-44.949,-48.86
Alabama,Baldwin County,transitstations,7.774,7.062,,8.828,3.985,18.89,4.393,19.434,1.177,1.736,8.239,7.4,9.715,16.315,37.313,3.531,5.787,1.766,3.985,10.255,15.06,31.095,8.239,10.417,21.186,17.646,19.97,21.963,36.536,4.708,10.417,10.593,1.708,-7.016,-11.923,-3.109,-13.536,-11.574,-9.416,-17.077,-21.049,-27.61,-24.876
Alabama,Baldwin County,workplace,-2.79,-3.543,1.629,2.917,-0.357,0.792,4.124,4.495,-15.518,-23.899,2.024,0.953,1.585,9.446,8.526,3.849,4.466,3.155,3.514,4.571,12.505,8.061,5.193,4.044,6.667,3.573,-3.596,10.643,6.665,-1.894,-7.544,-15.238,-18.82,-24.685,-16.097,-26.042,-28.592,-30.719,-31.667,-32.816,-34.011,-24.079,-33.792
Alabama,Barbour County,grocery/pharmacy,-4.069,-11.748,-19.879,-8.479,-25.118,-10.225,2.185,-8.952,-18.797,-20.674,-7.267,-5.91,-11.503,-3.642,-2.441,-4.308,0.795,-25.84,-16.992,-5.112,3.642,3.255,-10.182,-11.132,-8.075,-2.216,5.112,21.853,7.324,15.664,10.337,3.23,-5.171,5.112,1.457,-15.462,-14.098,-18.289,-14.535,-14.037,-14.059,-5.099,-20.345
Alabama,Barbour County,retail/recreation,-2.652,12.21,4.296,1.085,-5.971,7.175,-0.705,3.409,4.96,5.011,19.17,20.236,17.273,12.263,18.182,21.749,30.069,5.064,14.265,18.07,11.417,18.182,20.604,10.023,11.936,17.914,25.244,13.109,17.803,18.315,7.159,7.957,1.99,-4.783,-11.981,-19.697,-11.065,-17.54,-10.489,-14.597,-14.881,-15.646,-27.652
Alabama,Barbour County,workplace,-7.891,-14.113,1.263,,1.929,1.353,-4.006,4.735,6.72,1.894,3.834,7.073,-2.029,,-1.578,10.081,1.263,-9.586,1.286,5.411,4.006,4.735,8.065,3.788,3.195,4.501,4.058,-8.013,-1.578,3.36,-8.207,-5.752,-12.86,-15.557,-9.348,-22.096,-17.473,-21.465,-21.728,-23.791,-25.703,-25.374,-23.674
Alabama,Bibb County,grocery/pharmacy,-1.947,6.127,7.348,-3.333,-11.927,8.013,-1.653,-1.947,6.127,11.67,3.333,5.566,-2.003,3.307,5.841,8.754,16.857,-13.333,3.181,2.671,4.96,1.947,21.884,18.586,5.833,6.361,27.377,29.762,6.815,31.513,22.044,16.667,16.698,27.377,9.921,-7.788,7.003,4.754,1.667,1.59,-1.335,7.44,-10.709
