state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
Arizona,Coconino County,2020-02-16,11.859,56.22,-1.655,18.297,13.138,1.585
Arizona,Coconino County,2020-02-17,18.291,68.685,4.126,21.943,17.244,-30.3
Arizona,Coconino County,2020-02-18,9.817,45.573,-1.179,7.916,3.371,3.282
Arizona,Coconino County,2020-02-19,8.152,47.539,-0.486,10.668,4.735,2.884
Arizona,Coconino County,2020-02-20,10.6,44.172,-0.875,11.126,10.798,3.315
Arizona,Coconino County,2020-02-21,8.038,31.086,-1.698,6.795,8.176,3.888
Arizona,Coconino County,2020-02-22,-6.006,-40.509,2.9,-7.949,-2.943,0.592
Arizona,Coconino County,2020-02-23,-0.122,-6.789,0.331,-2.938,-2.503,2.717
Arizona,Coconino County,2020-02-24,10.897,26.042,-0.834,7.96,3.519,3.68
Arizona,Coconino County,2020-02-25,10.771,29.297,-0.418,8.568,9.102,4.712
Arizona,Coconino County,2020-02-26,11.905,33.557,-1.6,15.192,2.525,3.708
Arizona,Coconino County,2020-02-27,15.704,41.205,-2.221,14.712,10.798,3.232
Arizona,Coconino County,2020-02-28,13.764,25.087,-2.491,6.122,-0.606,1.899
Arizona,Coconino County,2020-02-29,0.725,2.63,-2.416,-1.186,2.943,3.354
Arizona,Coconino County,2020-03-01,11.004,7.85,-2.36,4.983,8.133,4.982
Arizona,Coconino County,2020-03-02,11.545,23.112,-0.999,10.369,6.686,3.852
Arizona,Coconino County,2020-03-03,22.497,54.253,-1.669,16.44,12.81,3.534
Arizona,Coconino County,2020-03-04,18.892,63.619,-2.003,17.539,11.364,4.285
Arizona,Coconino County,2020-03-05,19.106,59.665,-1.553,15.12,10.798,3.812
Arizona,Coconino County,2020-03-06,16.407,45.539,-1.883,9.455,10.901,3.707
Arizona,Coconino County,2020-03-07,6.938,17.887,-1.121,3.678,8.239,3.354
Arizona,Coconino County,2020-03-08,16.261,33.732,-1.614,12.979,9.072,4.755
Arizona,Coconino County,2020-03-09,28.279,104.492,-2.26,31.581,21.467,3.852
Arizona,Coconino County,2020-03-10,28.223,65.104,-0.079,28.793,15.507,3.113
Arizona,Coconino County,2020-03-11,24.845,63.619,-0.227,24.879,9.785,2.39
Arizona,Coconino County,2020-03-12,45.017,68.895,-0.706,28.731,16.197,1.243
Arizona,Coconino County,2020-03-13,33.584,33.268,0.982,9.519,12.718,-0.723
Arizona,Coconino County,2020-03-14,23.091,7.015,1.482,0.89,9.71,-0.197
Arizona,Coconino County,2020-03-15,24.819,46.249,0.092,2.901,17.518,-2.264
Arizona,Coconino County,2020-03-16,44.624,86.263,3.121,15.489,12.669,-26.106
Arizona,Coconino County,2020-03-17,52.356,81.742,5.418,5.48,15.17,-27.43
Arizona,Coconino County,2020-03-18,10.87,4.544,13.674,-27.311,-11.364,-37.662
Arizona,Coconino County,2020-03-19,6.02,4.285,16.008,-35.782,-12.703,-42.098
Arizona,Coconino County,2020-03-20,9.69,-11.18,15.715,-40.256,-11.507,-40.238
Arizona,Coconino County,2020-03-21,-11.079,-28.234,10.959,-51.253,-17.95,-25.055
Arizona,Coconino County,2020-03-22,-13.204,-17.396,9.916,-53.069,-26.589,-30.571
Arizona,Coconino County,2020-03-23,-10.637,-29.948,15.917,-44.704,-32.376,-42.283
Arizona,Coconino County,2020-03-24,-4.09,6.872,16.219,-40.884,-19.552,-44.258
Arizona,Coconino County,2020-03-25,-9.705,-8.739,17.085,-41.607,-21.78,-45.243
Arizona,Coconino County,2020-03-26,-7.067,-20.767,18.251,-43.892,-25.089,-46.738
Arizona,Coconino County,2020-03-27,-18.389,-46.902,21.518,-54.199,-36.034,-47.472
Arizona,Coconino County,2020-03-28,-25.576,-38.23,14.434,-57.126,-30.897,-37.287
Arizona,Coconino County,2020-03-29,-24.819,-25.67,12.856,-56.788,-35.035,-39.855
Arizona,Gila County,2020-02-16,20.05,51.075,,16.852,,-3.324
Arizona,Gila County,2020-02-17,32.536,59.364,,18.63,,-29.724
Arizona,Gila County,2020-02-18,25.219,29.07,,8.076,,2.047
Arizona,Gila County,2020-02-19,21.561,40.246,,11.21,,1.002
Arizona,Gila County,2020-02-20,27.595,47.987,,11.22,,-0.5
Arizona,Gila County,2020-02-21,20.663,30.968,,1.126,,-5.264
Arizona,Gila County,2020-02-22,-3.563,-54.276,,-11.767,,-9.191
Arizona,Gila County,2020-02-23,11.984,-3.36,,7.431,,-1.662
Arizona,Gila County,2020-02-24,14.377,19.041,,2.992,,2.367
Arizona,Gila County,2020-02-25,20.833,20.591,,6.433,,2.303
Arizona,Gila County,2020-02-26,23.379,26.042,,15.584,,2.504
Arizona,Gila County,2020-02-27,27.098,33.942,,18.87,,0.999
