state,county,category,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29
Arizona,La Paz County,grocery/pharmacy,3.407,-12.102,-4.167,-5.656,-10.917,-15.174,-20.231,-7.301,-14.696,-16.667,-11.784,-13.191,-10.663,-12.913,-8.275,-22.476,-7.87,-10.37,-13.191,-14.354,-16.357,-9.248,-15.56,-21.759,-13.669,-20.015,-8.202,-7.317,6.815,-4.322,-4.167,-16.497,-8.643,-19.685,-22.813,-23.851,-31.985,-29.167,-25.924,-26.838,-33.629,-34.866,-36.02
Arizona,La Paz County,parks,0.922,-19.358,-12.019,-6.378,-4.823,-17.361,-19.965,-20.28,-24.889,-16.026,-4.252,-8.681,-14.757,6.076,-17.515,-29.499,-16.026,-9.566,-16.397,-6.076,-2.604,-23.046,-24.889,-37.059,-26.573,-43.403,-26.042,-21.701,-26.733,-35.03,-30.048,-48.895,-35.687,-43.403,-37.326,-46.091,-52.544,-47.075,-45.706,-47.261,-54.688,-47.743,-56.232
Arizona,La Paz County,retail/recreation,3.76,-4.433,-7.901,-1.921,-5.776,-11.965,-16.564,-10.616,-11.887,-11.643,-3.202,-10.158,-7.566,-10.306,-4.202,-12.693,-9.356,-3.415,-4.382,-10.03,-10.306,-2.654,-8.462,-12.267,-11.1,-17.328,-12.317,-16.196,-12.827,-13.096,-23.911,-34.366,-30.872,-40.47,-47.114,-51.309,-47.953,-48.861,-49.308,-53.975,-57.538,-62.482,-63.694
Arizona,La Paz County,transitstations,-6.559,27.006,-2.315,1.823,-0.857,-10.929,-14.25,-3.279,-7.262,-2.315,0.228,-3.858,-11.27,-13.849,-0.965,-6.354,-11.111,-9.573,-5.144,-4.44,-2.81,10.031,5.901,3.704,9.117,9.859,-5.635,-3.211,-7.33,-5.447,0.463,-7.978,-10.074,-31.25,-32.113,-42.438,-31.999,-28.009,-26.668,-32.793,-47.131,-45.761,-52.469
Arizona,La Paz County,workplace,-5.631,-25.123,-1.157,-0.585,-3.92,,-14.281,-5.631,1.225,-0.579,2.341,-1.12,-2.465,-11.761,-1.877,2.451,-5.208,4.096,1.68,6.164,-3.36,2.815,-4.289,-8.681,-5.267,-15.681,-0.616,-1.68,-1.877,-4.289,-9.838,-14.63,-16.241,-15.409,-13.441,-12.2,-7.966,-17.94,-16.971,-28.002,-24.655,-22.681,-21.584
Arizona,Maricopa County,grocery/pharmacy,0.567,-0.132,0.836,0.275,1.362,-0.175,-5.144,0.75,0.798,0.5,2.363,2.321,2.175,3.213,6.023,3.208,5.613,5.735,4.562,3.238,2.813,2.279,1.775,0.435,2.359,15.77,21.365,18.718,14.913,22.494,18.714,4.943,7.838,5.57,-2.129,-11.505,-10.903,-10.507,-13.804,-13.114,-14.915,-15.746,-18.517
Arizona,Maricopa County,parks,23.948,39.079,11.593,11.133,18.762,11.972,-46.852,6.623,15.2,11.617,10.381,18.64,15.355,22.141,29.434,7.015,12.13,12.542,21.199,22.664,18.624,25.536,28.348,-0.757,-32.483,-23.319,-23.726,-7.937,9.601,8.367,7.956,-43.71,-1.633,-1.648,-10.913,0.541,4.053,2.319,-4.157,-1.365,-14.769,-23.178,-6.371
Arizona,Maricopa County,residential,-1.049,5.717,0.203,-0.286,-0.349,-0.061,3.042,-0.536,-0.233,-0.281,-1.037,-0.851,-0.765,-1.702,-1.576,-0.49,-0.762,-1.003,-0.908,-0.356,-1.431,-1.986,0.933,2.551,3.981,4.851,5.677,1.931,1.073,6.06,9.185,13.76,14.585,16.009,10.936,9.094,15.273,17.034,17.359,18.275,20.128,12.981,10.393
Arizona,Maricopa County,retail/recreation,5.698,9.249,1.536,4.268,3.561,3.284,-0.316,6.957,5.083,5.73,9.256,7.607,6.961,6.213,11.32,8.459,8.907,8.117,8.566,6.442,3.808,8.127,7.658,5.526,4.815,5.074,-0.381,-6.696,-5.079,-1.636,-10.293,-24.137,-24.526,-29.476,-38.456,-39.351,-32.64,-33.335,-34.985,-35.594,-38.51,-42.677,-41.336
Arizona,Maricopa County,transitstations,1.331,-2.301,8.218,7.811,5.588,6.748,-5.953,8.256,5.712,9.052,11.229,7.372,10.221,8.278,7.491,4.936,8.193,7.885,5.47,9.059,11.094,6.726,2.218,1.682,-5.071,-9.534,-9.789,-4.219,-7.208,-13.879,-12.378,-26.393,-28.815,-29.07,-29.987,-37.512,-37.655,-35.439,-37.338,-40.133,-42.62,-41.585,-45.371
