state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
Arkansas,Columbia County,2020-02-16,-27.412,32.139,-0.676,9.47,-0.333,-2.042
Arkansas,Columbia County,2020-02-17,-34.353,7.279,4.543,,-1.4,-18.211
Arkansas,Columbia County,2020-02-18,-27.174,-3.272,1.352,-0.415,-2.053,2.14
Arkansas,Columbia County,2020-02-19,-15.746,24.156,-0.772,8.645,-0.067,2.083
Arkansas,Columbia County,2020-02-20,-18.939,3.43,0.285,11.808,1.183,0.709
Arkansas,Columbia County,2020-02-21,-23.348,19.443,-0.628,6.364,2.5,
Arkansas,Columbia County,2020-02-22,-22.894,17.921,-0.398,6.843,1.702,-1.796
Arkansas,Columbia County,2020-02-23,-26.042,-32.364,0.838,5.981,0.832,-6.127
Arkansas,Columbia County,2020-02-24,-13.298,-8.653,1.175,11.768,-0.737,8.013
Arkansas,Columbia County,2020-02-25,-20.38,14.724,-0.096,10.79,2.874,6.421
Arkansas,Columbia County,2020-02-26,-2.422,8.052,-1.64,24.637,5.126,3.472
Arkansas,Columbia County,2020-02-27,-26.181,28.257,-1.696,29.943,5.851,2.834
Arkansas,Columbia County,2020-02-28,-14.368,48.378,-3.181,26.46,6.154,0.728
Arkansas,Columbia County,2020-02-29,-6.868,69.737,-3.338,26.992,7.918,8.98
Arkansas,Columbia County,2020-03-01,-19.189,21.463,-1.897,30.901,11.486,2.042
Arkansas,Columbia County,2020-03-02,-8.865,25.684,-0.699,21.792,2.726,4.371
Arkansas,Columbia County,2020-03-03,-5.661,57.588,-2.067,40.256,4.312,5.708
Arkansas,Columbia County,2020-03-04,-9.69,35.709,-1.73,13.399,2.596,
Arkansas,Columbia County,2020-03-05,0.557,80.525,-2.342,30.786,6.18,2.834
Arkansas,Columbia County,2020-03-06,-17.062,73.18,-2.407,19.092,6.09,-0.728
Arkansas,Columbia County,2020-03-07,-13.736,80.256,-2.392,13.306,10.138,8.98
Arkansas,Columbia County,2020-03-08,-13.706,77.65,-1.914,21.93,12.318,6.127
Arkansas,Columbia County,2020-03-09,-8.865,-5.082,1.651,9.153,1.695,2.185
Arkansas,Columbia County,2020-03-10,-6.793,84.419,-1.085,17.43,5.886,4.281
Arkansas,Columbia County,2020-03-11,4.845,61.09,-1.169,27.23,2.397,2.083
Arkansas,Columbia County,2020-03-12,7.242,69.254,-1.428,35.847,3.682,4.252
Arkansas,Columbia County,2020-03-13,-8.98,15.463,1.524,14.068,1.603,-10.198
Arkansas,Columbia County,2020-03-14,-2.289,-20.941,3.659,20.529,-1.406,12.572
Arkansas,Columbia County,2020-03-15,-15.077,-4.495,2.621,6.479,0.666,-4.085
Arkansas,Columbia County,2020-03-16,-2.216,-19.778,7.437,12.204,-6.041,-2.914
Arkansas,Columbia County,2020-03-17,,24.704,7.791,5.81,-6.296,-13.556
Arkansas,Columbia County,2020-03-18,-4.239,50.062,8.373,1.297,-8.521,-19.444
Arkansas,Columbia County,2020-03-19,-3.899,17.15,10.007,7.169,-10.256,-18.424
Arkansas,Columbia County,2020-03-20,-8.98,29.548,11.254,-11.388,-12.628,-18.939
Arkansas,Columbia County,2020-03-21,-5.723,22.596,7.741,-11.785,-11.84,
Arkansas,Columbia County,2020-03-22,-20.559,-25.621,9.184,-23.923,-21.806,-20.425
Arkansas,Columbia County,2020-03-23,-32.137,17.443,12.518,-14.383,-18.272,-26.224
Arkansas,Columbia County,2020-03-24,-32.835,52.517,13.636,-20.335,-17.11,-32.106
Arkansas,Columbia County,2020-03-25,-32.703,108.352,11.584,-12.102,-17.642,-28.472
Arkansas,Columbia County,2020-03-26,-29.523,133.609,11.756,-8.013,-17.553,-29.053
Arkansas,Columbia County,2020-03-27,-24.695,87.724,13.2,-15.742,-21.538,-33.508
Arkansas,Columbia County,2020-03-28,-25.183,-0.877,10.269,-23.571,-26.197,-16.164
Arkansas,Columbia County,2020-03-29,-20.559,80.909,6.709,-18.441,-22.472,-20.425
Arkansas,Conway County,2020-02-16,1.286,32.139,-0.676,4.604,-8.538,-1.86
Arkansas,Conway County,2020-02-17,-14.719,7.279,4.543,-7.184,4.529,-20.234
Arkansas,Conway County,2020-02-18,-12.455,-3.272,1.352,-2.912,-1.427,
Arkansas,Conway County,2020-02-19,-1.17,24.156,-0.772,5.365,2.778,2.914
Arkansas,Conway County,2020-02-20,-2.367,3.43,0.285,5.904,,2.155
Arkansas,Conway County,2020-02-21,6.188,19.443,-0.628,4.18,10.04,7.659
Arkansas,Conway County,2020-02-22,-5.425,17.921,-0.398,-6.209,4.596,8.538
Arkansas,Conway County,2020-02-23,-15.432,-32.364,0.838,4.029,-3.415,3.72
Arkansas,Conway County,2020-02-24,,-8.653,1.175,-0.898,-1.51,5.246
Arkansas,Conway County,2020-02-25,-4.529,14.724,-0.096,8.289,2.854,0.728
Arkansas,Conway County,2020-02-26,,8.052,-1.64,16.989,1.389,5.099
Arkansas,Conway County,2020-02-27,,28.257,-1.696,20.665,4.112,4.31
Arkansas,Conway County,2020-02-28,17.533,48.378,-3.181,16.075,13.805,6.893
Arkansas,Conway County,2020-02-29,16.276,69.737,-3.338,14.832,16.85,11.954
Arkansas,Conway County,2020-03-01,,21.463,-1.897,29.926,13.661,3.72
Arkansas,Conway County,2020-03-02,3.397,25.684,-0.699,19.756,-1.51,7.494
Arkansas,Conway County,2020-03-03,10.19,57.588,-2.067,30.914,1.427,8.741
Arkansas,Conway County,2020-03-04,11.704,35.709,-1.73,19.671,15.278,2.185
Arkansas,Conway County,2020-03-05,17.756,80.525,-2.342,24.46,6.853,5.747
Arkansas,Conway County,2020-03-06,12.376,73.18,-2.407,10.931,7.53,7.659
