state,county,category,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29
Arkansas,Baxter County,grocery/pharmacy,11.38,5.515,-0.616,3.765,4.34,-3.141,4.239,-6.127,7.353,2.465,11.295,5.58,13.086,4.845,18.382,9.191,25.888,14.433,14.881,2.617,14.535,13.13,14.093,14.793,16.315,35.342,30.884,21.802,45.518,34.926,25.271,32.631,22.941,26.173,25.436,7.878,11.642,-5.547,13.805,,-5.235,3.028,-1.751
Arkansas,Baxter County,parks,32.139,7.279,-3.272,24.156,3.43,19.443,17.921,-32.364,-8.653,14.724,8.052,28.257,48.378,69.737,21.463,25.684,57.588,35.709,80.525,73.18,80.256,77.65,-5.082,84.419,61.09,69.254,15.463,-20.941,-4.495,-19.778,24.704,50.062,17.15,29.548,22.596,-25.621,17.443,52.517,108.352,133.609,87.724,-0.877,80.909
Arkansas,Baxter County,residential,-0.676,4.543,1.352,-0.772,0.285,-0.628,-0.398,0.838,1.175,-0.096,-1.64,-1.696,-3.181,-3.338,-1.897,-0.699,-2.067,-1.73,-2.342,-2.407,-2.392,-1.914,1.651,-1.085,-1.169,-1.428,1.524,3.659,2.621,7.437,7.791,8.373,10.007,11.254,7.741,9.184,12.518,13.636,11.584,11.756,13.2,10.269,6.709
Arkansas,Baxter County,retail/recreation,3.255,3.019,1.796,6.708,6.828,7.921,3.972,5.208,7.36,4.131,19.939,19.258,25.855,14.124,18.88,20.003,26.58,22.92,23.109,20.624,14.86,22.786,10.19,11.135,21.616,16.457,15.244,1.177,11.502,5.661,-5.747,-1.304,-18.908,-17.486,-29.426,-39.28,-26.985,-31.968,-19.194,-21.709,-25.705,-40.313,-31.033
Arkansas,Baxter County,transitstations,-0.333,-1.4,-2.053,-0.067,1.183,2.5,1.702,0.832,-0.737,2.874,5.126,5.851,6.154,7.918,11.486,2.726,4.312,2.596,6.18,6.09,10.138,12.318,1.695,5.886,2.397,3.682,1.603,-1.406,0.666,-6.041,-6.296,-8.521,-10.256,-12.628,-11.84,-21.806,-18.272,-17.11,-17.642,-17.553,-21.538,-26.197,-22.472
Arkansas,Baxter County,workplace,-0.898,-2.178,,1.384,2.825,5.482,9.392,-8.082,3.267,1.038,3.115,4.944,2.924,11.1,0.898,4.355,5.883,4.153,4.59,6.213,8.538,-0.898,2.904,3.807,2.422,4.59,4.02,5.123,-6.286,-3.992,-11.42,-15.227,-13.065,-18.64,-11.954,-27.838,-18.51,-25.609,-24.917,-23.305,-26.681,-22.199,-26.94
Arkansas,Benton County,grocery/pharmacy,2.984,-1.848,1.345,3.84,1.752,6.307,5.214,0.497,-1.848,-1.009,3.77,4.851,11.241,12.024,9.45,4.621,9.347,9.355,10.915,11.428,10.736,10.871,5.215,10.356,18.851,37.395,43.091,15.95,12.079,10.232,5.044,11.45,-3.234,10.242,-2.208,-16.982,-13.268,-14.189,-9.635,-11.117,-11.428,-16.564,-16.982
Arkansas,Benton County,parks,17.943,31.767,8.601,49.819,10.081,59.364,52.083,-59.809,-24.379,4.778,5.661,48.163,96.326,147.569,5.482,39.894,85.054,70.199,138.889,123.208,157.49,42.364,-16.253,130.925,139.266,189.292,40.323,-29.762,-28.409,-32.506,43.005,117.754,,30.242,60.144,-38.876,32.506,100.344,220.788,217.294,137.769,48.983,58.313
Arkansas,Benton County,residential,-0.476,4.45,0.108,-1.053,-0.382,-2.476,-1.335,1.05,1.274,0.245,-0.473,-1.21,-4.062,-3.257,-1.381,-0.501,-1.491,-1.522,-1.97,-3.283,-2.219,-0.907,2.381,-0.254,-0.966,-1.107,0.29,4.953,4.138,12.809,13.694,13.704,17.968,15.986,9.56,10.996,18.067,19.64,16.964,17.654,18.14,11.513,9.059
Arkansas,Benton County,retail/recreation,7.405,3.431,1.225,5.271,4.188,8.618,6.421,2.541,-2.567,4.982,10.403,13.248,16.917,15.705,13.362,7.978,14.583,10.961,13.432,13.337,10.531,12.625,1.032,10.019,12.439,13.169,6.771,-12.044,-9.673,-13.586,-15.919,-18.658,-29.367,-30.071,-41.716,-47.711,-36.629,-34.286,-29.953,-30.078,-35.657,-44.476,-37.081
Arkansas,Benton County,transitstations,-8.065,,1.344,6.334,-2.216,10.236,-4.569,-4.032,-4.99,9.409,3.519,4.433,4.817,-0.914,5.376,-1.871,0.672,2.111,-2.77,-10.838,-2.741,-8.065,-11.228,-10.753,-9.854,-14.406,-17.461,-21.016,-29.57,-42.415,-33.602,-36.599,-52.637,-48.772,-41.118,-63.844,-57.385,-54.435,-54.899,-61.503,-57.803,-57.566,-67.876
Arkansas,Benton County,workplace,2.726,-13.486,2.051,6.359,1.936,5.532,3.305,0.143,3.433,2.367,5.103,2.806,6.518,3.917,3.157,4.495,3.313,6.237,2.529,5.747,2.448,-0.287,1.716,2.406,5.711,1.265,0.986,-3.672,-7.604,-31.099,-36.681,-37.382,-43.587,-42.198,-19.83,-32.713,-47.649,-50.683,-49.005,-51.925,-51.161,-27.052,-35.727
Arkansas,Carroll County,grocery/pharmacy,11.476,,-0.814,21.552,-2.248,5.669,8.185,-1.766,5.787,-3.255,12.572,-3.747,14.881,29.018,16.773,7.44,12.207,16.164,6.745,18.424,26.042,23.835,7.44,13.835,21.552,26.229,36.848,31.25,35.311,28.108,18.717,35.022,3.747,24.093,17.113,-1.766,9.921,-7.324,22.45,8.243,4.96,8.185,14.124
Arkansas,Carroll County,parks,32.139,7.279,-3.272,24.156,3.43,19.443,17.921,-32.364,-8.653,14.724,8.052,28.257,48.378,69.737,21.463,25.684,57.588,35.709,80.525,73.18,80.256,77.65,-5.082,84.419,61.09,69.254,15.463,-20.941,-4.495,-19.778,24.704,50.062,17.15,29.548,22.596,-25.621,17.443,52.517,108.352,133.609,87.724,-0.877,80.909
Arkansas,Carroll County,residential,-0.676,4.543,1.352,-0.772,0.285,-0.628,-0.398,0.838,1.175,-0.096,-1.64,-1.696,-3.181,-3.338,-1.897,-0.699,-2.067,-1.73,-2.342,-2.407,-2.392,-1.914,1.651,-1.085,-1.169,-1.428,1.524,3.659,2.621,7.437,7.791,8.373,10.007,11.254,7.741,9.184,12.518,13.636,11.584,11.756,13.2,10.269,6.709
Arkansas,Carroll County,retail/recreation,32.992,4.606,6.149,14.222,11.42,18.222,38.293,1.483,9.566,3.617,18.066,19.034,28.243,40.703,24.466,19.841,26.765,24.6,31.146,30.369,39.096,38.553,17.715,33.275,39.975,35.645,37.658,20.619,23.725,14.172,8.319,5.766,-14.535,-13.666,-30.259,-40.036,-22.676,-27.488,-19.603,-14.881,-27.636,-38.025,-28.544
Arkansas,Carroll County,transitstations,-0.333,-1.4,-2.053,-0.067,1.183,2.5,1.702,0.832,-0.737,2.874,5.126,5.851,6.154,7.918,11.486,2.726,4.312,2.596,6.18,6.09,10.138,12.318,1.695,5.886,2.397,3.682,1.603,-1.406,0.666,-6.041,-6.296,-8.521,-10.256,-12.628,-11.84,-21.806,-18.272,-17.11,-17.642,-17.553,-21.538,-26.197,-22.472
Arkansas,Carroll County,workplace,7.911,-17.444,4.486,0.494,2.934,5.758,2.976,2.637,2.492,3.987,1.481,6.358,9.422,-2.976,7.911,5.482,6.479,6.418,4.89,10.992,9.921,10.549,3.489,7.476,4.937,4.401,7.852,0.992,11.867,-4.486,-11.463,-18.76,-21.029,-20.938,-23.81,-29.008,-28.907,-29.904,-32.089,-31.299,-29.837,-29.762,-27.69
Arkansas,Clark County,grocery/pharmacy,-8.17,-5.869,5.04,,-12.832,-1.255,5.123,-8.17,1.467,21.841,20.518,-1.51,16.315,13.661,16.34,10.27,36.962,9.47,13.587,11.295,23.907,22.467,14.671,-1.68,29.987,51.329,33.886,32.445,16.34,13.204,26.882,22.096,9.813,21.335,17.077,-4.085,-23.474,12.601,-11.048,-13.587,-2.51,-3.415,2.042
Arkansas,Clark County,parks,32.139,7.279,-3.272,24.156,3.43,19.443,17.921,-32.364,-8.653,14.724,8.052,28.257,48.378,69.737,21.463,25.684,57.588,35.709,80.525,73.18,80.256,77.65,-5.082,84.419,61.09,69.254,15.463,-20.941,-4.495,-19.778,24.704,50.062,17.15,29.548,22.596,-25.621,17.443,52.517,108.352,133.609,87.724,-0.877,80.909
Arkansas,Clark County,residential,-0.676,4.543,1.352,-0.772,0.285,-0.628,-0.398,0.838,1.175,-0.096,-1.64,-1.696,-3.181,-3.338,-1.897,-0.699,-2.067,-1.73,-2.342,-2.407,-2.392,-1.914,1.651,-1.085,-1.169,-1.428,1.524,3.659,2.621,7.437,7.791,8.373,10.007,11.254,7.741,9.184,12.518,13.636,11.584,11.756,13.2,10.269,6.709
