state,county,category,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29
BG,Blagoevgrad Province,grocery/pharmacy,12.675,6.657,4.744,8.128,5.363,5.182,2.178,4.148,-0.196,-0.198,7.914,8.045,,16.151,21.202,17.818,1.384,-0.428,8.251,-0.893,9.618,5.07,-1.958,-0.198,9.839,8.457,20.726,4.174,-28.116,-18.601,-27.87,-29.304,-32.797,-36.985,-46.095,-50.701,-40.727,-44.473,-35.293,-38.779,-40.38,-44.824,-49.087
BG,Blagoevgrad Province,parks,66.814,26.042,27.412,26.348,-3.676,9.037,15.967,63.657,6.2,10.417,18.995,-4.289,-6.183,5.703,73.127,53.943,55.373,-17.77,4.902,3.33,-1.141,-22.096,-25.422,-29.057,23.897,45.956,18.075,-9.504,-47.348,-18.601,-29.057,-22.059,-18.995,-28.539,-47.141,-43.666,-53.943,-56.469,-43.505,-44.118,-47.565,-53.224,-33.144
BG,Blagoevgrad Province,residential,-2.851,-2.224,-1.721,-1.425,-0.942,-1.583,0.575,-2.71,-1.096,-1.089,-1.538,-0.576,-1.017,-0.647,-3.486,-0.939,9.105,1.65,0.234,1.167,-0.107,0.226,5.621,5.352,3.078,-1.016,0.408,6.102,9.878,12.303,14.226,17.139,16.354,17.35,13.836,11.698,20.854,21.797,19.712,19.222,20.696,16.434,10.809
BG,Blagoevgrad Province,retail/recreation,20.249,6.337,4.276,5.164,-0.88,3.905,0.079,7.796,-1.485,-0.583,2.085,-6.651,-6.452,3.008,16.459,18.021,2.235,-13.306,-3.619,-6.707,-2.691,-11.045,-20.695,-19.531,-8.043,-8.314,-15.366,-52.954,-73.956,-55.45,-62.481,-65.241,-65.336,-66.898,-76.067,-80.02,-72.481,-72.683,-68.319,-69.836,-68.935,-76.463,-76.663
BG,Blagoevgrad Province,transitstations,16.741,16.234,11.416,17.606,7.234,13.805,,11.161,6.764,,19.073,14.468,12.55,16.026,7.44,22.998,-9.989,7.336,5.787,-2.51,-1.603,-24.182,-13.528,-8.562,-1.467,8.681,,-12.821,-48.363,-40.584,-44.235,-46.948,-54.977,-52.711,-54.487,-66.964,-64.935,-57.078,-54.284,-57.87,-58.986,-57.692,-57.664
BG,Blagoevgrad Province,workplace,6.752,6.231,4.167,4.042,3.009,3.036,-6.845,5.787,5.761,4.977,3.349,1.389,1.868,3.636,7.073,-2.939,-44.213,-3.234,-6.944,-10.393,0.642,-0.643,-16.225,-15.972,-13.974,-0.81,-3.737,-21.603,-35.687,-33.86,-40.856,-46.078,-46.528,-46.361,-45.132,-47.904,-49.379,-50.347,-48.734,-49.537,-47.763,-45.987,-44.367
BG,Burgas,grocery/pharmacy,-0.414,5.251,1.192,0.125,-7.994,0.798,-5.232,-4.835,-3.297,-2.026,2.126,-2.386,6.61,9.037,4.006,8.304,-5.482,7.253,3.222,6.952,14.032,9.671,11.113,5.602,11.004,9.307,30.315,7.848,-25.558,-16.852,-25.267,-22.634,-27.802,-22.566,-30.798,-41.722,-33.705,-39.927,-32.388,-31.859,-26.441,-29.49,-39.511
BG,Burgas,parks,38.567,0.926,16.979,6.045,-30.523,-7.554,-38.712,42.171,2.778,27.533,25.577,-2.907,12.325,-28.27,65.239,49.537,118.392,33.482,2.907,25.843,28.78,29.916,27.315,4.13,31.622,46.996,30.216,-28.525,-67.762,-25.463,-15.143,-20.461,-0.484,-15.903,-54.758,-52.624,-66.667,-70.668,-61.384,-43.12,-33.397,-40.495,-41.811
BG,Burgas,residential,-2.242,-1.559,-1.139,-0.957,0.079,-0.885,1.123,-1.908,-0.776,-1.075,-1.321,-0.694,-1.604,1.394,-2.576,-1.46,8.5,0.563,1.5,0.824,-2.329,-3.239,0.886,2.865,2.001,-1.905,1.708,5.813,8.724,12.145,13.73,14.745,13.979,15.355,13.886,11.899,19.499,21.506,20.702,19.065,19.491,14.093,11.628
BG,Burgas,retail/recreation,13.566,4.864,4.923,5.159,-6.741,3.329,-2.44,12.694,2.027,5.079,10.892,-0.482,5.623,-0.37,14.438,11.673,8.283,10.646,6.821,11.763,11.237,25.484,5.999,-0.313,7.043,7.142,-4.291,-47.019,-69.961,-47.098,-51.107,-51.101,-51.441,-52.453,-65.871,-72.093,-62.338,-67.751,-62.238,-58.584,-56.078,-62.249,-67.829
BG,Burgas,transitstations,13.021,7.774,6.887,5.081,-2.648,4.735,-3.289,13.021,8.551,5.165,7.622,4.414,7.102,3.289,17.361,6.996,-17.218,11.009,7.062,12.626,10.965,17.361,2.332,-0.861,5.081,7.062,2.367,-15.351,-37.616,-33.427,-37.879,-38.957,-38.842,-43.403,-53.728,-54.977,-56.748,-60.262,-59.282,-52.966,-54.451,-52.632,-53.53
BG,Burgas,workplace,3.683,4.244,4.077,3.941,2.7,2.616,0.744,2.894,3.843,3.677,2.976,3.846,2.453,0.744,8.418,-2.642,-54.442,-11.181,-11.374,-11.692,5.58,8.418,-13.691,-15.029,-13.996,2.618,-13.491,-17.113,-31.04,-34.269,-39.572,-42.069,-41.978,-43.089,-33.854,-36.564,-48.28,-51.644,-49.871,-48.278,-46.278,-34.04,-36.564
BG,Overall,grocery/pharmacy,6.556,4.884,4.356,2.201,-0.829,3.853,-1.216,2.804,-0.403,4.256,6.554,4.318,5.154,9.166,8.154,6.55,-2.094,-0.15,5.194,4.973,7.214,13.317,5.367,2.871,8.871,10.975,23.65,-0.879,-24.957,-18.209,-23.828,-25.176,-26.436,-24.739,-33.795,-39.864,-36.86,-39.306,-33.5,-32.129,-29.136,-32.498,-35.97
BG,Overall,parks,68.567,22.16,26.502,14.681,-9.584,-0.725,-7.212,61.317,4.029,24.22,29.112,-2.58,-2.385,-3.419,70.815,40.09,86.214,3.503,2.013,14.1,12.695,12.112,-6.36,-15.478,17.878,46.39,21.044,-19.396,-49.149,-21.93,-21.306,-25.302,-13.129,-20.483,-45.867,-45.918,-56.38,-58.942,-53.441,-47.638,-44.755,-46.771,-31.726
