state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
BJ,Overall,2020-02-16,1.675,-1.726,-0.316,-0.599,-3.851,0.292
BJ,Overall,2020-02-17,0.764,-1.989,0.945,-1.571,-2.286,1.426
BJ,Overall,2020-02-18,-0.446,-11.89,0.5,-1.738,-1.3,1.111
BJ,Overall,2020-02-19,0.148,-1.913,0.556,-3.687,-8.986,2.212
BJ,Overall,2020-02-20,1.92,-1.843,0.356,-2.644,-6.148,0.914
BJ,Overall,2020-02-21,6.079,,-0.22,0.673,-2.347,0.987
BJ,Overall,2020-02-22,6.325,5.501,-0.34,0.591,-0.91,0.091
BJ,Overall,2020-02-23,4.28,2.302,-0.967,0.15,3.851,-0.585
BJ,Overall,2020-02-24,5.346,-2.652,0.856,-0.075,0.457,-2.957
BJ,Overall,2020-02-25,6.472,-11.89,0.277,1.014,,-3.491
BJ,Overall,2020-02-26,3.618,-2.551,0.715,-0.709,0.856,-2.535
BJ,Overall,2020-02-27,5.095,1.843,1.065,-1.67,1.317,-3.816
BJ,Overall,2020-02-28,6.008,,1.596,-0.539,0.782,-3.235
BJ,Overall,2020-02-29,3.953,1.65,0.163,-0.131,8.647,-1.92
BJ,Overall,2020-03-01,4.094,,-1.091,-1.347,7.152,1.316
BJ,Overall,2020-03-02,2.52,5.968,0.092,-3.068,6.401,1.162
BJ,Overall,2020-03-03,1.637,-0.626,0.32,0.652,3.468,0.793
BJ,Overall,2020-03-04,4.356,5.102,-0.321,1.418,5.99,3.183
BJ,Overall,2020-03-05,4.283,4.3,-0.053,1.252,4.391,2.418
BJ,Overall,2020-03-06,-1.573,-2.356,1.454,-7.07,-1.564,2.138
BJ,Overall,2020-03-07,6.181,7.702,-1.098,0.92,7.282,1.646
BJ,Overall,2020-03-08,1.675,7.481,-1.223,2.694,10.453,2.923
BJ,Overall,2020-03-09,3.437,-1.989,0.068,-2.544,5.029,3.274
BJ,Overall,2020-03-10,2.975,0.626,-1.07,-2.968,7.802,4.073
BJ,Overall,2020-03-11,2.954,1.275,-0.89,-2.198,4.279,4.478
BJ,Overall,2020-03-12,1.772,4.3,-0.62,-1.879,2.635,3.977
BJ,Overall,2020-03-13,1.716,-1.178,-1.208,0.741,4.302,4.606
BJ,Overall,2020-03-14,1.006,,0.273,-1.905,6.827,0.549
BJ,Overall,2020-03-15,-0.372,0.575,-0.198,-3.218,2.201,1.608
BJ,Overall,2020-03-16,0.84,0.663,-0.835,-5.837,5.486,3.961
BJ,Overall,2020-03-17,4.761,11.264,-0.755,-6.009,3.901,3.861
BJ,Overall,2020-03-18,5.833,19.77,-0.108,-7.091,4.707,4.046
BJ,Overall,2020-03-19,2.806,16.585,0.624,-10.228,3.513,2.257
BJ,Overall,2020-03-20,4.363,14.724,-0.215,-5.858,,2.303
BJ,Overall,2020-03-21,1.438,14.854,2.229,-8.869,,1.737
BJ,Overall,2020-03-22,-1.489,9.782,3.159,-14.293,-9.352,-0.439
BJ,Overall,2020-03-23,1.68,17.903,1.848,-12.946,-0.457,-0.634
BJ,Overall,2020-03-24,-5.728,-0.626,5.581,-17.882,-14.304,-5.924
BJ,Overall,2020-03-25,3.397,11.479,2.946,-11.913,-9.413,-1.834
BJ,Overall,2020-03-26,2.658,10.442,2.64,-12.037,-4.831,-3.01
BJ,Overall,2020-03-27,6.222,15.313,2.444,-8.484,-12.907,-3.893
BJ,Overall,2020-03-28,6.613,12.653,3.347,-10.84,-1.82,0.091
BJ,Overall,2020-03-29,-0.465,10.358,4.739,-15.79,-14.304,2.193
