state,county,category,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29
BR,Federal District,grocery/pharmacy,5.809,3.733,3.83,,8.177,15.158,3.312,-2.333,-15.765,-27.618,-7.41,5.466,7.523,7.651,15.092,0.991,11.909,9.651,10.183,16.668,19.347,23.761,13.045,14.609,11.511,14.651,17.875,14.861,13.876,11.621,10.789,12.351,16.397,7.229,-21.677,-38.879,-30.096,-32.559,-35.092,-29.447,-21.768,-31.493,-29.595
BR,Federal District,parks,-10.682,-1.357,2.354,-2.696,15.467,-0.613,-13.398,-19.21,-17.185,14.86,-14.759,16.572,-14.706,-25.731,-27.408,-15.678,-0.294,0.993,14.678,-15.319,-19.254,3.064,-3.618,6.474,0.993,9.312,-1.348,-6.122,-8.943,10.1,3.825,-6.67,-26.042,-45.956,-68.942,-80.236,-61.957,-64.295,-64.856,-57.923,-56.25,-68.853,-65.746
BR,Federal District,residential,2.4,-2.076,-2.461,-1.779,-2.674,-2.821,-0.067,1.529,12.648,11.865,8.976,-0.529,0.545,4.497,5.598,-1.127,-2.378,-2.358,-2.674,-2.676,-0.347,0.923,-3.5,-3.942,-3.855,1.917,1.886,2.382,3.591,3.864,6.704,11.128,14.835,21.022,22.122,22.055,25.901,27.941,29.458,28.542,28.661,23.705,20.437
BR,Federal District,retail/recreation,11.597,2.547,0.669,-2.231,4.51,7.354,-5.746,-6.709,-32.031,-40.402,-20.581,-4.615,-2.2,0.617,0.944,-3.467,4.081,2.118,1.799,8.06,12.975,18.319,5.103,4.383,2.136,-0.361,3.643,-2.356,-7.956,-10.717,-19.16,-25.582,-38.898,-58.01,-72.665,-78.485,-70.98,-73.502,-73.832,-71.811,-68.75,-73.211,-71.306
BR,Federal District,transitstations,4.639,11.866,14.791,9.853,12.23,12.389,-2.93,-6.416,-35.351,-36.194,-17.472,4.948,4.167,-4.72,-4.265,9.035,11.29,10.682,10.598,11.616,6.207,6.584,15.291,17.522,13.962,3.048,2.208,-1.949,-4.714,-8.117,-13.72,-21.377,-31.321,-42.033,-54.537,-64.064,-62.908,-64.732,-66.645,-65.091,-61.734,-61.409,-58.826
BR,Federal District,workplace,-0.062,22.809,22.743,21.297,21.578,22.512,-3.589,-7.18,-63.523,-74.215,-22.78,17.534,22.462,6.06,0.937,23.193,22.951,22.749,22.681,25.772,8.456,3.892,25.136,23.816,22.713,7.336,8.755,3.191,-0.666,1.553,-4.736,-13.968,-25.191,-37.489,-44.652,-42.728,-54.366,-59.859,-61.446,-60.35,-56.906,-47.259,-37.691
BR,Overall,grocery/pharmacy,2.604,-0.196,-1.266,-2.154,6.793,10.076,6.333,6.966,-6.526,-28.556,-10.706,1.518,3.203,4.756,2.95,0.625,1.882,1.762,6.619,10.926,12.621,10.518,4.856,4.869,1.839,4.27,6.602,7.378,7.014,5.909,7.199,5.257,2.362,0.173,-15.535,-33.405,-25.846,-32.955,-32.078,-29.029,-25.711,-27.352,-35.356
BR,Overall,parks,-13.248,-12.26,-10.707,-4.661,2.47,1.364,11.805,32.368,68.763,50.8,-8.186,-10.684,-16.714,-22.725,-34.515,-25.507,-20.709,-11.166,-4.817,-6.866,-14.288,-16.708,-11.766,-11.378,-5.593,-4.996,-8.273,-15.459,-21.087,-22.903,-28.165,-28.38,-33.649,-45.241,-65.684,-74.786,-60.967,-62.452,-57.362,-53.914,-55.856,-63.746,-70.023
BR,Overall,residential,1.26,-1.111,-1.252,-0.943,-1.876,-1.468,0.263,0.78,8.137,9.684,5.747,0.873,1.058,3.067,4.533,-0.193,-0.536,-0.678,-1.633,-1.904,0.298,1.384,-1.583,-1.901,-1.423,-1.511,-1.629,1.297,2.585,1.309,3.93,7.33,10.462,13.208,16.126,17.187,19.976,21.989,22.898,22.087,22.752,18.556,16.88
BR,Overall,retail/recreation,1.549,-2.086,-2.758,-1.043,1.364,1.774,-3.02,4.328,-13.965,-31.517,-18.289,-8.478,-5.191,-2.602,-9.2,-6.333,-4.7,-1.062,0.101,5.822,9.274,8.303,0.887,0.44,1.167,-2.022,0.262,-1.514,-8.163,-11.112,-18.72,-24.971,-36.523,-44.564,-62.655,-72.533,-65.575,-70.741,-69.427,-68.609,-67.045,-69.675,-71.561
BR,Overall,transitstations,3.419,9.351,8.784,7.912,11.241,11.545,5.975,2.116,-27.02,-34.979,-17.46,1.194,1.775,-2.261,-9.714,5.524,6.069,7.394,10.49,12.913,7.988,2.099,12.213,11.015,10.155,9.797,9.634,-0.325,-6.982,-4.116,-15.107,-22.276,-30.998,-37.373,-50.429,-60.103,-57.888,-63.101,-63.03,-62.062,-60.295,-59.264,-62.341
