state,county,category,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29
CA,Alberta,grocery/pharmacy,-1.764,-2.277,0.652,4.674,9.087,3.209,6.817,2.7,1.181,2.74,7.732,10.015,11.267,6.86,10.613,7.05,9.608,7.486,9.86,9.167,2.538,3.527,7.303,4.896,11.685,29.769,31.376,12.763,8.912,32.805,17.996,11.791,3.59,3.682,-9.515,-21.554,-11.216,-16.943,-11.58,-12.042,-11.651,-22.06,-30.654
CA,Alberta,parks,28.661,10.417,-2.041,21.659,11.601,18.85,19.707,8.157,0.618,13.914,8.259,13.454,13.248,8.305,13.919,2.648,14.006,4.467,2.578,9.841,-11.191,-10.402,16.773,8.905,16.181,-6.445,-29.524,-46.453,-29.409,-13.683,-12.151,-25.367,-28.922,-9.009,8.727,16.164,-23.129,-32.372,-25.705,-24.733,-16.73,-41.244,-24.321
CA,Alberta,residential,-1.687,15.757,2.047,0.789,0.359,-0.045,-1.048,-0.172,-0.186,-0.138,-0.565,-0.262,-1.211,-0.244,-0.643,-0.41,-0.316,-0.073,-0.171,-0.45,1.728,1.155,0.258,0.703,0.624,1.33,5.529,6.892,5.538,9.788,13.713,16.704,18.611,19.513,13.103,11.236,19.529,22.661,22.722,23.337,23.871,16.236,13.404
CA,Alberta,retail/recreation,10.16,-7.711,-0.642,3.254,7.615,2.533,8.514,3.773,-0.81,2.03,5.341,7.566,8.619,5.545,8.268,4.519,5.392,4.563,5.839,4.266,-2.513,-0.975,2.318,2.405,3.513,4.536,-8.806,-19.486,-18.394,-11.46,-22.252,-32.305,-36.954,-39.792,-48.159,-50.958,-45.18,-50.084,-48.749,-49.272,-49.659,-57.195,-56.976
CA,Alberta,transitstations,3.33,-42.045,-9.163,-7.002,-6.152,-1.056,4.201,-0.106,2.822,2.042,0.672,1.011,6.074,3.681,3.805,1.222,0.057,-0.028,-0.365,2.7,-5.853,-4.545,-1.397,-3.915,-4.874,-8.034,-18.075,-27.469,-25.685,-40.852,-47.318,-53.722,-58.179,-55.458,-48.661,-53.008,-65.381,-68.508,-68.875,-70.568,-68.075,-65.134,-65.269
CA,Alberta,workplace,-2.892,-70.081,-5.486,-1.102,-1.293,1.977,4.772,2.614,4.594,4.875,5.212,1.73,4.141,5.275,4.199,5.453,5.69,5.563,4.654,6.171,2.835,1.585,4.06,4.036,4.191,2.536,-3.019,-5.077,-7.327,-22.805,-30.221,-36.419,-40.634,-41.454,-31.092,-34.901,-48.428,-51.55,-52.333,-53.431,-51.946,-41.767,-42.721
CA,British Columbia,grocery/pharmacy,1.583,9.895,8.352,6.552,7.865,2.778,2.814,-0.16,3.705,3.438,4.349,4.588,3.647,8.304,7.194,4.054,7.482,6.202,3.015,5.78,4.557,6.144,6.466,2.184,8.435,18.701,28.017,21.526,15.16,35.933,28.643,17.497,6.51,1.251,-9.711,-22.328,-16.245,-17.457,-16.636,-23.318,-22.935,-29.493,-29.629
CA,British Columbia,parks,43.159,119.095,62.844,55.737,58.822,45.489,22.1,-2.371,22.814,23.728,33.569,23.924,18.848,40.751,32.665,-8.027,28.409,58.563,13.045,56.11,11.034,62.925,49.854,14.527,55.494,38.413,10.926,9.373,60.59,57.74,83.828,90.33,84.72,80.661,52.601,8.82,-4.084,16.733,41.365,-18.388,-22.07,-38.526,27.645
CA,British Columbia,residential,-1.821,12.708,0.276,-0.467,-0.31,-1.531,-0.278,0.265,0.105,0.451,-0.316,0.194,-1.597,-1.163,-0.816,0.921,0.578,-0.63,0.828,-1.91,0.479,-0.482,0.608,1.879,0.693,1.698,1.93,3.864,3.057,7.965,12.047,14.329,16.792,16.461,12.812,12.197,20.496,22.758,22.035,24.472,23.653,18.13,13.616
CA,British Columbia,retail/recreation,12.555,5.488,6.044,6.601,6.439,6.067,5.274,2.748,1.225,2.389,2.559,1.699,5.205,7.797,7.682,-1.418,3.253,5.214,0.68,7.265,3.39,6.817,1.472,0.008,2.669,1.905,0.395,-6.952,-6.031,-5.962,-16.634,-28.16,-35.36,-39.41,-49.783,-54.902,-50.255,-51.981,-51.034,-56.384,-55.703,-62.069,-56.586
CA,British Columbia,transitstations,10.146,-21.806,0.883,5.107,0.31,3.415,3.926,1.461,-0.488,0.883,2.886,-0.456,2.561,7.664,6.452,-3.963,-1.935,4.613,-3.962,3.978,0.118,6.645,-2.63,-7.12,-2.962,-8.783,-14.24,-17.396,-15.826,-27.854,-35.806,-40.228,-46.943,-46.807,-47.511,-55.171,-60.272,-63.27,-60.199,-67.156,-66.823,-67.728,-61.733
CA,British Columbia,workplace,-2.438,-69.828,0.671,-0.513,0.361,0.774,2.546,0.379,2.118,4.474,2.018,2.756,3.535,3.332,1.607,2.37,4.865,2.386,2.438,4.551,2.022,0.343,1.371,2.759,0.214,,-2.356,-3.884,-7.981,-24.806,-31.963,-40.435,-44.285,-45.442,-38.102,-43.173,-53.909,-56.088,-58.143,-59.052,-57.974,-49.726,-48.752
CA,Manitoba,grocery/pharmacy,0.121,-25.251,6.72,-1.281,12.122,3.044,3.636,4.062,0.536,2.744,4.788,10.026,5.574,7.408,4.972,1.448,6.776,1.503,8.666,1.967,7.226,1.88,2.52,7.336,8.184,34.892,42.716,24.178,3.395,19.246,19.433,13.974,12.518,8.571,-8.908,-22.01,-11.634,-11.369,-14.42,-7.364,-5.527,-13.18,-22.252
CA,Manitoba,parks,26.716,62.425,4.182,-0.348,29.659,29.519,65.67,46.956,12.41,10.265,2.787,13.021,4.541,16.757,4.048,0.376,15.207,3.135,10.489,-1.703,16.304,-2.429,3.008,14.066,9.406,5.064,-14.475,-24.23,-21.319,-20.307,-16.727,-28.916,-27.85,-31.789,-26.495,-16.462,-3.384,-33.455,-20.206,-19.17,-15.043,-9.511,-9.715
CA,Manitoba,residential,-1.623,17.829,1.349,1.313,0.062,-0.115,-0.783,-0.8,0.596,0.647,-0.352,-0.356,-0.311,-0.514,-0.148,0.94,0.297,0.54,0.936,-0.328,-0.232,0.525,0.98,0.663,0.108,0.115,3.021,4.214,4.387,7.409,10.242,12.556,14.449,15.753,12.533,10.246,17.57,19.914,19.774,20.462,20.609,13.591,11.06
CA,Manitoba,retail/recreation,10.176,-19.702,2.694,-0.133,9.627,4.807,8.185,5.521,5.175,0.892,7.969,11.471,6.77,10.945,5.225,0.879,6.829,1.893,3.966,7.079,10.569,4.019,4.536,4.686,7.496,12.178,3.973,-7.056,-18.595,-11.63,-19.407,-26.292,-30.185,-32.769,-46.854,-53.205,-42.322,-46.895,-46.471,-44.896,-41.256,-47.936,-50.539
CA,Manitoba,transitstations,-4.438,-38.5,-5.28,-9.328,-6.995,-2.388,11.946,1.044,1.863,-0.96,3.887,-4.258,1.045,8.123,3.394,-2.329,2.24,-1.71,1.825,-1.343,6.451,-4.177,-4.812,-0.96,-3.265,-6.691,-12.984,-12.662,-22.974,-30.427,-32.482,-43.066,-49.726,-48.203,-43.005,-51.953,-56.508,-59.684,-59.391,-62.348,-59.844,-51.844,-58.741
CA,Manitoba,workplace,-3.732,-71.752,-0.846,-0.266,1.923,-0.464,7.521,2.322,2.124,4.161,4.041,5.747,2.898,7.802,3.483,3.564,3.85,3.463,3.394,2.597,6.677,1.576,2.901,4.161,4.485,5.34,-4.753,1.054,-7.381,-11.216,-18.225,-24.377,-27.716,-32.249,-25.444,-33.423,-41.461,-44.061,-45.046,-45.002,-46.113,-34.23,-37.404
