state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
CH,Overall,2020-02-16,11.604,29.708,-0.745,9.653,7.62,-1.892
CH,Overall,2020-02-17,-3.983,-3.367,1.325,-2.683,-1.859,-1.274
CH,Overall,2020-02-18,1.046,34.087,0.542,2.599,3.457,-1.868
CH,Overall,2020-02-19,-4.329,-11.319,1.22,-3.891,-4.073,-2.594
CH,Overall,2020-02-20,-0.504,46.282,-0.415,2.409,4.852,-5.114
CH,Overall,2020-02-21,-1.03,25.723,0.923,-1.467,1.073,-5.576
CH,Overall,2020-02-22,-0.278,56.886,-1.691,0.823,13.701,-1.058
CH,Overall,2020-02-23,17.83,27.081,-0.87,13.983,12.906,0.331
CH,Overall,2020-02-24,2.644,73.679,0.076,5.75,7.364,-3.296
CH,Overall,2020-02-25,5.591,17.502,1.332,4.147,3.001,-4.354
CH,Overall,2020-02-26,0.332,-19.71,2.306,-5.462,-4.783,-4.277
CH,Overall,2020-02-27,0.979,-22.013,2.419,-5.507,-4.927,-4.528
CH,Overall,2020-02-28,8.217,16.494,1.708,-0.685,-0.664,-4.486
CH,Overall,2020-02-29,4.504,-14.154,2.073,-5.588,-7.145,-1.672
CH,Overall,2020-03-01,7.641,28.64,0.664,3.341,2.413,-1.433
CH,Overall,2020-03-02,-1.501,-24.299,2.777,-6.89,-7.053,-1.434
CH,Overall,2020-03-03,3.629,6.97,1.684,-1.346,-2.762,0.013
CH,Overall,2020-03-04,0.754,7.561,1.408,-2.712,-2.363,-1.206
CH,Overall,2020-03-05,-4.011,-36.299,3.086,-11.329,-10.808,-2.018
CH,Overall,2020-03-06,1.252,-11.517,3.056,-6.166,-8.19,-2.048
CH,Overall,2020-03-07,2.021,-3.344,2.586,-4.229,-8.575,-1.831
CH,Overall,2020-03-08,7.296,46.713,0.442,5.713,2.802,-3.123
CH,Overall,2020-03-09,-1.27,-16.688,2.775,-7.567,-8.491,0.355
CH,Overall,2020-03-10,-1.187,-25.744,3.821,-10.065,-10.185,-1.337
CH,Overall,2020-03-11,2.4,10.401,2.625,-7.297,-6.126,-2.262
CH,Overall,2020-03-12,7.901,-0.919,3.587,-11.084,-10.722,-4.367
CH,Overall,2020-03-13,23.535,0.722,5.426,-12.774,-14.826,-5.572
CH,Overall,2020-03-14,11.943,-5.853,7.669,-25.102,-25.818,-7.347
CH,Overall,2020-03-15,2.453,65.826,4.893,-26.858,-16.415,-13.501
CH,Overall,2020-03-16,24.186,14.297,10.26,-17.297,-29.646,-19.978
CH,Overall,2020-03-17,1.255,20.859,16.639,-57.045,-41.961,-32.593
CH,Overall,2020-03-18,-3.859,22.376,17.841,-61.801,-45.419,-37.759
CH,Overall,2020-03-19,-9.529,18.839,21.043,-65.106,-50.932,-46.032
CH,Overall,2020-03-20,-3.87,-11.036,24.173,-67.307,-55.666,-44.849
CH,Overall,2020-03-21,-26.055,-28.816,19.471,-77.76,-62.33,-43.193
CH,Overall,2020-03-22,-49.371,-39.64,15.229,-81.897,-66.517,-45.333
CH,Overall,2020-03-23,-19.937,-18.786,22.15,-67.66,-58.78,-45.87
CH,Overall,2020-03-24,-19.312,-5.393,23.69,-68.741,-58.344,-48.885
CH,Overall,2020-03-25,-18.819,-19.623,23.35,-69.882,-59.287,-49.069
CH,Overall,2020-03-26,-18.078,-22.974,24.498,-70.233,-60.727,-50.165
CH,Overall,2020-03-27,-13.079,-3.451,25.802,-69.213,-58.168,-48.695
CH,Overall,2020-03-28,-18.825,18.424,17.169,-72.808,-53.497,-43.034
CH,Overall,2020-03-29,-51.163,-40.766,15.055,-81.238,-67.726,-46.104
