state,county,category,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29
CH,Overall,grocery/pharmacy,11.604,-3.983,1.046,-4.329,-0.504,-1.03,-0.278,17.83,2.644,5.591,0.332,0.979,8.217,4.504,7.641,-1.501,3.629,0.754,-4.011,1.252,2.021,7.296,-1.27,-1.187,2.4,7.901,23.535,11.943,2.453,24.186,1.255,-3.859,-9.529,-3.87,-26.055,-49.371,-19.937,-19.312,-18.819,-18.078,-13.079,-18.825,-51.163
CH,Overall,parks,29.708,-3.367,34.087,-11.319,46.282,25.723,56.886,27.081,73.679,17.502,-19.71,-22.013,16.494,-14.154,28.64,-24.299,6.97,7.561,-36.299,-11.517,-3.344,46.713,-16.688,-25.744,10.401,-0.919,0.722,-5.853,65.826,14.297,20.859,22.376,18.839,-11.036,-28.816,-39.64,-18.786,-5.393,-19.623,-22.974,-3.451,18.424,-40.766
CH,Overall,residential,-0.745,1.325,0.542,1.22,-0.415,0.923,-1.691,-0.87,0.076,1.332,2.306,2.419,1.708,2.073,0.664,2.777,1.684,1.408,3.086,3.056,2.586,0.442,2.775,3.821,2.625,3.587,5.426,7.669,4.893,10.26,16.639,17.841,21.043,24.173,19.471,15.229,22.15,23.69,23.35,24.498,25.802,17.169,15.055
CH,Overall,retail/recreation,9.653,-2.683,2.599,-3.891,2.409,-1.467,0.823,13.983,5.75,4.147,-5.462,-5.507,-0.685,-5.588,3.341,-6.89,-1.346,-2.712,-11.329,-6.166,-4.229,5.713,-7.567,-10.065,-7.297,-11.084,-12.774,-25.102,-26.858,-17.297,-57.045,-61.801,-65.106,-67.307,-77.76,-81.897,-67.66,-68.741,-69.882,-70.233,-69.213,-72.808,-81.238
CH,Overall,transitstations,7.62,-1.859,3.457,-4.073,4.852,1.073,13.701,12.906,7.364,3.001,-4.783,-4.927,-0.664,-7.145,2.413,-7.053,-2.762,-2.363,-10.808,-8.19,-8.575,2.802,-8.491,-10.185,-6.126,-10.722,-14.826,-25.818,-16.415,-29.646,-41.961,-45.419,-50.932,-55.666,-62.33,-66.517,-58.78,-58.344,-59.287,-60.727,-58.168,-53.497,-67.726
CH,Overall,workplace,-1.892,-1.274,-1.868,-2.594,-5.114,-5.576,-1.058,0.331,-3.296,-4.354,-4.277,-4.528,-4.486,-1.672,-1.433,-1.434,0.013,-1.206,-2.018,-2.048,-1.831,-3.123,0.355,-1.337,-2.262,-4.367,-5.572,-7.347,-13.501,-19.978,-32.593,-37.759,-46.032,-44.849,-43.193,-45.333,-45.87,-48.885,-49.069,-50.165,-48.695,-43.034,-46.104
CH,Vaud,grocery/pharmacy,6.372,-10.985,-5.0,-11.568,-7.83,-9.541,-5.381,13.852,0.112,4.278,-2.774,-1.839,6.081,3.011,8.588,-3.848,2.952,0.059,-8.068,1.206,0.987,11.359,-3.569,-2.892,0.472,6.229,29.724,8.195,4.433,19.573,-5.663,-12.925,-9.669,-11.848,-35.644,-54.023,-29.778,-28.135,-26.794,-26.279,-24.377,-31.447,-51.529
CH,Vaud,parks,25.312,-19.587,27.669,-32.895,38.969,39.301,38.416,50.866,72.115,-15.055,-37.692,-35.971,26.709,-30.043,15.333,-30.271,2.848,,-43.84,4.579,0.739,52.083,-11.574,-38.249,0.685,-6.745,10.302,9.112,58.168,19.587,12.207,8.909,16.487,-12.592,-16.745,-59.871,-27.155,-18.311,-28.783,-20.234,-3.434,3.448,-43.565
CH,Vaud,residential,-1.057,2.911,1.161,2.448,1.062,1.817,-1.164,-1.461,-0.591,0.071,1.769,1.992,0.447,2.961,1.232,2.037,0.292,0.489,2.605,1.377,2.302,0.068,2.187,2.801,2.165,3.609,5.87,9.712,7.199,14.427,21.672,23.145,26.485,30.854,22.555,18.13,29.749,30.49,29.803,31.959,33.486,21.625,17.625
CH,Vaud,retail/recreation,13.46,-8.495,-0.679,-13.479,-5.429,-7.222,-6.553,18.106,2.353,3.397,-6.754,-4.478,4.189,-2.477,11.852,-6.437,1.853,-0.834,-9.46,-0.578,-1.306,17.927,-5.685,-7.288,-6.253,-8.732,-11.098,-27.832,-26.444,-18.102,-62.228,-67.703,-68.036,-72.775,-82.077,-84.81,-74.89,-75.755,-76.708,-76.292,-75.856,-79.42,-81.832
CH,Vaud,transitstations,9.928,-10.986,-4.254,-15.146,-6.867,-8.849,5.119,19.092,8.087,4.304,-4.153,-3.869,1.375,-8.018,3.971,-4.934,0.354,-1.905,-9.769,-4.447,-3.269,11.379,-6.358,-8.001,-7.133,-9.624,-15.313,-24.484,-17.794,-36.062,-51.957,-56.09,-59.821,-66.48,-63.955,-73.619,-70.852,-69.883,-70.405,-71.379,-69.551,-60.255,-70.412
CH,Vaud,workplace,-6.595,-16.524,-15.387,-14.298,-17.304,-17.805,-6.896,-7.371,1.351,1.906,0.674,0.58,0.791,-2.783,-3.492,1.282,2.587,1.88,0.819,0.611,-2.057,-5.819,0.104,0.613,-1.029,-3.106,-6.079,-11.977,-20.368,-32.805,-48.271,-52.686,-57.749,-59.817,-51.176,-52.374,-65.403,-66.891,-65.849,-67.203,-65.392,-52.023,-51.986
CH,Zurich,grocery/pharmacy,,-9.75,-2.225,-9.487,-4.928,-4.517,-1.506,3.695,3.047,5.717,3.301,1.505,11.448,7.086,16.861,0.072,5.103,3.681,-4.401,2.758,4.311,9.47,-0.072,-1.573,6.982,13.468,33.722,17.834,12.934,34.627,8.556,4.933,6.32,5.138,-21.642,-38.11,-12.904,-11.165,-10.891,-11.06,-3.931,-10.334,-46.194
CH,Zurich,parks,17.96,-17.689,21.766,-24.005,6.416,22.206,78.04,-6.944,58.471,-4.146,-29.578,-35.1,21.802,13.572,57.471,-18.18,18.657,9.859,-44.158,-19.38,13.912,47.893,-14.249,-23.321,27.006,9.813,28.262,24.091,104.885,57.488,63.744,72.445,48.687,29.07,-17.305,-22.51,6.879,18.138,2.572,-21.135,34.318,101.452,-54.837
CH,Zurich,residential,-1.14,1.566,0.577,0.988,0.066,0.739,-2.584,0.088,-0.302,0.495,1.283,1.554,1.353,1.066,0.355,3.352,1.827,1.627,3.385,4.253,2.649,0.751,4.12,5.372,4.211,5.392,7.292,7.597,4.957,12.585,20.269,21.513,23.666,26.586,20.082,16.102,25.95,27.503,27.063,28.548,28.869,16.494,16.794
CH,Zurich,retail/recreation,1.139,-5.329,-1.769,-6.529,-3.933,-4.31,-5.922,-1.974,0.152,0.062,-4.153,-4.511,-3.009,-6.611,5.163,-8.101,-2.51,-3.747,-13.459,-10.848,-7.162,-0.607,-9.422,-12.139,-8.653,-13.757,-16.166,-28.295,-26.877,-13.581,-58.945,-63.141,-64.834,-69.005,-80.906,-82.946,-68.643,-69.952,-70.867,-71.936,-71.136,-74.265,-85.262
CH,Zurich,transitstations,2.949,-3.679,-0.635,-5.028,-2.481,-2.605,5.158,0.671,3.658,1.819,-1.579,-1.432,-1.283,-2.566,5.693,-5.794,-3.426,-3.345,-8.874,-10.03,-9.059,-1.401,-9.854,-12.162,-10.471,-14.4,-18.019,-27.896,-20.436,-34.278,-48.668,-52.312,-56.672,-60.393,-68.572,-69.308,-64.771,-65.419,-65.753,-68.046,-65.252,-59.282,-75.789
CH,Zurich,workplace,-4.848,-7.878,-6.365,-6.714,-7.948,-8.456,-2.48,-1.119,-0.583,0.099,-0.44,-1.775,-2.522,-1.008,-1.616,-5.446,0.394,-0.779,-1.854,-3.094,-3.1,-4.351,-5.326,-5.419,-5.915,-8.48,-10.682,-7.208,-12.182,-27.212,-39.609,-45.379,-49.52,-49.784,-45.728,-46.863,-53.721,-55.67,-56.11,-56.797,-54.955,-44.953,-49.1
