state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
CZ,Overall,2020-02-16,8.152,28.378,-1.319,11.699,9.277,2.481
CZ,Overall,2020-02-17,2.089,16.948,0.392,3.942,0.71,-2.148
CZ,Overall,2020-02-18,5.104,22.314,0.291,8.764,1.535,-2.222
CZ,Overall,2020-02-19,0.92,5.852,0.301,3.85,-1.701,-2.296
CZ,Overall,2020-02-20,1.97,16.026,0.033,3.922,-0.007,-2.517
CZ,Overall,2020-02-21,3.416,4.469,0.222,2.179,-0.622,-2.841
CZ,Overall,2020-02-22,5.893,29.688,-2.542,8.808,11.208,4.514
CZ,Overall,2020-02-23,3.155,-16.523,-0.13,2.753,1.104,1.41
CZ,Overall,2020-02-24,1.684,12.644,0.209,3.094,0.912,-0.393
CZ,Overall,2020-02-25,6.506,13.346,0.427,6.038,1.726,-0.47
CZ,Overall,2020-02-26,6.294,9.579,0.117,3.157,-0.113,-0.55
CZ,Overall,2020-02-27,10.639,9.488,0.109,3.035,-0.59,-0.881
CZ,Overall,2020-02-28,5.824,-0.338,0.487,-0.263,0.179,-1.153
CZ,Overall,2020-02-29,3.963,0.491,-0.379,0.982,1.578,4.523
CZ,Overall,2020-03-01,8.768,29.5,-1.126,7.86,9.335,4.116
CZ,Overall,2020-03-02,3.638,17.942,0.404,0.171,-0.097,-0.14
CZ,Overall,2020-03-03,0.703,-9.36,1.423,-0.314,-6.392,-1.31
CZ,Overall,2020-03-04,2.074,16.683,0.412,2.76,-0.219,-1.034
CZ,Overall,2020-03-05,2.028,21.128,0.333,1.794,-0.708,-0.997
CZ,Overall,2020-03-06,3.578,1.594,0.846,-0.47,-0.773,-1.471
CZ,Overall,2020-03-07,6.1,-6.113,0.284,0.339,-0.562,3.547
CZ,Overall,2020-03-08,16.803,44.948,-1.354,12.985,9.439,4.815
CZ,Overall,2020-03-09,2.843,7.797,1.022,-0.295,-2.326,-0.467
CZ,Overall,2020-03-10,17.867,6.341,0.553,3.319,-1.558,-0.77
CZ,Overall,2020-03-11,7.946,-11.034,5.446,-6.449,-17.515,-14.149
CZ,Overall,2020-03-12,21.185,11.667,5.04,-4.686,-17.763,-15.165
CZ,Overall,2020-03-13,12.75,-1.522,7.949,-20.119,-26.172,-18.093
CZ,Overall,2020-03-14,15.96,20.569,5.349,-56.409,-25.701,-6.157
CZ,Overall,2020-03-15,13.048,37.304,4.362,-56.82,-31.387,-12.449
CZ,Overall,2020-03-16,-13.085,-20.049,15.113,-61.542,-50.377,-29.666
CZ,Overall,2020-03-17,-23.964,-16.577,18.288,-65.075,-55.989,-39.179
CZ,Overall,2020-03-18,-20.555,-1.398,18.678,-65.001,-55.101,-41.174
CZ,Overall,2020-03-19,-21.648,-11.033,19.923,-66.761,-58.258,-43.613
CZ,Overall,2020-03-20,-16.254,-26.136,21.941,-67.992,-59.519,-43.829
CZ,Overall,2020-03-21,-22.244,-62.361,15.126,-78.754,-65.821,-32.466
CZ,Overall,2020-03-22,-29.342,-38.814,12.433,-76.819,-64.646,-32.003
CZ,Overall,2020-03-23,-21.683,-27.304,20.78,-64.432,-60.112,-43.617
CZ,Overall,2020-03-24,-20.258,-16.698,21.081,-63.985,-58.769,-45.147
CZ,Overall,2020-03-25,-19.646,-14.965,21.035,-63.708,-57.618,-44.567
CZ,Overall,2020-03-26,-19.6,-23.997,21.804,-64.968,-59.88,-45.587
CZ,Overall,2020-03-27,-15.731,1.57,21.861,-64.191,-55.871,-44.768
CZ,Overall,2020-03-28,-18.658,18.402,10.53,-71.119,-48.733,-26.735
CZ,Overall,2020-03-29,-25.855,-23.938,10.864,-73.425,-60.891,-30.661
