state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
CZ,Central Bohemian Region,2020-02-16,8.403,27.929,-1.165,17.341,18.644,2.956
CZ,Central Bohemian Region,2020-02-17,4.087,9.921,0.675,6.847,3.906,-0.098
CZ,Central Bohemian Region,2020-02-18,5.847,15.253,0.394,9.368,6.519,0.643
CZ,Central Bohemian Region,2020-02-19,3.436,4.448,0.443,5.105,0.412,0.215
CZ,Central Bohemian Region,2020-02-20,4.538,13.418,0.174,5.438,5.475,0.201
CZ,Central Bohemian Region,2020-02-21,4.96,-2.101,0.132,5.831,3.245,-0.054
CZ,Central Bohemian Region,2020-02-22,6.42,37.835,-1.932,11.722,21.878,3.47
CZ,Central Bohemian Region,2020-02-23,4.303,-28.935,0.119,3.682,0.722,1.826
CZ,Central Bohemian Region,2020-02-24,3.935,5.723,0.645,5.691,2.467,-1.416
CZ,Central Bohemian Region,2020-02-25,8.675,3.72,0.737,5.45,2.944,-1.137
CZ,Central Bohemian Region,2020-02-26,9.91,11.862,0.421,4.964,0.412,-1.276
CZ,Central Bohemian Region,2020-02-27,14.346,16.243,0.342,4.072,1.437,-1.494
CZ,Central Bohemian Region,2020-02-28,6.213,0.6,0.815,0.555,-1.558,-1.535
CZ,Central Bohemian Region,2020-02-29,2.996,-4.55,-0.52,-2.43,-1.183,4.503
CZ,Central Bohemian Region,2020-03-01,6.252,39.251,-1.442,13.699,21.651,4.174
CZ,Central Bohemian Region,2020-03-02,2.928,25.946,0.766,2.982,1.302,-4.461
CZ,Central Bohemian Region,2020-03-03,-1.97,-12.277,1.946,-4.389,-10.234,-5.208
CZ,Central Bohemian Region,2020-03-04,0.767,24.095,0.661,2.708,-0.549,-4.922
CZ,Central Bohemian Region,2020-03-05,0.995,29.308,0.631,2.241,0.684,-4.533
CZ,Central Bohemian Region,2020-03-06,2.585,5.403,0.696,0.972,-2.466,-4.836
CZ,Central Bohemian Region,2020-03-07,7.309,-4.071,-0.114,-0.374,-3.055,3.322
CZ,Central Bohemian Region,2020-03-08,18.43,72.967,-1.419,23.874,27.666,5.826
CZ,Central Bohemian Region,2020-03-09,4.484,12.973,1.777,3.439,0.206,-3.484
CZ,Central Bohemian Region,2020-03-10,20.941,12.649,1.332,4.036,-0.28,-3.329
CZ,Central Bohemian Region,2020-03-11,9.788,-9.267,6.869,-3.751,-19.214,-17.767
CZ,Central Bohemian Region,2020-03-12,26.056,21.54,6.457,0.082,-10.745,-18.62
CZ,Central Bohemian Region,2020-03-13,14.515,15.01,9.155,-13.79,-19.406,-21.254
CZ,Central Bohemian Region,2020-03-14,23.276,87.883,5.612,-50.228,2.858,-4.282
CZ,Central Bohemian Region,2020-03-15,23.18,104.418,4.553,-46.56,7.458,-10.608
CZ,Central Bohemian Region,2020-03-16,-7.107,14.499,16.836,-54.016,-37.829,-33.621
CZ,Central Bohemian Region,2020-03-17,-18.495,14.509,20.339,-59.36,-41.639,-43.044
CZ,Central Bohemian Region,2020-03-18,-13.224,52.639,20.841,-57.767,-40.212,-44.832
CZ,Central Bohemian Region,2020-03-19,-14.668,37.782,22.977,-60.964,-43.186,-48.658
CZ,Central Bohemian Region,2020-03-20,-9.868,10.807,24.536,-64.046,-47.378,-48.684
CZ,Central Bohemian Region,2020-03-21,-16.922,-44.54,15.835,-80.001,-55.089,-32.483
CZ,Central Bohemian Region,2020-03-22,-24.316,0.252,12.354,-74.512,-42.581,-30.954
CZ,Central Bohemian Region,2020-03-23,-14.977,14.499,23.383,-57.576,-47.766,-49.006
CZ,Central Bohemian Region,2020-03-24,-15.635,29.018,23.873,-58.27,-46.125,-50.411
CZ,Central Bohemian Region,2020-03-25,-13.5,32.251,23.814,-57.485,-45.221,-49.606
CZ,Central Bohemian Region,2020-03-26,-13.877,15.184,24.505,-59.625,-46.677,-50.354
CZ,Central Bohemian Region,2020-03-27,-11.435,64.541,24.284,-58.238,-39.59,-49.701
CZ,Central Bohemian Region,2020-03-28,-11.72,125.239,11.67,-65.929,-15.866,-26.282
CZ,Central Bohemian Region,2020-03-29,-20.582,9.813,11.333,-70.157,-38.13,-30.433
CZ,Hradec Králové Region,2020-02-16,12.604,15.166,-1.176,6.132,6.031,2.274
CZ,Hradec Králové Region,2020-02-17,6.585,24.718,0.28,8.632,5.661,3.094
CZ,Hradec Králové Region,2020-02-18,9.362,33.504,0.536,8.98,6.785,2.326
CZ,Hradec Králové Region,2020-02-19,5.495,11.889,0.03,8.742,4.357,3.405
CZ,Hradec Králové Region,2020-02-20,5.415,36.946,-0.113,11.208,8.303,2.217
CZ,Hradec Králové Region,2020-02-21,7.035,17.141,-0.3,7.526,7.464,2.652
CZ,Hradec Králové Region,2020-02-22,12.143,33.723,-1.821,10.89,18.018,3.828
CZ,Hradec Králové Region,2020-02-23,6.354,-42.704,0.782,-8.472,2.741,-0.682
CZ,Hradec Králové Region,2020-02-24,3.173,14.124,-0.006,4.643,6.416,2.652
CZ,Hradec Králové Region,2020-02-25,8.688,-3.046,1.086,1.796,2.395,3.068
CZ,Hradec Králové Region,2020-02-26,9.293,11.322,-0.13,5.746,6.337,3.556
