state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
Colorado,Overall,2020-02-16,4.721,-6.933,-0.423,6.597,2.712,0.748
Colorado,Overall,2020-02-17,1.645,4.219,4.873,5.489,-4.472,-20.507
Colorado,Overall,2020-02-18,-3.866,-17.531,2.753,-4.58,0.817,-4.138
Colorado,Overall,2020-02-19,-3.656,-20.993,1.62,-5.549,-1.63,0.206
Colorado,Overall,2020-02-20,1.675,-4.546,0.408,1.963,0.406,-0.116
Colorado,Overall,2020-02-21,2.84,3.851,-1.019,2.774,2.798,2.83
Colorado,Overall,2020-02-22,6.619,3.679,-0.761,3.144,4.975,3.801
Colorado,Overall,2020-02-23,-2.356,-37.245,2.004,-4.289,-2.539,-1.18
Colorado,Overall,2020-02-24,0.429,-6.667,-0.367,-0.172,2.567,8.487
Colorado,Overall,2020-02-25,-3.81,-24.827,1.488,-2.802,-2.368,1.966
Colorado,Overall,2020-02-26,4.862,1.743,-0.816,6.608,3.421,2.294
Colorado,Overall,2020-02-27,6.338,13.999,-0.991,6.964,2.223,2.219
Colorado,Overall,2020-02-28,7.313,23.781,-1.84,6.924,4.338,2.948
Colorado,Overall,2020-02-29,7.543,4.795,-1.338,5.122,4.142,3.605
Colorado,Overall,2020-03-01,9.077,-13.866,-0.277,7.617,1.578,2.512
Colorado,Overall,2020-03-02,4.761,0.464,0.02,3.059,0.301,7.055
Colorado,Overall,2020-03-03,11.477,17.345,-1.216,8.925,3.348,3.632
Colorado,Overall,2020-03-04,8.431,25.022,-1.047,7.534,1.791,2.463
Colorado,Overall,2020-03-05,9.831,33.469,-1.139,7.615,0.271,1.981
Colorado,Overall,2020-03-06,9.826,39.287,-1.177,5.804,1.314,1.961
Colorado,Overall,2020-03-07,12.651,48.947,-1.521,5.512,3.512,3.241
Colorado,Overall,2020-03-08,12.421,37.486,-0.447,8.368,1.159,1.671
Colorado,Overall,2020-03-09,10.611,45.569,-1.017,6.41,1.223,7.927
Colorado,Overall,2020-03-10,11.405,32.085,-0.271,5.613,-1.735,1.921
Colorado,Overall,2020-03-11,14.309,47.952,-0.577,7.259,-1.489,0.687
Colorado,Overall,2020-03-12,26.916,22.487,0.513,6.234,-8.332,-1.621
Colorado,Overall,2020-03-13,26.609,-22.261,5.291,-5.829,-17.051,-8.449
Colorado,Overall,2020-03-14,18.403,-17.044,4.677,-13.86,-15.352,-3.848
Colorado,Overall,2020-03-15,12.268,16.016,4.304,-14.106,-18.122,-9.629
Colorado,Overall,2020-03-16,22.398,44.092,7.445,-7.325,-22.941,-21.413
Colorado,Overall,2020-03-17,13.61,14.516,12.836,-24.24,-28.972,-33.701
Colorado,Overall,2020-03-18,9.542,50.121,13.533,-25.571,-31.933,-37.752
Colorado,Overall,2020-03-19,-12.241,-51.571,21.757,-45.891,-56.781,-46.695
Colorado,Overall,2020-03-20,-3.727,-43.171,21.307,-41.684,-48.128,-46.068
Colorado,Overall,2020-03-21,-5.0,-25.898,13.105,-43.539,-43.602,-29.253
Colorado,Overall,2020-03-22,-9.741,10.426,10.122,-41.029,-47.289,-32.557
Colorado,Overall,2020-03-23,-3.95,18.523,15.619,-31.498,-47.345,-40.886
Colorado,Overall,2020-03-24,-7.931,36.44,18.015,-35.092,-46.653,-47.114
Colorado,Overall,2020-03-25,-7.588,32.458,18.84,-35.236,-49.781,-49.506
Colorado,Overall,2020-03-26,-23.858,3.701,22.274,-50.003,-56.665,-53.501
Colorado,Overall,2020-03-27,-26.488,-41.651,24.614,-52.677,-60.466,-52.787
Colorado,Overall,2020-03-28,-27.823,-39.025,17.25,-55.614,-58.796,-39.901
Colorado,Overall,2020-03-29,-27.523,-12.146,13.118,-51.056,-59.641,-40.375
