state,county,category,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29
Connecticut,Fairfield County,grocery/pharmacy,-6.372,2.025,-4.169,0.895,-0.891,-4.998,-1.425,-0.334,-0.546,-2.593,1.624,-1.089,-0.799,0.028,4.673,5.592,7.977,9.648,7.787,1.804,6.924,3.277,5.721,8.01,12.897,35.833,27.003,13.306,1.851,20.698,8.601,3.746,0.396,7.453,-0.484,-17.174,-29.73,-17.531,-21.649,-17.752,-18.367,-24.361,-36.775
Connecticut,Fairfield County,parks,-0.593,54.784,-12.342,20.978,7.091,-1.31,77.666,74.518,45.782,2.715,-1.447,11.982,4.149,21.253,9.883,38.066,19.5,28.694,36.678,1.092,48.804,69.774,109.825,30.115,35.446,6.847,25.769,115.187,73.332,12.088,1.728,51.119,5.624,33.63,92.097,16.01,-58.385,22.956,-26.042,54.284,54.813,-13.906,-62.46
Connecticut,Fairfield County,residential,-0.243,8.456,2.455,-0.326,0.349,0.838,-1.552,-0.815,-0.602,-0.007,-0.233,-0.05,-0.346,-1.372,-0.595,-0.635,-0.555,-0.807,-0.818,0.98,-0.772,0.325,-0.059,0.885,1.538,3.865,9.981,4.466,6.253,12.308,17.389,17.145,21.172,21.565,13.313,13.727,26.02,24.182,26.116,25.193,26.236,18.313,17.967
Connecticut,Fairfield County,retail/recreation,-0.812,10.956,-2.294,1.142,0.785,-1.032,5.012,4.037,2.159,-1.105,2.685,1.342,1.235,4.957,4.951,3.956,3.519,5.193,5.415,0.154,6.743,4.195,5.528,3.254,3.945,0.796,-9.685,-14.606,-20.288,-12.391,-29.062,-30.44,-36.607,-36.87,-45.268,-50.826,-53.506,-46.367,-50.776,-46.583,-47.646,-57.396,-64.02
Connecticut,Fairfield County,transitstations,3.244,-9.71,-1.052,2.534,3.247,3.334,10.328,18.623,-1.022,-0.877,0.961,0.598,3.171,6.552,10.453,-0.256,0.351,-1.573,1.025,0.569,1.444,8.41,-5.025,-8.067,-11.885,-17.603,-24.639,-19.656,-26.192,-37.135,-41.824,-43.781,-50.93,-52.043,-48.863,-58.992,-66.861,-60.589,-63.968,-61.782,-63.834,-66.076,-74.851
Connecticut,Fairfield County,workplace,-0.587,-38.663,-6.071,-0.591,0.449,0.314,4.674,1.585,3.524,2.362,0.41,2.21,2.98,2.207,2.171,3.319,2.428,1.001,2.393,1.237,3.332,0.176,0.992,-0.499,-4.07,-8.775,-20.112,-3.981,-10.739,-30.468,-38.853,-41.096,-44.056,-44.093,-29.082,-34.977,-54.47,-55.651,-57.622,-56.737,-54.846,-41.416,-45.951
Connecticut,Hartford County,grocery/pharmacy,-6.929,-3.12,-7.589,-0.715,-1.556,-5.239,-3.579,-1.46,1.736,-1.206,2.336,1.256,-1.328,-1.789,3.106,6.944,11.206,9.73,9.693,2.462,3.979,3.212,8.301,10.521,14.484,37.953,33.918,15.941,4.539,25.146,8.082,9.4,4.014,14.243,0.871,-15.556,-24.767,-17.37,-18.909,-14.69,-14.991,-21.168,-32.652
Connecticut,Hartford County,parks,-9.549,26.882,-17.361,10.417,0.725,0.675,90.339,84.852,60.225,9.047,2.422,-0.967,-2.475,29.499,-13.021,32.827,26.164,26.163,29.727,2.25,55.002,70.747,118.124,34.722,32.219,10.634,0.9,102.016,63.368,20.161,-12.226,50.63,-26.585,7.199,124.754,34.939,-48.335,10.025,-22.771,62.113,67.27,49.471,-49.696
Connecticut,Hartford County,residential,-0.391,6.126,3.536,0.161,0.126,0.488,-1.462,-1.227,-0.736,0.073,-0.465,-0.185,-0.419,-1.669,-1.15,-0.916,-0.942,-0.556,-1.188,0.099,-1.326,-0.888,-1.05,0.236,0.162,0.836,5.065,3.3,4.117,9.347,14.257,14.659,17.775,18.679,11.371,10.412,20.849,21.791,22.776,21.661,22.883,14.94,13.897
Connecticut,Hartford County,retail/recreation,6.89,9.216,-1.57,2.334,0.623,-0.042,10.574,8.403,4.033,2.79,7.866,4.296,5.098,11.074,15.364,9.226,7.688,8.157,7.471,0.944,10.657,8.643,7.737,4.405,5.902,5.963,-4.182,-8.448,-13.922,-9.207,-29.8,-28.436,-36.328,-35.419,-41.649,-46.208,-51.075,-47.643,-49.877,-45.231,-45.992,-51.799,-57.967
Connecticut,Hartford County,transitstations,1.663,-5.271,-0.778,4.797,1.989,0.949,8.426,11.878,6.024,2.42,3.512,3.232,5.537,7.267,8.789,3.096,5.705,5.14,3.232,0.712,7.057,7.127,0.251,1.642,-2.142,-6.381,-15.186,-9.058,-18.292,-25.435,-30.861,-29.64,-44.086,-41.92,-37.285,-47.629,-55.639,-49.447,-53.454,-52.456,-52.36,-53.821,-63.189
Connecticut,Hartford County,workplace,0.733,-28.253,-9.125,1.106,2.356,1.522,1.735,3.078,3.488,2.819,1.386,2.302,1.804,2.452,3.176,3.669,3.514,1.906,3.561,2.212,2.565,2.443,2.288,1.907,0.267,-0.284,-8.638,-2.565,-6.547,-24.095,-31.612,-35.335,-37.38,-38.781,-25.957,-27.459,-46.251,-49.237,-51.024,-50.499,-49.8,-35.087,-36.693
Connecticut,New Haven County,grocery/pharmacy,-2.775,2.408,-4.525,-3.177,-2.355,-4.752,0.208,2.203,2.559,-0.863,1.0,1.825,2.336,3.934,11.072,13.518,11.7,7.825,8.006,0.998,8.311,5.379,9.965,9.765,12.767,36.115,28.956,16.493,5.836,28.239,8.365,5.236,2.355,12.023,2.267,-12.731,-23.784,-14.468,-20.798,-14.069,-17.011,-20.818,-32.1
Connecticut,New Haven County,parks,-2.958,17.278,-14.7,11.381,2.858,-4.281,58.571,59.946,32.895,2.213,2.845,2.541,3.567,22.167,4.204,24.92,13.91,17.704,26.2,2.711,43.433,52.317,73.764,17.862,24.975,8.892,2.711,73.169,48.891,4.153,-16.597,21.339,-22.072,-0.428,69.204,18.529,-51.668,6.165,-31.772,30.647,32.82,3.965,-53.874
Connecticut,New Haven County,residential,-0.189,5.947,2.687,0.228,0.576,1.041,-1.845,-1.154,-0.715,0.009,-0.574,-0.242,-0.55,-1.88,-1.143,-0.987,-0.784,-0.842,-1.067,0.705,-1.44,-0.426,-0.876,0.259,0.345,1.294,7.079,3.029,4.361,8.759,13.881,13.724,17.232,18.042,11.206,10.962,20.383,20.397,21.888,20.814,22.426,14.982,14.743
Connecticut,New Haven County,retail/recreation,4.154,10.465,-0.241,1.936,3.319,-0.24,8.783,7.728,1.503,1.426,5.796,5.917,4.745,11.868,12.474,7.798,9.897,8.662,9.329,2.609,11.628,9.042,9.019,5.486,6.085,8.34,-4.222,-7.157,-12.84,-6.645,-25.521,-26.36,-32.162,-31.201,-38.83,-44.385,-49.071,-42.121,-46.87,-40.626,-42.528,-50.607,-58.101
Connecticut,New Haven County,transitstations,6.268,10.759,2.475,5.641,2.82,2.229,15.672,15.614,4.761,2.475,4.085,5.923,3.384,8.463,15.386,7.236,15.645,11.671,11.752,8.667,19.329,17.209,12.664,11.09,5.447,-4.701,-15.27,-6.896,-16.525,-15.52,-22.18,-23.537,-33.093,-35.905,-33.434,-45.815,-46.942,-36.538,-44.351,-40.426,-46.471,-54.539,-64.62
Connecticut,New Haven County,workplace,-1.086,-27.719,-7.941,-1.247,0.482,-0.583,3.771,2.792,3.944,1.81,1.737,3.615,2.756,2.819,2.792,3.509,2.572,1.856,3.314,0.157,2.302,1.241,1.258,-0.404,-1.44,-2.034,-14.739,-3.533,-7.444,-23.184,-31.347,-33.752,-36.048,-37.021,-24.652,-28.484,-44.63,-47.694,-48.675,-48.054,-47.729,-34.974,-37.996
Connecticut,New London County,grocery/pharmacy,-2.546,-0.112,-3.36,-1.001,-0.44,-1.661,0.201,5.093,1.124,1.008,2.779,1.982,2.443,0.602,8.565,7.079,10.081,6.226,7.598,4.104,5.113,7.523,11.686,10.865,11.117,26.757,42.409,26.969,14.468,36.071,10.193,8.56,3.083,14.364,2.506,-12.153,-18.878,-17.361,-15.897,-12.223,-12.606,-17.645,-29.398
Connecticut,New London County,parks,-4.098,31.075,-15.166,10.579,0.804,-3.604,56.497,43.033,37.64,3.193,6.104,0.804,-1.442,28.69,-3.074,27.574,20.754,19.124,22.523,2.884,40.166,37.91,77.906,17.162,26.855,12.468,1.802,85.187,44.399,21.446,-11.175,52.49,-7.642,14.778,98.429,28.689,-32.826,31.13,-11.393,64.752,69.204,44.138,-47.131
Connecticut,New London County,residential,-0.681,6.051,2.646,-0.485,0.191,0.327,-1.14,-1.04,0.033,-0.236,-0.78,-0.362,-0.443,-1.299,-1.13,-0.458,-1.117,-0.858,-1.029,-0.02,-0.986,-0.693,-0.912,-0.327,-0.409,0.227,4.738,3.528,4.413,8.002,12.936,13.427,16.907,18.233,12.647,11.659,19.659,19.537,21.057,19.84,21.699,15.886,15.35
Connecticut,New London County,retail/recreation,15.233,16.177,2.761,6.206,3.531,2.753,11.463,12.25,5.075,3.006,3.784,,-4.668,-1.32,2.898,0.603,1.595,2.664,1.505,-4.525,-0.046,3.758,5.646,1.043,6.357,5.528,-2.298,-8.8,-11.992,-6.407,-29.968,-29.909,-37.047,-35.385,-44.302,-46.417,-46.723,-45.305,-48.163,-43.907,-44.698,-52.5,-58.839
Connecticut,New London County,transitstations,0.755,14.346,13.758,3.317,2.556,6.261,8.17,14.342,6.861,3.276,0.663,-7.669,3.415,0.681,1.51,-0.624,0.655,2.654,7.669,0.569,1.362,4.529,-0.624,1.965,-1.327,-10.225,-16.507,-18.382,-24.909,-19.336,-31.447,-29.193,-38.983,-29.599,-42.892,-53.593,-46.158,-38.653,-37.818,-43.456,-43.26,-57.19,-69.444
Connecticut,New London County,workplace,-3.448,-28.097,-9.691,1.432,0.755,2.535,2.518,-0.718,3.487,3.799,3.34,2.548,4.622,4.006,7.04,5.579,6.039,4.724,2.878,3.926,4.235,3.017,4.982,4.821,2.004,-0.613,-8.995,-3.892,-10.776,-19.08,-27.612,-31.875,-35.713,-36.031,-32.509,-35.776,-40.75,-44.511,-46.667,-46.139,-45.324,-40.865,-42.529
