state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
DE,Baden-Württemberg,2020-02-16,44.643,66.413,-1.746,24.305,20.874,0.609
DE,Baden-Württemberg,2020-02-17,-0.765,-11.965,0.581,-0.137,-0.17,-0.752
DE,Baden-Württemberg,2020-02-18,3.336,16.302,0.653,3.843,1.561,0.252
DE,Baden-Württemberg,2020-02-19,-0.338,3.025,0.472,2.073,-1.603,-0.913
DE,Baden-Württemberg,2020-02-20,0.149,18.723,0.062,6.544,4.724,-4.501
DE,Baden-Württemberg,2020-02-21,1.246,16.181,2.049,1.32,-2.024,-11.707
DE,Baden-Württemberg,2020-02-22,-2.298,59.859,-1.12,1.678,15.571,-2.83
DE,Baden-Württemberg,2020-02-23,37.253,5.676,-0.801,9.354,11.615,
DE,Baden-Württemberg,2020-02-24,-1.349,45.316,3.717,11.414,-7.073,-26.685
DE,Baden-Württemberg,2020-02-25,-5.707,18.258,5.436,-1.341,-13.266,-24.206
DE,Baden-Württemberg,2020-02-26,-2.639,-7.638,4.027,-4.775,-17.902,-18.605
DE,Baden-Württemberg,2020-02-27,-1.769,-22.629,4.465,-9.988,-18.341,-17.416
DE,Baden-Württemberg,2020-02-28,10.059,7.992,3.365,0.276,-11.461,-17.922
DE,Baden-Württemberg,2020-02-29,3.168,3.004,0.795,-5.081,-3.919,-3.918
DE,Baden-Württemberg,2020-03-01,20.612,41.767,-0.243,9.416,5.731,-1.234
DE,Baden-Württemberg,2020-03-02,8.325,-1.624,0.741,0.312,-3.294,-1.184
DE,Baden-Württemberg,2020-03-03,5.507,9.509,1.503,-0.901,-5.083,-0.664
DE,Baden-Württemberg,2020-03-04,1.418,11.893,1.222,-0.3,-5.175,-1.447
DE,Baden-Württemberg,2020-03-05,-3.075,-24.919,2.259,-9.445,-10.734,-1.72
DE,Baden-Württemberg,2020-03-06,-0.47,-22.313,2.699,-7.206,-9.408,-2.849
DE,Baden-Württemberg,2020-03-07,-0.568,6.801,1.345,-0.682,-6.108,-0.203
DE,Baden-Württemberg,2020-03-08,26.142,56.316,-0.504,18.109,4.47,0.531
DE,Baden-Württemberg,2020-03-09,1.973,5.089,1.211,1.273,-4.273,-1.962
DE,Baden-Württemberg,2020-03-10,-2.51,-17.877,3.317,-9.833,-11.428,-2.368
DE,Baden-Württemberg,2020-03-11,2.185,21.325,1.973,-2.734,-7.462,-2.625
DE,Baden-Württemberg,2020-03-12,5.451,-7.094,2.97,-9.472,-12.708,-3.752
DE,Baden-Württemberg,2020-03-13,21.312,8.308,3.878,-9.79,-14.255,-6.162
DE,Baden-Württemberg,2020-03-14,7.551,10.169,5.039,-22.754,-26.209,-5.052
DE,Baden-Württemberg,2020-03-15,23.327,115.424,2.404,-7.74,-11.692,-7.374
DE,Baden-Württemberg,2020-03-16,22.843,50.892,5.753,-7.531,-21.528,-13.623
DE,Baden-Württemberg,2020-03-17,10.708,37.928,11.881,-25.884,-39.621,-28.309
DE,Baden-Württemberg,2020-03-18,3.942,56.389,12.708,-37.436,-42.825,-32.411
DE,Baden-Württemberg,2020-03-19,-3.374,28.376,14.944,-47.626,-48.908,-36.015
DE,Baden-Württemberg,2020-03-20,-2.219,2.809,16.922,-52.79,-53.291,-38.506
DE,Baden-Württemberg,2020-03-21,-30.868,-66.924,16.035,-76.665,-69.537,-35.352
DE,Baden-Württemberg,2020-03-22,-32.477,-6.836,11.041,-76.717,-62.457,-40.679
DE,Baden-Württemberg,2020-03-23,-18.711,-9.529,18.288,-58.788,-60.117,-43.405
DE,Baden-Württemberg,2020-03-24,-20.865,5.325,20.144,-62.213,-60.093,-45.102
DE,Baden-Württemberg,2020-03-25,-22.252,1.845,19.861,-62.276,-61.061,-46.146
DE,Baden-Württemberg,2020-03-26,-19.597,-13.56,20.651,-63.178,-62.185,-46.842
DE,Baden-Württemberg,2020-03-27,-16.775,12.976,20.63,-61.904,-60.084,-47.142
