state,county,category,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29
DE,Baden-Württemberg,grocery/pharmacy,44.643,-0.765,3.336,-0.338,0.149,1.246,-2.298,37.253,-1.349,-5.707,-2.639,-1.769,10.059,3.168,20.612,8.325,5.507,1.418,-3.075,-0.47,-0.568,26.142,1.973,-2.51,2.185,5.451,21.312,7.551,23.327,22.843,10.708,3.942,-3.374,-2.219,-30.868,-32.477,-18.711,-20.865,-22.252,-19.597,-16.775,-25.665,-51.178
DE,Baden-Württemberg,parks,66.413,-11.965,16.302,3.025,18.723,16.181,59.859,5.676,45.316,18.258,-7.638,-22.629,7.992,3.004,41.767,-1.624,9.509,11.893,-24.919,-22.313,6.801,56.316,5.089,-17.877,21.325,-7.094,8.308,10.169,115.424,50.892,37.928,56.389,28.376,2.809,-66.924,-6.836,-9.529,5.325,1.845,-13.56,12.976,37.474,-57.571
DE,Baden-Württemberg,residential,-1.746,0.581,0.653,0.472,0.062,2.049,-1.12,-0.801,3.717,5.436,4.027,4.465,3.365,0.795,-0.243,0.741,1.503,1.222,2.259,2.699,1.345,-0.504,1.211,3.317,1.973,2.97,3.878,5.039,2.404,5.753,11.881,12.708,14.944,16.922,16.035,11.041,18.288,20.144,19.861,20.651,20.63,12.908,12.17
DE,Baden-Württemberg,retail/recreation,24.305,-0.137,3.843,2.073,6.544,1.32,1.678,9.354,11.414,-1.341,-4.775,-9.988,0.276,-5.081,9.416,0.312,-0.901,-0.3,-9.445,-7.206,-0.682,18.109,1.273,-9.833,-2.734,-9.472,-9.79,-22.754,-7.74,-7.531,-25.884,-37.436,-47.626,-52.79,-76.665,-76.717,-58.788,-62.213,-62.276,-63.178,-61.904,-68.523,-82.398
DE,Baden-Württemberg,transitstations,20.874,-0.17,1.561,-1.603,4.724,-2.024,15.571,11.615,-7.073,-13.266,-17.902,-18.341,-11.461,-3.919,5.731,-3.294,-5.083,-5.175,-10.734,-9.408,-6.108,4.47,-4.273,-11.428,-7.462,-12.708,-14.255,-26.209,-11.692,-21.528,-39.621,-42.825,-48.908,-53.291,-69.537,-62.457,-60.117,-60.093,-61.061,-62.185,-60.084,-55.677,-74.021
DE,Baden-Württemberg,workplace,0.609,-0.752,0.252,-0.913,-4.501,-11.707,-2.83,,-26.685,-24.206,-18.605,-17.416,-17.922,-3.918,-1.234,-1.184,-0.664,-1.447,-1.72,-2.849,-0.203,0.531,-1.962,-2.368,-2.625,-3.752,-6.162,-5.052,-7.374,-13.623,-28.309,-32.411,-36.015,-38.506,-35.352,-40.679,-43.405,-45.102,-46.146,-46.842,-47.142,-36.265,-44.944
DE,Bavaria,grocery/pharmacy,33.621,1.992,3.264,-1.583,0.796,1.712,1.243,38.027,1.666,-4.763,-4.007,0.143,4.888,4.201,28.025,10.092,5.127,2.063,-0.021,1.312,0.357,40.979,3.291,-2.491,2.851,6.323,22.724,8.917,31.77,25.655,6.563,-2.187,-6.379,4.178,-44.645,-49.748,-21.236,-24.147,-24.027,-21.808,-17.935,-24.315,-51.555
DE,Bavaria,parks,34.217,10.45,25.913,0.858,11.515,13.549,52.479,0.475,23.081,35.656,-1.108,-8.963,-4.927,3.209,29.92,10.638,5.127,7.507,-14.379,-14.137,-11.928,49.415,-0.414,-14.081,11.296,5.073,-2.296,3.464,78.046,40.11,11.714,42.253,16.402,-3.023,-75.474,-37.112,-24.698,-9.151,-19.983,-34.639,-3.359,5.743,-52.309
DE,Bavaria,residential,-1.067,0.295,0.531,0.456,-0.368,0.247,-1.368,-0.497,3.995,6.078,3.508,3.304,3.479,0.12,-0.661,0.111,1.327,0.811,1.192,1.709,1.297,-0.851,1.322,2.936,1.944,2.246,3.597,4.436,1.742,7.326,11.687,12.946,14.907,15.868,18.112,13.013,19.538,21.138,21.018,21.802,21.742,14.334,12.761
DE,Bavaria,retail/recreation,14.863,1.098,3.642,0.945,3.772,1.285,3.185,7.469,9.264,2.003,-3.536,-3.906,-4.333,-1.758,11.929,1.436,-2.202,-1.837,-5.771,-6.67,-2.728,21.095,-3.035,-9.266,-4.156,-6.672,-12.63,-19.916,-2.851,-3.909,-24.824,-43.77,-49.949,-50.762,-88.511,-83.92,-69.282,-70.159,-70.794,-71.468,-71.233,-77.623,-82.849
