state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
Delaware,Overall,2020-02-16,1.65,21.162,-0.906,6.253,3.674,1.654
Delaware,Overall,2020-02-17,2.32,35.338,4.499,11.719,5.747,-22.857
Delaware,Overall,2020-02-18,0.231,32.211,-0.577,3.87,7.006,2.992
Delaware,Overall,2020-02-19,-0.162,6.918,-0.352,1.95,5.499,2.097
Delaware,Overall,2020-02-20,0.773,-2.539,-0.247,2.672,5.772,2.362
Delaware,Overall,2020-02-21,-1.837,-11.479,0.275,1.327,1.171,2.372
Delaware,Overall,2020-02-22,3.994,60.15,-1.144,7.915,16.4,4.959
Delaware,Overall,2020-02-23,5.488,60.012,-1.156,5.824,11.023,1.654
Delaware,Overall,2020-02-24,0.621,19.51,-0.754,2.224,2.652,3.601
Delaware,Overall,2020-02-25,-2.975,-10.09,0.757,1.274,-3.616,2.446
Delaware,Overall,2020-02-26,2.4,,-0.746,6.824,3.208,2.236
Delaware,Overall,2020-02-27,2.803,-2.177,-0.43,6.328,1.776,1.777
Delaware,Overall,2020-02-28,2.769,-2.87,-0.866,6.7,1.366,2.52
Delaware,Overall,2020-02-29,3.965,8.966,-1.408,11.594,10.07,6.215
Delaware,Overall,2020-03-01,6.599,6.949,-1.191,11.939,1.225,3.458
Delaware,Overall,2020-03-02,4.215,32.761,-1.336,9.528,3.978,3.895
Delaware,Overall,2020-03-03,6.181,17.852,-1.115,10.826,4.52,3.134
Delaware,Overall,2020-03-04,4.411,37.137,-1.22,10.33,7.103,1.305
Delaware,Overall,2020-03-05,5.283,27.208,-1.153,9.43,8.436,1.964
Delaware,Overall,2020-03-06,-2.714,-17.857,1.317,0.809,-1.366,1.136
Delaware,Overall,2020-03-07,6.818,38.854,-1.237,11.718,14.673,5.838
Delaware,Overall,2020-03-08,8.181,71.382,-1.488,9.563,14.391,1.954
Delaware,Overall,2020-03-09,5.098,83.192,-1.23,10.374,3.757,1.739
Delaware,Overall,2020-03-10,5.785,27.942,-0.27,8.491,2.26,1.306
Delaware,Overall,2020-03-11,6.617,24.03,-0.272,6.572,1.146,0.606
Delaware,Overall,2020-03-12,18.427,16.688,0.48,9.185,0.222,-1.824
Delaware,Overall,2020-03-13,18.342,34.438,2.759,5.588,-8.978,-4.99
Delaware,Overall,2020-03-14,10.954,83.687,2.254,-0.728,-2.877,0.251
Delaware,Overall,2020-03-15,5.858,38.534,3.501,-6.774,-16.228,-8.344
Delaware,Overall,2020-03-16,15.163,8.835,7.001,-0.249,-15.472,-19.28
Delaware,Overall,2020-03-17,4.066,36.092,10.611,-17.406,-21.245,-26.545
Delaware,Overall,2020-03-18,0.714,38.958,11.95,-22.767,-24.057,-30.471
Delaware,Overall,2020-03-19,-0.29,13.423,14.25,-25.68,-39.295,-32.993
Delaware,Overall,2020-03-20,0.685,75.253,14.647,-25.044,-36.888,-34.511
Delaware,Overall,2020-03-21,-6.789,55.667,10.555,-33.844,-37.691,-20.841
Delaware,Overall,2020-03-22,-13.197,-4.738,9.771,-38.346,-52.665,-29.09
Delaware,Overall,2020-03-23,-9.444,-46.381,16.704,-30.824,-49.952,-39.491
Delaware,Overall,2020-03-24,-21.717,23.673,18.345,-42.307,-46.107,-43.759
Delaware,Overall,2020-03-25,-28.802,-44.419,21.292,-47.547,-50.406,-46.452
Delaware,Overall,2020-03-26,-18.427,51.514,18.462,-37.645,-40.627,-44.918
Delaware,Overall,2020-03-27,-22.098,28.698,20.155,-39.962,-48.404,-44.269
Delaware,Overall,2020-03-28,-31.92,-44.832,15.609,-50.624,-54.954,-34.024
Delaware,Overall,2020-03-29,-28.415,-6.317,11.878,-47.526,-57.564,-36.607
Delaware,Sussex County,2020-02-16,-1.082,55.866,-0.457,18.362,16.026,5.957
Delaware,Sussex County,2020-02-17,2.761,49.422,2.934,15.797,18.46,-12.485
Delaware,Sussex County,2020-02-18,1.4,52.083,-0.727,6.913,10.965,3.872
Delaware,Sussex County,2020-02-19,-4.18,14.648,0.051,2.51,-1.389,3.151
Delaware,Sussex County,2020-02-20,-0.135,-5.362,0.079,3.963,2.741,2.659
Delaware,Sussex County,2020-02-21,-4.799,-15.068,0.532,1.085,-6.793,3.067
Delaware,Sussex County,2020-02-22,2.099,54.702,-0.974,12.592,2.637,5.369
Delaware,Sussex County,2020-02-23,1.759,59.939,-0.925,10.266,14.423,3.745
Delaware,Sussex County,2020-02-24,1.01,20.529,0.243,1.784,6.593,5.698
Delaware,Sussex County,2020-02-25,-5.67,-15.462,1.717,1.771,-1.371,1.106
Delaware,Sussex County,2020-02-26,-0.206,-0.814,-0.533,9.503,1.389,3.454
Delaware,Sussex County,2020-02-27,2.506,-5.362,-0.272,5.14,1.371,2.175
Delaware,Sussex County,2020-02-28,1.931,4.586,-0.703,7.402,-1.132,4.945
Delaware,Sussex County,2020-02-29,2.593,-1.164,-1.532,14.827,-1.319,7.786
Delaware,Sussex County,2020-03-01,3.72,5.819,-0.934,12.551,1.603,4.766
Delaware,Sussex County,2020-03-02,2.02,29.653,-0.477,8.111,9.23,5.442
Delaware,Sussex County,2020-03-03,7.63,31.738,-1.168,13.955,10.965,3.872
Delaware,Sussex County,2020-03-04,3.906,52.897,-1.183,14.234,11.111,2.969
Delaware,Sussex County,2020-03-05,5.825,25.276,-1.101,10.279,13.706,3.263
Delaware,Sussex County,2020-03-06,-4.038,-24.24,2.0,0.83,-3.397,3.067
Delaware,Sussex County,2020-03-07,6.422,25.023,-1.168,16.244,,5.638
Delaware,Sussex County,2020-03-08,5.208,85.545,-1.109,14.178,28.846,4.085
Delaware,Sussex County,2020-03-09,4.848,96.563,-0.775,11.89,19.778,5.314
Delaware,Sussex County,2020-03-10,8.191,30.111,-0.282,13.307,12.336,2.95
Delaware,Sussex County,2020-03-11,6.442,38.249,-0.439,8.228,6.944,3.151
Delaware,Sussex County,2020-03-12,20.251,23.744,-0.179,12.359,4.112,0.785
Delaware,Sussex County,2020-03-13,24.696,68.134,1.563,13.24,4.529,-1.064
Delaware,Sussex County,2020-03-14,20.376,89.036,0.946,14.166,2.637,2.55
Delaware,Sussex County,2020-03-15,14.61,22.114,3.121,2.402,-6.41,-6.468
Delaware,Sussex County,2020-03-16,29.695,9.124,4.381,7.856,1.319,-9.668
Delaware,Sussex County,2020-03-17,17.011,73.242,6.557,-13.566,-6.853,-16.163
Delaware,Sussex County,2020-03-18,11.582,53.711,8.089,-20.035,-8.333,-18.967
Delaware,Sussex County,2020-03-19,12.462,45.956,9.782,-23.07,-15.077,-22.054
Delaware,Sussex County,2020-03-20,12.465,150.681,9.92,-22.269,-15.851,-23.788
Delaware,Sussex County,2020-03-21,4.816,-6.401,9.935,-35.226,-32.964,-16.511
Delaware,Sussex County,2020-03-22,-5.208,-19.204,9.237,-38.932,-32.051,-29.105
Delaware,Sussex County,2020-03-23,-5.319,-44.86,14.252,-33.08,-36.92,-29.003
Delaware,Sussex County,2020-03-24,-12.601,6.51,14.336,-40.699,-39.748,-32.571
Delaware,Sussex County,2020-03-25,-26.727,-52.083,18.292,-49.903,-43.056,-37.752
Delaware,Sussex County,2020-03-26,-11.04,35.233,14.057,-37.704,-26.042,-34.259
Delaware,Sussex County,2020-03-27,-17.322,12.448,15.748,-40.678,-40.761,-34.054
Delaware,Sussex County,2020-03-28,-24.328,-46.555,14.513,-49.99,-52.743,-32.485
Delaware,Sussex County,2020-03-29,-23.742,-5.237,11.402,-47.764,-41.667,-37.956
