state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
District of Columbia,Overall,2020-02-16,-0.616,37.316,-1.275,6.428,2.93,-0.375
District of Columbia,Overall,2020-02-17,-11.754,20.622,11.336,-9.544,-39.368,-51.625
District of Columbia,Overall,2020-02-18,-2.254,13.375,1.096,-4.613,-2.808,-5.363
District of Columbia,Overall,2020-02-19,-3.228,6.525,1.341,-2.418,-3.075,-5.067
District of Columbia,Overall,2020-02-20,-5.915,10.013,1.786,0.774,-1.393,-5.381
District of Columbia,Overall,2020-02-21,-11.024,7.425,1.93,-2.975,-2.812,-4.806
District of Columbia,Overall,2020-02-22,3.7,24.539,-1.379,0.341,5.17,2.151
District of Columbia,Overall,2020-02-23,1.539,25.124,-1.193,3.036,6.738,2.871
District of Columbia,Overall,2020-02-24,-6.975,11.024,0.599,-1.781,1.825,4.835
District of Columbia,Overall,2020-02-25,-5.804,9.044,0.025,2.97,5.388,2.328
District of Columbia,Overall,2020-02-26,-2.505,-6.881,-0.298,3.009,6.086,0.931
District of Columbia,Overall,2020-02-27,-5.696,-4.762,-0.233,4.551,5.865,0.382
District of Columbia,Overall,2020-02-28,-3.439,-4.612,-0.567,2.627,2.846,1.097
District of Columbia,Overall,2020-02-29,-1.514,-9.008,-1.012,-6.031,-5.17,0.968
District of Columbia,Overall,2020-03-01,1.97,-0.123,-1.67,1.549,2.124,1.623
District of Columbia,Overall,2020-03-02,-1.758,-1.167,0.079,-0.26,4.064,4.91
District of Columbia,Overall,2020-03-03,3.437,2.038,-1.335,8.335,2.972,2.964
District of Columbia,Overall,2020-03-04,4.508,8.186,-1.199,13.825,5.341,0.931
District of Columbia,Overall,2020-03-05,0.767,6.471,-0.381,7.72,3.37,0.66
District of Columbia,Overall,2020-03-06,-1.871,-5.737,0.668,2.041,0.712,-0.076
District of Columbia,Overall,2020-03-07,2.971,8.387,-1.074,1.225,2.793,0.323
District of Columbia,Overall,2020-03-08,5.234,32.636,-1.241,11.432,9.375,1.124
District of Columbia,Overall,2020-03-09,4.943,30.997,0.788,6.083,-0.103,0.855
District of Columbia,Overall,2020-03-10,2.648,12.993,0.426,4.811,-2.939,-1.446
District of Columbia,Overall,2020-03-11,3.284,4.864,1.604,0.114,-0.129,-4.687
District of Columbia,Overall,2020-03-12,11.228,,3.399,-3.888,-13.026,-9.131
District of Columbia,Overall,2020-03-13,14.007,-4.725,5.505,-11.521,-21.516,-15.25
District of Columbia,Overall,2020-03-14,4.933,-25.782,3.966,-28.186,-30.127,-9.464
District of Columbia,Overall,2020-03-15,-7.389,-42.858,6.396,-34.568,-38.6,-17.104
District of Columbia,Overall,2020-03-16,-1.483,-35.148,15.884,-31.514,-43.467,-40.355
District of Columbia,Overall,2020-03-17,-5.522,-22.42,18.568,-39.618,-55.386,-51.721
District of Columbia,Overall,2020-03-18,-12.745,-31.675,21.012,-45.15,-59.369,-56.111
District of Columbia,Overall,2020-03-19,-10.626,-18.193,22.496,-45.806,-62.732,-58.152
District of Columbia,Overall,2020-03-20,-10.316,-15.862,22.185,-49.754,-62.142,-56.42
District of Columbia,Overall,2020-03-21,-14.239,-18.741,13.162,-59.628,-59.303,-37.856
District of Columbia,Overall,2020-03-22,-23.83,-24.631,12.41,-60.134,-64.382,-42.197
District of Columbia,Overall,2020-03-23,-31.965,-65.626,26.913,-59.387,-71.848,-63.043
District of Columbia,Overall,2020-03-24,-23.552,-45.604,25.003,-55.24,-71.257,-64.316
District of Columbia,Overall,2020-03-25,-31.112,-68.213,28.383,-60.65,-75.296,-67.003
District of Columbia,Overall,2020-03-26,-25.141,-42.492,27.044,-57.893,-73.295,-66.484
District of Columbia,Overall,2020-03-27,-27.155,-44.662,26.829,-59.138,-70.511,-63.988
District of Columbia,Overall,2020-03-28,-30.217,-68.752,17.386,-68.404,-70.236,-47.105
District of Columbia,Overall,2020-03-29,-29.742,-41.503,13.964,-63.672,-68.483,-47.066
