state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
EC,Overall,2020-02-16,0.016,1.852,-0.159,1.684,3.918,-0.048
EC,Overall,2020-02-17,2.114,1.678,1.473,2.858,2.458,-3.876
EC,Overall,2020-02-18,1.743,3.422,1.046,3.761,2.097,-4.657
EC,Overall,2020-02-19,-0.315,2.271,0.79,3.474,2.271,-6.321
EC,Overall,2020-02-20,0.347,3.882,1.402,4.215,1.312,-11.358
EC,Overall,2020-02-21,0.561,1.212,2.461,0.148,-0.35,-12.76
EC,Overall,2020-02-22,0.05,9.635,-0.283,-4.19,-5.142,-7.923
EC,Overall,2020-02-23,-2.058,23.148,-3.93,1.6,-4.346,-5.246
EC,Overall,2020-02-24,-17.796,7.254,11.133,-15.195,-32.893,-70.303
EC,Overall,2020-02-25,-24.43,-11.465,11.423,-23.647,-30.22,-70.102
EC,Overall,2020-02-26,-4.565,-4.222,1.214,-6.588,-2.447,-9.741
EC,Overall,2020-02-27,-0.832,-3.535,1.7,-2.569,-2.765,-7.168
EC,Overall,2020-02-28,-0.489,-4.652,2.898,-1.586,-2.818,-8.366
EC,Overall,2020-02-29,9.778,-6.066,2.362,-2.637,-0.752,0.035
EC,Overall,2020-03-01,4.563,-7.003,2.232,-4.319,0.135,-0.064
EC,Overall,2020-03-02,6.301,0.124,2.273,2.713,-0.159,-6.242
EC,Overall,2020-03-03,5.203,2.868,1.913,3.015,0.66,-6.763
EC,Overall,2020-03-04,2.492,0.879,1.863,3.022,0.3,-7.122
EC,Overall,2020-03-05,2.338,1.106,2.324,1.42,-0.079,-8.384
EC,Overall,2020-03-06,0.513,-2.151,3.224,-1.071,-2.02,-8.979
EC,Overall,2020-03-07,0.996,-3.269,1.595,-1.516,-0.484,-1.473
EC,Overall,2020-03-08,2.515,5.988,-0.246,7.23,4.076,1.706
EC,Overall,2020-03-09,-0.109,-0.373,2.563,0.333,-0.802,-9.603
EC,Overall,2020-03-10,1.743,1.069,2.093,0.055,-0.259,-9.878
EC,Overall,2020-03-11,-0.763,-2.226,2.4,-1.555,-1.343,-9.819
EC,Overall,2020-03-12,9.372,-1.251,2.576,-2.056,-1.99,-10.435
EC,Overall,2020-03-13,0.513,-9.679,6.725,-9.565,-8.691,-18.485
EC,Overall,2020-03-14,4.614,-17.482,5.928,-19.043,-13.186,-7.757
EC,Overall,2020-03-15,-2.198,-30.981,6.571,-32.772,-20.108,-8.57
EC,Overall,2020-03-16,22.882,-25.109,9.518,-20.016,-20.481,-31.141
EC,Overall,2020-03-17,-32.069,-59.801,25.719,-64.832,-64.65,-63.93
EC,Overall,2020-03-18,-59.827,-73.417,34.078,-79.954,-78.895,-76.248
EC,Overall,2020-03-19,-60.055,-75.45,35.819,-81.138,-80.612,-78.241
EC,Overall,2020-03-20,-59.744,-77.604,40.943,-82.605,-82.157,-79.314
EC,Overall,2020-03-21,-64.459,-79.858,32.199,-84.996,-82.728,-69.396
EC,Overall,2020-03-22,-61.103,-78.637,24.531,-83.029,-80.163,-59.022
EC,Overall,2020-03-23,-64.171,-77.742,37.652,-82.654,-82.683,-80.919
EC,Overall,2020-03-24,-63.165,-77.918,37.416,-82.716,-82.504,-82.166
EC,Overall,2020-03-25,-69.515,-80.937,39.365,-85.677,-84.894,-83.832
EC,Overall,2020-03-26,-67.635,-80.236,40.047,-85.051,-84.513,-83.616
EC,Overall,2020-03-27,-66.837,-80.611,44.38,-85.327,-84.128,-82.997
EC,Overall,2020-03-28,-67.843,-81.063,34.052,-85.984,-83.167,-72.135
EC,Overall,2020-03-29,-66.159,-79.633,26.519,-83.988,-80.478,-61.058
