state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
EE,Overall,2020-02-16,-1.652,-16.868,-0.383,5.816,-0.762,0.667
EE,Overall,2020-02-17,-0.507,-2.873,0.976,3.767,-0.266,0.271
EE,Overall,2020-02-18,0.914,3.445,0.579,4.229,3.624,0.633
EE,Overall,2020-02-19,0.574,14.556,-0.012,5.499,3.833,0.56
EE,Overall,2020-02-20,0.773,21.896,-0.141,5.61,5.575,0.061
EE,Overall,2020-02-21,2.107,-4.68,0.691,0.987,2.8,-1.369
EE,Overall,2020-02-22,-5.196,-30.406,0.402,-7.373,-7.071,-0.304
EE,Overall,2020-02-23,11.827,33.117,-2.314,12.378,6.855,-0.741
EE,Overall,2020-02-24,-7.316,154.719,15.734,-21.569,-13.12,-76.746
EE,Overall,2020-02-25,0.024,26.915,1.719,2.123,4.032,-17.534
EE,Overall,2020-02-26,-4.328,7.719,2.625,-0.645,1.643,-17.927
EE,Overall,2020-02-27,-0.89,12.142,3.231,-0.094,0.922,-17.999
EE,Overall,2020-02-28,0.021,11.868,3.733,-2.581,-3.16,-18.539
EE,Overall,2020-02-29,1.021,14.758,0.254,-5.869,-0.102,-0.243
EE,Overall,2020-03-01,0.367,-4.178,0.404,-2.256,0.644,1.705
EE,Overall,2020-03-02,2.197,13.262,0.724,0.895,2.438,0.151
EE,Overall,2020-03-03,1.515,-3.445,0.46,0.278,0.091,1.086
EE,Overall,2020-03-04,-0.717,-6.837,1.145,-0.339,-0.456,0.59
EE,Overall,2020-03-05,6.018,2.588,0.126,5.813,3.775,1.1
EE,Overall,2020-03-06,9.713,21.73,-0.901,8.352,6.64,0.78
EE,Overall,2020-03-07,14.056,18.066,-1.312,9.962,7.276,4.253
EE,Overall,2020-03-08,24.808,91.149,-3.546,28.652,21.794,5.781
EE,Overall,2020-03-09,3.404,17.24,0.682,5.016,3.014,-0.437
EE,Overall,2020-03-10,5.82,-0.861,0.522,3.739,1.54,0.377
EE,Overall,2020-03-11,4.424,-9.704,1.222,2.322,-1.643,-0.666
EE,Overall,2020-03-12,18.569,-4.578,1.758,1.003,-3.16,-1.711
EE,Overall,2020-03-13,21.744,-11.366,6.704,-12.96,-16.881,-12.301
EE,Overall,2020-03-14,-4.019,-4.453,6.799,-34.753,-25.569,-10.571
EE,Overall,2020-03-15,-3.829,50.604,5.053,-33.499,-22.966,-14.378
EE,Overall,2020-03-16,-5.239,-21.44,16.371,-34.355,-38.251,-39.698
EE,Overall,2020-03-17,-15.08,20.456,17.355,-40.282,-38.736,-44.748
EE,Overall,2020-03-18,-20.255,-27.126,20.045,-44.765,-46.959,-46.663
EE,Overall,2020-03-19,-15.431,51.754,18.056,-40.316,-38.321,-46.189
EE,Overall,2020-03-20,-16.034,19.056,19.778,-44.339,-43.122,-45.273
EE,Overall,2020-03-21,-16.743,13.358,10.295,-50.259,-39.046,-23.998
EE,Overall,2020-03-22,-13.637,74.9,7.062,-43.1,-35.269,-24.457
EE,Overall,2020-03-23,-17.698,26.744,17.84,-40.435,-42.594,-46.216
EE,Overall,2020-03-24,-19.049,12.273,18.786,-43.107,-43.901,-47.688
EE,Overall,2020-03-25,-17.624,13.232,18.896,-40.637,-43.719,-48.314
EE,Overall,2020-03-26,-22.104,23.489,19.235,-44.202,-44.334,-49.046
EE,Overall,2020-03-27,-23.346,7.522,21.282,-54.732,-48.322,-49.633
EE,Overall,2020-03-28,-24.115,27.862,10.014,-61.739,-41.3,-30.195
EE,Overall,2020-03-29,-27.877,3.559,9.698,-60.269,-51.205,-31.794
