state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
EE,Harju County,2020-02-16,-2.567,-22.071,-0.006,3.897,-1.385,1.101
EE,Harju County,2020-02-17,-0.83,-1.515,0.835,3.898,-0.205,0.47
EE,Harju County,2020-02-18,0.589,4.653,0.628,3.599,4.655,0.47
EE,Harju County,2020-02-19,-0.097,16.789,-0.136,5.489,3.304,0.414
EE,Harju County,2020-02-20,1.335,29.461,-0.438,6.462,6.16,-0.655
EE,Harju County,2020-02-21,0.572,-10.302,0.892,-0.617,-0.126,-1.988
EE,Harju County,2020-02-22,-11.032,-40.898,0.597,-12.465,-12.317,0.896
EE,Harju County,2020-02-23,9.327,38.76,-2.647,8.305,5.633,-0.157
EE,Harju County,2020-02-24,-8.693,191.667,16.198,-19.643,-16.152,-81.048
EE,Harju County,2020-02-25,-0.834,25.773,1.658,-0.263,0.987,-17.268
EE,Harju County,2020-02-26,-7.578,3.434,2.472,-3.387,-1.968,-17.401
EE,Harju County,2020-02-27,-1.192,15.783,2.97,-1.68,-0.548,-17.793
EE,Harju County,2020-02-28,-0.572,12.878,3.64,-3.625,-6.198,-17.547
EE,Harju County,2020-02-29,-1.641,12.654,0.737,-10.17,-5.384,-0.256
EE,Harju County,2020-03-01,-0.314,-6.998,0.795,-6.133,-3.047,0.157
EE,Harju County,2020-03-02,0.733,12.121,0.926,-1.811,-0.205,-0.734
EE,Harju County,2020-03-03,-0.294,-13.245,0.791,-2.75,-2.821,0.029
EE,Harju County,2020-03-04,-2.414,-9.921,1.025,-2.16,-3.233,0.444
EE,Harju County,2020-03-05,4.436,4.91,0.225,3.587,2.122,0.655
EE,Harju County,2020-03-06,8.802,24.038,-0.664,6.387,2.403,0.714
EE,Harju County,2020-03-07,11.123,23.5,-0.79,4.276,2.447,4.991
EE,Harju County,2020-03-08,24.522,106.858,-3.328,22.105,15.052,3.934
EE,Harju County,2020-03-09,1.172,12.121,1.188,1.166,-1.3,-0.911
EE,Harju County,2020-03-10,4.463,-7.875,1.089,-0.205,-2.186,-0.441
EE,Harju County,2020-03-11,2.655,-12.592,1.812,-0.876,-5.482,-1.628
EE,Harju County,2020-03-12,18.172,-3.507,2.431,-1.822,-6.707,-2.916
EE,Harju County,2020-03-13,25.613,-13.736,7.805,-16.128,-21.44,-13.075
EE,Harju County,2020-03-14,-5.334,-5.197,7.67,-37.927,-31.894,-9.598
EE,Harju County,2020-03-15,-4.611,48.18,5.915,-37.118,-29.458,-14.004
EE,Harju County,2020-03-16,-6.007,-25.758,18.512,-36.461,-42.365,-42.801
EE,Harju County,2020-03-17,-17.41,12.529,20.491,-43.89,-45.701,-48.721
EE,Harju County,2020-03-18,-23.749,-35.104,22.934,-47.471,-54.122,-50.545
EE,Harju County,2020-03-19,-17.647,50.856,20.901,-42.931,-45.787,-50.492
EE,Harju County,2020-03-20,-17.295,16.026,22.672,-47.225,-49.648,-49.661
EE,Harju County,2020-03-21,-20.879,3.163,11.909,-54.644,-48.453,-25.978
EE,Harju County,2020-03-22,-15.091,77.25,8.031,-46.445,-42.295,-27.064
EE,Harju County,2020-03-23,-21.976,18.182,20.867,-44.134,-51.125,-50.526
EE,Harju County,2020-03-24,-21.775,-0.716,21.993,-46.992,-51.272,-52.392
EE,Harju County,2020-03-25,-21.528,3.434,21.884,-44.814,-52.435,-52.853
EE,Harju County,2020-03-26,-25.469,16.835,22.492,-47.628,-52.015,-53.943
EE,Harju County,2020-03-27,-25.965,-10.875,25.177,-59.358,-56.605,-54.847
EE,Harju County,2020-03-28,-27.443,18.529,11.754,-65.781,-51.553,-33.144
EE,Harju County,2020-03-29,-29.71,1.615,10.975,-64.046,-58.917,-35.719
EE,Jõgeva County,2020-02-16,3.531,,,,,
EE,Jõgeva County,2020-02-17,-1.653,,,,,
EE,Jõgeva County,2020-02-18,-3.109,,,,,
EE,Jõgeva County,2020-02-19,-1.555,,,,,
EE,Jõgeva County,2020-02-20,3.109,,,,,
EE,Jõgeva County,2020-02-21,2.604,,,,,
EE,Jõgeva County,2020-02-22,1.335,,,,,
EE,Jõgeva County,2020-02-23,24.718,,,,,
EE,Jõgeva County,2020-02-24,-4.96,,,,,
EE,Jõgeva County,2020-02-25,-1.555,,,,,
EE,Jõgeva County,2020-02-26,-7.774,,,,,
EE,Jõgeva County,2020-02-28,2.604,,,,,
EE,Jõgeva County,2020-02-29,1.335,,,,,
EE,Jõgeva County,2020-03-01,1.766,,,,,
EE,Jõgeva County,2020-03-02,6.614,,,,,
EE,Jõgeva County,2020-03-03,-1.555,,,,,
EE,Jõgeva County,2020-03-04,-1.555,,,,,
EE,Jõgeva County,2020-03-05,7.774,,,,,
EE,Jõgeva County,2020-03-06,22.135,,,,,
EE,Jõgeva County,2020-03-07,18.697,,,,,
EE,Jõgeva County,2020-03-08,42.373,,,,,
EE,Jõgeva County,2020-03-09,8.267,,,,,
EE,Jõgeva County,2020-03-10,1.555,,,,,
EE,Jõgeva County,2020-03-12,17.102,,,,,
EE,Jõgeva County,2020-03-13,27.344,,,,,
EE,Jõgeva County,2020-03-15,8.828,,,,,
EE,Jõgeva County,2020-03-16,4.96,,,,,
EE,Jõgeva County,2020-03-17,-9.328,,,,,
EE,Jõgeva County,2020-03-18,-9.328,,,,,
EE,Jõgeva County,2020-03-19,-15.547,,,,,
EE,Jõgeva County,2020-03-20,-19.531,,,,,
EE,Jõgeva County,2020-03-21,-12.019,,,,,
EE,Jõgeva County,2020-03-22,-17.655,,,,,
EE,Jõgeva County,2020-03-23,-8.267,,,,,
EE,Jõgeva County,2020-03-24,-21.766,,,,,
EE,Jõgeva County,2020-03-25,-20.211,,,,,
EE,Jõgeva County,2020-03-26,-17.102,,,,,
EE,Jõgeva County,2020-03-27,-20.833,,,,,
EE,Jõgeva County,2020-03-28,-20.032,,,,,
EE,Jõgeva County,2020-03-29,-24.718,,,,,
EE,Lääne County,2020-02-16,-8.681,,,8.681,,
EE,Lääne County,2020-02-17,,,,2.604,,
EE,Lääne County,2020-02-18,,,,8.333,,
EE,Lääne County,2020-02-19,5.123,,,10.417,,
EE,Lääne County,2020-02-20,1.628,,,12.019,,
EE,Lääne County,2020-02-21,1.408,,,6.649,,
EE,Lääne County,2020-02-22,-1.447,,,-2.17,,
EE,Lääne County,2020-02-23,13.889,,,45.139,,
EE,Lääne County,2020-02-24,-8.538,,,-31.25,,
EE,Lääne County,2020-02-25,-3.36,,,9.722,,
EE,Lääne County,2020-02-26,-6.831,,,-5.208,,
EE,Lääne County,2020-02-27,-3.255,,,6.677,,
EE,Lääne County,2020-02-28,-2.815,,,,,
EE,Lääne County,2020-02-29,-2.894,,,-2.17,,
EE,Lääne County,2020-03-01,-6.944,,,5.208,,
EE,Lääne County,2020-03-02,-1.708,,,1.302,,
EE,Lääne County,2020-03-03,-10.081,,,15.278,,
EE,Lääne County,2020-03-04,-6.831,,,-2.604,,
EE,Lääne County,2020-03-05,6.51,,,16.026,,
EE,Lääne County,2020-03-06,9.854,,,24.379,,
EE,Lääne County,2020-03-07,24.595,,,53.168,,
EE,Lääne County,2020-03-08,17.361,,,50.347,,
EE,Lääne County,2020-03-09,1.708,,,1.302,,
EE,Lääne County,2020-03-10,,,,8.333,,
EE,Lääne County,2020-03-11,-3.415,,,3.906,,
EE,Lääne County,2020-03-12,11.393,,,17.361,,
EE,Lääne County,2020-03-13,21.115,,,16.622,,
EE,Lääne County,2020-03-14,-1.447,,,-15.191,,
EE,Lääne County,2020-03-15,-1.736,,,-24.306,,
EE,Lääne County,2020-03-16,-6.831,,,-27.344,,
EE,Lääne County,2020-03-17,-18.481,,,-40.278,,
EE,Lääne County,2020-03-18,-23.907,,,-49.479,,
EE,Lääne County,2020-03-19,-14.648,,,-32.051,,
EE,Lääne County,2020-03-20,-12.669,,,-27.427,,
EE,Lääne County,2020-03-21,-18.808,,,-40.961,,
EE,Lääne County,2020-03-22,-12.153,,,-22.135,,
EE,Lääne County,2020-03-23,-20.492,,,-50.781,,
EE,Lääne County,2020-03-24,-20.161,,,-48.611,,
EE,Lääne County,2020-03-25,-17.077,,,-49.479,,
EE,Lääne County,2020-03-26,-22.786,,,-46.741,,
EE,Lääne County,2020-03-27,-28.153,,,-59.84,,
EE,Lääne County,2020-03-28,-24.595,,,-60.764,,
EE,Lääne County,2020-03-29,-32.986,,,-55.556,,
EE,Lääne-Viru County,2020-02-16,-3.83,,,8.207,,1.929
EE,Lääne-Viru County,2020-02-17,-5.631,,,7.267,,
EE,Lääne-Viru County,2020-02-18,-5.669,,,7.143,,1.324
EE,Lääne-Viru County,2020-02-19,-4.167,,,8.446,,0.445
EE,Lääne-Viru County,2020-02-20,-6.72,,,11.141,,-2.235
EE,Lääne-Viru County,2020-02-21,-2.862,,,2.648,,-0.918
EE,Lääne-Viru County,2020-02-22,-6.701,,,8.367,,4.664
EE,Lääne-Viru County,2020-02-23,20.68,,,19.571,,5.787
EE,Lääne-Viru County,2020-02-24,-4.927,,,-16.352,,-76.567
EE,Lääne-Viru County,2020-02-25,-1.417,,,8.929,,-18.98
EE,Lääne-Viru County,2020-02-26,-2.778,,,-5.068,,-20.477
EE,Lääne-Viru County,2020-02-27,-5.376,,,7.242,,-21.012
EE,Lääne-Viru County,2020-02-28,,,,-2.207,,-22.026
EE,Lääne-Viru County,2020-02-29,-1.218,,,1.673,,
EE,Lääne-Viru County,2020-03-01,1.532,,,-4.419,,7.716
EE,Lääne-Viru County,2020-03-02,6.334,,,2.422,,2.226
EE,Lääne-Viru County,2020-03-03,3.543,,,8.333,,2.207
EE,Lääne-Viru County,2020-03-04,0.694,,,7.32,,1.781
EE,Lääne-Viru County,2020-03-05,5.376,,,11.141,,2.235
