state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
ES,Overall,2020-02-16,3.236,13.479,-2.076,1.732,4.628,-1.277
ES,Overall,2020-02-17,1.139,8.916,-0.761,-0.318,2.968,3.453
ES,Overall,2020-02-18,0.183,5.178,-0.46,-1.527,3.622,3.4
ES,Overall,2020-02-19,0.863,10.576,-0.599,-0.313,1.66,3.375
ES,Overall,2020-02-20,1.285,14.528,-1.154,1.08,4.866,3.287
ES,Overall,2020-02-21,1.667,20.514,-1.743,1.076,6.45,2.07
ES,Overall,2020-02-22,1.792,43.999,-2.338,1.795,13.797,2.026
ES,Overall,2020-02-23,10.407,32.756,-3.149,7.099,11.365,1.058
ES,Overall,2020-02-24,3.018,35.581,-0.239,4.627,4.477,-6.939
ES,Overall,2020-02-25,-0.55,17.232,0.527,-2.036,3.479,-6.228
ES,Overall,2020-02-26,4.468,10.527,-0.284,-0.448,1.181,-0.314
ES,Overall,2020-02-27,7.787,15.617,-1.519,3.999,5.701,0.736
ES,Overall,2020-02-28,-6.781,32.644,0.217,-0.636,2.282,-11.334
ES,Overall,2020-02-29,3.884,18.676,-1.204,-1.075,5.606,-1.34
ES,Overall,2020-03-01,5.932,5.871,-2.259,2.13,5.05,1.203
ES,Overall,2020-03-02,1.293,-6.952,0.753,-2.925,-2.589,-3.134
ES,Overall,2020-03-03,2.623,-2.606,-0.144,-2.751,0.617,2.947
ES,Overall,2020-03-04,4.007,9.264,-0.382,-0.079,1.613,2.75
ES,Overall,2020-03-05,2.179,1.564,-0.192,-1.397,0.245,1.712
ES,Overall,2020-03-06,2.116,0.27,0.012,-1.517,-0.256,-0.526
ES,Overall,2020-03-07,0.822,16.586,-0.949,-1.253,4.162,0.672
ES,Overall,2020-03-08,6.746,19.107,-1.791,3.549,8.242,0.996
ES,Overall,2020-03-09,4.19,11.845,-0.61,-1.357,0.438,2.614
ES,Overall,2020-03-10,17.824,12.199,-0.419,-2.649,-1.289,1.909
ES,Overall,2020-03-11,16.7,16.54,1.09,-4.962,-8.557,-2.316
ES,Overall,2020-03-12,27.309,1.097,2.69,-13.123,-16.02,-5.286
ES,Overall,2020-03-13,32.992,-21.687,8.368,-32.8,-32.389,-17.124
ES,Overall,2020-03-14,-7.847,-44.224,14.232,-69.372,-52.011,-30.815
ES,Overall,2020-03-15,-49.55,-75.767,16.84,-87.171,-70.724,-48.02
ES,Overall,2020-03-16,-33.121,-71.773,22.854,-80.337,-70.74,-52.347
ES,Overall,2020-03-17,-38.804,-73.539,25.472,-83.307,-74.412,-58.617
ES,Overall,2020-03-18,-36.23,-73.188,26.378,-83.659,-76.311,-60.516
ES,Overall,2020-03-19,-57.934,-77.033,30.854,-87.74,-79.735,-70.785
ES,Overall,2020-03-20,-39.283,-78.665,31.898,-86.897,-79.609,-65.709
ES,Overall,2020-03-21,-53.55,-86.657,25.852,-91.785,-83.93,-62.636
ES,Overall,2020-03-22,-73.339,-89.554,22.322,-93.826,-87.453,-65.557
ES,Overall,2020-03-23,-46.508,-77.466,27.778,-84.97,-80.774,-65.008
ES,Overall,2020-03-24,-50.428,-78.678,29.241,-86.743,-81.457,-67.041
ES,Overall,2020-03-25,-51.104,-78.496,29.968,-87.086,-82.011,-67.468
ES,Overall,2020-03-26,-51.698,-78.543,30.507,-87.341,-82.352,-67.98
ES,Overall,2020-03-27,-49.436,-80.489,33.465,-88.254,-82.948,-67.664
ES,Overall,2020-03-28,-56.888,-86.351,26.119,-92.008,-85.612,-63.874
ES,Overall,2020-03-29,-76.421,-89.166,21.786,-93.866,-88.311,-63.956
