state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
FR,Overall,2020-02-16,2.18,8.568,-0.721,5.61,7.229,-1.118
FR,Overall,2020-02-17,1.996,16.34,3.583,1.077,-6.479,-15.314
FR,Overall,2020-02-18,1.534,36.226,2.829,4.744,-3.606,-13.902
FR,Overall,2020-02-19,-2.571,18.482,2.12,-3.773,-5.595,-11.812
FR,Overall,2020-02-20,-1.241,29.206,2.51,-1.638,-4.042,-15.057
FR,Overall,2020-02-21,-1.77,28.331,3.141,-0.674,0.243,-15.214
FR,Overall,2020-02-22,-2.091,30.625,-0.513,-6.181,14.32,-5.436
FR,Overall,2020-02-23,7.028,30.102,-1.365,8.464,11.638,-0.884
FR,Overall,2020-02-24,3.242,45.445,3.132,2.582,-1.185,-15.26
FR,Overall,2020-02-25,1.391,23.28,3.543,1.207,-2.655,-14.388
FR,Overall,2020-02-26,-1.601,9.47,2.607,-5.302,-5.246,-12.124
FR,Overall,2020-02-27,-0.662,0.812,4.081,-5.344,-5.201,-15.176
FR,Overall,2020-02-28,1.306,14.589,4.141,-0.792,-0.469,-14.643
FR,Overall,2020-02-29,1.062,-11.609,1.12,-7.268,3.781,-4.619
FR,Overall,2020-03-01,3.977,-13.329,-0.029,1.078,1.521,1.258
FR,Overall,2020-03-02,3.481,-9.479,2.725,-5.92,-4.437,-5.354
FR,Overall,2020-03-03,4.689,7.744,1.922,-1.394,-3.722,-4.203
FR,Overall,2020-03-04,1.986,0.982,1.895,-5.842,-5.762,-3.202
FR,Overall,2020-03-05,-0.205,-15.442,2.58,-7.756,-6.051,-5.041
FR,Overall,2020-03-06,1.868,-0.719,2.524,-2.109,-1.307,-4.465
FR,Overall,2020-03-07,1.111,7.199,0.761,-4.193,1.413,-0.319
FR,Overall,2020-03-08,2.244,-0.562,0.64,0.485,-2.243,-0.591
FR,Overall,2020-03-09,2.241,2.304,1.595,-4.552,-5.007,-0.603
FR,Overall,2020-03-10,1.297,1.021,1.742,-4.671,-5.794,-0.638
FR,Overall,2020-03-11,1.627,16.676,1.347,-5.754,-5.108,-0.337
FR,Overall,2020-03-12,5.39,5.191,1.465,-7.999,-6.584,-0.999
FR,Overall,2020-03-13,16.778,4.437,2.881,-7.513,-7.776,-2.155
FR,Overall,2020-03-14,1.496,-0.969,4.734,-21.313,-16.242,-5.189
FR,Overall,2020-03-15,22.602,14.678,3.501,-37.818,-21.474,-8.588
FR,Overall,2020-03-16,46.106,-15.396,13.475,-42.894,-38.6,-35.98
FR,Overall,2020-03-17,-15.239,-40.324,23.666,-68.022,-61.108,-55.299
FR,Overall,2020-03-18,-45.513,-52.783,28.916,-82.854,-75.646,-67.307
FR,Overall,2020-03-19,-40.972,-56.413,32.009,-82.549,-78.371,-70.619
FR,Overall,2020-03-20,-41.931,-65.654,36.097,-83.385,-80.594,-71.018
FR,Overall,2020-03-21,-54.411,-78.07,24.483,-88.062,-81.893,-58.24
FR,Overall,2020-03-22,-63.773,-80.093,18.066,-86.342,-83.871,-54.842
FR,Overall,2020-03-23,-40.79,-64.487,32.016,-81.382,-81.88,-73.078
FR,Overall,2020-03-24,-44.93,-65.191,33.821,-82.672,-82.251,-74.031
FR,Overall,2020-03-25,-48.52,-66.835,31.693,-84.433,-82.738,-73.059
FR,Overall,2020-03-26,-45.902,-66.919,34.004,-83.772,-83.133,-74.018
FR,Overall,2020-03-27,-45.849,-67.984,37.389,-83.715,-83.676,-73.125
FR,Overall,2020-03-28,-55.711,-76.285,24.541,-87.553,-83.114,-58.993
FR,Overall,2020-03-29,-72.567,-81.937,18.207,-88.117,-86.774,-56.556
