state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
Florida,Overall,2020-02-16,0.987,7.606,0.149,3.641,2.25,-1.509
Florida,Overall,2020-02-17,0.558,23.83,3.575,5.447,0.006,-18.747
Florida,Overall,2020-02-18,1.608,12.563,-0.115,2.797,6.303,1.427
Florida,Overall,2020-02-19,0.022,15.135,-0.142,2.858,4.522,1.575
Florida,Overall,2020-02-20,0.816,9.857,-0.217,2.091,3.982,1.296
Florida,Overall,2020-02-21,-1.327,-12.182,1.141,-0.152,0.347,0.418
Florida,Overall,2020-02-22,0.109,7.856,-0.466,2.512,2.476,1.089
Florida,Overall,2020-02-23,2.432,19.85,-0.212,4.936,4.246,0.475
Florida,Overall,2020-02-24,1.337,11.943,-0.184,2.887,2.693,2.035
Florida,Overall,2020-02-25,1.395,5.93,0.28,3.184,4.66,1.823
Florida,Overall,2020-02-26,0.722,-9.315,0.341,4.687,3.752,1.346
Florida,Overall,2020-02-27,5.629,2.376,-0.732,7.781,6.743,1.533
Florida,Overall,2020-02-28,4.452,4.394,-0.559,5.364,4.699,1.204
Florida,Overall,2020-02-29,3.925,8.135,-1.732,6.039,5.704,1.876
Florida,Overall,2020-03-01,6.677,9.948,-0.752,8.482,7.044,1.155
Florida,Overall,2020-03-02,6.867,7.68,-0.416,6.791,3.108,1.101
Florida,Overall,2020-03-03,9.772,10.184,-0.481,7.755,3.497,1.927
Florida,Overall,2020-03-04,5.525,14.373,-0.306,6.466,1.497,1.453
Florida,Overall,2020-03-05,5.504,8.474,-0.174,4.871,2.047,1.271
Florida,Overall,2020-03-06,3.413,9.324,-0.112,3.162,-1.003,1.393
Florida,Overall,2020-03-07,3.315,12.631,-1.008,3.706,2.067,1.716
Florida,Overall,2020-03-08,3.334,-0.804,0.555,3.852,1.385,-0.453
Florida,Overall,2020-03-09,4.557,6.026,0.338,4.54,-0.876,-0.188
Florida,Overall,2020-03-10,6.435,11.286,0.442,4.963,1.481,0.012
Florida,Overall,2020-03-11,6.904,19.714,0.123,5.565,-1.079,-0.162
Florida,Overall,2020-03-12,16.679,17.514,0.306,5.056,-2.46,-1.399
Florida,Overall,2020-03-13,21.653,14.447,1.901,1.441,-8.01,-5.085
Florida,Overall,2020-03-14,15.773,8.042,1.522,-6.057,-9.98,-1.237
Florida,Overall,2020-03-15,9.4,11.695,2.822,-8.77,-12.542,-5.929
Florida,Overall,2020-03-16,14.291,-0.094,6.042,-5.91,-16.09,-18.181
Florida,Overall,2020-03-17,13.856,0.719,8.294,-11.416,-18.262,-22.354
Florida,Overall,2020-03-18,7.114,-0.385,10.389,-18.979,-26.515,-26.242
Florida,Overall,2020-03-19,5.593,-7.427,11.8,-23.47,-32.61,-28.731
Florida,Overall,2020-03-20,5.986,-15.262,14.061,-28.963,-37.727,-31.062
Florida,Overall,2020-03-21,-3.447,-33.441,10.735,-39.46,-42.509,-25.577
Florida,Overall,2020-03-22,-12.494,-33.159,10.707,-43.264,-49.142,-32.553
Florida,Overall,2020-03-23,-11.593,-33.054,14.776,-36.952,-46.201,-36.234
Florida,Overall,2020-03-24,-11.575,-33.291,16.511,-37.819,-45.757,-39.153
Florida,Overall,2020-03-25,-12.938,-33.121,16.906,-38.04,-48.471,-40.537
Florida,Overall,2020-03-26,-14.28,-34.126,17.59,-39.981,-51.003,-41.676
Florida,Overall,2020-03-27,-17.426,-37.984,19.982,-43.569,-55.2,-42.712
Florida,Overall,2020-03-28,-22.558,-48.38,14.219,-48.709,-59.521,-36.022
Florida,Overall,2020-03-29,-25.83,-48.319,13.187,-49.648,-62.78,-40.754
