state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
Florida,Brevard County,2020-02-16,0.6,16.987,-0.268,6.554,15.097,-0.878
Florida,Brevard County,2020-02-17,0.723,34.579,1.453,5.985,23.484,-9.951
Florida,Brevard County,2020-02-18,0.871,28.049,-0.45,4.079,26.931,1.722
Florida,Brevard County,2020-02-19,-0.309,3.709,-0.037,3.401,12.157,1.347
Florida,Brevard County,2020-02-20,-1.011,15.564,-0.476,4.312,16.306,1.18
Florida,Brevard County,2020-02-21,-5.164,-30.54,2.411,-1.884,7.606,0.322
Florida,Brevard County,2020-02-22,0.157,16.31,-0.789,4.289,16.215,2.172
Florida,Brevard County,2020-02-23,0.84,27.404,-0.597,6.534,17.814,1.24
Florida,Brevard County,2020-02-24,-1.168,12.954,-0.239,1.66,14.416,1.976
Florida,Brevard County,2020-02-25,2.135,28.275,-0.281,6.006,28.455,2.752
Florida,Brevard County,2020-02-26,0.926,-16.319,0.402,3.917,10.727,1.61
Florida,Brevard County,2020-02-27,4.016,8.671,-0.905,8.467,29.449,1.18
Florida,Brevard County,2020-02-28,4.469,1.556,-0.192,5.734,23.242,1.269
Florida,Brevard County,2020-02-29,3.611,-0.923,-1.565,8.185,23.585,2.824
Florida,Brevard County,2020-03-01,5.762,8.494,-0.911,12.451,28.986,0.62
Florida,Brevard County,2020-03-02,6.894,6.959,-0.594,6.234,21.391,2.211
Florida,Brevard County,2020-03-03,8.905,27.597,-0.719,9.807,30.742,2.397
Florida,Brevard County,2020-03-04,6.905,24.055,-0.619,8.067,16.924,0.927
Florida,Brevard County,2020-03-05,4.016,26.681,-0.731,7.284,21.661,1.655
Florida,Brevard County,2020-03-06,-0.074,31.999,0.215,4.879,19.65,1.402
Florida,Brevard County,2020-03-07,1.465,16.233,-0.641,5.467,20.882,1.129
Florida,Brevard County,2020-03-08,-1.801,-5.048,0.778,4.764,21.437,-0.62
Florida,Brevard County,2020-03-09,2.085,7.815,0.207,5.601,21.391,-0.417
Florida,Brevard County,2020-03-10,3.315,24.543,0.051,8.045,28.201,1.136
Florida,Brevard County,2020-03-11,5.558,24.903,-0.282,8.341,15.732,0.262
Florida,Brevard County,2020-03-12,12.212,28.682,-0.098,8.301,24.581,-0.317
Florida,Brevard County,2020-03-13,20.828,25.093,1.2,4.597,17.115,-2.33
Florida,Brevard County,2020-03-14,18.473,33.696,0.971,1.078,8.599,0.869
Florida,Brevard County,2020-03-15,11.974,46.154,1.769,0.617,9.964,-5.064
Florida,Brevard County,2020-03-16,13.372,1.071,4.958,-0.913,5.348,-18.869
Florida,Brevard County,2020-03-17,14.383,29.293,6.269,-5.058,16.006,-21.963
Florida,Brevard County,2020-03-18,10.274,21.829,8.659,-12.966,4.052,-27.42
Florida,Brevard County,2020-03-19,3.907,4.336,10.574,-19.202,-5.111,-30.026
Florida,Brevard County,2020-03-20,2.358,-9.726,12.948,-28.429,-16.903,-31.54
Florida,Brevard County,2020-03-21,-3.402,-21.08,9.8,-38.406,-26.779,-25.629
Florida,Brevard County,2020-03-22,-12.334,-17.708,9.205,-40.862,-28.684,-34.154
Florida,Brevard County,2020-03-23,-12.343,-22.91,12.874,-36.084,-15.578,-35.181
Florida,Brevard County,2020-03-24,-12.81,-10.632,14.28,-34.334,-14.736,-37.746
Florida,Brevard County,2020-03-25,-11.873,-15.895,14.738,-35.387,-16.447,-39.318
Florida,Brevard County,2020-03-26,-14.943,-3.224,15.267,-36.841,-14.603,-40.24
Florida,Brevard County,2020-03-27,-16.534,-22.759,17.236,-40.993,-26.623,-40.254
Florida,Brevard County,2020-03-28,-18.682,-28.234,11.986,-44.099,-36.36,-32.84
Florida,Brevard County,2020-03-29,-23.318,-26.603,11.085,-45.555,-38.043,-39.889
Florida,Broward County,2020-02-16,0.81,-1.961,0.921,0.852,-1.376,-2.257
