state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
GA,Overall,2020-02-16,-5.498,-3.708,1.487,-2.35,-2.06,0.391
GA,Overall,2020-02-17,-8.2,-9.102,1.156,-3.883,-0.718,-0.303
GA,Overall,2020-02-18,-5.468,-5.978,0.978,-3.122,-2.153,3.539
GA,Overall,2020-02-19,-9.149,-1.451,1.644,-4.194,-5.197,2.223
GA,Overall,2020-02-20,-6.125,-2.902,1.374,-6.583,-4.535,3.225
GA,Overall,2020-02-21,-11.026,-12.177,4.381,-9.138,-10.941,0.314
GA,Overall,2020-02-22,-8.781,-15.209,2.535,-7.159,-8.344,2.541
GA,Overall,2020-02-23,-8.83,-18.542,1.649,-5.876,-4.532,1.956
GA,Overall,2020-02-24,-8.862,-10.619,1.575,-2.824,-5.383,1.895
GA,Overall,2020-02-25,-5.078,-11.955,1.128,-1.077,-0.359,1.548
GA,Overall,2020-02-26,-11.726,-14.511,3.814,-7.313,-10.394,-1.705
GA,Overall,2020-02-27,0.533,-4.353,0.336,3.185,3.489,3.075
GA,Overall,2020-02-28,2.281,1.353,0.077,5.165,-1.326,6.277
GA,Overall,2020-02-29,2.073,-2.535,-0.042,1.224,0.379,3.558
GA,Overall,2020-03-01,1.0,-3.708,-0.68,3.408,-2.06,3.716
GA,Overall,2020-03-02,2.116,-3.034,0.355,2.235,1.794,2.122
GA,Overall,2020-03-03,3.515,1.494,0.525,1.723,-2.871,4.35
GA,Overall,2020-03-04,0.129,-5.804,1.365,-3.119,-4.85,2.149
GA,Overall,2020-03-05,8.921,,-0.55,0.743,1.047,4.125
GA,Overall,2020-03-06,7.351,-6.765,-0.542,2.483,-0.995,6.827
GA,Overall,2020-03-07,-8.293,-7.604,5.149,-16.012,-15.929,-2.668
GA,Overall,2020-03-08,9.163,-9.889,-0.84,5.641,5.356,3.716
GA,Overall,2020-03-09,-0.794,-12.136,-2.006,-2.824,-5.383,-1.289
GA,Overall,2020-03-10,-2.864,-10.461,-2.973,-4.414,-4.306,-6.857
GA,Overall,2020-03-11,-8.505,-13.06,-0.884,-13.336,-13.165,-7.782
GA,Overall,2020-03-12,2.929,-5.804,-3.603,-3.398,,-2.775
GA,Overall,2020-03-13,4.309,-6.765,-0.215,-1.589,-7.957,4.551
GA,Overall,2020-03-14,-4.39,-10.139,1.433,-9.231,-8.723,-1.906
GA,Overall,2020-03-15,-3.832,-11.125,3.693,-12.104,-14.421,-1.76
GA,Overall,2020-03-16,-3.571,-9.102,5.722,-6.824,-12.202,-9.474
GA,Overall,2020-03-17,-5.599,-2.989,6.342,-13.458,-14.714,-9.806
GA,Overall,2020-03-18,-6.701,-5.804,8.48,-16.239,-17.669,-10.746
GA,Overall,2020-03-19,-7.456,-4.353,8.898,-18.793,-21.63,-11.7
GA,Overall,2020-03-20,-7.224,-12.177,10.87,-20.859,-26.192,-10.201
GA,Overall,2020-03-21,-16.22,-24.081,12.914,-30.141,-37.547,-17.662
GA,Overall,2020-03-22,-27.489,-32.139,14.936,-42.659,-51.093,-19.36
GA,Overall,2020-03-23,-26.85,-24.273,17.284,-35.061,-43.065,-24.937
GA,Overall,2020-03-24,-26.561,-20.922,16.989,-37.789,-42.347,-27.649
GA,Overall,2020-03-25,-21.004,-20.315,14.871,-31.941,-40.881,-28.311
GA,Overall,2020-03-26,-15.844,-13.06,16.451,-30.473,-39.771,-27.675
GA,Overall,2020-03-27,-15.462,-16.236,17.669,-30.296,-40.116,-23.854
GA,Overall,2020-03-28,-19.757,-21.546,15.5,-35.133,-38.685,-21.219
GA,Overall,2020-03-29,-24.323,-24.722,14.587,-39.016,-46.972,-15.449
