state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
GB,Ards And North Down,2020-02-16,-5.351,-10.921,,-2.104,-8.681,-3.453
GB,Ards And North Down,2020-02-17,-0.801,3.434,,3.083,-11.856,-14.702
GB,Ards And North Down,2020-02-18,-3.701,17.57,,7.664,-15.224,-16.21
GB,Ards And North Down,2020-02-19,-12.407,-27.083,,-0.894,-17.224,-17.261
GB,Ards And North Down,2020-02-20,-3.548,10.901,,8.621,-9.022,-16.63
GB,Ards And North Down,2020-02-21,-4.872,-3.289,,-1.384,-19.148,-16.532
GB,Ards And North Down,2020-02-22,-6.226,-21.346,,-6.658,-20.627,-4.167
GB,Ards And North Down,2020-02-23,-1.784,5.04,,-0.351,,-1.727
GB,Ards And North Down,2020-02-24,-1.603,-13.736,,-1.136,-11.009,-2.033
GB,Ards And North Down,2020-02-25,2.908,3.765,,1.095,-8.013,-0.901
GB,Ards And North Down,2020-02-26,-2.843,-9.375,,1.49,-0.82,-1.351
GB,Ards And North Down,2020-02-27,1.521,1.211,,1.868,-4.101,-1.209
GB,Ards And North Down,2020-02-28,1.624,-16.447,,-0.577,-7.659,1.284
GB,Ards And North Down,2020-02-29,-1.437,-6.831,,2.765,-7.219,-0.417
GB,Ards And North Down,2020-03-01,1.427,5.04,,4.735,5.208,
GB,Ards And North Down,2020-03-02,7.212,4.579,,3.083,-2.541,1.251
GB,Ards And North Down,2020-03-03,1.851,10.04,,3.91,-5.609,0.6
GB,Ards And North Down,2020-03-04,1.034,3.125,,6.706,0.82,0.901
GB,Ards And North Down,2020-03-05,3.802,12.112,,3.017,-3.281,1.663
GB,Ards And North Down,2020-03-06,4.64,3.289,,2.192,-3.064,1.766
GB,Ards And North Down,2020-03-07,3.113,19.638,,1.741,-4.125,2.083
GB,Ards And North Down,2020-03-08,2.497,10.081,,2.806,8.681,
GB,Ards And North Down,2020-03-09,0.801,-20.604,,-0.811,-5.928,1.564
GB,Ards And North Down,2020-03-10,5.288,3.765,,2.659,-6.41,0.45
GB,Ards And North Down,2020-03-11,3.102,-18.75,,1.341,-7.382,
GB,Ards And North Down,2020-03-12,13.433,-14.535,,6.322,-9.843,-0.605
GB,Ards And North Down,2020-03-13,17.4,2.193,,,-9.191,-1.124
GB,Ards And North Down,2020-03-14,13.41,-23.907,,-8.911,-19.596,-1.25
GB,Ards And North Down,2020-03-15,10.345,3.36,,-8.418,-1.736,-5.18
