state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
Georgia,Overall,2020-02-16,-5.334,-18.7,0.633,-1.672,-4.671,-3.206
Georgia,Overall,2020-02-17,0.869,23.944,3.797,3.612,-0.027,-18.603
Georgia,Overall,2020-02-18,-5.275,-23.085,3.177,-4.387,1.471,-4.896
Georgia,Overall,2020-02-19,-0.035,1.7,0.775,1.703,3.218,-2.471
Georgia,Overall,2020-02-20,-7.406,-35.548,3.784,-6.447,-0.747,-4.336
Georgia,Overall,2020-02-21,-1.231,23.025,0.316,1.533,4.1,-2.891
Georgia,Overall,2020-02-22,0.302,47.998,-1.077,4.663,4.451,3.589
Georgia,Overall,2020-02-23,0.761,20.469,-0.541,2.285,3.377,0.922
Georgia,Overall,2020-02-24,-4.288,-20.873,1.45,-4.862,-2.066,1.442
Georgia,Overall,2020-02-25,2.268,9.33,0.313,4.76,0.687,2.128
Georgia,Overall,2020-02-26,2.647,5.028,-1.112,8.729,4.016,1.484
Georgia,Overall,2020-02-27,4.593,6.209,-0.999,9.698,6.071,1.591
Georgia,Overall,2020-02-28,4.166,29.812,-2.402,8.638,7.468,2.001
Georgia,Overall,2020-02-29,6.339,40.474,-2.524,12.56,12.127,3.908
Georgia,Overall,2020-03-01,7.429,49.052,-1.966,12.737,8.384,2.133
Georgia,Overall,2020-03-02,3.251,-9.468,-0.029,4.357,0.027,2.385
Georgia,Overall,2020-03-03,11.315,-0.034,0.457,9.927,-0.154,1.391
Georgia,Overall,2020-03-04,-0.338,-19.316,1.28,2.75,-1.637,-0.307
Georgia,Overall,2020-03-05,0.196,-29.96,2.433,1.38,-0.934,-1.183
Georgia,Overall,2020-03-06,2.823,44.475,-1.753,7.068,5.18,0.699
Georgia,Overall,2020-03-07,5.454,78.693,-2.317,9.937,8.953,4.911
Georgia,Overall,2020-03-08,4.286,57.026,-1.1,7.635,3.932,1.173
Georgia,Overall,2020-03-09,7.821,53.188,-1.117,6.729,-0.228,1.844
Georgia,Overall,2020-03-10,7.651,18.283,1.006,5.33,-2.774,-0.502
Georgia,Overall,2020-03-11,7.162,38.487,-0.336,6.385,-0.42,-1.105
Georgia,Overall,2020-03-12,24.05,22.819,0.052,8.035,-1.948,-1.498
Georgia,Overall,2020-03-13,32.6,38.625,1.4,2.869,-4.524,-7.604
Georgia,Overall,2020-03-14,17.214,50.09,1.578,-4.327,-3.947,-0.191
Georgia,Overall,2020-03-15,8.159,1.909,3.446,-11.78,-12.669,-8.972
Georgia,Overall,2020-03-16,18.242,-4.314,7.333,-8.457,-19.872,-19.65
Georgia,Overall,2020-03-17,13.181,11.525,10.553,-14.115,-21.437,-25.319
Georgia,Overall,2020-03-18,7.015,23.548,11.525,-18.266,-24.164,-29.272
Georgia,Overall,2020-03-19,10.046,27.414,12.862,-20.569,-28.994,-30.955
Georgia,Overall,2020-03-20,7.541,46.2,13.167,-24.341,-30.513,-31.952
Georgia,Overall,2020-03-21,3.688,33.493,8.786,-31.042,-26.925,-17.887
Georgia,Overall,2020-03-22,-10.215,-17.914,9.772,-39.498,-41.754,-29.249
Georgia,Overall,2020-03-23,-6.145,-39.663,16.272,-35.19,-43.246,-37.642
Georgia,Overall,2020-03-24,-6.258,-22.57,18.365,-35.065,-40.325,-40.901
Georgia,Overall,2020-03-25,-7.963,19.099,16.77,-32.983,-39.443,-41.975
Georgia,Overall,2020-03-26,-8.067,3.136,18.042,-34.343,-42.564,-42.564
Georgia,Overall,2020-03-27,-9.243,33.187,17.657,-34.896,-44.574,-42.396
Georgia,Overall,2020-03-28,-9.856,13.582,11.668,-39.109,-43.05,-28.151
Georgia,Overall,2020-03-29,-16.57,-2.05,11.097,-42.312,-51.684,-36.677
