state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
Georgia,Banks County,2020-02-16,-5.334,-18.7,0.633,-0.319,-4.671,7.716
Georgia,Banks County,2020-02-17,0.869,23.944,3.797,6.97,-0.027,-13.021
Georgia,Banks County,2020-02-18,-5.275,-23.085,3.177,-1.378,1.471,4.557
Georgia,Banks County,2020-02-19,-0.035,1.7,0.775,2.536,3.218,9.586
Georgia,Banks County,2020-02-20,-7.406,-35.548,3.784,-4.811,-0.747,2.637
Georgia,Banks County,2020-02-21,-1.231,23.025,0.316,6.392,4.1,3.449
Georgia,Banks County,2020-02-22,0.302,47.998,-1.077,5.956,4.451,-1.68
Georgia,Banks County,2020-02-23,0.761,20.469,-0.541,7.816,3.377,1.929
Georgia,Banks County,2020-02-24,-4.288,-20.873,1.45,-6.404,-2.066,3.906
Georgia,Banks County,2020-02-25,2.268,9.33,0.313,5.317,0.687,5.859
Georgia,Banks County,2020-02-26,2.647,5.028,-1.112,15.801,4.016,8.947
Georgia,Banks County,2020-02-27,4.593,6.209,-0.999,22.758,6.071,8.571
Georgia,Banks County,2020-02-28,4.166,29.812,-2.402,15.69,7.468,8.968
Georgia,Banks County,2020-02-29,6.339,40.474,-2.524,23.163,12.127,15.121
Georgia,Banks County,2020-03-01,7.429,49.052,-1.966,23.449,8.384,5.787
Georgia,Banks County,2020-03-02,3.251,-9.468,-0.029,4.898,0.027,4.557
Georgia,Banks County,2020-03-03,11.315,-0.034,0.457,13.39,-0.154,3.255
Georgia,Banks County,2020-03-04,-0.338,-19.316,1.28,14.63,-1.637,12.142
Georgia,Banks County,2020-03-05,0.196,-29.96,2.433,8.696,-0.934,8.571
Georgia,Banks County,2020-03-06,2.823,44.475,-1.753,12.785,5.18,9.658
Georgia,Banks County,2020-03-07,5.454,78.693,-2.317,13.765,8.953,11.761
Georgia,Banks County,2020-03-08,4.286,57.026,-1.1,16.112,3.932,1.929
Georgia,Banks County,2020-03-09,7.821,53.188,-1.117,8.665,-0.228,-4.557
Georgia,Banks County,2020-03-10,7.651,18.283,1.006,11.421,-2.774,5.859
Georgia,Banks County,2020-03-11,7.162,38.487,-0.336,10.534,-0.42,4.473
Georgia,Banks County,2020-03-12,24.05,22.819,0.052,14.987,-1.948,7.911
Georgia,Banks County,2020-03-13,32.6,38.625,1.4,11.041,-4.524,8.278
Georgia,Banks County,2020-03-14,17.214,50.09,1.578,-3.838,-3.947,6.72
Georgia,Banks County,2020-03-15,8.159,1.909,3.446,-3.828,-12.669,-3.858
Georgia,Banks County,2020-03-16,18.242,-4.314,7.333,-7.158,-19.872,-9.115
Georgia,Banks County,2020-03-17,13.181,11.525,10.553,-10.436,-21.437,-8.464
Georgia,Banks County,2020-03-18,7.015,23.548,11.525,-16.776,-24.164,-17.894
Georgia,Banks County,2020-03-19,10.046,27.414,12.862,-27.938,-28.994,-18.46
Georgia,Banks County,2020-03-20,7.541,46.2,13.167,-25.715,-30.513,-20.695
Georgia,Banks County,2020-03-21,3.688,33.493,8.786,-32.825,-26.925,3.36
Georgia,Banks County,2020-03-22,-10.215,-17.914,9.772,-35.892,-41.754,-15.432
Georgia,Banks County,2020-03-23,-6.145,-39.663,16.272,-34.848,-43.246,-19.531
Georgia,Banks County,2020-03-24,-6.258,-22.57,18.365,-38.398,-40.325,-20.182
Georgia,Banks County,2020-03-25,-7.963,19.099,16.77,-24.969,-39.443,-24.284
Georgia,Banks County,2020-03-26,-8.067,3.136,18.042,-26.273,-42.564,-23.075
Georgia,Banks County,2020-03-27,-9.243,33.187,17.657,-28.62,-44.574,-24.145
Georgia,Banks County,2020-03-28,-9.856,13.582,11.668,-37.722,-43.05,-3.36
Georgia,Banks County,2020-03-29,-16.57,-2.05,11.097,-36.211,-51.684,-19.29
Georgia,Barrow County,2020-02-16,-4.52,-18.7,1.017,-3.383,-4.671,-1.68
Georgia,Barrow County,2020-02-17,-1.092,23.944,4.544,1.276,-0.027,-17.888
Georgia,Barrow County,2020-02-18,-12.117,-23.085,2.935,-9.003,1.471,1.571
Georgia,Barrow County,2020-02-19,0.868,1.7,0.906,0.957,3.218,1.548
Georgia,Barrow County,2020-02-20,-5.847,-35.548,3.713,-7.92,-0.747,-0.12
Georgia,Barrow County,2020-02-21,-2.114,23.025,-1.019,6.087,4.1,3.16
Georgia,Barrow County,2020-02-22,-1.653,47.998,-1.623,5.107,4.451,2.076
Georgia,Barrow County,2020-02-23,-2.055,20.469,-1.193,4.808,3.377,2.52
Georgia,Barrow County,2020-02-24,-6.988,-20.873,2.551,-9.229,-2.066,-0.122
Georgia,Barrow County,2020-02-25,-1.488,9.33,0.348,4.163,0.687,3.142
Georgia,Barrow County,2020-02-26,1.085,5.028,-0.465,12.531,4.016,2.381
Georgia,Barrow County,2020-02-27,4.764,6.209,-1.143,12.299,6.071,1.442
Georgia,Barrow County,2020-02-28,3.844,29.812,-2.771,11.718,7.468,1.391
Georgia,Barrow County,2020-02-29,5.695,40.474,-2.525,9.025,12.127,2.422
Georgia,Barrow County,2020-03-01,2.26,49.052,-2.019,11.396,8.384,1.68
Georgia,Barrow County,2020-03-02,3.931,-9.468,1.076,-0.295,0.027,2.434
Georgia,Barrow County,2020-03-03,6.803,-0.034,0.733,9.681,-0.154,2.779
Georgia,Barrow County,2020-03-04,-0.868,-19.316,1.495,6.696,-1.637,0.952
Georgia,Barrow County,2020-03-05,1.083,-29.96,2.51,2.05,-0.934,2.283
Georgia,Barrow County,2020-03-06,-2.691,44.475,-1.798,6.239,5.18,2.149
Georgia,Barrow County,2020-03-07,5.511,78.693,-2.577,8.045,8.953,1.384
Georgia,Barrow County,2020-03-08,-1.233,57.026,-1.392,8.636,3.932,-2.52
Georgia,Barrow County,2020-03-09,5.459,53.188,0.126,6.774,-0.228,1.582
Georgia,Barrow County,2020-03-10,-1.488,18.283,0.786,2.711,-2.774,1.692
Georgia,Barrow County,2020-03-11,3.255,38.487,-0.403,6.026,-0.42,0.952
Georgia,Barrow County,2020-03-12,25.988,22.819,-1.17,12.299,-1.948,0.481
Georgia,Barrow County,2020-03-13,38.63,38.625,2.162,8.446,-4.524,-12.01
Georgia,Barrow County,2020-03-14,18.004,50.09,1.504,-5.737,-3.947,1.384
Georgia,Barrow County,2020-03-15,4.315,1.909,3.324,-12.999,-12.669,-7.14
Georgia,Barrow County,2020-03-16,25.769,-4.314,7.421,-14.432,-19.872,-17.158
Georgia,Barrow County,2020-03-17,9.354,11.525,9.29,-16.167,-21.437,-19.697
Georgia,Barrow County,2020-03-18,10.417,23.548,11.232,-18.079,-24.164,-24.762
Georgia,Barrow County,2020-03-19,14.51,27.414,11.814,-18.541,-28.994,-26.312
Georgia,Barrow County,2020-03-20,17.297,46.2,12.494,-18.262,-30.513,-29.581
Georgia,Barrow County,2020-03-21,3.307,33.493,7.933,-27.913,-26.925,-18.342
Georgia,Barrow County,2020-03-22,-8.218,-17.914,9.349,-35.613,-41.754,-27.302
Georgia,Barrow County,2020-03-23,-2.184,-39.663,16.455,-35.049,-43.246,-33.221
Georgia,Barrow County,2020-03-24,-9.566,-22.57,18.631,-36.691,-40.325,-35.165
Georgia,Barrow County,2020-03-25,-2.17,19.099,15.938,-30.896,-39.443,-36.19
Georgia,Barrow County,2020-03-26,-4.548,3.136,16.847,-29.536,-42.564,-36.885
Georgia,Barrow County,2020-03-27,0.577,33.187,16.829,-27.849,-44.574,-38.683
Georgia,Barrow County,2020-03-28,-3.491,13.582,10.964,-35.259,-43.05,-26.301
Georgia,Barrow County,2020-03-29,-12.944,-2.05,,-36.948,-51.684,-35.282
Georgia,Bartow County,2020-02-16,3.314,-5.723,0.323,1.71,-1.488,0.313
Georgia,Bartow County,2020-02-17,9.14,30.637,2.14,7.967,4.239,-13.256
Georgia,Bartow County,2020-02-18,-2.408,-26.745,4.196,-2.544,1.796,-11.461
Georgia,Bartow County,2020-02-19,10.721,-5.952,1.566,8.716,-0.861,-5.781
