state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
Georgia,Bacon County,2020-02-16,-9.989,-18.7,0.633,-1.672,-4.671,-3.206
Georgia,Bacon County,2020-02-17,-22.163,23.944,3.797,3.612,-0.027,-18.603
Georgia,Bacon County,2020-02-18,-8.865,-23.085,3.177,-4.387,1.471,-4.896
Georgia,Bacon County,2020-02-19,18.697,1.7,0.775,1.703,3.218,-2.471
Georgia,Bacon County,2020-02-20,-3.397,-35.548,3.784,-6.447,-0.747,-4.336
Georgia,Bacon County,2020-02-21,2.948,23.025,0.316,1.533,4.1,-2.891
Georgia,Bacon County,2020-02-22,-10.653,47.998,-1.077,4.663,4.451,3.589
Georgia,Bacon County,2020-02-23,-2.854,20.469,-0.541,2.285,3.377,0.922
Georgia,Bacon County,2020-02-24,1.108,-20.873,1.45,-4.862,-2.066,1.442
Georgia,Bacon County,2020-02-25,-4.987,9.33,0.313,4.76,0.687,2.128
Georgia,Bacon County,2020-02-26,21.368,5.028,-1.112,8.729,4.016,1.484
Georgia,Bacon County,2020-02-27,2.264,6.209,-0.999,9.698,6.071,1.591
Georgia,Bacon County,2020-02-28,6.879,29.812,-2.402,8.638,7.468,2.001
Georgia,Bacon County,2020-02-29,23.674,40.474,-2.524,12.56,12.127,3.908
Georgia,Bacon County,2020-03-01,,49.052,-1.966,12.737,8.384,2.133
Georgia,Bacon County,2020-03-02,,-9.468,-0.029,4.357,0.027,2.385
Georgia,Bacon County,2020-03-03,4.433,-0.034,0.457,9.927,-0.154,1.391
Georgia,Bacon County,2020-03-04,22.703,-19.316,1.28,2.75,-1.637,-0.307
Georgia,Bacon County,2020-03-05,3.397,-29.96,2.433,1.38,-0.934,-1.183
Georgia,Bacon County,2020-03-06,-0.983,44.475,-1.753,7.068,5.18,0.699
Georgia,Bacon County,2020-03-07,16.572,78.693,-2.317,9.937,8.953,4.911
Georgia,Bacon County,2020-03-08,2.854,57.026,-1.1,7.635,3.932,1.173
Georgia,Bacon County,2020-03-09,4.433,53.188,-1.117,6.729,-0.228,1.844
Georgia,Bacon County,2020-03-10,-4.433,18.283,1.006,5.33,-2.774,-0.502
Georgia,Bacon County,2020-03-11,10.684,38.487,-0.336,6.385,-0.42,-1.105
Georgia,Bacon County,2020-03-12,2.264,22.819,0.052,8.035,-1.948,-1.498
Georgia,Bacon County,2020-03-13,11.792,38.625,1.4,2.869,-4.524,-7.604
Georgia,Bacon County,2020-03-14,-3.551,50.09,1.578,-4.327,-3.947,-0.191
Georgia,Bacon County,2020-03-15,5.708,1.909,3.446,-11.78,-12.669,-8.972
Georgia,Bacon County,2020-03-16,6.649,-4.314,7.333,-8.457,-19.872,-19.65
Georgia,Bacon County,2020-03-17,6.649,11.525,10.553,-14.115,-21.437,-25.319
Georgia,Bacon County,2020-03-18,18.697,23.548,11.525,-18.266,-24.164,-29.272
Georgia,Bacon County,2020-03-19,14.719,27.414,12.862,-20.569,-28.994,-30.955
Georgia,Bacon County,2020-03-20,2.948,46.2,13.167,-24.341,-30.513,-31.952
Georgia,Bacon County,2020-03-21,11.837,33.493,8.786,-31.042,-26.925,-17.887
Georgia,Bacon County,2020-03-22,-4.281,-17.914,9.772,-39.498,-41.754,-29.249
Georgia,Bacon County,2020-03-23,1.108,-39.663,16.272,-35.19,-43.246,-37.642
Georgia,Bacon County,2020-03-24,-1.108,-22.57,18.365,-35.065,-40.325,-40.901
Georgia,Bacon County,2020-03-25,16.026,19.099,16.77,-32.983,-39.443,-41.975
Georgia,Bacon County,2020-03-26,-4.529,3.136,18.042,-34.343,-42.564,-42.564
Georgia,Bacon County,2020-03-27,-9.827,33.187,17.657,-34.896,-44.574,-42.396
Georgia,Bacon County,2020-03-28,-16.572,13.582,11.668,-39.109,-43.05,-28.151
Georgia,Bacon County,2020-03-29,-15.696,-2.05,11.097,-42.312,-51.684,-36.677
Georgia,Baldwin County,2020-02-16,-10.893,-18.7,0.633,0.356,-4.671,-6.887
Georgia,Baldwin County,2020-02-17,-6.283,23.944,3.797,9.161,-0.027,-14.881
Georgia,Baldwin County,2020-02-18,-14.976,-23.085,3.177,-3.102,1.471,0.681
Georgia,Baldwin County,2020-02-19,-4.644,1.7,0.775,3.068,3.218,1.018
Georgia,Baldwin County,2020-02-20,-20.45,-35.548,3.784,-7.092,-0.747,-1.353
Georgia,Baldwin County,2020-02-21,-2.793,23.025,0.316,6.335,4.1,2.48
