state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
HK,Overall,2020-02-16,-12.135,-35.271,13.02,-27.782,-36.277,-18.567
HK,Overall,2020-02-17,-2.823,-14.157,14.942,-23.17,-32.359,-20.527
HK,Overall,2020-02-18,-4.923,-11.011,15.74,-23.707,-32.667,-21.026
HK,Overall,2020-02-19,-7.99,-11.236,14.338,-23.994,-31.297,-17.36
HK,Overall,2020-02-20,-10.902,-12.33,12.276,-24.309,-27.805,-11.201
HK,Overall,2020-02-21,-5.254,-13.767,17.332,-23.941,-31.442,-20.684
HK,Overall,2020-02-22,-1.5,-4.726,12.823,-23.14,-30.501,-16.392
HK,Overall,2020-02-23,-3.825,-6.568,11.456,-23.676,-31.251,-17.482
HK,Overall,2020-02-24,-6.64,-10.437,14.395,-23.114,-30.666,-18.801
HK,Overall,2020-02-25,-8.534,-8.656,15.102,-24.261,-31.292,-19.282
HK,Overall,2020-02-26,-10.842,-8.308,13.624,-23.857,-30.233,-15.238
HK,Overall,2020-02-27,-10.222,-14.295,11.833,-23.91,-26.903,-9.447
HK,Overall,2020-02-28,-5.863,-12.861,16.407,-22.551,-29.467,-18.593
HK,Overall,2020-02-29,-1.552,-6.503,11.946,-21.564,-25.383,-14.077
HK,Overall,2020-03-01,-5.059,-4.676,10.501,-21.919,-26.952,-15.449
HK,Overall,2020-03-02,-4.751,-14.207,12.87,-21.622,-27.219,-14.365
HK,Overall,2020-03-03,-4.093,-9.403,13.578,-22.004,-28.135,-14.381
HK,Overall,2020-03-04,-12.995,-20.818,12.946,-23.721,-27.454,-10.698
HK,Overall,2020-03-05,-9.045,-18.333,10.55,-22.205,-23.819,-4.553
HK,Overall,2020-03-06,-3.706,-12.45,15.016,-20.463,-26.153,-14.354
HK,Overall,2020-03-07,0.086,-4.146,11.468,-19.848,-24.147,-12.443
HK,Overall,2020-03-08,-5.616,-10.212,10.412,-20.76,-26.125,-14.82
HK,Overall,2020-03-09,-8.392,-12.844,12.56,-21.164,-26.4,-13.297
HK,Overall,2020-03-10,-4.305,-3.037,12.639,-20.07,-25.729,-12.443
HK,Overall,2020-03-11,-7.121,-13.656,11.828,-21.215,-25.565,-8.695
HK,Overall,2020-03-12,-8.788,-13.32,9.922,-21.751,-22.21,-2.565
HK,Overall,2020-03-13,-2.876,-11.77,14.506,-20.206,-25.696,-13.168
HK,Overall,2020-03-14,-0.776,-3.554,11.293,-19.608,-23.781,-12.394
HK,Overall,2020-03-15,1.513,0.967,9.434,-18.341,-23.116,-13.909
HK,Overall,2020-03-16,-2.765,-0.842,11.848,-19.801,-25.529,-12.271
HK,Overall,2020-03-17,-5.56,-7.471,12.73,-21.731,-27.694,-12.176
HK,Overall,2020-03-18,-14.317,-24.701,12.694,-25.133,-28.808,-9.504
HK,Overall,2020-03-19,-16.179,-23.484,10.714,-24.611,-24.779,-2.978
HK,Overall,2020-03-20,-3.669,-19.886,15.233,-22.184,-28.207,-13.296
HK,Overall,2020-03-21,-0.569,-19.764,12.926,-24.125,-29.648,-12.735
HK,Overall,2020-03-22,-2.243,-11.223,11.659,-24.748,-32.093,-15.059
HK,Overall,2020-03-23,0.156,-10.403,14.211,-24.496,-31.76,-17.157
HK,Overall,2020-03-24,-3.263,-11.823,16.026,-27.037,-33.938,-19.227
HK,Overall,2020-03-25,-4.552,-11.746,14.791,-26.713,-32.754,-16.111
HK,Overall,2020-03-26,-9.211,-20.777,13.275,-27.955,-30.839,-11.159
HK,Overall,2020-03-27,0.664,-16.104,18.045,-25.922,-33.25,-20.51
HK,Overall,2020-03-28,-4.276,-38.041,15.88,-30.953,-36.912,-17.448
HK,Overall,2020-03-29,-7.424,-42.731,16.166,-34.908,-44.594,-23.84
