state,county,category,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29
HR,Bjelovar-Bilogora County,grocery/pharmacy,9.813,0.447,1.447,3.823,-1.647,1.634,3.32,10.568,0.447,12.056,0.956,-1.647,-4.902,2.075,0.755,,,,0.412,1.634,7.47,15.851,-0.894,5.787,4.778,9.881,26.552,12.035,9.058,21.012,6.752,19.113,-10.293,-25.735,-32.371,-43.025,-42.918,-51.119,-47.305,-51.877,-51.471,-53.536,-60.386
HR,Bjelovar-Bilogora County,parks,6.562,23.946,15.244,16.315,8.193,15.319,24.306,7.382,4.789,17.785,,4.682,-2.042,0.868,-12.303,8.381,,3.765,15.215,-6.127,-0.868,2.461,3.592,17.785,26.355,23.408,-2.042,1.736,0.82,14.368,27.947,20.08,26.919,17.361,-10.417,-41.011,-29.933,-41.921,-43.926,-40.964,-28.595,-16.493,-23.786
HR,Bjelovar-Bilogora County,retail/recreation,14.706,10.274,5.054,3.592,7.812,6.127,10.659,8.17,9.132,4.492,-1.382,4.167,3.299,5.814,3.268,7.705,3.65,2.21,3.906,5.892,12.112,19.608,9.132,5.615,7.184,5.729,2.592,-3.876,-6.944,-2.854,-14.881,-16.302,-55.729,-66.931,-73.341,-84.559,-70.134,-83.67,-80.681,-80.729,-81.307,-81.88,-89.052
HR,Bjelovar-Bilogora County,workplace,1.031,-1.382,-2.756,-0.825,-4.134,-1.411,-0.643,1.031,-2.487,-3.031,-3.298,-2.205,-1.129,1.286,,1.382,0.551,0.275,0.827,-0.565,3.858,8.251,1.934,3.031,1.099,1.653,,-4.501,-5.157,-22.381,-25.353,-28.859,-34.998,-40.368,-37.937,-44.348,-51.393,-58.973,-59.642,-58.697,-55.612,-48.868,-47.442
HR,Brod-Posavina County,grocery/pharmacy,8.737,7.854,4.269,3.458,-1.074,4.371,1.984,17.473,6.614,12.38,4.322,-2.148,-4.006,5.622,11.425,6.614,5.55,7.348,3.222,1.457,6.944,22.177,5.374,10.246,14.263,10.739,25.131,11.905,12.097,25.215,6.831,9.077,-15.75,-25.131,-33.399,-56.452,-35.549,-49.522,-48.842,-49.757,-48.077,-50.595,-61.828
HR,Brod-Posavina County,retail/recreation,12.916,6.246,7.153,7.184,2.251,7.481,4.783,23.304,6.692,7.6,-2.02,0.819,1.496,0.886,0.562,7.584,4.471,6.51,5.73,0.561,12.578,14.039,5.353,4.694,9.653,1.842,-2.805,-13.287,-16.566,-9.368,-26.824,-26.266,-54.232,-62.089,-72.81,-87.882,-68.032,-79.801,-80.145,-77.972,-76.489,-78.125,-83.951
HR,Brod-Posavina County,transitstations,25.374,9.766,6.649,3.222,11.692,14.245,16.718,28.045,9.766,7.757,2.148,1.063,8.903,15.432,20.032,3.255,-1.108,-3.222,2.126,10.684,11.574,21.368,-2.17,-4.433,4.296,-4.252,-10.684,-18.004,-33.387,-36.892,-46.543,-48.325,-57.398,-67.664,-70.73,-77.457,-80.295,-86.436,-90.206,-89.286,-89.031,-83.591,-86.806
HR,Brod-Posavina County,workplace,0.814,-0.466,-0.934,-0.702,-0.702,0.477,0.518,1.628,1.165,0.934,0.936,0.936,0.715,2.073,0.814,3.496,1.635,2.107,3.043,0.953,0.518,2.441,0.932,1.868,1.404,0.234,,-4.146,-5.697,-20.507,-23.589,-27.856,-36.283,-40.522,-41.459,-50.456,-49.636,-55.82,-56.882,-57.35,-54.825,-48.715,-52.897
HR,City of Zagreb,grocery/pharmacy,1.084,1.534,-5.373,0.492,0.064,1.183,-2.053,-2.948,7.391,13.414,-2.461,-0.673,-1.151,-0.778,-7.022,1.883,-4.586,-1.02,1.219,2.27,3.236,8.019,1.673,4.175,11.496,30.788,26.889,7.934,-1.647,20.638,-1.3,8.051,-17.575,-20.271,-30.833,-60.471,-48.632,-55.916,-55.37,-57.118,-52.883,-56.719,-63.852
HR,City of Zagreb,parks,37.879,24.225,1.786,14.349,25.253,12.132,44.643,-0.789,23.619,16.071,-27.105,11.574,-3.765,9.191,-22.491,27.253,5.952,-1.594,33.67,2.092,31.95,35.906,21.197,44.048,51.552,43.14,-38.906,16.194,11.443,16.352,29.167,14.881,29.987,2.928,-49.895,-33.933,-67.829,-73.214,-76.531,-77.336,-61.496,-45.956,-53.267
HR,City of Zagreb,residential,-2.813,-0.929,1.127,-0.426,-0.93,-0.947,-2.186,-2.816,-1.21,-0.078,2.238,0.754,0.962,0.333,0.647,-0.867,0.622,-0.049,-0.897,0.121,-0.772,-2.784,-0.824,-0.525,-1.407,-0.577,4.746,4.939,3.825,11.699,15.309,16.608,20.322,23.817,16.255,4.101,24.296,31.11,32.35,33.275,34.55,19.928,16.48
HR,City of Zagreb,retail/recreation,8.954,5.39,1.732,3.638,6.005,2.509,3.042,-1.442,3.637,1.16,-13.367,-1.212,-5.414,-3.794,-10.128,2.84,1.575,1.199,4.053,-3.769,3.668,10.363,-2.231,3.264,1.771,-0.485,-19.722,-25.503,-32.28,-28.443,-34.717,-38.451,-65.454,-72.105,-82.394,-78.88,-81.708,-86.199,-86.781,-86.433,-84.565,-84.886,-88.622
HR,City of Zagreb,transitstations,5.709,1.428,-4.622,0.486,1.417,2.071,1.287,-0.564,1.353,0.338,-10.727,-3.02,-4.749,-5.632,-7.612,3.457,-1.353,-0.748,2.983,0.071,-0.536,10.501,-0.188,2.367,3.588,0.447,-16.212,-25.371,-28.473,-42.426,-48.513,-51.242,-57.154,-62.029,-69.194,-48.418,-85.829,-89.661,-89.627,-89.067,-85.312,-79.171,-79.57
HR,City of Zagreb,workplace,0.544,0.645,1.289,1.407,0.854,0.81,1.779,2.283,1.232,2.817,-0.139,0.119,0.709,3.08,-0.435,2.366,2.976,2.656,2.722,2.43,2.464,1.305,2.034,3.511,3.31,1.451,-2.613,-3.627,-6.198,-28.804,-35.946,-40.866,-48.665,-53.835,-47.156,-33.055,-70.768,-74.768,-75.132,-75.313,-73.806,-58.175,-53.171
HR,Dubrovnik-Neretva County,grocery/pharmacy,6.219,3.73,-1.698,1.177,-1.363,4.134,3.441,2.591,6.026,4.529,4.708,-2.181,-1.653,1.564,-2.073,7.174,-8.775,1.471,2.454,-3.031,6.256,-1.555,4.017,5.378,10.005,19.361,25.904,15.953,14.511,16.931,3.114,13.242,-13.634,-20.668,-22.835,-43.014,-45.914,-55.763,-53.555,-55.356,-54.012,-49.424,-55.97
HR,Dubrovnik-Neretva County,parks,52.966,18.481,22.019,18.784,3.916,11.737,21.159,36.194,20.161,24.56,3.415,9.398,-1.467,22.786,-7.945,10.921,-8.469,17.077,21.93,-11.004,8.952,-2.648,21.001,23.713,26.469,19.58,9.536,3.255,-1.766,-5.04,-7.622,-2.561,-11.748,-13.204,-28.483,-52.966,-63.004,-66.904,-60.622,-61.873,-68.955,-48.014,-30.014
HR,Dubrovnik-Neretva County,retail/recreation,14.159,7.888,10.6,4.877,6.002,10.985,15.51,17.193,8.293,11.823,-5.657,1.355,0.947,10.899,-5.562,4.854,-0.204,1.951,4.066,-3.22,14.881,4.804,6.27,12.027,4.487,8.519,7.197,1.467,-8.596,-8.091,-13.658,-19.117,-54.407,-62.121,-68.955,-84.446,-80.906,-83.578,-83.684,-83.837,-83.712,-79.802,-81.159
