state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
HU,Baranya,2020-02-16,10.937,,-2.23,31.236,22.148,5.034
HU,Baranya,2020-02-17,2.695,,-0.463,5.851,8.027,3.164
HU,Baranya,2020-02-18,5.348,,0.02,4.057,5.921,2.998
HU,Baranya,2020-02-19,2.652,,-0.381,4.912,6.117,3.005
HU,Baranya,2020-02-20,2.535,,-0.613,8.963,5.645,2.647
HU,Baranya,2020-02-21,5.668,,-0.369,10.111,4.977,0.889
HU,Baranya,2020-02-22,8.908,,-1.742,40.707,31.492,2.756
HU,Baranya,2020-02-23,16.674,,-2.047,74.967,98.63,6.196
HU,Baranya,2020-02-24,3.046,,0.879,4.7,5.29,-1.157
HU,Baranya,2020-02-25,6.32,,-0.62,11.511,9.991,1.999
HU,Baranya,2020-02-26,-0.723,,2.29,-5.375,-6.858,0.77
HU,Baranya,2020-02-27,10.486,,0.289,11.798,6.374,1.557
HU,Baranya,2020-02-28,5.989,,0.803,2.9,-0.858,0.97
HU,Baranya,2020-02-29,3.445,,0.104,3.733,6.46,4.685
HU,Baranya,2020-03-01,,,0.136,10.865,7.267,5.421
HU,Baranya,2020-03-02,1.289,,0.478,1.535,4.743,2.701
HU,Baranya,2020-03-03,3.525,,0.392,3.208,3.515,2.614
HU,Baranya,2020-03-04,5.546,,0.128,8.155,7.785,2.003
HU,Baranya,2020-03-05,11.062,,-0.995,12.163,11.473,3.036
HU,Baranya,2020-03-06,8.663,,0.841,6.819,2.059,0.566
HU,Baranya,2020-03-07,13.184,,-1.175,14.487,9.959,2.48
HU,Baranya,2020-03-08,24.563,,-2.309,33.409,19.726,8.906
HU,Baranya,2020-03-09,4.218,,-0.075,6.714,6.385,1.852
HU,Baranya,2020-03-10,11.061,,-0.402,9.813,8.326,2.614
HU,Baranya,2020-03-11,15.553,,-0.528,8.711,8.341,1.849
HU,Baranya,2020-03-12,19.819,,-0.655,11.798,8.195,0.078
HU,Baranya,2020-03-13,19.678,,2.065,-2.273,-3.261,-2.263
HU,Baranya,2020-03-14,25.774,,1.043,-6.133,2.422,1.653
HU,Baranya,2020-03-15,-76.018,,2.785,-48.756,-12.112,-10.455
HU,Baranya,2020-03-16,34.566,,7.573,-7.961,-17.696,-23.38
HU,Baranya,2020-03-17,12.276,,11.696,-29.91,-26.828,-31.596
HU,Baranya,2020-03-18,3.014,,13.227,-36.051,-29.841,-35.904
HU,Baranya,2020-03-19,-12.099,,14.738,-41.52,-34.965,-38.381
HU,Baranya,2020-03-20,-17.646,,17.127,-50.477,-38.784,-39.76
HU,Baranya,2020-03-21,-27.437,,10.577,-60.705,-39.298,-25.353
HU,Baranya,2020-03-22,-40.519,,10.928,-72.659,-54.679,-32.141
HU,Baranya,2020-03-23,-30.231,,20.596,-58.222,-53.634,-46.914
HU,Baranya,2020-03-24,-36.586,,23.848,-65.387,-56.801,-52.045
HU,Baranya,2020-03-25,-30.985,,23.576,-63.112,-57.273,-51.236
HU,Baranya,2020-03-26,-26.503,,22.271,-57.251,-53.54,-48.814
HU,Baranya,2020-03-27,-6.952,,20.145,-48.282,-43.589,-46.224
HU,Baranya,2020-03-28,-42.759,,13.012,-72.081,-48.45,-33.62
HU,Baranya,2020-03-29,-46.436,,9.826,-72.523,-46.373,-31.366
HU,Borsod-Abaúj-Zemplén,2020-02-16,9.262,178.319,-1.913,33.323,27.62,4.015
HU,Borsod-Abaúj-Zemplén,2020-02-17,3.704,21.081,-0.084,5.556,5.862,2.665
HU,Borsod-Abaúj-Zemplén,2020-02-18,3.743,24.136,-0.367,5.359,8.642,2.703
HU,Borsod-Abaúj-Zemplén,2020-02-19,1.615,26.647,-0.327,0.961,0.752,2.32
HU,Borsod-Abaúj-Zemplén,2020-02-20,0.943,10.739,-0.051,3.04,1.339,0.94
HU,Borsod-Abaúj-Zemplén,2020-02-21,0.851,11.234,-0.125,3.035,1.135,0.635
HU,Borsod-Abaúj-Zemplén,2020-02-22,3.967,33.967,-1.339,9.863,8.562,4.614
HU,Borsod-Abaúj-Zemplén,2020-02-23,2.03,17.655,-0.822,4.198,8.681,2.362
HU,Borsod-Abaúj-Zemplén,2020-02-24,3.523,17.361,0.305,2.778,2.555,2.054
HU,Borsod-Abaúj-Zemplén,2020-02-25,3.104,35.569,-0.283,3.266,8.179,2.262
HU,Borsod-Abaúj-Zemplén,2020-02-26,2.871,7.267,0.922,-4.244,-0.301,1.933
HU,Borsod-Abaúj-Zemplén,2020-02-27,7.03,17.182,0.351,1.04,3.869,0.83
HU,Borsod-Abaúj-Zemplén,2020-02-28,4.256,-2.042,0.588,1.976,4.116,-0.404
HU,Borsod-Abaúj-Zemplén,2020-02-29,4.643,15.097,-0.45,1.214,3.669,3.017
HU,Borsod-Abaúj-Zemplén,2020-03-01,0.508,36.194,-0.725,11.414,14.731,2.126
HU,Borsod-Abaúj-Zemplén,2020-03-02,-1.807,-6.2,1.312,-3.038,-0.601,1.222
HU,Borsod-Abaúj-Zemplén,2020-03-03,4.93,10.163,0.368,1.842,4.63,2.207
HU,Borsod-Abaúj-Zemplén,2020-03-04,3.768,-9.69,1.144,-2.722,-1.503,1.16
HU,Borsod-Abaúj-Zemplén,2020-03-05,15.689,20.404,-0.783,11.601,6.101,0.553
HU,Borsod-Abaúj-Zemplén,2020-03-06,12.46,6.127,-0.274,9.739,5.819,0.52
HU,Borsod-Abaúj-Zemplén,2020-03-07,21.103,21.135,-2.041,23.747,15.492,0.887
HU,Borsod-Abaúj-Zemplén,2020-03-08,29.563,26.483,-2.435,24.139,20.255,7.086
HU,Borsod-Abaúj-Zemplén,2020-03-09,8.583,34.722,-0.355,8.767,6.914,1.61
HU,Borsod-Abaúj-Zemplén,2020-03-10,8.673,43.191,-0.653,8.29,9.259,0.938
HU,Borsod-Abaúj-Zemplén,2020-03-11,19.29,25.436,-0.232,5.044,5.261,0.166
HU,Borsod-Abaúj-Zemplén,2020-03-12,24.348,28.995,-0.064,10.321,8.482,-1.494
HU,Borsod-Abaúj-Zemplén,2020-03-13,20.276,11.234,1.523,1.553,0.851,-1.905
HU,Borsod-Abaúj-Zemplén,2020-03-14,26.506,29.438,0.266,0.986,7.339,0.355
HU,Borsod-Abaúj-Zemplén,2020-03-15,-85.516,54.732,2.722,-37.915,-6.576,-18.896
HU,Borsod-Abaúj-Zemplén,2020-03-16,35.415,7.44,6.906,-0.521,-15.482,-20.933
HU,Borsod-Abaúj-Zemplén,2020-03-17,11.32,31.758,10.209,-23.948,-20.062,-28.635
HU,Borsod-Abaúj-Zemplén,2020-03-18,3.32,26.647,11.749,-29.785,-25.403,-31.758
HU,Borsod-Abaúj-Zemplén,2020-03-19,-8.402,27.921,13.335,-34.082,-26.637,-35.239
HU,Borsod-Abaúj-Zemplén,2020-03-20,-16.639,26.552,14.532,-39.733,-31.647,-35.569
HU,Borsod-Abaúj-Zemplén,2020-03-21,-29.207,-55.857,10.541,-56.142,-40.158,-21.295
HU,Borsod-Abaúj-Zemplén,2020-03-22,-41.489,-38.842,8.597,-59.43,-41.824,-22.676
HU,Borsod-Abaúj-Zemplén,2020-03-23,-27.284,-32.242,18.264,-51.215,-45.695,-41.256
HU,Borsod-Abaúj-Zemplén,2020-03-24,-25.928,-15.244,17.915,-46.975,-40.123,-42.428
HU,Borsod-Abaúj-Zemplén,2020-03-25,-27.545,-15.746,18.232,-51.243,-42.989,-42.528
