state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
HU,Budapest,2020-02-16,8.009,40.683,-2.895,10.676,15.278,1.563
HU,Budapest,2020-02-17,5.152,28.93,-0.588,5.851,5.518,3.234
HU,Budapest,2020-02-18,6.623,32.067,-0.73,4.599,5.104,2.944
HU,Budapest,2020-02-19,3.156,17.646,-0.6,2.673,2.581,3.036
HU,Budapest,2020-02-20,3.577,19.039,-0.667,5.369,4.879,2.659
HU,Budapest,2020-02-21,1.955,0.536,-0.359,1.578,0.805,1.876
HU,Budapest,2020-02-22,2.329,33.2,-2.089,3.485,9.073,3.378
HU,Budapest,2020-02-23,5.144,16.174,-2.298,4.144,8.739,2.501
HU,Budapest,2020-02-24,5.767,32.847,-0.165,1.736,1.704,2.921
HU,Budapest,2020-02-25,9.974,53.687,-1.117,3.375,5.245,3.264
HU,Budapest,2020-02-26,9.284,8.349,0.251,-2.482,-0.542,2.342
HU,Budapest,2020-02-27,14.089,5.535,-0.159,1.915,1.794,1.86
HU,Budapest,2020-02-28,8.603,-2.911,0.175,0.303,-0.157,1.572
HU,Budapest,2020-02-29,3.516,6.849,-0.922,-0.627,4.434,5.752
HU,Budapest,2020-03-01,1.738,2.992,-1.217,-2.482,3.783,2.188
HU,Budapest,2020-03-02,2.938,20.291,0.193,-1.753,1.658,3.386
HU,Budapest,2020-03-03,4.227,5.896,0.315,-1.716,0.117,3.174
HU,Budapest,2020-03-04,5.244,4.269,-0.098,1.665,0.472,3.106
HU,Budapest,2020-03-05,7.067,17.361,-0.459,2.477,3.119,3.184
HU,Budapest,2020-03-06,2.709,-18.306,1.013,-3.113,-2.26,0.347
HU,Budapest,2020-03-07,9.438,3.718,-1.143,3.042,2.746,4.382
HU,Budapest,2020-03-08,18.626,15.889,-2.694,7.742,8.328,3.814
HU,Budapest,2020-03-09,6.767,22.601,0.072,1.435,0.336,2.658
HU,Budapest,2020-03-10,12.025,30.619,-0.236,1.831,1.807,2.063
HU,Budapest,2020-03-11,21.907,9.202,0.772,-2.133,-2.88,0.332
HU,Budapest,2020-03-12,25.041,31.619,1.892,-5.13,-7.21,-3.498
HU,Budapest,2020-03-13,25.696,-13.634,5.528,-16.151,-19.332,-8.968
HU,Budapest,2020-03-14,18.83,-16.502,3.445,-29.023,-26.263,-2.511
HU,Budapest,2020-03-15,-78.166,3.135,4.514,-60.156,-32.221,-20.196
HU,Budapest,2020-03-16,30.283,-13.762,13.405,-25.896,-40.92,-32.159
HU,Budapest,2020-03-17,9.426,-4.345,18.94,-47.32,-50.693,-44.238
HU,Budapest,2020-03-18,-0.396,-14.136,21.292,-52.944,-56.536,-49.686
HU,Budapest,2020-03-19,-12.726,-23.148,23.275,-57.964,-59.698,-52.882
HU,Budapest,2020-03-20,-17.945,-28.646,23.61,-59.969,-61.017,-52.81
HU,Budapest,2020-03-21,-29.288,-68.944,14.432,-70.115,-64.942,-31.633
HU,Budapest,2020-03-22,-35.748,-66.832,13.381,-74.209,-69.54,-34.889
HU,Budapest,2020-03-23,-35.527,-69.712,28.34,-68.339,-71.906,-59.729
HU,Budapest,2020-03-24,-29.044,-52.652,28.289,-66.652,-70.454,-61.27
HU,Budapest,2020-03-25,-32.532,-61.76,29.215,-68.567,-72.056,-61.829
HU,Budapest,2020-03-26,-30.436,-50.238,29.044,-67.032,-69.742,-61.485
HU,Budapest,2020-03-27,-12.01,-34.467,25.066,-59.44,-64.541,-58.579
HU,Budapest,2020-03-28,-40.126,-51.855,15.836,-77.345,-69.325,-39.713
HU,Budapest,2020-03-29,-41.855,-39.543,12.97,-77.007,-69.828,-40.516
HU,Bács-Kiskun,2020-02-16,10.307,40.479,-2.158,18.647,14.635,2.541
HU,Bács-Kiskun,2020-02-17,3.765,17.894,-0.293,4.918,2.666,2.501
HU,Bács-Kiskun,2020-02-18,3.159,12.142,-0.349,4.417,1.452,1.879
HU,Bács-Kiskun,2020-02-19,2.524,12.401,-0.844,4.65,0.183,2.709
HU,Bács-Kiskun,2020-02-20,2.197,4.845,-0.606,1.974,3.118,1.338
HU,Bács-Kiskun,2020-02-21,3.093,2.205,-0.256,2.66,2.143,0.174
HU,Bács-Kiskun,2020-02-22,3.812,18.854,-1.043,9.488,11.203,3.238
HU,Bács-Kiskun,2020-02-23,7.558,22.668,-1.684,11.36,13.487,1.27
HU,Bács-Kiskun,2020-02-24,2.51,3.834,0.565,-1.175,0.178,1.223
HU,Bács-Kiskun,2020-02-25,3.255,20.45,-0.726,3.99,2.359,1.989
HU,Bács-Kiskun,2020-02-26,2.427,4.96,1.533,-6.107,-6.396,0.498
HU,Bács-Kiskun,2020-02-27,7.414,5.451,0.133,2.179,3.301,-0.334
HU,Bács-Kiskun,2020-02-28,5.685,-7.165,0.946,,-0.494,-1.565
HU,Bács-Kiskun,2020-02-29,5.23,10.841,-0.041,2.421,7.151,3.778
HU,Bács-Kiskun,2020-03-01,6.047,21.049,-0.875,12.539,11.765,2.541
HU,Bács-Kiskun,2020-03-02,4.248,6.391,0.468,-1.395,-0.533,1.445
HU,Bács-Kiskun,2020-03-03,5.266,7.669,-0.027,2.494,-2.722,1.879
HU,Bács-Kiskun,2020-03-04,8.155,6.2,0.675,2.915,-1.645,0.553
HU,Bács-Kiskun,2020-03-05,10.801,19.38,-0.835,8.374,6.235,1.115
HU,Bács-Kiskun,2020-03-06,11.955,2.205,0.578,4.655,0.165,-1.217
HU,Bács-Kiskun,2020-03-07,19.149,8.956,-1.188,16.162,8.581,3.778
HU,Bács-Kiskun,2020-03-08,29.821,23.748,-2.761,34.401,18.365,6.098
HU,Bács-Kiskun,2020-03-09,9.557,19.172,-0.538,4.845,2.489,1.668
HU,Bács-Kiskun,2020-03-10,11.297,21.728,-0.791,7.267,1.633,1.05
HU,Bács-Kiskun,2020-03-11,22.134,17.981,-0.388,5.552,1.462,-0.111
HU,Bács-Kiskun,2020-03-12,24.165,36.943,-0.962,11.574,4.952,-0.78
