state,county,category,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29
HU,Budapest,grocery/pharmacy,8.009,5.152,6.623,3.156,3.577,1.955,2.329,5.144,5.767,9.974,9.284,14.089,8.603,3.516,1.738,2.938,4.227,5.244,7.067,2.709,9.438,18.626,6.767,12.025,21.907,25.041,25.696,18.83,-78.166,30.283,9.426,-0.396,-12.726,-17.945,-29.288,-35.748,-35.527,-29.044,-32.532,-30.436,-12.01,-40.126,-41.855
HU,Budapest,parks,40.683,28.93,32.067,17.646,19.039,0.536,33.2,16.174,32.847,53.687,8.349,5.535,-2.911,6.849,2.992,20.291,5.896,4.269,17.361,-18.306,3.718,15.889,22.601,30.619,9.202,31.619,-13.634,-16.502,3.135,-13.762,-4.345,-14.136,-23.148,-28.646,-68.944,-66.832,-69.712,-52.652,-61.76,-50.238,-34.467,-51.855,-39.543
HU,Budapest,residential,-2.895,-0.588,-0.73,-0.6,-0.667,-0.359,-2.089,-2.298,-0.165,-1.117,0.251,-0.159,0.175,-0.922,-1.217,0.193,0.315,-0.098,-0.459,1.013,-1.143,-2.694,0.072,-0.236,0.772,1.892,5.528,3.445,4.514,13.405,18.94,21.292,23.275,23.61,14.432,13.381,28.34,28.289,29.215,29.044,25.066,15.836,12.97
HU,Budapest,retail/recreation,10.676,5.851,4.599,2.673,5.369,1.578,3.485,4.144,1.736,3.375,-2.482,1.915,0.303,-0.627,-2.482,-1.753,-1.716,1.665,2.477,-3.113,3.042,7.742,1.435,1.831,-2.133,-5.13,-16.151,-29.023,-60.156,-25.896,-47.32,-52.944,-57.964,-59.969,-70.115,-74.209,-68.339,-66.652,-68.567,-67.032,-59.44,-77.345,-77.007
HU,Budapest,transitstations,15.278,5.518,5.104,2.581,4.879,0.805,9.073,8.739,1.704,5.245,-0.542,1.794,-0.157,4.434,3.783,1.658,0.117,0.472,3.119,-2.26,2.746,8.328,0.336,1.807,-2.88,-7.21,-19.332,-26.263,-32.221,-40.92,-50.693,-56.536,-59.698,-61.017,-64.942,-69.54,-71.906,-70.454,-72.056,-69.742,-64.541,-69.325,-69.828
HU,Budapest,workplace,1.563,3.234,2.944,3.036,2.659,1.876,3.378,2.501,2.921,3.264,2.342,1.86,1.572,5.752,2.188,3.386,3.174,3.106,3.184,0.347,4.382,3.814,2.658,2.063,0.332,-3.498,-8.968,-2.511,-20.196,-32.159,-44.238,-49.686,-52.882,-52.81,-31.633,-34.889,-59.729,-61.27,-61.829,-61.485,-58.579,-39.713,-40.516
HU,Bács-Kiskun,grocery/pharmacy,10.307,3.765,3.159,2.524,2.197,3.093,3.812,7.558,2.51,3.255,2.427,7.414,5.685,5.23,6.047,4.248,5.266,8.155,10.801,11.955,19.149,29.821,9.557,11.297,22.134,24.165,26.501,30.23,-78.606,44.119,17.138,12.426,-4.119,-9.614,-22.784,-35.043,-20.949,-22.212,-23.396,-22.335,-1.254,-41.312,-43.975
HU,Bács-Kiskun,parks,40.479,17.894,12.142,12.401,4.845,2.205,18.854,22.668,3.834,20.45,4.96,5.451,-7.165,10.841,21.049,6.391,7.669,6.2,19.38,2.205,8.956,23.748,19.172,21.728,17.981,36.943,11.574,21.682,27.526,6.391,16.616,24.802,27.859,26.455,-3.771,-21.589,-29.397,-26.84,-31.622,-10.296,12.125,7.541,10.794
HU,Bács-Kiskun,residential,-2.158,-0.293,-0.349,-0.844,-0.606,-0.256,-1.043,-1.684,0.565,-0.726,1.533,0.133,0.946,-0.041,-0.875,0.468,-0.027,0.675,-0.835,0.578,-1.188,-2.761,-0.538,-0.791,-0.388,-0.962,1.255,1.374,3.291,7.639,9.854,11.699,12.73,14.867,10.556,9.441,19.091,19.31,20.035,18.196,16.201,12.497,9.043
HU,Bács-Kiskun,retail/recreation,18.647,4.918,4.417,4.65,1.974,2.66,9.488,11.36,-1.175,3.99,-6.107,2.179,,2.421,12.539,-1.395,2.494,2.915,8.374,4.655,16.162,34.401,4.845,7.267,5.552,11.574,5.018,1.701,-36.115,-2.716,-20.306,-26.163,-30.025,-35.972,-48.615,-58.728,-47.495,-47.951,-48.995,-44.458,-35.065,-62.552,-64.193
HU,Bács-Kiskun,transitstations,14.635,2.666,1.452,0.183,3.118,2.143,11.203,13.487,0.178,2.359,-6.396,3.301,-0.494,7.151,11.765,-0.533,-2.722,-1.645,6.235,0.165,8.581,18.365,2.489,1.633,1.462,4.952,0.165,-0.715,-18.365,-23.109,-27.947,-28.692,-30.993,-37.579,-34.802,-50.218,-51.195,-51.539,-52.997,-46.398,-40.876,-44.098,-49.357
HU,Bács-Kiskun,workplace,2.541,2.501,1.879,2.709,1.338,0.174,3.238,1.27,1.223,1.989,0.498,-0.334,-1.565,3.778,2.541,1.445,1.879,0.553,1.115,-1.217,3.778,6.098,1.668,1.05,-0.111,-0.78,-2.666,,-15.244,-20.011,-26.304,-29.857,-31.601,-34.432,-19.07,-27.693,-39.966,-41.501,-42.629,-41.076,-38.896,-24.288,-28.455
HU,Békés County,grocery/pharmacy,12.019,2.332,4.229,0.626,-0.741,-0.407,4.328,2.828,1.399,2.506,-0.156,4.89,-0.815,9.253,3.064,1.088,2.506,0.156,10.817,12.766,18.356,31.109,7.774,9.712,17.83,22.671,23.224,34.324,-62.453,42.133,15.038,6.725,-4.89,-9.235,-19.102,-30.873,-19.9,-21.617,-24.712,-21.93,,-36.861,-40.535
HU,Békés County,residential,-2.309,-0.673,-0.58,-1.109,0.101,0.541,-1.424,-1.546,-0.094,-0.308,1.129,0.191,1.609,-0.302,-0.284,0.198,0.177,1.441,-0.752,-0.039,-0.682,-2.671,-0.549,-0.767,,-0.852,1.07,0.561,2.077,6.101,9.027,10.514,12.403,13.931,9.072,8.247,17.088,17.478,17.195,17.635,15.077,11.056,7.278
HU,Békés County,retail/recreation,22.124,4.098,6.641,6.151,1.492,-1.671,10.19,14.519,1.718,2.734,-0.523,2.61,-0.446,6.668,6.222,1.983,1.302,,10.069,7.91,18.871,34.799,5.552,8.594,6.543,10.566,9.024,10.064,-26.964,2.247,-21.224,-24.34,-31.449,-35.873,-45.919,-49.548,-46.003,-47.786,-45.933,-44.625,-32.865,-62.022,-55.771
HU,Békés County,transitstations,19.947,6.51,9.131,5.024,3.918,5.002,15.291,21.055,5.208,12.175,2.68,6.204,-0.883,13.857,8.865,6.836,3.72,-2.345,7.837,4.12,6.212,22.717,5.534,8.455,3.684,9.47,0.294,11.946,-12.19,-14.648,-20.292,-24.116,-28.736,-34.134,-30.103,-45.988,-42.318,-43.966,-43.877,-40.165,-35.605,-37.748,-44.326
HU,Békés County,workplace,8.512,2.783,3.157,2.588,2.155,1.264,3.228,5.674,2.69,3.528,1.386,2.717,-0.486,2.641,5.674,2.504,3.435,0.739,2.81,0.875,2.054,9.322,3.432,3.621,2.218,1.592,-1.264,,-10.133,-19.757,-24.881,-28.191,-30.07,-32.096,-17.899,-23.914,-37.381,-37.786,-38.727,-38.875,-36.181,-23.474,-23.914
HU,Csongrád,grocery/pharmacy,12.95,2.33,4.299,1.369,0.656,2.051,2.762,6.546,-0.485,5.798,-0.685,6.188,2.854,4.439,1.85,-0.291,0.5,0.098,9.001,10.167,14.599,23.48,3.883,9.697,15.649,19.502,20.423,26.732,-69.444,30.483,8.697,0.978,-10.782,-12.753,-24.463,-34.722,-28.444,-28.891,-30.125,-26.065,-5.619,-37.78,-41.268
HU,Csongrád,parks,43.256,19.189,20.069,18.116,0.807,-8.425,39.804,9.71,-6.396,28.67,-9.964,-6.46,-15.319,12.703,7.945,3.655,-3.823,-9.058,12.112,-12.255,14.397,10.593,11.879,30.581,17.21,33.107,3.064,26.253,26.483,-5.482,-11.468,-5.435,-13.727,-5.362,-24.56,-47.669,-53.911,-54.472,-56.159,-38.76,-16.085,-13.55,-12.359
HU,Csongrád,residential,-2.473,-0.308,-0.044,-0.397,0.016,0.802,-1.161,-2.058,0.468,-0.785,0.991,-0.149,1.1,-0.408,-0.879,0.418,0.841,1.328,-0.8,0.722,-0.317,-2.723,-0.281,-0.633,0.31,-0.024,2.243,1.735,3.653,8.816,12.585,14.392,15.771,17.45,11.543,9.946,20.523,21.874,22.407,21.057,19.309,13.583,9.974
