state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
IE,County Carlow,2020-02-16,-3.912,,,-3.42,,1.578
IE,County Carlow,2020-02-17,-0.425,,,6.168,,-9.363
IE,County Carlow,2020-02-18,-0.854,,,5.258,,-9.681
IE,County Carlow,2020-02-19,-6.176,,,5.02,,-11.531
IE,County Carlow,2020-02-20,-0.763,,,9.47,,-14.17
IE,County Carlow,2020-02-21,-0.354,,,0.707,,-16.967
IE,County Carlow,2020-02-22,0.372,,,1.065,,1.063
IE,County Carlow,2020-02-23,-1.956,,,-4.998,,4.735
IE,County Carlow,2020-02-24,4.677,,,,,0.78
IE,County Carlow,2020-02-25,3.842,,,-1.972,,4.26
IE,County Carlow,2020-02-26,-2.059,,,-2.51,,4.228
IE,County Carlow,2020-02-27,4.579,,,4.878,,4.213
IE,County Carlow,2020-02-28,6.732,,,-1.885,,1.973
IE,County Carlow,2020-02-29,-1.488,,,-7.456,,2.126
IE,County Carlow,2020-03-01,0.978,,,-0.526,,-1.578
IE,County Carlow,2020-03-02,6.378,,,3.084,,1.561
IE,County Carlow,2020-03-03,6.404,,,13.801,,2.711
IE,County Carlow,2020-03-04,2.882,,,8.785,,3.075
IE,County Carlow,2020-03-05,3.816,,,7.748,,4.979
IE,County Carlow,2020-03-06,4.252,,,9.898,,2.367
IE,County Carlow,2020-03-07,2.976,,,,,1.063
IE,County Carlow,2020-03-08,5.379,,,0.263,,-3.157
IE,County Carlow,2020-03-09,4.677,,,,,-0.39
IE,County Carlow,2020-03-10,11.1,,,2.629,,2.711
IE,County Carlow,2020-03-11,11.528,,,1.569,,3.075
IE,County Carlow,2020-03-12,33.959,,,4.591,,-1.532
IE,County Carlow,2020-03-13,13.109,,,-20.268,,-23.674
IE,County Carlow,2020-03-14,1.488,,,-25.775,,-4.252
IE,County Carlow,2020-03-15,7.825,,,-34.985,,-15.783
IE,County Carlow,2020-03-16,16.582,,,-19.788,,-43.305
IE,County Carlow,2020-03-17,-32.445,,,-60.463,,-80.545
IE,County Carlow,2020-03-18,-12.352,,,-38.278,,-41.513
IE,County Carlow,2020-03-19,-16.789,,,-41.609,,-42.126
IE,County Carlow,2020-03-20,-12.401,,,-46.663,,-42.219
IE,County Carlow,2020-03-21,0.372,,,-49.793,,-34.014
IE,County Carlow,2020-03-22,-6.358,,,-57.015,,-34.722
IE,County Carlow,2020-03-23,-18.282,,,-43.86,,-44.086
IE,County Carlow,2020-03-24,-10.246,,,-40.418,,-45.307
IE,County Carlow,2020-03-25,-18.116,,,-51.377,,-48.432
IE,County Carlow,2020-03-26,-18.315,,,-53.949,,-49.02
IE,County Carlow,2020-03-27,-12.401,,,-57.739,,-48.532
IE,County Carlow,2020-03-28,-21.949,,,-80.521,,-47.832
IE,County Carlow,2020-03-29,-36.678,,,-86.543,,-50.505
IE,County Cavan,2020-02-16,-10.185,,,2.256,,-1.12
IE,County Cavan,2020-02-17,-4.228,,,7.622,,-6.348
IE,County Cavan,2020-02-18,-1.136,,,4.699,,-3.7
IE,County Cavan,2020-02-19,-1.132,,,-0.363,,-6.21
IE,County Cavan,2020-02-20,-0.709,,,9.47,,-12.635
IE,County Cavan,2020-02-21,-3.57,,,2.541,,-13.347
IE,County Cavan,2020-02-22,3.157,,,1.979,,
IE,County Cavan,2020-02-23,1.109,,,10.906,,
IE,County Cavan,2020-02-24,1.922,,,4.234,,3.174
IE,County Cavan,2020-02-25,1.136,,,,,4.838
IE,County Cavan,2020-02-26,0.755,,,0.726,,3.105
IE,County Cavan,2020-02-27,4.96,,,8.067,,4.492
IE,County Cavan,2020-02-28,7.788,,,7.057,,2.031
IE,County Cavan,2020-02-29,1.894,,,-9.402,,1.51
IE,County Cavan,2020-03-01,5.546,,,17.298,,5.6
IE,County Cavan,2020-03-02,4.997,,,5.081,,4.905
IE,County Cavan,2020-03-03,5.682,,,11.357,,6.261
IE,County Cavan,2020-03-04,9.058,,,6.17,,5.646
IE,County Cavan,2020-03-05,8.149,,,12.977,,4.773
IE,County Cavan,2020-03-06,7.464,,,12.421,,3.772
IE,County Cavan,2020-03-07,6.629,,,8.907,,0.755
IE,County Cavan,2020-03-08,7.664,,,9.777,,3.36
IE,County Cavan,2020-03-09,5.381,,,1.27,,3.174
IE,County Cavan,2020-03-10,11.742,,,8.615,,5.692
IE,County Cavan,2020-03-11,19.626,,,3.992,,5.081
IE,County Cavan,2020-03-12,39.683,,,6.664,,2.527
