state,county,category,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29
IE,County Carlow,grocery/pharmacy,-3.912,-0.425,-0.854,-6.176,-0.763,-0.354,0.372,-1.956,4.677,3.842,-2.059,4.579,6.732,-1.488,0.978,6.378,6.404,2.882,3.816,4.252,2.976,5.379,4.677,11.1,11.528,33.959,13.109,1.488,7.825,16.582,-32.445,-12.352,-16.789,-12.401,0.372,-6.358,-18.282,-10.246,-18.116,-18.315,-12.401,-21.949,-36.678
IE,County Carlow,parks,-28.812,11.829,12.09,-5.327,11.593,-1.445,-3.942,0.693,2.506,5.821,9.403,14.605,-0.069,-27.619,-5.173,12.444,28.882,25.425,14.529,9.665,-0.831,-0.124,-13.016,14.687,-3.471,-13.099,0.929,-15.123,20.223,20.975,66.72,14.286,29.096,15.822,-11.584,38.664,7.255,10.389,12.793,14.755,-0.413,-59.313,-59.53
IE,County Carlow,residential,2.064,1.622,1.342,2.006,1.968,2.67,0.216,-0.176,0.302,0.063,0.193,-0.11,-0.1,3.191,0.283,0.042,-0.867,-0.018,0.051,0.023,0.713,0.365,1.692,0.717,2.249,3.156,11.647,9.257,8.536,17.576,28.841,20.092,21.901,23.528,16.828,12.594,21.431,22.208,24.193,25.437,26.278,21.467,19.49
IE,County Carlow,retail/recreation,-3.42,6.168,5.258,5.02,9.47,0.707,1.065,-4.998,,-1.972,-2.51,4.878,-1.885,-7.456,-0.526,3.084,13.801,8.785,7.748,9.898,,0.263,,2.629,1.569,4.591,-20.268,-25.775,-34.985,-19.788,-60.463,-38.278,-41.609,-46.663,-49.793,-57.015,-43.86,-40.418,-51.377,-53.949,-57.739,-80.521,-86.543
IE,County Carlow,transitstations,-6.164,-0.041,-0.152,-2.309,-0.953,-1.383,-0.592,1.286,0.851,0.387,1.29,3.788,4.186,-9.279,1.967,1.473,2.033,0.679,0.245,-0.147,-3.751,-3.668,-6.069,-3.042,-8.923,-14.248,-30.148,-33.627,-34.907,-45.508,-62.251,-51.584,-53.876,-57.468,-58.979,-53.362,-60.997,-61.588,-63.183,-64.775,-66.244,-75.431,-78.077
IE,County Carlow,workplace,1.578,-9.363,-9.681,-11.531,-14.17,-16.967,1.063,4.735,0.78,4.26,4.228,4.213,1.973,2.126,-1.578,1.561,2.711,3.075,4.979,2.367,1.063,-3.157,-0.39,2.711,3.075,-1.532,-23.674,-4.252,-15.783,-43.305,-80.545,-41.513,-42.126,-42.219,-34.014,-34.722,-44.086,-45.307,-48.432,-49.02,-48.532,-47.832,-50.505
IE,County Cavan,grocery/pharmacy,-10.185,-4.228,-1.136,-1.132,-0.709,-3.57,3.157,1.109,1.922,1.136,0.755,4.96,7.788,1.894,5.546,4.997,5.682,9.058,8.149,7.464,6.629,7.664,5.381,11.742,19.626,39.683,16.225,7.576,9.58,22.294,-34.848,-10.945,-8.149,-7.139,3.157,-8.168,-14.606,-8.712,-13.964,-15.944,-8.437,-19.255,-40.84
IE,County Cavan,parks,-28.812,11.829,12.09,-5.327,11.593,-1.445,-3.942,0.693,2.506,5.821,9.403,14.605,-0.069,-27.619,-5.173,12.444,28.882,25.425,14.529,9.665,-0.831,-0.124,-13.016,14.687,-3.471,-13.099,0.929,-15.123,20.223,20.975,66.72,14.286,29.096,15.822,-11.584,38.664,7.255,10.389,12.793,14.755,-0.413,-59.313,-59.53
IE,County Cavan,residential,2.064,1.622,1.342,2.006,1.968,2.67,0.216,-0.176,0.302,0.063,0.193,-0.11,-0.1,3.191,0.283,0.042,-0.867,-0.018,0.051,0.023,0.713,0.365,1.692,0.717,2.249,3.156,11.647,9.257,8.536,17.576,28.841,20.092,21.901,23.528,16.828,12.594,21.431,22.208,24.193,25.437,26.278,21.467,19.49
IE,County Cavan,retail/recreation,2.256,7.622,4.699,-0.363,9.47,2.541,1.979,10.906,4.234,,0.726,8.067,7.057,-9.402,17.298,5.081,11.357,6.17,12.977,12.421,8.907,9.777,1.27,8.615,3.992,6.664,-9.316,-21.031,-30.836,-16.938,-65.398,-41.376,-40.685,-46.014,-47.259,-47.383,-39.804,-45.034,-53.354,-52.609,-55.612,-71.754,-84.236
