state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
Idaho,Ada County,2020-02-16,3.324,-5.65,-0.84,11.428,-2.963,1.782
Idaho,Ada County,2020-02-17,4.827,35.636,6.093,11.257,-2.586,-32.442
Idaho,Ada County,2020-02-18,4.672,26.139,-0.185,1.159,7.33,0.968
Idaho,Ada County,2020-02-19,4.404,7.034,-0.385,0.907,8.394,2.636
Idaho,Ada County,2020-02-20,4.659,18.808,-0.779,3.135,6.432,1.502
Idaho,Ada County,2020-02-21,4.273,16.071,-0.927,2.665,3.883,2.943
Idaho,Ada County,2020-02-22,8.409,71.245,-1.55,9.481,1.568,2.965
Idaho,Ada County,2020-02-23,9.532,87.218,-1.324,11.616,2.963,3.483
Idaho,Ada County,2020-02-24,6.941,28.587,-0.795,3.885,4.802,2.518
Idaho,Ada County,2020-02-25,5.874,45.646,-0.963,8.18,6.173,2.516
Idaho,Ada County,2020-02-26,9.689,31.484,-0.978,6.639,6.487,3.457
Idaho,Ada County,2020-02-27,10.584,69.806,-1.887,9.044,7.862,2.767
Idaho,Ada County,2020-02-28,9.111,64.583,-0.623,6.982,5.909,-2.414
Idaho,Ada County,2020-02-29,11.006,47.582,-1.382,11.837,4.032,2.83
Idaho,Ada County,2020-03-01,18.819,86.864,-1.845,20.03,7.978,3.726
Idaho,Ada County,2020-03-02,14.71,33.678,-0.939,7.83,-1.847,2.919
Idaho,Ada County,2020-03-03,15.773,64.763,-0.97,8.562,-0.579,2.882
Idaho,Ada County,2020-03-04,15.252,53.591,-0.937,6.213,3.625,3.695
Idaho,Ada County,2020-03-05,14.881,94.401,-1.95,10.071,6.075,2.36
Idaho,Ada County,2020-03-06,12.416,59.524,-1.065,7.124,3.208,2.989
Idaho,Ada County,2020-03-07,13.356,18.261,-0.491,12.14,8.065,1.752
Idaho,Ada County,2020-03-08,14.811,112.288,-0.982,16.027,1.596,3.888
Idaho,Ada County,2020-03-09,13.515,54.041,-0.558,5.496,-2.586,2.05
Idaho,Ada County,2020-03-10,14.2,101.436,-1.255,9.056,3.472,1.806
Idaho,Ada County,2020-03-11,15.252,99.143,-0.891,6.021,0.763,2.787
Idaho,Ada County,2020-03-12,27.003,85.72,-0.754,7.483,-3.752,0.922
Idaho,Ada County,2020-03-13,40.352,61.012,0.651,2.219,-7.935,
Idaho,Ada County,2020-03-14,37.017,23.148,2.465,-4.119,-10.977,0.202
Idaho,Ada County,2020-03-15,25.37,63.912,3.002,-3.375,-14.588,-8.91
Idaho,Ada County,2020-03-16,33.696,94.377,6.629,-3.398,-18.285,-18.271
Idaho,Ada County,2020-03-17,19.936,56.57,11.056,-14.326,-17.361,-27.654
Idaho,Ada County,2020-03-18,17.245,38.853,12.775,-19.478,-20.414,-31.957
Idaho,Ada County,2020-03-19,13.524,120.804,12.981,-21.476,-28.23,-35.137
Idaho,Ada County,2020-03-20,14.391,85.417,15.659,-31.898,-35.96,-38.171
Idaho,Ada County,2020-03-21,1.319,115.484,8.414,-38.171,-32.706,-23.38
Idaho,Ada County,2020-03-22,-5.328,169.138,6.291,-33.419,-38.977,-33.858
Idaho,Ada County,2020-03-23,-1.977,42.685,15.716,-32.915,-41.371,-45.053
Idaho,Ada County,2020-03-24,-1.573,34.332,18.193,-34.557,-37.037,-47.374
Idaho,Ada County,2020-03-25,9.133,11.723,18.564,-35.08,-38.919,-48.896
Idaho,Ada County,2020-03-26,-14.655,30.744,21.288,-48.022,-46.455,-55.237
Idaho,Ada County,2020-03-27,-16.891,13.69,23.869,-52.442,-50.817,-55.418
Idaho,Ada County,2020-03-28,-21.682,39.866,13.687,-53.867,-47.043,-39.753
Idaho,Ada County,2020-03-29,-23.903,33.898,11.165,-50.623,-55.844,-44.55
Idaho,Bannock County,2020-02-16,-4.727,13.828,0.064,14.027,4.529,-1.12
Idaho,Bannock County,2020-02-17,3.534,43.952,6.817,15.137,9.804,-36.758
Idaho,Bannock County,2020-02-18,-3.646,20.025,0.48,-3.47,5.661,2.509
Idaho,Bannock County,2020-02-19,2.205,11.713,-0.326,5.838,16.801,2.503
Idaho,Bannock County,2020-02-20,2.658,16.205,-0.407,3.756,28.736,1.953
Idaho,Bannock County,2020-02-21,-1.415,21.627,-0.518,3.171,9.557,6.269
Idaho,Bannock County,2020-02-22,2.576,40.32,-1.885,5.064,12.5,12.875
Idaho,Bannock County,2020-02-23,0.727,43.586,-1.089,29.249,18.116,4.107
Idaho,Bannock County,2020-02-24,2.693,18.01,-0.656,4.448,8.578,7.046
Idaho,Bannock County,2020-02-25,3.299,30.038,-0.407,5.506,16.984,4.254
Idaho,Bannock County,2020-02-26,4.75,24.37,-1.351,16.823,8.961,2.612
Idaho,Bannock County,2020-02-27,7.476,46.879,-2.289,17.048,32.328,2.279
Idaho,Bannock County,2020-02-28,5.661,45.817,0.226,14.123,20.069,-5.787
Idaho,Bannock County,2020-02-29,5.723,14.093,-2.123,12.524,13.542,7.608
Idaho,Bannock County,2020-03-01,6.363,53.563,-0.866,32.62,21.135,3.734
Idaho,Bannock County,2020-03-02,9.929,22.083,-1.675,12.875,24.51,8.455
Idaho,Bannock County,2020-03-03,10.59,42.762,-0.724,12.219,9.058,2.509
Idaho,Bannock County,2020-03-04,8.143,33.627,-1.327,15.748,19.041,2.83
Idaho,Bannock County,2020-03-05,5.15,55.368,-1.338,11.991,62.261,1.628
Idaho,Bannock County,2020-03-06,3.68,41.171,-1.827,11.241,10.512,6.631
Idaho,Bannock County,2020-03-07,9.158,1.716,-1.033,10.673,15.625,6.437
Idaho,Bannock County,2020-03-08,6.726,66.517,-1.041,30.01,22.645,1.867
Idaho,Bannock County,2020-03-09,7.404,37.734,-0.971,7.413,28.186,7.516
Idaho,Bannock County,2020-03-10,15.104,65.498,-1.235,10.862,13.587,1.963
Idaho,Bannock County,2020-03-11,10.858,60.075,-1.108,12.675,15.681,2.503
Idaho,Bannock County,2020-03-12,23.757,54.21,-1.409,10.836,31.13,1.085
Idaho,Bannock County,2020-03-13,30.288,32.681,-1.006,6.629,15.291,3.858
Idaho,Bannock County,2020-03-14,22.751,-11.152,2.958,-7.732,-8.333,4.096
Idaho,Bannock County,2020-03-15,12.907,28.532,3.212,10.982,22.645,-6.72
Idaho,Bannock County,2020-03-16,27.093,65.392,1.462,-0.468,3.676,-0.705
Idaho,Bannock County,2020-03-17,19.618,56.32,7.286,-7.995,3.397,-20.288
Idaho,Bannock County,2020-03-18,12.385,47.607,9.043,-11.753,-5.6,-25.688
Idaho,Bannock County,2020-03-19,8.307,93.373,9.84,-15.748,,-28.863
Idaho,Bannock County,2020-03-20,3.68,68.726,11.19,-24.327,-11.468,-28.453
Idaho,Bannock County,2020-03-21,-4.436,75.982,8.967,-37.3,-19.792,-15.508
Idaho,Bannock County,2020-03-22,-12.18,140.035,5.753,-15.984,3.019,-25.015
Idaho,Bannock County,2020-03-23,-5.722,46.525,10.818,-27.856,-7.353,-33.0
Idaho,Bannock County,2020-03-24,-8.16,39.841,13.628,-27.909,-3.397,-39.485
Idaho,Bannock County,2020-03-25,2.545,10.201,12.989,-25.734,-15.681,-39.511
Idaho,Bannock County,2020-03-26,-9.304,23.536,16.216,-41.175,-13.17,-46.224
Idaho,Bannock County,2020-03-27,-18.399,10.573,17.876,-47.5,-25.803,-44.608
Idaho,Bannock County,2020-03-28,-24.754,13.358,12.193,-55.595,-39.583,-28.968
Idaho,Bannock County,2020-03-29,-25.269,24.681,9.31,-40.558,-28.684,-38.082
Idaho,Bingham County,2020-02-16,-8.013,13.828,-0.359,3.623,0.163,-9.549
Idaho,Bingham County,2020-02-17,-5.397,43.952,3.443,5.372,-0.263,-24.65
Idaho,Bingham County,2020-02-18,-1.079,20.025,-0.194,-2.009,8.921,3.382
Idaho,Bingham County,2020-02-19,4.987,11.713,-0.295,5.452,7.355,4.829
Idaho,Bingham County,2020-02-20,-1.562,16.205,-0.349,4.636,7.366,4.167
Idaho,Bingham County,2020-02-21,-4.041,21.627,-1.048,2.925,6.721,2.651
Idaho,Bingham County,2020-02-22,-0.513,40.32,-1.315,14.152,8.681,5.669
Idaho,Bingham County,2020-02-23,1.002,43.586,-0.845,21.286,9.147,4.34
Idaho,Bingham County,2020-02-24,2.159,18.01,-2.348,2.089,4.348,15.108
Idaho,Bingham County,2020-02-25,4.318,30.038,-0.788,4.591,9.32,2.931
Idaho,Bingham County,2020-02-26,2.77,24.37,-1.199,16.931,6.967,2.759
Idaho,Bingham County,2020-02-27,3.125,46.879,-1.304,5.726,9.863,6.481
Idaho,Bingham County,2020-02-28,3.143,45.817,-1.677,11.699,9.503,2.12
Idaho,Bingham County,2020-02-29,1.539,14.093,-1.526,8.816,11.141,4.96
Idaho,Bingham County,2020-03-01,18.029,53.563,-1.616,21.739,16.007,
Idaho,Bingham County,2020-03-02,4.858,22.083,-2.618,17.013,2.898,20.409
Idaho,Bingham County,2020-03-03,12.414,42.762,-1.101,11.478,7.19,4.509
Idaho,Bingham County,2020-03-04,15.514,33.627,-1.005,8.609,7.355,5.059
Idaho,Bingham County,2020-03-05,14.583,55.368,-1.314,12.271,12.734,2.546
Idaho,Bingham County,2020-03-06,3.592,41.171,-1.291,7.199,7.648,-1.06
Idaho,Bingham County,2020-03-07,15.907,1.716,-0.771,9.512,11.141,8.503
Idaho,Bingham County,2020-03-08,21.034,66.517,-1.094,20.833,13.557,-1.736
Idaho,Bingham County,2020-03-09,9.715,37.734,-2.512,11.939,4.611,20.409
Idaho,Bingham County,2020-03-10,9.715,65.498,-1.353,12.913,11.317,2.255
Idaho,Bingham County,2020-03-11,14.96,60.075,-1.029,12.913,6.064,4.599
Idaho,Bingham County,2020-03-12,21.875,54.21,-0.992,16.089,6.742,3.704
Idaho,Bingham County,2020-03-13,34.124,32.681,-0.29,13.724,2.202,1.325
Idaho,Bingham County,2020-03-14,43.617,-11.152,2.627,-0.232,-2.026,-1.417
Idaho,Bingham County,2020-03-15,47.075,28.532,2.705,5.888,1.96,-19.097
Idaho,Bingham County,2020-03-16,41.559,65.392,1.483,13.73,-2.108,17.229
Idaho,Bingham County,2020-03-17,25.907,56.32,7.031,2.009,-2.397,-16.459
Idaho,Bingham County,2020-03-18,22.717,47.607,8.846,-4.878,-6.064,-19.776
Idaho,Bingham County,2020-03-19,14.062,93.373,9.529,-10.362,-9.238,-22.454
Idaho,Bingham County,2020-03-20,13.47,68.726,10.415,-18.224,-16.108,-22.265
Idaho,Bingham County,2020-03-21,16.933,75.982,6.671,-33.176,-10.418,-6.378
Idaho,Bingham County,2020-03-22,11.018,140.035,5.221,-13.134,-11.434,-26.91
Idaho,Bingham County,2020-03-23,10.255,46.525,9.141,-15.222,-19.762,-17.759
Idaho,Bingham County,2020-03-24,3.778,39.841,13.203,-18.652,-14.247,-31.566
Idaho,Bingham County,2020-03-25,17.176,10.201,13.86,-20.661,-19.354,-32.653
Idaho,Bingham County,2020-03-26,-8.333,23.536,16.88,-33.541,-26.467,-36.806
Idaho,Bingham County,2020-03-27,-10.327,10.573,17.913,-38.022,-32.796,-35.252
Idaho,Bingham County,2020-03-28,-8.21,13.358,11.751,-39.903,-28.648,-19.841
Idaho,Bingham County,2020-03-29,-13.021,24.681,9.81,-21.739,-33.974,-39.062
Idaho,Blaine County,2020-02-16,-7.246,13.828,-0.359,22.36,0.163,4.735
Idaho,Blaine County,2020-02-17,-7.267,43.952,3.443,13.138,-0.263,-27.312
Idaho,Blaine County,2020-02-18,-1.736,20.025,-0.194,8.681,8.921,4.817
Idaho,Blaine County,2020-02-19,-4.883,11.713,-0.295,1.667,7.355,2.943
Idaho,Blaine County,2020-02-20,-4.921,16.205,-0.349,4.921,7.366,1.776
Idaho,Blaine County,2020-02-21,-7.603,21.627,-1.048,0.683,6.721,1.86
Idaho,Blaine County,2020-02-22,-6.614,40.32,-1.315,1.958,8.681,
Idaho,Blaine County,2020-02-23,-9.058,43.586,-0.845,8.726,9.147,-1.578
Idaho,Blaine County,2020-02-24,-5.652,18.01,-2.348,3.285,4.348,3.811
Idaho,Blaine County,2020-02-25,-1.736,30.038,-0.788,4.34,9.32,
Idaho,Blaine County,2020-02-26,-1.628,24.37,-1.199,4.167,6.967,1.177
Idaho,Blaine County,2020-02-27,-2.461,46.879,-1.304,7.792,9.863,1.184
Idaho,Blaine County,2020-02-28,3.041,45.817,-1.677,9.904,9.503,-3.72
Idaho,Blaine County,2020-02-29,2.48,14.093,-1.526,14.098,11.141,-6.51
Idaho,Blaine County,2020-03-01,3.623,53.563,-1.616,35.995,16.007,3.157
Idaho,Blaine County,2020-03-02,0.807,22.083,-2.618,18.3,2.898,3.176
Idaho,Blaine County,2020-03-03,8.681,42.762,-1.101,16.493,7.19,2.408
Idaho,Blaine County,2020-03-04,2.441,33.627,-1.005,20.833,7.355,2.354
Idaho,Blaine County,2020-03-05,6.562,55.368,-1.314,18.865,12.734,-1.184
Idaho,Blaine County,2020-03-06,2.281,41.171,-1.291,3.757,7.648,-0.62
Idaho,Blaine County,2020-03-07,-11.574,1.716,-0.771,1.175,11.141,-5.208
Idaho,Blaine County,2020-03-08,-7.246,66.517,-1.094,3.818,13.557,-7.891
Idaho,Blaine County,2020-03-09,-3.23,37.734,-2.512,8.446,4.611,1.27
Idaho,Blaine County,2020-03-10,,65.498,-1.353,8.247,11.317,0.602
Idaho,Blaine County,2020-03-11,-8.138,60.075,-1.029,-1.667,6.064,-1.766
Idaho,Blaine County,2020-03-12,9.843,54.21,-0.992,-1.23,6.742,-2.367
Idaho,Blaine County,2020-03-13,12.165,32.681,-0.29,-7.172,2.202,-13.021
Idaho,Blaine County,2020-03-14,14.881,-11.152,2.627,-20.363,-2.026,-11.719
Idaho,Blaine County,2020-03-15,2.717,28.532,2.705,-35.995,1.96,-17.361
Idaho,Blaine County,2020-03-16,0.807,65.392,1.483,-19.238,-2.108,-22.866
Idaho,Blaine County,2020-03-17,-6.944,56.32,7.031,-36.024,-2.397,-34.923
Idaho,Blaine County,2020-03-18,-14.648,47.607,8.846,-48.75,-6.064,-40.607
Idaho,Blaine County,2020-03-19,-16.404,93.373,9.529,-51.263,-9.238,-43.205
Idaho,Blaine County,2020-03-20,-25.091,68.726,10.415,-74.112,-16.108,-61.384
Idaho,Blaine County,2020-03-21,-38.856,75.982,6.671,-83.412,-10.418,-59.896
Idaho,Blaine County,2020-03-22,-44.384,140.035,5.221,-80.17,-11.434,-63.131
Idaho,Blaine County,2020-03-23,-41.182,46.525,9.141,-73.198,-19.762,-63.516
Idaho,Blaine County,2020-03-24,-39.062,39.841,13.203,-76.823,-14.247,-66.835
Idaho,Blaine County,2020-03-25,-40.69,10.201,13.86,-76.667,-19.354,-66.502
Idaho,Blaine County,2020-03-26,-40.19,23.536,16.88,-79.56,-26.467,-68.655
Idaho,Blaine County,2020-03-27,-42.579,10.573,17.913,-81.967,-32.796,-70.064
Idaho,Blaine County,2020-03-28,-47.123,13.358,11.751,-83.803,-28.648,-61.198
Idaho,Blaine County,2020-03-29,-49.819,24.681,9.81,-86.169,-33.974,-64.71
Idaho,Bonner County,2020-02-16,-8.865,13.828,-0.359,23.281,0.163,-1.532
Idaho,Bonner County,2020-02-17,-4.252,43.952,3.443,13.706,-0.263,-20.643
Idaho,Bonner County,2020-02-18,4.209,20.025,-0.194,8.186,8.921,3.283
Idaho,Bonner County,2020-02-19,1.021,11.713,-0.295,7.935,7.355,3.541
Idaho,Bonner County,2020-02-20,4.125,16.205,-0.349,8.028,7.366,3.783
Idaho,Bonner County,2020-02-21,-7.684,21.627,-1.048,3.94,6.721,7.238
Idaho,Bonner County,2020-02-22,-1.965,40.32,-1.315,11.074,8.681,2.097
Idaho,Bonner County,2020-02-23,-18.839,43.586,-0.845,10.561,9.147,-0.766
Idaho,Bonner County,2020-02-24,2.126,18.01,-2.348,5.904,4.348,6.352
Idaho,Bonner County,2020-02-25,-7.365,30.038,-0.788,6.549,9.32,2.985
Idaho,Bonner County,2020-02-26,-1.021,24.37,-1.199,12.41,6.967,4.131
Idaho,Bonner County,2020-02-27,14.439,46.879,-1.304,8.983,9.863,3.783
Idaho,Bonner County,2020-02-28,-2.561,45.817,-1.677,10.401,9.503,3.776
Idaho,Bonner County,2020-02-29,-5.896,14.093,-1.526,9.517,11.141,2.796
Idaho,Bonner County,2020-03-01,-4.433,53.563,-1.616,21.841,16.007,
Idaho,Bonner County,2020-03-02,6.378,22.083,-2.618,7.802,2.898,6.987
Idaho,Bonner County,2020-03-03,,42.762,-1.101,14.121,7.19,4.477
Idaho,Bonner County,2020-03-04,8.17,33.627,-1.005,17.293,7.355,2.951
Idaho,Bonner County,2020-03-05,6.188,55.368,-1.314,6.881,12.734,3.201
Idaho,Bonner County,2020-03-06,,41.171,-1.291,9.613,7.648,-1.259
Idaho,Bonner County,2020-03-07,-15.723,1.716,-0.771,12.978,11.141,3.496
Idaho,Bonner County,2020-03-08,-21.055,66.517,-1.094,17.041,13.557,-3.83
Idaho,Bonner County,2020-03-09,,37.734,-2.512,6.326,4.611,5.399
Idaho,Bonner County,2020-03-10,-2.104,65.498,-1.353,12.484,11.317,2.388
Idaho,Bonner County,2020-03-11,-7.149,60.075,-1.029,14.445,6.064,2.656
Idaho,Bonner County,2020-03-12,17.533,54.21,-0.992,9.748,6.742,1.164
Idaho,Bonner County,2020-03-13,11.1,32.681,-0.29,-1.733,2.202,0.944
Idaho,Bonner County,2020-03-14,-12.775,-11.152,2.627,-16.092,-2.026,-6.991
Idaho,Bonner County,2020-03-15,-1.108,28.532,2.705,14.881,1.96,-5.362
Idaho,Bonner County,2020-03-16,39.328,65.392,1.483,16.658,-2.108,-1.27
Idaho,Bonner County,2020-03-17,11.574,56.32,7.031,0.205,-2.397,-11.043
Idaho,Bonner County,2020-03-18,7.149,47.607,8.846,-1.221,-6.064,-13.574
Idaho,Bonner County,2020-03-19,23.205,93.373,9.529,-12.041,-9.238,-21.823
Idaho,Bonner County,2020-03-20,3.415,68.726,10.415,-17.02,-16.108,-21.085
Idaho,Bonner County,2020-03-21,-10.81,75.982,6.671,-17.303,-10.418,-20.973
Idaho,Bonner County,2020-03-22,-9.973,140.035,5.221,-14.881,-11.434,-29.105
Idaho,Bonner County,2020-03-23,-8.503,46.525,9.141,-19.61,-19.762,-25.089
Idaho,Bonner County,2020-03-24,-12.626,39.841,13.203,-22.921,-14.247,-28.056
Idaho,Bonner County,2020-03-25,-11.234,10.201,13.86,-22.99,-19.354,-31.28
Idaho,Bonner County,2020-03-26,-13.408,23.536,16.88,-34.977,-26.467,-36.08
Idaho,Bonner County,2020-03-27,-33.299,10.573,17.913,-40.343,-32.796,-36.82
Idaho,Bonner County,2020-03-28,-33.412,13.358,11.751,-44.816,-28.648,-31.46
Idaho,Bonner County,2020-03-29,-35.461,24.681,9.81,-41.283,-33.974,-39.828
Idaho,Canyon County,2020-02-16,2.203,11.161,-0.671,9.249,-1.225,-0.561
Idaho,Canyon County,2020-02-17,5.741,34.247,4.957,6.888,-6.51,-24.032
Idaho,Canyon County,2020-02-18,3.131,33.784,-0.835,-0.413,,2.028
Idaho,Canyon County,2020-02-19,2.561,18.229,-0.689,2.862,10.87,1.69
Idaho,Canyon County,2020-02-20,3.114,-7.44,-0.828,6.177,4.34,1.492
Idaho,Canyon County,2020-02-21,4.863,9.47,-1.407,3.718,16.276,4.605
Idaho,Canyon County,2020-02-22,10.076,49.119,-1.241,6.419,13.147,0.463
Idaho,Canyon County,2020-02-23,7.674,86.806,-1.075,11.163,22.059,0.981
Idaho,Canyon County,2020-02-24,7.931,27.112,-1.816,10.205,3.72,7.425
Idaho,Canyon County,2020-02-25,8.935,42.23,-1.547,8.892,8.152,2.758
Idaho,Canyon County,2020-02-26,10.846,42.969,-1.926,14.15,9.058,3.299
Idaho,Canyon County,2020-02-27,9.786,57.044,-1.826,12.866,13.889,2.419
Idaho,Canyon County,2020-02-28,9.398,38.931,-2.266,14.243,8.952,3.991
Idaho,Canyon County,2020-02-29,13.544,2.541,-2.014,16.712,21.238,0.926
Idaho,Canyon County,2020-03-01,18.615,62.004,-1.921,24.559,18.382,1.823
Idaho,Canyon County,2020-03-02,12.766,18.55,-2.132,6.224,-2.79,8.875
Idaho,Canyon County,2020-03-03,18.252,59.122,-1.744,15.307,14.493,3.448
Idaho,Canyon County,2020-03-04,15.139,52.083,-1.642,12.115,-1.812,3.38
Idaho,Canyon County,2020-03-05,14.902,62.004,-1.973,14.072,8.681,2.661
Idaho,Canyon County,2020-03-06,11.37,45.244,-1.862,6.663,5.697,5.044
Idaho,Canyon County,2020-03-07,12.497,7.622,-1.306,14.212,11.125,2.431
Idaho,Canyon County,2020-03-08,17.703,83.085,-1.262,15.309,22.059,1.823
Idaho,Canyon County,2020-03-09,14.201,49.943,-1.926,4.17,-3.72,7.601
Idaho,Canyon County,2020-03-10,16.114,98.536,-2.312,11.084,4.529,2.028
Idaho,Canyon County,2020-03-11,14.763,84.635,-1.916,10.843,14.493,3.219
Idaho,Canyon County,2020-03-12,22.39,58.284,-2.037,9.281,7.812,2.177
Idaho,Canyon County,2020-03-13,36.935,21.044,-1.341,7.194,11.393,1.272
Idaho,Canyon County,2020-03-14,38.932,14.397,1.414,-1.779,12.136,-0.116
