state,county,category,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29
Illinois,Adams County,grocery/pharmacy,3.731,3.709,-4.389,-2.367,1.177,-6.847,7.857,9.328,1.236,-7.315,-0.296,2.943,0.734,14.193,14.614,8.964,10.241,10.653,7.651,0.245,11.912,12.749,2.782,6.437,11.245,24.423,22.985,14.7,31.095,32.146,11.119,2.367,17.067,11.248,-14.7,-44.154,-20.401,-20.775,-15.98,-14.124,-14.916,-21.796,-15.236
Illinois,Adams County,retail/recreation,16.251,4.746,2.655,4.34,,3.761,8.245,18.116,-0.487,-2.655,12.418,11.719,15.324,15.103,27.973,16.428,20.399,17.12,11.068,11.658,9.062,21.18,0.73,10.863,15.794,9.223,16.828,-7.674,11.855,-4.989,-24.865,-27.488,-34.288,-34.503,-56.818,-65.271,-50.988,-48.04,-42.197,-43.62,-42.118,-56.573,-43.292
Illinois,Adams County,workplace,7.31,-9.083,1.499,3.727,1.863,7.716,9.515,9.747,3.285,0.749,-12.112,2.05,8.122,8.514,9.137,3.285,2.998,3.168,2.609,7.31,6.51,4.264,,2.436,1.491,1.304,5.686,3.005,-1.827,-10.243,-18.548,-20.125,-21.989,-23.148,-15.525,-25.585,-29.762,-32.599,-32.61,-33.542,-30.255,-24.539,-28.021
Illinois,Bond County,retail/recreation,17.587,7.911,2.51,17.57,5.852,1.984,20.627,31.115,-7.911,2.51,16.315,11.704,15.873,40.223,36.526,32.964,13.805,22.59,16.386,21.825,28.878,45.996,10.549,2.51,13.805,8.193,-0.992,11.345,17.587,-5.274,-33.886,-33.886,-39.794,-29.762,-42.285,-56.818,-46.15,-56.476,-47.691,-37.453,-44.643,-45.38,-37.879
Illinois,Bond County,transitstations,4.883,,2.604,1.335,14.323,,19.914,9.766,7.548,2.604,8.013,3.906,6.352,16.85,22.786,4.529,7.812,20.032,9.115,7.622,7.659,9.766,6.039,1.302,9.348,7.812,10.163,15.319,14.648,13.587,1.302,22.703,11.719,11.433,22.978,1.628,1.51,-6.51,-1.335,,-10.163,3.064,-4.883
Illinois,Boone County,grocery/pharmacy,,2.181,-1.102,-5.541,-6.579,-6.847,3.391,14.881,7.635,-12.125,-9.973,-2.741,-4.401,9.205,14.385,1.091,-1.102,-1.108,-5.482,1.956,16.957,17.857,-3.272,8.267,4.433,18.64,49.883,44.574,40.179,35.995,32.518,12.19,16.996,48.905,21.318,-35.218,-22.36,-15.432,-13.298,-14.254,-12.715,-6.298,-24.306
Illinois,Boone County,retail/recreation,9.348,-0.757,0.751,2.468,,7.826,23.215,14.69,8.323,-0.501,6.418,7.707,7.454,22.812,23.148,15.385,19.03,18.76,12.846,12.671,27.455,22.926,5.044,16.026,15.551,19.852,24.411,13.526,7.79,1.009,-2.754,-19.747,-23.356,-19.194,-31.896,-54.977,-46.661,-39.062,-33.077,-39.238,-40.25,-35.328,-42.958
Illinois,Boone County,transitstations,21.219,14.741,7.079,5.057,0.914,4.401,28.317,26.042,2.948,-4.045,4.045,15.534,16.872,35.396,39.545,10.81,16.181,21.238,12.792,24.208,35.396,48.225,16.706,3.034,20.227,11.879,2.201,-3.034,-10.61,-13.758,-8.091,-18.204,-25.585,-41.08,-41.464,-63.657,-42.256,-33.374,-39.442,-41.118,-49.149,-56.634,-67.515
Illinois,Boone County,workplace,2.248,-23.509,-1.328,-1.48,2.269,2.422,5.095,3.747,4.778,3.795,2.405,5.104,7.469,11.322,4.496,5.161,3.795,4.07,5.482,7.066,6.793,4.496,0.765,1.518,1.295,2.836,6.46,3.963,-1.499,-19.878,-25.804,-30.158,-31.193,-31.694,-18.682,-37.47,-45.107,-46.107,-47.18,-46.506,-45.422,-31.703,-39.718
Illinois,Bureau County,retail/recreation,22.007,-2.88,-2.016,4.395,-0.814,5.551,23.455,18.584,7.2,-0.672,6.153,5.697,5.225,21.73,36.678,11.041,16.801,20.658,9.359,8.817,20.006,29.098,8.161,12.769,14.504,7.324,12.082,6.898,11.248,2.4,-25.762,-34.722,-31.738,-30.695,-48.289,-55.262,-40.803,-44.579,-41.315,-46.387,-45.389,-52.773,-44.992
