state,county,date,grocery/pharmacy,residential,retail/recreation,transitstations,workplace
Indiana,Orange County,2020-02-16,6.43,,23.086,,-1.736
Indiana,Orange County,2020-02-17,7.102,,-2.556,,-8.737
Indiana,Orange County,2020-02-18,3.956,,-0.628,,0.643
Indiana,Orange County,2020-02-19,10.823,,6.47,,1.286
Indiana,Orange County,2020-02-20,7.622,,6.127,,1.941
Indiana,Orange County,2020-02-21,-2.042,,6.974,,0.635
Indiana,Orange County,2020-02-22,10.302,,18.572,,-1.319
Indiana,Orange County,2020-02-23,16.718,,17.455,,
Indiana,Orange County,2020-02-24,2.367,,-4.473,,4.704
Indiana,Orange County,2020-02-25,1.319,,-3.138,,-1.929
Indiana,Orange County,2020-02-26,25.027,,9.058,,
Indiana,Orange County,2020-02-27,-1.27,,9.191,,1.294
Indiana,Orange County,2020-02-28,7.659,,10.024,,-3.176
Indiana,Orange County,2020-02-29,12.592,,17.361,,-2.637
Indiana,Orange County,2020-03-01,23.148,,27.027,,
Indiana,Orange County,2020-03-02,-5.919,,5.112,,8.737
Indiana,Orange County,2020-03-03,30.327,,10.668,,3.858
Indiana,Orange County,2020-03-04,27.056,,10.999,,4.501
Indiana,Orange County,2020-03-05,,,16.544,,5.176
Indiana,Orange County,2020-03-06,11.234,,-0.436,,0.635
Indiana,Orange County,2020-03-07,36.63,,21.802,,6.593
Indiana,Orange County,2020-03-08,27.006,,19.144,,6.944
Indiana,Orange County,2020-03-09,11.245,,5.752,,4.704
Indiana,Orange County,2020-03-10,32.964,,0.628,,
Indiana,Orange County,2020-03-11,10.823,,10.352,,3.215
Indiana,Orange County,2020-03-12,12.703,,7.966,,6.47
Indiana,Orange County,2020-03-13,40.85,,2.615,,5.081
Indiana,Orange County,2020-03-14,30.907,,-10.497,,3.956
Indiana,Orange County,2020-03-15,24.434,,-5.631,,
Indiana,Orange County,2020-03-16,41.43,,-5.112,,-8.065
Indiana,Orange County,2020-03-17,36.92,,-14.433,,-14.789
Indiana,Orange County,2020-03-18,17.587,,-22.645,,-18.004
Indiana,Orange County,2020-03-19,23.501,,-26.348,,-20.704
Indiana,Orange County,2020-03-20,19.404,,-36.611,,-30.488
Indiana,Orange County,2020-03-21,-3.434,,-47.238,,-36.92
Indiana,Orange County,2020-03-22,-11.574,,-43.919,,-45.139
Indiana,Orange County,2020-03-23,-5.919,,-30.675,,-24.866
Indiana,Orange County,2020-03-24,-3.956,,-34.513,,-34.079
Indiana,Orange County,2020-03-25,-25.703,,-45.29,,-37.937
Indiana,Orange County,2020-03-26,-21.596,,-39.216,,-42.055
Indiana,Orange County,2020-03-27,-28.595,,-44.02,,-45.097
Indiana,Orange County,2020-03-28,-17.17,,-53.698,,-46.15
Indiana,Orange County,2020-03-29,-19.29,,-42.23,,-46.875
Indiana,Owen County,2020-02-16,1.145,,18.697,,
Indiana,Owen County,2020-02-17,2.395,,-13.215,,-4.051
Indiana,Owen County,2020-02-18,-3.511,,-9.47,,1.698
Indiana,Owen County,2020-02-19,2.395,,-4.735,,1.126
Indiana,Owen County,2020-02-20,3.472,,2.281,,2.862
Indiana,Owen County,2020-02-21,-2.003,,8.43,,5.482
Indiana,Owen County,2020-02-22,21.875,,17.936,,10.593
Indiana,Owen County,2020-02-23,11.447,,20.477,,2.17
Indiana,Owen County,2020-02-24,5.987,,-6.996,,-0.579
Indiana,Owen County,2020-02-25,2.341,,-3.946,,3.397
Indiana,Owen County,2020-02-26,,,2.367,,2.815
Indiana,Owen County,2020-02-27,6.944,,11.405,,4.006
Indiana,Owen County,2020-02-28,5.008,,9.032,,2.437
Indiana,Owen County,2020-02-29,13.542,,34.492,,15.89
Indiana,Owen County,2020-03-01,19.46,,29.38,,17.361
Indiana,Owen County,2020-03-02,8.381,,3.109,,2.894
Indiana,Owen County,2020-03-03,12.875,,15.783,,1.132
Indiana,Owen County,2020-03-04,10.776,,19.729,,4.505
Indiana,Owen County,2020-03-05,10.417,,24.331,,5.723
Indiana,Owen County,2020-03-06,,,13.849,,4.873
Indiana,Owen County,2020-03-07,31.25,,50.359,,10.593
Indiana,Owen County,2020-03-08,26.328,,40.954,,2.17
Indiana,Owen County,2020-03-09,20.354,,10.883,,
Indiana,Owen County,2020-03-10,10.534,,3.157,,0.566
Indiana,Owen County,2020-03-11,5.987,,19.729,,2.252
Indiana,Owen County,2020-03-12,37.037,,14.446,,1.717
Indiana,Owen County,2020-03-13,50.08,,14.451,,-2.437
Indiana,Owen County,2020-03-14,17.708,,2.759,,12.359
Indiana,Owen County,2020-03-15,25.183,,5.342,,6.51
Indiana,Owen County,2020-03-16,51.485,,-1.555,,-17.94
Indiana,Owen County,2020-03-17,21.067,,-10.259,,-19.814
Indiana,Owen County,2020-03-18,20.354,,-18.15,,-23.649
Indiana,Owen County,2020-03-19,18.519,,-21.29,,-27.473
Indiana,Owen County,2020-03-20,31.05,,-18.666,,-30.458
Indiana,Owen County,2020-03-21,13.542,,-21.385,,-10.593
Indiana,Owen County,2020-03-22,-4.579,,-29.38,,-15.191
Indiana,Owen County,2020-03-23,23.946,,-29.54,,-29.514
Indiana,Owen County,2020-03-24,,,-25.253,,-32.835
Indiana,Owen County,2020-03-25,-14.368,,-38.668,,-37.162
Indiana,Owen County,2020-03-26,-15.046,,-28.133,,-36.63
Indiana,Owen County,2020-03-27,-17.027,,-35.525,,-42.032
Indiana,Owen County,2020-03-28,-18.75,,-32.423,,-26.483
Indiana,Owen County,2020-03-29,-21.749,,-31.161,,-30.382
Indiana,Spencer County,2020-02-16,17.655,,7.135,,
Indiana,Spencer County,2020-02-17,8.681,,,,
Indiana,Spencer County,2020-02-18,,,1.12,,
Indiana,Spencer County,2020-02-19,5.297,,7.353,,
Indiana,Spencer County,2020-02-20,3.157,,23.148,,
Indiana,Spencer County,2020-02-21,4.664,,4.49,,
Indiana,Spencer County,2020-02-22,14.881,,43.683,,
Indiana,Spencer County,2020-02-23,14.124,,22.831,,
Indiana,Spencer County,2020-02-24,8.681,,-18.601,,
Indiana,Spencer County,2020-02-25,6.51,,10.081,,
Indiana,Spencer County,2020-02-26,19.421,,3.676,,
