state,county,category,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29
Indiana,Orange County,grocery/pharmacy,6.43,7.102,3.956,10.823,7.622,-2.042,10.302,16.718,2.367,1.319,25.027,-1.27,7.659,12.592,23.148,-5.919,30.327,27.056,,11.234,36.63,27.006,11.245,32.964,10.823,12.703,40.85,30.907,24.434,41.43,36.92,17.587,23.501,19.404,-3.434,-11.574,-5.919,-3.956,-25.703,-21.596,-28.595,-17.17,-19.29
Indiana,Orange County,parks,34.344,-3.843,2.974,8.955,0.945,11.704,69.544,83.494,-8.265,-4.194,-7.414,0.145,7.645,27.228,88.159,6.525,34.849,41.914,42.797,9.877,85.572,160.903,24.506,14.565,22.389,31.825,37.006,0.738,36.643,4.278,52.388,-10.497,-4.214,18.604,9.791,-4.935,6.163,11.057,60.78,37.565,13.869,28.703,24.068
Indiana,Orange County,residential,-0.978,3.967,0.005,-0.091,0.06,-0.646,-2.322,-1.456,1.043,0.191,1.843,0.953,-0.793,-2.719,-2.276,0.177,-1.442,-1.032,-1.056,-0.252,-3.031,-2.273,0.374,0.308,0.216,0.577,1.18,3.02,2.482,6.217,8.285,11.635,12.8,13.963,9.855,9.413,14.397,16.08,19.015,19.836,21.714,13.358,10.955
Indiana,Orange County,retail/recreation,23.086,-2.556,-0.628,6.47,6.127,6.974,18.572,17.455,-4.473,-3.138,9.058,9.191,10.024,17.361,27.027,5.112,10.668,10.999,16.544,-0.436,21.802,19.144,5.752,0.628,10.352,7.966,2.615,-10.497,-5.631,-5.112,-14.433,-22.645,-26.348,-36.611,-47.238,-43.919,-30.675,-34.513,-45.29,-39.216,-44.02,-53.698,-42.23
Indiana,Orange County,transitstations,5.483,2.257,4.183,5.419,4.549,5.624,11.939,7.513,0.633,2.67,1.771,5.83,8.586,15.57,14.171,4.844,8.89,7.727,7.843,7.683,19.103,16.806,5.202,5.229,6.117,4.627,4.595,1.112,0.142,-3.0,-2.642,-8.88,-12.705,-14.637,-13.411,-26.491,-20.834,-19.293,-23.046,-26.848,-32.162,-30.649,-33.79
Indiana,Orange County,workplace,-1.736,-8.737,0.643,1.286,1.941,0.635,-1.319,,4.704,-1.929,,1.294,-3.176,-2.637,,8.737,3.858,4.501,5.176,0.635,6.593,6.944,4.704,,3.215,6.47,5.081,3.956,,-8.065,-14.789,-18.004,-20.704,-30.488,-36.92,-45.139,-24.866,-34.079,-37.937,-42.055,-45.097,-46.15,-46.875
Indiana,Overall,grocery/pharmacy,2.867,-2.807,-1.167,0.106,-0.541,-1.834,7.084,6.239,-1.579,2.209,-2.914,2.962,1.592,11.038,12.422,4.302,10.652,7.167,9.097,-0.342,12.94,12.149,6.475,6.388,9.325,23.382,27.318,15.114,11.871,26.396,16.316,7.044,14.53,8.77,2.581,-15.425,2.824,-2.328,-19.821,-18.206,-19.897,-20.809,-24.64
Indiana,Overall,parks,34.344,-3.843,2.974,8.955,0.945,11.704,69.544,83.494,-8.265,-4.194,-7.414,0.145,7.645,27.228,88.159,6.525,34.849,41.914,42.797,9.877,85.572,160.903,24.506,14.565,22.389,31.825,37.006,0.738,36.643,4.278,52.388,-10.497,-4.214,18.604,9.791,-4.935,6.163,11.057,60.78,37.565,13.869,28.703,24.068
Indiana,Overall,residential,-0.978,3.967,0.005,-0.091,0.06,-0.646,-2.322,-1.456,1.043,0.191,1.843,0.953,-0.793,-2.719,-2.276,0.177,-1.442,-1.032,-1.056,-0.252,-3.031,-2.273,0.374,0.308,0.216,0.577,1.18,3.02,2.482,6.217,8.285,11.635,12.8,13.963,9.855,9.413,14.397,16.08,19.015,19.836,21.714,13.358,10.955
Indiana,Overall,retail/recreation,8.088,4.656,0.568,4.029,2.997,4.419,13.315,9.066,0.608,2.372,0.532,6.807,7.679,17.959,17.605,9.2,13.803,13.786,12.05,4.954,18.326,15.313,7.121,5.966,8.21,7.278,5.083,-7.404,-7.045,-5.286,-20.914,-27.162,-27.692,-30.235,-38.826,-45.604,-29.742,-33.765,-44.806,-43.441,-44.675,-48.781,-48.206
Indiana,Overall,transitstations,5.483,2.257,4.183,5.419,4.549,5.624,11.939,7.513,0.633,2.67,1.771,5.83,8.586,15.57,14.171,4.844,8.89,7.727,7.843,7.683,19.103,16.806,5.202,5.229,6.117,4.627,4.595,1.112,0.142,-3.0,-2.642,-8.88,-12.705,-14.637,-13.411,-26.491,-20.834,-19.293,-23.046,-26.848,-32.162,-30.649,-33.79
Indiana,Overall,workplace,1.357,-12.606,1.588,1.657,1.343,1.795,4.019,3.483,2.039,1.699,-1.4,-0.744,1.024,2.01,3.893,2.069,2.098,1.802,1.921,1.473,4.753,3.009,0.924,0.003,-0.019,-0.924,-4.358,-1.001,-4.945,-14.506,-20.9,-24.774,-27.156,-29.598,-22.521,-29.324,-34.591,-39.03,-45.031,-45.797,-46.214,-34.545,-36.142
