state,county,category,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29
Iowa,Adair County,grocery/pharmacy,1.653,-4.223,1.408,-7.548,2.854,5.208,,9.921,7.038,-4.223,6.039,2.854,1.302,3.72,18.188,-1.408,-2.815,3.019,4.281,15.625,7.44,23.148,1.408,-1.408,18.116,32.82,33.854,13.641,23.148,42.23,42.23,21.135,14.269,18.229,13.641,,9.854,9.854,7.548,2.854,3.906,-12.401,-3.307
Iowa,Adair County,parks,16.187,-8.207,5.062,-2.3,0.153,12.708,51.34,83.416,7.715,7.118,5.52,12.688,15.082,48.436,109.916,18.548,35.589,52.439,12.076,46.781,83.05,140.593,-5.252,36.222,49.679,31.184,38.821,-16.378,18.276,15.265,65.168,0.613,-7.185,-5.446,22.302,-13.185,20.846,53.147,47.686,53.808,25.695,8.015,40.859
Iowa,Adair County,residential,-1.108,3.985,0.395,0.349,0.516,-2.523,-1.884,-1.95,0.049,0.791,-0.913,-0.196,-3.118,-2.738,-2.706,-0.297,-0.951,-1.433,0.198,-3.685,-2.677,-2.587,1.29,-0.096,-0.998,0.383,-1.978,2.562,1.39,5.481,8.25,11.528,14.534,13.169,10.158,9.397,14.576,15.832,15.675,17.16,16.068,12.932,9.783
Iowa,Adair County,retail/recreation,12.5,-23.907,,-25.615,1.615,30.968,33.784,10.417,-10.246,-5.123,0.854,34.722,18.3,16.188,25.0,,6.831,18.784,25.032,22.523,48.564,25.0,5.123,13.661,20.492,10.497,29.561,-26.745,14.583,-13.661,-15.369,-29.03,-37.952,-35.191,-42.23,-47.917,-40.984,-59.768,-27.322,-31.492,-40.822,-66.16,-47.917
Iowa,Adair County,transitstations,-3.822,-6.995,-0.771,,-2.271,3.599,2.985,2.576,-3.25,-4.277,5.124,-0.134,6.151,9.415,7.146,-2.756,-1.052,4.839,3.006,13.874,18.142,16.868,-0.071,5.679,8.753,4.676,10.536,-1.378,0.831,-4.522,-1.893,-4.127,-15.162,-15.902,-13.549,-24.18,-19.149,-17.178,-14.873,-20.105,-21.138,-27.022,-28.168
Iowa,Adair County,workplace,2.131,-8.457,0.916,3.141,1.107,3.454,4.571,4.771,4.249,0.811,4.043,2.121,4.761,4.198,5.014,4.29,1.956,4.431,2.543,5.586,5.983,4.796,2.744,1.236,3.589,0.369,0.072,0.569,-2.277,-14.84,-22.699,-25.541,-29.431,-29.06,-16.576,-25.261,-31.685,-35.835,-35.538,-37.218,-35.536,-23.383,-28.555
Iowa,Allamakee County,grocery/pharmacy,1.766,1.653,-4.808,,6.313,1.319,5.081,-1.766,4.96,-9.615,-1.653,4.735,-1.319,5.081,14.124,-1.653,-4.808,-1.653,-3.157,2.637,24.136,15.89,-4.96,6.41,9.921,9.47,17.141,16.514,17.655,28.108,16.026,6.614,-6.313,-6.593,5.081,-30.014,1.653,-12.821,-8.267,-17.361,-19.778,-17.785,-28.249
Iowa,Allamakee County,parks,16.187,-8.207,5.062,-2.3,0.153,12.708,51.34,83.416,7.715,7.118,5.52,12.688,15.082,48.436,109.916,18.548,35.589,52.439,12.076,46.781,83.05,140.593,-5.252,36.222,49.679,31.184,38.821,-16.378,18.276,15.265,65.168,0.613,-7.185,-5.446,22.302,-13.185,20.846,53.147,47.686,53.808,25.695,8.015,40.859
Iowa,Allamakee County,residential,-1.108,3.985,0.395,0.349,0.516,-2.523,-1.884,-1.95,0.049,0.791,-0.913,-0.196,-3.118,-2.738,-2.706,-0.297,-0.951,-1.433,0.198,-3.685,-2.677,-2.587,1.29,-0.096,-0.998,0.383,-1.978,2.562,1.39,5.481,8.25,11.528,14.534,13.169,10.158,9.397,14.576,15.832,15.675,17.16,16.068,12.932,9.783
Iowa,Allamakee County,retail/recreation,9.701,-2.463,-2.801,-3.465,-0.722,9.239,9.687,13.708,0.819,-2.232,6.902,5.2,11.457,13.522,20.088,5.614,8.016,9.452,2.812,12.8,13.378,18.285,-0.887,4.652,7.865,5.316,9.859,-7.048,0.045,-2.662,-21.066,-32.263,-37.368,-35.485,-43.714,-45.634,-38.767,-40.86,-39.139,-39.68,-39.622,-48.466,-42.804
