state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
KW,Al Ahmadi Governorate,2020-02-16,2.037,-7.744,-0.05,-2.222,8.903,8.037
KW,Al Ahmadi Governorate,2020-02-17,2.339,-10.218,0.435,-2.211,5.642,7.378
KW,Al Ahmadi Governorate,2020-02-18,1.32,-8.035,0.25,0.371,4.377,7.639
KW,Al Ahmadi Governorate,2020-02-19,0.724,-2.042,0.394,-0.099,8.609,7.493
KW,Al Ahmadi Governorate,2020-02-20,4.628,-2.857,-0.464,1.352,10.621,6.976
KW,Al Ahmadi Governorate,2020-02-21,8.129,-1.327,0.555,3.617,7.885,4.286
KW,Al Ahmadi Governorate,2020-02-22,7.711,-0.52,-0.215,6.144,13.8,4.915
KW,Al Ahmadi Governorate,2020-02-23,6.176,-2.998,-1.304,5.585,14.245,5.595
KW,Al Ahmadi Governorate,2020-02-24,16.236,2.554,-2.309,8.249,12.587,5.094
KW,Al Ahmadi Governorate,2020-02-25,12.806,18.079,14.69,3.641,4.377,-45.226
KW,Al Ahmadi Governorate,2020-02-26,9.673,11.088,16.186,-3.917,-9.47,-43.0
KW,Al Ahmadi Governorate,2020-02-27,-4.448,-5.975,10.079,-17.102,-12.255,-18.99
KW,Al Ahmadi Governorate,2020-02-28,-9.29,-21.674,6.34,-23.872,-12.035,1.294
KW,Al Ahmadi Governorate,2020-02-29,-1.111,-9.871,3.252,-12.069,,2.991
KW,Al Ahmadi Governorate,2020-03-01,-3.629,-15.488,2.867,-9.257,3.561,0.666
KW,Al Ahmadi Governorate,2020-03-02,-0.601,-14.475,3.339,-8.645,4.34,1.274
KW,Al Ahmadi Governorate,2020-03-03,-2.178,-12.913,3.886,-5.663,6.565,-0.13
KW,Al Ahmadi Governorate,2020-03-04,-1.645,-7.586,3.559,-5.595,6.026,1.046
KW,Al Ahmadi Governorate,2020-03-05,-3.667,-5.975,4.145,-8.286,6.127,0.474
KW,Al Ahmadi Governorate,2020-03-06,-0.406,-14.818,4.507,-11.157,-2.905,1.375
KW,Al Ahmadi Governorate,2020-03-07,0.457,-9.871,3.091,-7.994,4.452,4.167
KW,Al Ahmadi Governorate,2020-03-08,-2.674,-11.741,3.478,-8.331,6.232,1.687
KW,Al Ahmadi Governorate,2020-03-09,-0.401,-10.502,3.863,-8.612,3.038,1.186
KW,Al Ahmadi Governorate,2020-03-10,-0.396,-8.035,4.801,-8.394,4.814,-1.042
KW,Al Ahmadi Governorate,2020-03-11,21.32,-7.295,3.263,-3.291,7.317,-0.087
KW,Al Ahmadi Governorate,2020-03-12,-1.984,-15.326,12.237,-24.624,-6.536,-16.234
KW,Al Ahmadi Governorate,2020-03-13,-16.432,-34.059,10.261,-39.396,-21.995,-7.36
KW,Al Ahmadi Governorate,2020-03-14,-12.808,-28.315,10.332,-34.325,-18.697,-10.577
KW,Al Ahmadi Governorate,2020-03-15,-13.18,-30.725,13.529,-36.872,-17.361,-22.911
KW,Al Ahmadi Governorate,2020-03-16,-15.234,-30.654,14.596,-40.353,-21.701,-25.559
KW,Al Ahmadi Governorate,2020-03-17,-18.615,-30.705,15.635,-41.566,-28.011,-27.387
KW,Al Ahmadi Governorate,2020-03-18,-19.017,-32.972,17.573,-44.333,-31.853,-28.928
KW,Al Ahmadi Governorate,2020-03-19,-18.934,-32.211,18.045,-44.987,-27.369,-28.507
KW,Al Ahmadi Governorate,2020-03-20,-27.232,-46.444,15.486,-53.308,-40.671,-21.674
KW,Al Ahmadi Governorate,2020-03-21,-16.011,-32.211,12.661,-42.131,-24.929,-19.658
KW,Al Ahmadi Governorate,2020-03-22,-40.304,-50.959,30.099,-61.71,-51.638,-57.9
KW,Al Ahmadi Governorate,2020-03-23,-29.199,-44.278,21.428,-55.762,-43.837,-34.122
KW,Al Ahmadi Governorate,2020-03-24,-27.395,-39.601,21.83,-52.454,-42.454,-34.245
KW,Al Ahmadi Governorate,2020-03-25,-25.005,-38.515,21.506,-52.034,-40.461,-34.635
KW,Al Ahmadi Governorate,2020-03-26,-26.868,-43.901,23.263,-55.683,-42.075,-34.579
KW,Al Ahmadi Governorate,2020-03-27,-28.916,-54.184,18.47,-61.459,-50.216,-30.166
KW,Al Ahmadi Governorate,2020-03-28,-25.552,-42.602,18.001,-55.485,-38.283,-27.03
KW,Al Ahmadi Governorate,2020-03-29,-28.716,-41.966,20.962,-54.397,-38.729,-35.122
KW,Al Asimah Governate,2020-02-16,3.288,2.388,0.251,0.961,3.255,5.995
KW,Al Asimah Governate,2020-02-17,0.18,-4.078,0.16,-1.272,11.489,6.146
KW,Al Asimah Governate,2020-02-18,3.053,2.934,0.425,1.614,4.496,5.571
KW,Al Asimah Governate,2020-02-19,3.773,3.992,0.168,-0.601,5.227,5.245
KW,Al Asimah Governate,2020-02-20,4.273,24.786,-0.593,4.851,14.418,5.711
KW,Al Asimah Governate,2020-02-21,9.638,91.849,0.967,4.383,-1.889,3.565
KW,Al Asimah Governate,2020-02-22,8.017,83.022,0.207,4.83,7.525,3.26
KW,Al Asimah Governate,2020-02-23,8.866,62.082,-1.053,6.62,5.787,-0.214
KW,Al Asimah Governate,2020-02-24,9.818,63.39,-0.976,1.503,0.766,-2.331
KW,Al Asimah Governate,2020-02-25,-10.417,66.021,8.06,-21.287,-22.482,-46.46
KW,Al Asimah Governate,2020-02-26,-10.788,29.762,9.101,-26.164,-28.002,-42.38
KW,Al Asimah Governate,2020-02-27,-9.49,17.082,8.52,-24.765,-23.068,-28.236
KW,Al Asimah Governate,2020-02-28,-14.907,0.536,5.776,-33.54,-38.32,1.188
KW,Al Asimah Governate,2020-02-29,-6.847,10.883,2.854,-18.12,-9.506,1.63
KW,Al Asimah Governate,2020-03-01,-2.76,19.998,4.125,-11.251,-0.723,-3.426
KW,Al Asimah Governate,2020-03-02,-3.592,26.69,4.401,-10.685,4.979,-2.543
KW,Al Asimah Governate,2020-03-03,-4.55,31.177,4.541,-8.07,2.248,-3.364
KW,Al Asimah Governate,2020-03-04,-4.893,33.391,4.747,-9.767,,-2.937
KW,Al Asimah Governate,2020-03-05,-5.383,36.509,4.785,-10.847,-1.802,-1.163
KW,Al Asimah Governate,2020-03-06,-8.261,21.958,5.184,-21.852,-25.097,1.386
KW,Al Asimah Governate,2020-03-07,-5.911,17.724,3.99,-14.792,-7.129,2.519
KW,Al Asimah Governate,2020-03-08,-4.874,30.146,4.502,-9.744,-4.702,-2.462
KW,Al Asimah Governate,2020-03-09,-3.412,34.475,4.835,-11.379,,-3.815
KW,Al Asimah Governate,2020-03-10,-3.412,34.111,5.028,-10.573,-5.246,-4.94
KW,Al Asimah Governate,2020-03-11,16.683,21.414,4.364,-12.237,-2.614,-3.042
KW,Al Asimah Governate,2020-03-12,0.111,-9.713,11.465,-32.688,-18.022,-20.516
KW,Al Asimah Governate,2020-03-13,-19.875,-48.736,12.012,-57.992,-55.861,-8.714
KW,Al Asimah Governate,2020-03-14,-20.716,-42.6,11.462,-49.786,-37.231,-13.336
KW,Al Asimah Governate,2020-03-15,-14.797,-39.1,14.633,-50.467,-41.594,-33.616
KW,Al Asimah Governate,2020-03-16,-18.678,-45.967,15.888,-56.131,-41.36,-38.996
KW,Al Asimah Governate,2020-03-17,-19.456,-50.616,16.765,-56.82,-44.215,-41.309
KW,Al Asimah Governate,2020-03-18,-20.81,-55.531,18.054,-59.603,-49.283,-43.639
KW,Al Asimah Governate,2020-03-19,-20.034,-52.586,19.392,-57.687,-44.694,-41.138
KW,Al Asimah Governate,2020-03-20,-32.986,-70.159,17.574,-71.765,-66.386,-29.111
KW,Al Asimah Governate,2020-03-21,-21.828,-52.861,14.87,-58.309,-35.646,-30.079
KW,Al Asimah Governate,2020-03-22,-43.804,-70.141,24.172,-75.045,-67.636,-61.344
KW,Al Asimah Governate,2020-03-23,-32.866,-65.985,22.231,-65.705,-54.381,-48.639
KW,Al Asimah Governate,2020-03-24,-31.011,-61.62,22.359,-65.85,-55.83,-50.349
KW,Al Asimah Governate,2020-03-25,-30.183,-56.62,22.246,-67.034,-53.39,-50.248
KW,Al Asimah Governate,2020-03-26,-29.136,-59.954,23.674,-67.771,-54.066,-48.541
KW,Al Asimah Governate,2020-03-27,-34.602,-76.853,22.124,-79.135,-75.291,-41.389
KW,Al Asimah Governate,2020-03-28,-34.644,-62.5,20.512,-71.727,-50.301,-41.933
KW,Al Asimah Governate,2020-03-29,-35.583,-58.5,22.161,-68.097,-54.977,-51.602
KW,Al Farwaniyah Governorate,2020-02-16,6.216,2.85,-0.609,1.92,0.173,8.276
KW,Al Farwaniyah Governorate,2020-02-17,2.814,-3.578,-0.07,0.86,2.614,8.649
KW,Al Farwaniyah Governorate,2020-02-18,2.126,,-1.199,1.368,2.394,8.137
KW,Al Farwaniyah Governorate,2020-02-19,3.377,1.202,-0.471,-0.796,3.133,7.987
KW,Al Farwaniyah Governorate,2020-02-20,2.271,-3.255,-0.559,2.541,6.769,7.727
KW,Al Farwaniyah Governorate,2020-02-21,5.157,1.259,0.169,4.244,-0.337,5.043
KW,Al Farwaniyah Governorate,2020-02-22,5.678,2.422,-0.424,3.183,-0.6,5.463
KW,Al Farwaniyah Governorate,2020-02-23,9.699,3.166,-2.153,6.172,5.195,7.421
KW,Al Farwaniyah Governorate,2020-02-24,12.446,-0.795,-2.682,8.039,19.041,6.343
KW,Al Farwaniyah Governorate,2020-02-25,3.136,-1.216,17.65,-3.032,-2.039,-52.991
KW,Al Farwaniyah Governorate,2020-02-26,2.375,-5.208,18.763,-7.164,-14.098,-45.237
