state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
Kansas,Shawnee County,2020-02-16,6.102,17.236,-0.517,13.747,22.727,2.796
Kansas,Shawnee County,2020-02-17,4.763,53.694,1.872,4.374,27.876,-2.964
Kansas,Shawnee County,2020-02-18,-1.235,6.378,-0.371,3.24,11.494,1.999
Kansas,Shawnee County,2020-02-19,4.039,7.011,-1.448,7.059,22.482,3.601
Kansas,Shawnee County,2020-02-20,-5.374,8.762,1.371,2.694,12.383,-5.94
Kansas,Shawnee County,2020-02-21,0.892,23.674,-0.234,12.135,18.116,-4.211
Kansas,Shawnee County,2020-02-22,4.756,79.921,-1.273,4.011,19.434,2.398
Kansas,Shawnee County,2020-02-23,6.865,58.453,-1.157,16.765,10.417,4.894
Kansas,Shawnee County,2020-02-24,0.621,-3.222,0.387,-1.979,-1.467,9.437
Kansas,Shawnee County,2020-02-25,-1.956,8.503,-0.075,6.201,5.747,0.864
Kansas,Shawnee County,2020-02-26,8.716,15.024,-2.057,15.207,17.236,2.837
Kansas,Shawnee County,2020-02-27,1.075,18.497,-0.973,9.429,30.594,1.026
Kansas,Shawnee County,2020-02-28,12.129,46.402,-4.14,20.448,55.857,5.439
Kansas,Shawnee County,2020-02-29,12.438,149.066,-3.582,16.667,37.313,3.747
Kansas,Shawnee County,2020-03-01,19.94,132.644,-2.734,30.959,40.72,4.02
Kansas,Shawnee County,2020-03-02,9.319,45.103,-1.618,7.74,28.609,10.586
Kansas,Shawnee County,2020-03-03,14.102,78.656,-2.082,18.22,41.667,2.539
Kansas,Shawnee County,2020-03-04,13.499,74.119,-2.708,16.542,51.709,3.82
Kansas,Shawnee County,2020-03-05,6.938,50.623,-1.758,12.444,50.262,1.782
Kansas,Shawnee County,2020-03-06,4.816,82.386,-3.161,20.886,61.141,1.111
Kansas,Shawnee County,2020-03-07,11.157,151.76,-3.051,11.672,69.185,6.295
Kansas,Shawnee County,2020-03-08,15.037,80.186,-2.153,21.012,76.705,5.069
Kansas,Shawnee County,2020-03-09,2.485,-3.222,3.359,-0.069,22.741,-8.711
Kansas,Shawnee County,2020-03-10,5.867,41.454,2.086,10.486,32.328,-16.371
Kansas,Shawnee County,2020-03-11,17.007,134.215,-0.246,16.998,49.46,-13.587
Kansas,Shawnee County,2020-03-12,23.159,83.723,1.81,10.519,40.793,-16.47
Kansas,Shawnee County,2020-03-13,30.858,27.462,1.733,11.522,49.819,-14.973
Kansas,Shawnee County,2020-03-14,16.736,-12.572,3.17,-10.404,10.106,-3.147
Kansas,Shawnee County,2020-03-15,11.986,-21.733,2.988,-3.949,18.939,-2.971
Kansas,Shawnee County,2020-03-16,19.881,4.296,6.503,-10.76,27.876,-10.465
Kansas,Shawnee County,2020-03-17,19.351,22.321,8.043,-10.208,33.046,-21.503
Kansas,Shawnee County,2020-03-18,24.872,60.096,8.41,-11.274,25.48,-23.027
Kansas,Shawnee County,2020-03-19,24.429,106.114,11.092,-19.756,24.767,-27.324
Kansas,Shawnee County,2020-03-20,19.977,12.311,12.528,-24.853,23.4,-27.021
Kansas,Shawnee County,2020-03-21,9.328,35.92,9.492,-39.493,15.547,-13.339
Kansas,Shawnee County,2020-03-22,-0.545,-38.219,9.526,-38.522,-6.629,-21.323
Kansas,Shawnee County,2020-03-23,4.556,38.66,13.359,-33.912,16.138,-29.762
Kansas,Shawnee County,2020-03-24,3.603,45.706,15.291,-29.09,17.241,-38.144
Kansas,Shawnee County,2020-03-25,22.64,113.181,12.091,-13.205,38.969,-37.869
Kansas,Shawnee County,2020-03-26,-22.182,22.391,19.165,-46.631,3.642,-46.278
Kansas,Shawnee County,2020-03-27,-17.748,24.621,18.844,-41.684,13.587,-43.749
Kansas,Shawnee County,2020-03-28,-18.199,35.022,13.0,-48.628,0.777,-28.477
Kansas,Shawnee County,2020-03-29,-16.998,56.954,10.199,-38.746,13.258,-31.46
Kansas,Sherman County,2020-02-16,,,,1.302,,
Kansas,Sherman County,2020-02-17,,,,6.593,,
Kansas,Sherman County,2020-02-18,,,,8.681,,
Kansas,Sherman County,2020-02-19,,,,-2.604,,
Kansas,Sherman County,2020-02-21,,,,1.074,,
Kansas,Sherman County,2020-02-22,,,,4.34,,
Kansas,Sherman County,2020-02-23,,,,-11.719,,
Kansas,Sherman County,2020-02-24,,,,-2.637,,
Kansas,Sherman County,2020-02-25,,,,-31.829,,
Kansas,Sherman County,2020-02-26,,,,3.906,,
Kansas,Sherman County,2020-02-27,,,,6.056,,
Kansas,Sherman County,2020-02-28,,,,6.443,,
Kansas,Sherman County,2020-02-29,,,,15.191,,
Kansas,Sherman County,2020-03-01,,,,18.229,,
Kansas,Sherman County,2020-03-02,,,,-1.319,,
Kansas,Sherman County,2020-03-03,,,,15.914,,
Kansas,Sherman County,2020-03-04,,,,22.135,,
Kansas,Sherman County,2020-03-05,,,,9.69,,
Kansas,Sherman County,2020-03-06,,,,15.034,,
Kansas,Sherman County,2020-03-07,,,,31.467,,
Kansas,Sherman County,2020-03-08,,,,28.646,,
Kansas,Sherman County,2020-03-09,,,,22.416,,
Kansas,Sherman County,2020-03-10,,,,27.488,,
Kansas,Sherman County,2020-03-11,,,,19.531,,
Kansas,Sherman County,2020-03-12,,,,27.859,,
Kansas,Sherman County,2020-03-13,,,,4.296,,
Kansas,Sherman County,2020-03-14,,,,22.786,,
Kansas,Sherman County,2020-03-15,,,,7.812,,
Kansas,Sherman County,2020-03-16,,,,23.734,,
Kansas,Sherman County,2020-03-17,,,,21.701,,
Kansas,Sherman County,2020-03-18,,,,2.604,,
Kansas,Sherman County,2020-03-19,,,,-12.112,,
Kansas,Sherman County,2020-03-20,,,,-2.148,,
Kansas,Sherman County,2020-03-21,,,,-2.17,,
Kansas,Sherman County,2020-03-23,,,,-11.867,,
Kansas,Sherman County,2020-03-24,,,,2.894,,
Kansas,Sherman County,2020-03-25,,,,-13.021,,
Kansas,Sherman County,2020-03-26,,,,-23.014,,
Kansas,Sherman County,2020-03-27,,,,-18.256,,
Kansas,Sherman County,2020-03-28,,,,-31.467,,
Kansas,Sherman County,2020-03-29,,,,-18.229,,
