state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
Kentucky,Mercer County,2020-02-16,-1.51,24.652,-0.4,0.668,2.968,
Kentucky,Mercer County,2020-02-17,-8.562,24.437,3.84,,2.785,-14.368
Kentucky,Mercer County,2020-02-18,-9.058,-7.295,0.872,-2.525,0.111,2.778
Kentucky,Mercer County,2020-02-19,-2.976,14.37,-0.224,5.547,3.448,4.167
Kentucky,Mercer County,2020-02-20,-4.167,-3.988,0.155,4.579,1.806,2.111
Kentucky,Mercer County,2020-02-21,-4.63,11.967,-0.005,6.155,2.722,2.914
Kentucky,Mercer County,2020-02-22,5.02,67.646,-1.803,18.481,10.313,6.41
Kentucky,Mercer County,2020-02-23,1.51,43.344,-0.619,12.019,5.843,7.862
Kentucky,Mercer County,2020-02-24,-4.281,-20.22,2.075,3.788,-2.602,2.155
Kentucky,Mercer County,2020-02-25,-3.019,4.353,-0.237,5.682,3.75,5.556
Kentucky,Mercer County,2020-02-26,8.929,-6.026,-0.186,13.56,3.339,4.167
Kentucky,Mercer County,2020-02-27,-6.944,-1.94,0.271,7.44,2.153,-7.742
Kentucky,Mercer County,2020-02-28,-4.63,11.747,-0.928,5.208,3.462,6.556
Kentucky,Mercer County,2020-02-29,12.55,36.35,-2.356,25.762,13.365,6.41
Kentucky,Mercer County,2020-03-01,15.097,100.832,-2.499,26.042,12.985,5.896
Kentucky,Mercer County,2020-03-02,4.281,-6.596,1.099,8.207,-0.733,3.592
Kentucky,Mercer County,2020-03-03,10.568,35.061,-1.452,23.359,6.163,2.778
Kentucky,Mercer County,2020-03-04,7.44,48.788,-1.313,20.957,5.625,5.556
Kentucky,Mercer County,2020-03-05,,49.47,-1.542,14.881,4.827,3.519
Kentucky,Mercer County,2020-03-06,-6.944,11.967,0.238,8.049,2.218,
Kentucky,Mercer County,2020-03-07,5.02,84.961,-2.395,16.241,15.077,-3.205
Kentucky,Mercer County,2020-03-08,3.019,135.79,-1.784,16.693,11.408,1.965
Kentucky,Mercer County,2020-03-09,-2.854,38.709,0.427,13.258,1.613,2.155
Kentucky,Mercer County,2020-03-10,9.058,14.472,0.659,6.313,1.374,2.083
Kentucky,Mercer County,2020-03-11,14.881,42.066,-0.266,12.944,2.867,2.778
Kentucky,Mercer County,2020-03-12,18.056,12.718,1.291,5.151,-0.556,0.704
Kentucky,Mercer County,2020-03-13,32.986,39.194,1.587,4.261,-0.504,2.185
Kentucky,Mercer County,2020-03-14,11.295,-4.302,3.482,0.56,-1.295,6.41
Kentucky,Mercer County,2020-03-15,28.684,9.295,3.216,-2.671,-3.246,-1.965
Kentucky,Mercer County,2020-03-16,52.797,-1.189,6.685,-1.894,-9.309,-12.931
Kentucky,Mercer County,2020-03-17,21.135,32.826,7.76,-17.045,-6.126,-17.361
Kentucky,Mercer County,2020-03-18,35.714,-4.867,10.074,-17.875,-10.923,-17.361
Kentucky,Mercer County,2020-03-19,34.722,1.94,11.498,-19.46,-16.253,-16.188
Kentucky,Mercer County,2020-03-20,-6.944,50.831,13.274,-26.989,-19.46,-18.211
Kentucky,Mercer County,2020-03-21,5.02,16.562,9.263,-20.161,-16.233,-20.833
Kentucky,Mercer County,2020-03-22,-7.548,17.378,8.516,-25.374,-27.547,-27.516
Kentucky,Mercer County,2020-03-23,,20.328,14.133,-26.515,-25.581,-28.017
Kentucky,Mercer County,2020-03-24,,0.706,15.896,-30.303,-24.873,-34.722
Kentucky,Mercer County,2020-03-25,-7.44,69.068,14.992,-24.655,-23.407,-34.722
Kentucky,Mercer County,2020-03-26,-6.944,84.174,14.942,-24.611,-26.742,-37.303
