state,county,date,grocery/pharmacy,retail/recreation,workplace
Kentucky,Mercer County,2020-02-16,-1.51,0.668,
Kentucky,Mercer County,2020-02-17,-8.562,,-14.368
Kentucky,Mercer County,2020-02-18,-9.058,-2.525,2.778
Kentucky,Mercer County,2020-02-19,-2.976,5.547,4.167
Kentucky,Mercer County,2020-02-20,-4.167,4.579,2.111
Kentucky,Mercer County,2020-02-21,-4.63,6.155,2.914
Kentucky,Mercer County,2020-02-22,5.02,18.481,6.41
Kentucky,Mercer County,2020-02-23,1.51,12.019,7.862
Kentucky,Mercer County,2020-02-24,-4.281,3.788,2.155
Kentucky,Mercer County,2020-02-25,-3.019,5.682,5.556
Kentucky,Mercer County,2020-02-26,8.929,13.56,4.167
Kentucky,Mercer County,2020-02-27,-6.944,7.44,-7.742
Kentucky,Mercer County,2020-02-28,-4.63,5.208,6.556
Kentucky,Mercer County,2020-02-29,12.55,25.762,6.41
Kentucky,Mercer County,2020-03-01,15.097,26.042,5.896
Kentucky,Mercer County,2020-03-02,4.281,8.207,3.592
Kentucky,Mercer County,2020-03-03,10.568,23.359,2.778
Kentucky,Mercer County,2020-03-04,7.44,20.957,5.556
Kentucky,Mercer County,2020-03-05,,14.881,3.519
Kentucky,Mercer County,2020-03-06,-6.944,8.049,
Kentucky,Mercer County,2020-03-07,5.02,16.241,-3.205
Kentucky,Mercer County,2020-03-08,3.019,16.693,1.965
Kentucky,Mercer County,2020-03-09,-2.854,13.258,2.155
Kentucky,Mercer County,2020-03-10,9.058,6.313,2.083
Kentucky,Mercer County,2020-03-11,14.881,12.944,2.778
Kentucky,Mercer County,2020-03-12,18.056,5.151,0.704
Kentucky,Mercer County,2020-03-13,32.986,4.261,2.185
Kentucky,Mercer County,2020-03-14,11.295,0.56,6.41
Kentucky,Mercer County,2020-03-15,28.684,-2.671,-1.965
Kentucky,Mercer County,2020-03-16,52.797,-1.894,-12.931
Kentucky,Mercer County,2020-03-17,21.135,-17.045,-17.361
Kentucky,Mercer County,2020-03-18,35.714,-17.875,-17.361
Kentucky,Mercer County,2020-03-19,34.722,-19.46,-16.188
Kentucky,Mercer County,2020-03-20,-6.944,-26.989,-18.211
Kentucky,Mercer County,2020-03-21,5.02,-20.161,-20.833
Kentucky,Mercer County,2020-03-22,-7.548,-25.374,-27.516
Kentucky,Mercer County,2020-03-23,,-26.515,-28.017
Kentucky,Mercer County,2020-03-24,,-30.303,-34.722
Kentucky,Mercer County,2020-03-25,-7.44,-24.655,-34.722
Kentucky,Mercer County,2020-03-26,-6.944,-24.611,-37.303
Kentucky,Mercer County,2020-03-27,-11.574,-27.936,-37.15
Kentucky,Mercer County,2020-03-28,-15.06,-10.081,-33.654
Kentucky,Mercer County,2020-03-29,-9.058,-26.042,-29.481
Kentucky,Woodford County,2020-02-16,2.846,7.143,
Kentucky,Woodford County,2020-02-17,4.143,,-15.334
Kentucky,Woodford County,2020-02-18,-7.127,-2.023,-0.511
Kentucky,Woodford County,2020-02-19,7.31,7.622,
Kentucky,Woodford County,2020-02-20,15.215,4.778,-0.508
Kentucky,Woodford County,2020-02-21,-0.978,11.339,1.636
Kentucky,Woodford County,2020-02-22,4.711,25.585,12.255
Kentucky,Woodford County,2020-02-23,4.554,16.667,6.51
Kentucky,Woodford County,2020-02-24,7.694,-5.758,3.173
Kentucky,Woodford County,2020-02-25,-4.386,-0.506,0.511
Kentucky,Woodford County,2020-02-26,6.701,9.654,
Kentucky,Woodford County,2020-02-27,5.267,15.291,-1.524
Kentucky,Woodford County,2020-02-28,1.956,15.375,0.545
Kentucky,Woodford County,2020-02-29,2.617,25.128,4.596
Kentucky,Woodford County,2020-03-01,2.277,41.667,6.51
Kentucky,Woodford County,2020-03-02,2.367,2.094,-9.518
Kentucky,Woodford County,2020-03-03,1.645,12.642,-1.532
Kentucky,Woodford County,2020-03-04,21.93,18.293,-2.528
Kentucky,Woodford County,2020-03-05,19.312,27.236,0.508
Kentucky,Woodford County,2020-03-06,,9.609,-1.636
Kentucky,Woodford County,2020-03-07,10.469,29.697,3.064
Kentucky,Woodford County,2020-03-08,8.538,31.548,3.255
Kentucky,Woodford County,2020-03-09,14.796,2.617,-1.586
Kentucky,Woodford County,2020-03-10,11.513,6.068,-3.064
Kentucky,Woodford County,2020-03-11,14.62,17.785,-1.517
Kentucky,Woodford County,2020-03-12,18.141,5.256,-3.049
Kentucky,Woodford County,2020-03-13,28.854,8.072,-4.908
Kentucky,Woodford County,2020-03-14,8.899,-12.336,-1.532
Kentucky,Woodford County,2020-03-15,2.846,-8.929,-17.904
Kentucky,Woodford County,2020-03-16,24.858,-12.039,-18.507
Kentucky,Woodford County,2020-03-17,3.838,-26.8,-21.957
Kentucky,Woodford County,2020-03-18,24.976,-19.817,-25.789
Kentucky,Woodford County,2020-03-19,8.778,-34.882,-30.488
Kentucky,Woodford County,2020-03-20,,-37.669,-31.632
Kentucky,Woodford County,2020-03-21,-9.422,-39.748,-18.382
Kentucky,Woodford County,2020-03-22,-19.353,-38.095,-27.669
Kentucky,Woodford County,2020-03-23,-4.735,-34.548,-43.887
Kentucky,Woodford County,2020-03-24,-20.285,-42.981,-41.871
Kentucky,Woodford County,2020-03-25,-6.701,-34.553,-46.015
Kentucky,Woodford County,2020-03-26,-7.022,-32.97,-45.732
Kentucky,Woodford County,2020-03-27,-16.138,-41.897,-46.357
Kentucky,Woodford County,2020-03-28,-18.321,-37.007,-24.51
Kentucky,Woodford County,2020-03-29,-17.646,-34.524,-30.924
