state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
LT,Alytus County,2020-02-16,7.583,26.21,,14.808,,8.224
LT,Alytus County,2020-02-17,5.931,16.984,,9.224,,-14.938
LT,Alytus County,2020-02-18,9.921,21.701,,9.371,,-15.022
LT,Alytus County,2020-02-19,10.057,23.384,,9.625,,-14.34
LT,Alytus County,2020-02-20,5.787,17.361,,10.608,,-16.301
LT,Alytus County,2020-02-21,1.631,9.167,,5.418,,-16.748
LT,Alytus County,2020-02-22,3.122,4.274,,4.813,,
LT,Alytus County,2020-02-23,1.996,7.392,,7.404,,
LT,Alytus County,2020-02-24,8.155,6.793,,2.7,,1.394
LT,Alytus County,2020-02-25,0.709,-9.766,,-2.397,,2.57
LT,Alytus County,2020-02-26,1.796,12.755,,-0.428,,2.589
LT,Alytus County,2020-02-27,0.681,-9.645,,4.88,,0.398
LT,Alytus County,2020-02-28,4.538,1.667,,1.923,,1.021
LT,Alytus County,2020-02-29,1.987,11.752,,0.172,,4.674
LT,Alytus County,2020-03-01,-0.399,16.801,,3.574,,8.224
LT,Alytus County,2020-03-02,-4.078,13.587,,-0.675,,2.788
LT,Alytus County,2020-03-03,2.923,19.531,,-1.525,,2.174
LT,Alytus County,2020-03-04,-0.359,10.629,,3.422,,1.793
LT,Alytus County,2020-03-05,1.362,17.361,,2.334,,2.385
LT,Alytus County,2020-03-06,1.064,24.167,,6.467,,1.021
LT,Alytus County,2020-03-07,8.515,10.15,,4.641,,4.006
LT,Alytus County,2020-03-08,19.157,18.145,,24.254,,12.792
LT,Alytus County,2020-03-09,1.112,26.042,,1.8,,0.797
LT,Alytus County,2020-03-10,20.904,39.062,,18.305,,0.791
LT,Alytus County,2020-03-11,-9.698,43.58,,-11.123,,-74.092
LT,Alytus County,2020-03-12,9.872,-7.716,,3.607,,-0.596
LT,Alytus County,2020-03-13,5.318,25.833,,-2.622,,-17.974
LT,Alytus County,2020-03-14,0.851,-8.547,,-18.049,,-3.339
LT,Alytus County,2020-03-15,17.561,29.57,,1.021,,1.827
LT,Alytus County,2020-03-16,-18.906,12.455,,-42.972,,-33.262
LT,Alytus County,2020-03-17,-27.99,52.083,,-47.071,,-42.102
LT,Alytus County,2020-03-18,-27.299,75.468,,-47.485,,-44.017
LT,Alytus County,2020-03-19,-29.956,30.864,,-51.977,,-46.716
LT,Alytus County,2020-03-20,-12.551,37.5,,-61.521,,-45.343
LT,Alytus County,2020-03-21,-24.693,4.808,,-70.476,,-39.396
LT,Alytus County,2020-03-22,-26.341,4.704,,-68.168,,-31.981
LT,Alytus County,2020-03-23,-18.906,32.835,,-63.22,,-45.61
LT,Alytus County,2020-03-24,-22.676,37.977,,-63.851,,-48.031
LT,Alytus County,2020-03-25,-29.095,45.706,,-64.168,,-48.399
LT,Alytus County,2020-03-26,-28.254,49.19,,-65.131,,-49.101
LT,Alytus County,2020-03-27,-29.002,51.667,,-66.415,,-48.611
LT,Alytus County,2020-03-28,-34.06,61.432,,-71.163,,-37.393
LT,Alytus County,2020-03-29,-37.117,,,-73.785,,-33.808
LT,Kaunas County,2020-02-16,3.92,17.83,-2.241,10.947,23.956,0.698
LT,Kaunas County,2020-02-17,2.425,15.949,2.53,2.718,-2.607,-13.439
LT,Kaunas County,2020-02-18,1.046,6.045,2.773,1.16,-1.844,-12.572
LT,Kaunas County,2020-02-19,1.523,22.844,1.998,3.818,-0.267,-13.284
LT,Kaunas County,2020-02-20,3.701,13.781,1.824,4.437,2.156,-14.397
LT,Kaunas County,2020-02-21,1.22,-9.225,3.008,-3.232,-0.37,-14.271
