state,county,category,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29
MU,Flacq District,grocery/pharmacy,3.1,5.787,-7.44,-17.236,-10.512,-30.242,-2.003,-3.1,1.929,,5.246,0.956,1.68,16.693,10.541,8.681,6.51,8.243,2.867,0.84,7.345,-3.1,6.752,-6.51,3.747,-21.024,-22.681,9.348,24.182,7.716,-0.93,-2.248,44.916,-45.363,-63.435,-94.866,-65.586,-78.125,-98.921,-92.699,-94.086,-92.147,-93.006
MU,Flacq District,parks,11.891,7.074,24.371,26.609,33.909,43.219,-4.179,7.583,-3.809,4.698,-6.035,-14.952,-15.847,-14.105,-2.24,-15.236,-2.349,-0.823,-2.403,-9.364,-29.95,-24.471,-23.127,-13.213,1.372,-15.219,-41.299,-30.473,-14.821,-19.862,-15.268,-8.229,-25.632,-67.951,-82.712,-87.717,-83.256,-82.801,-87.781,-84.639,-84.278,-87.762,-87.889
MU,Flacq District,residential,1.299,-0.384,-1.059,-2.099,-1.341,16.27,1.535,2.126,0.449,0.131,-0.404,-0.036,0.49,-0.794,0.762,0.506,-0.077,-0.346,-0.368,0.778,2.069,3.734,1.23,7.678,3.717,18.385,12.948,4.468,3.628,1.265,8.401,0.277,7.485,31.981,26.008,23.74,35.953,37.933,40.159,37.266,40.468,29.917,24.048
MU,Flacq District,retail/recreation,-4.006,-11.48,-9.354,-20.109,-18.357,-30.336,-0.88,-1.821,-6.378,-1.276,1.207,4.696,0.365,17.606,10.198,10.629,6.378,8.848,5.123,-7.31,,-8.377,-3.401,-8.929,10.457,-11.1,-33.626,4.695,8.377,-5.527,-16.582,-8.044,-9.819,-71.637,-81.866,-96.882,-86.735,-89.711,-104.167,-100.324,-98.319,-94.484,-95.79
MU,Flacq District,transitstations,-3.834,-0.228,4.785,6.956,-5.728,-32.393,-7.43,-10.175,-2.167,-2.217,-4.219,-0.477,-0.118,2.436,1.622,-2.053,-0.583,-3.991,-2.029,-0.825,-4.385,-13.861,-6.842,-23.106,-17.676,-41.172,-33.925,-13.886,-15.188,-7.755,-26.023,-9.237,-30.431,-72.09,-74.424,-82.577,-84.616,-89.856,-91.914,-90.936,-89.641,-90.015,-89.213
MU,Flacq District,workplace,2.694,2.196,-6.985,-7.886,-25.037,-58.072,17.478,0.898,8.158,4.252,11.83,3.709,21.051,31.46,6.286,6.589,4.555,15.116,6.182,24.318,29.362,-8.082,6.903,-17.614,-8.215,-60.584,-16.333,22.371,0.898,9.413,-20.044,11.83,-22.873,-67.509,-58.026,-64.655,-85.969,-90.804,-92.337,-91.494,-89.649,-77.601,-75.431
MU,Grand Port District,grocery/pharmacy,8.601,-8.418,-10.851,-15.756,-13.304,-35.807,7.123,1.195,-9.47,,-5.252,-7.926,-2.003,16.916,11.468,4.209,-4.34,-3.501,-7.926,-14.774,-2.671,-2.867,-10.522,-11.936,-7.003,-22.645,-14.022,-0.89,15.291,1.052,-11.936,-5.252,50.951,-27.043,-63.212,-93.654,-66.288,-79.21,-98.039,-93.976,-89.143,-90.812,-93.654
MU,Grand Port District,parks,11.891,7.074,24.371,26.609,33.909,43.219,-4.179,7.583,-3.809,4.698,-6.035,-14.952,-15.847,-14.105,-2.24,-15.236,-2.349,-0.823,-2.403,-9.364,-29.95,-24.471,-23.127,-13.213,1.372,-15.219,-41.299,-30.473,-14.821,-19.862,-15.268,-8.229,-25.632,-67.951,-82.712,-87.717,-83.256,-82.801,-87.781,-84.639,-84.278,-87.762,-87.889
MU,Grand Port District,residential,1.299,-0.384,-1.059,-2.099,-1.341,16.27,1.535,2.126,0.449,0.131,-0.404,-0.036,0.49,-0.794,0.762,0.506,-0.077,-0.346,-0.368,0.778,2.069,3.734,1.23,7.678,3.717,18.385,12.948,4.468,3.628,1.265,8.401,0.277,7.485,31.981,26.008,23.74,35.953,37.933,40.159,37.266,40.468,29.917,24.048
MU,Grand Port District,retail/recreation,-4.324,-9.037,-9.608,-15.914,-14.468,-30.518,-4.258,-8.255,-2.378,1.517,7.716,2.894,2.848,12.775,11.792,12.367,3.034,6.752,0.482,-8.138,-2.293,4.717,-4.756,-3.54,15.432,-9.645,-20.752,-7.206,-3.931,-2.854,-8.091,-8.681,6.752,-64.697,-81.564,-100.236,-80.384,-85.457,-104.167,-100.309,-96.029,-96.633,-97.877
MU,Grand Port District,transitstations,-9.311,-3.739,1.849,0.639,1.255,-20.053,-11.698,1.746,0.534,-1.233,,4.393,-14.483,-7.799,,-5.342,-3.082,-3.195,-3.765,-18.939,-11.141,-9.311,-12.286,-14.793,-8.308,-21.335,-31.751,-21.168,-12.221,-15.491,-9.862,-3.195,-27.61,-58.489,-57.375,-66.341,-75.855,-86.908,-86.273,-90.989,-90.241,-98.039,-98.347
MU,Grand Port District,workplace,,4.682,2.721,2.837,-17.747,-61.275,23.148,6.275,6.632,4.276,7.701,,14.443,29.9,2.51,1.17,1.555,5.674,,16.632,26.042,,0.78,-15.936,-11.349,-63.657,-15.319,23.148,2.51,3.121,-19.434,6.89,-23.92,-68.715,-51.119,-61.496,-84.27,-88.231,-92.412,-90.664,-88.848,-75.231,-72.791
MU,Moka District,grocery/pharmacy,1.484,-3.407,-3.146,-5.963,-2.236,-29.933,-1.35,-3.117,-5.804,-4.01,-3.638,-2.857,-0.696,9.852,11.059,3.849,3.455,0.298,0.87,-3.423,-2.901,1.633,-2.461,-8.205,-1.372,-30.87,-15.431,0.8,12.024,5.426,-7.65,-8.11,37.205,-39.621,-57.864,-89.734,-62.901,-72.364,-94.341,-89.69,-87.073,-87.222,-86.542
MU,Moka District,parks,11.891,7.074,24.371,26.609,33.909,43.219,-4.179,7.583,-3.809,4.698,-6.035,-14.952,-15.847,-14.105,-2.24,-15.236,-2.349,-0.823,-2.403,-9.364,-29.95,-24.471,-23.127,-13.213,1.372,-15.219,-41.299,-30.473,-14.821,-19.862,-15.268,-8.229,-25.632,-67.951,-82.712,-87.717,-83.256,-82.801,-87.781,-84.639,-84.278,-87.762,-87.889
MU,Moka District,residential,1.299,-0.384,-1.059,-2.099,-1.341,16.27,1.535,2.126,0.449,0.131,-0.404,-0.036,0.49,-0.794,0.762,0.506,-0.077,-0.346,-0.368,0.778,2.069,3.734,1.23,7.678,3.717,18.385,12.948,4.468,3.628,1.265,8.401,0.277,7.485,31.981,26.008,23.74,35.953,37.933,40.159,37.266,40.468,29.917,24.048
MU,Moka District,retail/recreation,-5.658,-8.175,-5.036,-13.508,-10.91,-52.425,1.108,-13.978,-3.165,1.06,6.494,6.754,15.728,32.137,10.982,2.373,3.711,2.078,5.455,3.647,7.979,4.326,-7.384,-22.795,-2.598,-39.485,-32.823,2.66,-5.325,-8.439,-21.204,-9.871,-32.211,-84.564,-91.534,-104.167,-93.354,-96.215,-104.167,-102.089,-102.115,-101.507,-101.171
MU,Moka District,transitstations,-3.834,-0.228,4.785,6.956,-5.728,-32.393,-7.43,-10.175,-2.167,-2.217,-4.219,-0.477,-0.118,2.436,1.622,-2.053,-0.583,-3.991,-2.029,-0.825,-4.385,-13.861,-6.842,-23.106,-17.676,-41.172,-33.925,-13.886,-15.188,-7.755,-26.023,-9.237,-30.431,-72.09,-74.424,-82.577,-84.616,-89.856,-91.914,-90.936,-89.641,-90.015,-89.213
MU,Moka District,workplace,-1.603,4.562,,-8.808,-19.073,-71.453,34.722,-9.615,6.843,5.19,8.425,-0.734,20.231,45.139,4.808,6.083,4.078,6.893,-0.734,19.37,38.194,-4.808,3.802,-18.164,-12.638,-74.824,-9.9,38.194,-3.205,3.802,-16.681,4.213,-23.841,-75.758,-56.713,-64.103,-87.819,-91.934,-94.593,-92.43,-89.101,-69.444,-67.308
MU,Pamplemousses District,grocery/pharmacy,-3.956,2.556,-7.764,-15.931,9.356,-27.381,-1.517,-4.615,-7.669,,-4.289,1.248,1.786,17.698,13.186,7.669,14.234,4.289,4.99,1.786,2.023,2.637,3.834,-0.647,5.515,-19.336,-7.143,10.619,11.208,9.586,0.647,-4.902,81.088,-7.738,-46.521,-87.685,-52.403,-60.818,-97.426,-86.078,-81.548,-82.929,-85.047
MU,Pamplemousses District,parks,11.891,7.074,24.371,26.609,33.909,43.219,-4.179,7.583,-3.809,4.698,-6.035,-14.952,-15.847,-14.105,-2.24,-15.236,-2.349,-0.823,-2.403,-9.364,-29.95,-24.471,-23.127,-13.213,1.372,-15.219,-41.299,-30.473,-14.821,-19.862,-15.268,-8.229,-25.632,-67.951,-82.712,-87.717,-83.256,-82.801,-87.781,-84.639,-84.278,-87.762,-87.889
MU,Pamplemousses District,residential,1.299,-0.384,-1.059,-2.099,-1.341,16.27,1.535,2.126,0.449,0.131,-0.404,-0.036,0.49,-0.794,0.762,0.506,-0.077,-0.346,-0.368,0.778,2.069,3.734,1.23,7.678,3.717,18.385,12.948,4.468,3.628,1.265,8.401,0.277,7.485,31.981,26.008,23.74,35.953,37.933,40.159,37.266,40.468,29.917,24.048
