state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
Maine,Androscoggin County,2020-02-16,4.841,,-1.94,5.787,,3.075
Maine,Androscoggin County,2020-02-17,6.79,,6.31,12.71,,-30.231
Maine,Androscoggin County,2020-02-18,-10.578,,5.431,-16.425,,-13.675
Maine,Androscoggin County,2020-02-19,1.429,,2.767,5.085,,-12.837
Maine,Androscoggin County,2020-02-20,0.89,,1.688,9.584,,-9.762
Maine,Androscoggin County,2020-02-21,-4.835,,3.422,0.912,,-11.972
Maine,Androscoggin County,2020-02-22,-7.43,,-0.77,3.895,,0.289
Maine,Androscoggin County,2020-02-23,5.737,,-1.793,10.127,,6.919
Maine,Androscoggin County,2020-02-24,1.251,,-0.343,7.729,,1.424
Maine,Androscoggin County,2020-02-25,1.434,,-0.134,5.615,,2.778
Maine,Androscoggin County,2020-02-26,11.971,,-0.481,14.382,,1.368
Maine,Androscoggin County,2020-02-27,-10.506,,3.237,-4.792,,-2.36
Maine,Androscoggin County,2020-02-28,-0.44,,-0.675,9.298,,1.79
Maine,Androscoggin County,2020-02-29,-4.43,,-1.024,10.88,,2.315
Maine,Androscoggin County,2020-03-01,7.53,,-1.884,17.446,,5.381
Maine,Androscoggin County,2020-03-02,4.824,,-0.09,9.79,,1.972
Maine,Androscoggin County,2020-03-03,12.012,,-1.938,19.945,,1.816
Maine,Androscoggin County,2020-03-04,6.79,,0.99,8.581,,0.842
Maine,Androscoggin County,2020-03-05,6.588,,-0.744,13.669,,2.467
Maine,Androscoggin County,2020-03-06,-1.905,,0.644,5.47,,0.895
Maine,Androscoggin County,2020-03-07,-1.858,,-0.236,9.582,,0.868
Maine,Androscoggin County,2020-03-08,11.654,,-1.548,14.212,,4.228
Maine,Androscoggin County,2020-03-09,7.326,,-0.41,10.992,,1.862
Maine,Androscoggin County,2020-03-10,7.172,,0.035,8.799,,2.457
Maine,Androscoggin County,2020-03-11,15.366,,0.672,8.899,,1.368
Maine,Androscoggin County,2020-03-12,37.393,,-0.133,12.648,,2.467
Maine,Androscoggin County,2020-03-13,21.976,,4.215,-6.442,,-2.797
Maine,Androscoggin County,2020-03-14,17.147,,2.146,-4.204,,-1.157
Maine,Androscoggin County,2020-03-15,27.79,,1.716,-5.702,,-1.153
Maine,Androscoggin County,2020-03-16,27.873,,6.156,-7.471,,-14.897
Maine,Androscoggin County,2020-03-17,14.702,,10.37,-23.297,,-22.009
Maine,Androscoggin County,2020-03-18,14.294,,11.713,-23.281,,-27.252
Maine,Androscoggin County,2020-03-19,5.342,,13.816,-31.109,,-30.252
Maine,Androscoggin County,2020-03-20,1.172,,16.722,-37.072,,-33.902
Maine,Androscoggin County,2020-03-21,-11.431,,10.1,-39.998,,-21.123
Maine,Androscoggin County,2020-03-22,-12.192,,7.18,-38.977,,-21.91
Maine,Androscoggin County,2020-03-23,-6.79,,14.041,-35.982,,-35.489
Maine,Androscoggin County,2020-03-24,-14.522,,17.299,-40.058,,-41.987
Maine,Androscoggin County,2020-03-25,-5.182,,17.392,-39.172,,-39.773
Maine,Androscoggin County,2020-03-26,-5.52,,16.3,-37.865,,-40.444
Maine,Androscoggin County,2020-03-27,-13.479,,19.903,-44.669,,-42.853
Maine,Androscoggin County,2020-03-28,-16.861,,11.215,-44.758,,-30.671
Maine,Androscoggin County,2020-03-29,-22.232,,10.701,-50.637,,-30.75
Maine,Aroostook County,2020-02-16,27.315,,,33.763,,4.419
Maine,Aroostook County,2020-02-17,1.754,,,4.698,,-36.728
Maine,Aroostook County,2020-02-18,7.933,,,3.422,,-13.796
Maine,Aroostook County,2020-02-19,-4.085,,,-4.65,,-12.62
Maine,Aroostook County,2020-02-20,2.986,,,10.776,,-10.457
Maine,Aroostook County,2020-02-21,-1.17,,,0.426,,-13.021
Maine,Aroostook County,2020-02-22,-3.836,,,-0.442,,-1.427
Maine,Aroostook County,2020-02-23,30.556,,,37.688,,14.52
Maine,Aroostook County,2020-02-24,4.91,,,8.783,,2.698
Maine,Aroostook County,2020-02-25,7.588,,,4.942,,0.4
