state,county,category,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29
Maine,Overall,grocery/pharmacy,8.138,4.758,-7.149,-1.143,1.609,-3.569,-3.251,10.172,3.827,0.236,8.607,-11.397,0.999,-0.691,11.553,4.999,9.982,2.959,6.738,-0.428,-0.921,11.408,6.965,3.844,11.263,28.056,17.301,19.133,26.157,24.48,7.217,8.54,0.235,-3.94,-8.574,-7.811,-9.171,-17.266,-10.053,-9.654,-16.102,-17.263,-22.052
Maine,Overall,parks,47.467,31.885,-8.495,5.048,5.006,-2.378,23.121,54.636,21.753,11.226,8.133,-15.902,2.378,0.784,19.036,5.96,54.917,0.28,25.915,5.708,-1.176,57.603,50.062,21.239,23.559,17.669,-18.788,18.222,39.308,14.006,-18.811,42.911,-8.54,-0.713,36.445,51.917,-6.556,-1.517,13.182,45.94,17.599,41.539,-23.733
Maine,Overall,residential,-1.662,6.074,4.703,2.002,1.741,3.093,-0.637,-2.135,-0.263,-0.031,-0.826,5.173,-0.155,-0.976,-2.022,-0.115,-1.59,0.33,-0.577,0.387,-0.092,-1.876,-0.169,0.594,-0.021,0.087,4.209,2.357,1.543,6.108,11.02,11.348,14.444,16.795,10.295,7.512,14.607,17.794,16.807,16.908,19.443,11.342,10.398
Maine,Overall,retail/recreation,14.263,14.978,-9.39,6.497,8.105,2.625,6.109,13.805,5.843,4.38,11.993,-10.028,8.365,10.322,18.839,7.015,20.086,7.721,9.259,5.32,9.294,18.018,8.46,5.364,9.842,9.173,-4.142,-0.605,0.205,-7.08,-24.328,-25.106,-35.227,-37.999,-41.333,-38.277,-37.388,-42.617,-39.712,-40.497,-44.322,-46.323,-49.747
Maine,Overall,transitstations,16.688,12.203,4.172,12.749,8.192,4.491,10.394,33.375,8.135,6.418,12.127,-9.406,9.511,15.244,26.529,9.074,11.874,7.774,8.192,5.019,9.354,32.091,7.822,6.418,5.286,3.641,-9.246,-5.89,0.428,-11.264,-17.971,-18.346,-30.341,-35.665,-36.724,-34.659,-37.86,-40.435,-41.667,-41.87,-50.987,-48.503,-56.481
Maine,Overall,workplace,2.999,-32.682,-12.84,-12.051,-9.005,-11.121,-0.604,6.062,2.87,2.806,2.106,-5.442,2.088,0.503,6.388,2.811,2.422,1.404,3.912,1.666,1.107,6.975,1.98,1.519,1.063,2.653,-3.272,-0.604,2.021,-14.213,-23.2,-28.257,-31.199,-34.506,-24.1,-24.51,-36.463,-42.499,-40.555,-40.786,-42.395,-31.195,-31.419
Maine,Washington County,grocery/pharmacy,8.609,-8.793,-5.208,-9.084,-3.834,-16.534,-3.858,13.774,6.088,0.651,-4.845,-14.379,-10.472,-12.86,15.496,-4.735,1.953,-9.084,1.917,-4.96,-6.43,9.47,-6.764,-3.255,3.028,21.728,7.716,14.789,23.244,19.616,13.021,3.028,1.917,-7.716,-10.288,4.304,1.353,-21.484,-15.141,-15.976,-25.353,-12.217,-8.609
Maine,Washington County,retail/recreation,12.584,-1.636,-10.469,-10.619,2.434,-8.349,-4.897,20.973,-1.636,1.047,15.676,-28.232,4.771,6.232,22.371,2.727,12.039,2.528,11.195,5.964,2.671,23.77,10.362,5.235,5.057,16.063,-9.144,-8.013,-6.292,-4.908,-21.461,-33.374,-37.967,-47.71,-47.632,-39.15,-32.723,-52.869,-39.947,-47.216,-54.866,-50.303,-43.345
Maine,Washington County,workplace,,-45.537,-17.921,-18.739,-17.268,-17.458,-2.604,9.47,1.138,0.56,-2.756,-12.812,-0.582,-9.115,1.578,1.138,0.56,-3.307,-1.671,-3.492,,3.157,0.569,-0.56,-1.102,0.557,-4.074,-5.208,-6.313,-11.384,-15.681,-24.802,-25.067,-27.933,-15.625,-22.096,-33.015,-35.282,-34.171,-32.308,-33.752,-15.625,-25.253
Maine,York County,grocery/pharmacy,5.52,4.974,-8.85,0.565,3.477,-3.108,-1.343,5.661,5.852,1.451,4.376,-3.332,-0.994,-0.488,7.218,6.584,11.171,3.67,10.141,0.124,1.71,11.181,12.875,8.85,12.421,32.452,26.104,26.988,26.183,29.407,13.202,13.691,5.216,5.221,1.221,-0.425,-4.682,-12.767,-5.646,-1.159,-5.096,-12.09,-23.494
