state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
Maryland,Baltimore,2020-02-16,0.909,30.919,-0.677,7.482,1.999,0.34
Maryland,Baltimore,2020-02-17,-8.23,6.127,6.822,-0.849,-16.474,-26.352
Maryland,Baltimore,2020-02-18,-0.178,23.85,-0.607,5.951,5.001,3.96
Maryland,Baltimore,2020-02-19,0.876,12.031,-0.652,4.918,2.071,2.444
Maryland,Baltimore,2020-02-20,-1.04,-2.223,-0.19,3.163,0.079,2.172
Maryland,Baltimore,2020-02-21,-4.015,-0.602,0.656,0.04,-0.762,3.551
Maryland,Baltimore,2020-02-22,3.633,33.938,-1.173,8.504,8.017,5.58
Maryland,Baltimore,2020-02-23,4.92,63.678,-1.339,9.916,6.731,3.495
Maryland,Baltimore,2020-02-24,0.249,6.127,-0.122,8.046,-0.738,4.095
Maryland,Baltimore,2020-02-25,-1.428,,0.228,3.49,-2.178,3.761
Maryland,Baltimore,2020-02-26,1.652,7.915,-1.023,7.842,1.633,2.717
Maryland,Baltimore,2020-02-27,-0.718,9.845,-0.571,5.538,-2.223,2.107
Maryland,Baltimore,2020-02-28,3.1,20.171,-0.945,8.773,2.781,3.638
Maryland,Baltimore,2020-02-29,1.955,-0.336,-1.571,9.137,1.657,3.021
Maryland,Baltimore,2020-03-01,5.609,40.121,-1.71,14.079,4.932,3.835
Maryland,Baltimore,2020-03-02,3.267,24.187,-0.53,8.686,1.476,4.095
Maryland,Baltimore,2020-03-03,9.993,36.476,-1.663,15.445,3.589,4.426
Maryland,Baltimore,2020-03-04,7.283,53.508,-1.515,14.037,4.461,2.219
Maryland,Baltimore,2020-03-05,6.611,32.076,-1.411,10.097,2.144,2.577
Maryland,Baltimore,2020-03-06,-1.472,23.182,0.908,1.545,-3.848,2.443
Maryland,Baltimore,2020-03-07,5.663,32.258,-1.474,8.84,5.345,4.615
Maryland,Baltimore,2020-03-08,8.367,100.486,-1.815,13.415,9.33,3.883
Maryland,Baltimore,2020-03-09,6.733,78.367,-1.021,12.487,3.73,3.228
Maryland,Baltimore,2020-03-10,5.15,48.05,-0.399,9.051,3.549,2.147
Maryland,Baltimore,2020-03-11,4.33,39.894,-0.004,6.294,-0.677,0.273
Maryland,Baltimore,2020-03-12,12.603,28.9,-0.184,7.209,-0.953,-1.118
Maryland,Baltimore,2020-03-13,9.837,38.235,3.567,-1.03,-9.944,-8.142
Maryland,Baltimore,2020-03-14,8.344,46.707,1.776,-6.911,-5.024,-0.378
Maryland,Baltimore,2020-03-15,2.256,45.274,3.497,-12.129,-12.529,-7.863
Maryland,Baltimore,2020-03-16,8.13,-0.967,8.817,-9.365,-22.419,-23.667
Maryland,Baltimore,2020-03-17,-1.224,34.722,11.476,-20.484,-24.64,-30.718
Maryland,Baltimore,2020-03-18,-4.931,19.63,13.205,-24.654,-29.159,-35.708
Maryland,Baltimore,2020-03-19,-3.739,24.771,14.819,-26.424,-30.488,-38.234
Maryland,Baltimore,2020-03-20,-6.825,40.041,16.352,-28.793,-31.547,-39.134
Maryland,Baltimore,2020-03-21,-7.091,17.473,10.482,-37.342,-27.952,-26.472
Maryland,Baltimore,2020-03-22,-11.219,27.238,10.214,-39.706,-32.323,-31.599
Maryland,Baltimore,2020-03-23,-21.297,-38.377,19.672,-39.054,-48.023,-46.791
Maryland,Baltimore,2020-03-24,-21.822,22.797,18.466,-37.661,-40.973,-48.056
Maryland,Baltimore,2020-03-25,-29.133,-38.627,21.552,-46.583,-49.156,-52.252
Maryland,Baltimore,2020-03-26,-19.486,35.252,19.397,-37.416,-39.34,-50.73
Maryland,Baltimore,2020-03-27,-23.398,22.881,21.353,-40.706,-38.824,-49.268
Maryland,Baltimore,2020-03-28,-28.516,-35.282,15.14,-51.971,-42.062,-37.002
Maryland,Baltimore,2020-03-29,-18.74,12.883,12.166,-46.095,-35.655,-38.104
Maryland,Baltimore County,2020-02-16,0.677,27.61,-0.911,4.369,-6.149,0.954
Maryland,Baltimore County,2020-02-17,1.345,39.363,5.491,5.588,-17.876,-20.901
Maryland,Baltimore County,2020-02-18,0.467,37.677,-0.369,1.083,-0.492,3.672
Maryland,Baltimore County,2020-02-19,-0.762,18.353,-0.323,1.548,-0.818,3.304
Maryland,Baltimore County,2020-02-20,-0.819,-0.983,-0.2,0.39,-1.62,2.73
Maryland,Baltimore County,2020-02-21,-2.763,-6.752,0.668,-1.508,-4.691,3.377
Maryland,Baltimore County,2020-02-22,4.782,95.405,-1.535,3.586,5.667,3.798
Maryland,Baltimore County,2020-02-23,4.84,113.788,-1.373,5.407,1.808,3.905
Maryland,Baltimore County,2020-02-24,-1.153,18.721,-0.077,-1.03,1.138,3.455
Maryland,Baltimore County,2020-02-25,-2.36,-10.527,0.345,-0.888,-3.117,2.953
Maryland,Baltimore County,2020-02-26,0.785,-6.448,-0.441,3.174,-1.962,3.103
Maryland,Baltimore County,2020-02-27,-0.889,-11.301,-0.284,3.14,-3.726,2.25
Maryland,Baltimore County,2020-02-28,1.658,-3.858,0.077,1.789,-1.132,3.431
Maryland,Baltimore County,2020-02-29,5.777,1.947,-1.195,4.21,-2.429,3.255
Maryland,Baltimore County,2020-03-01,7.833,48.946,-1.311,9.25,0.362,5.04
Maryland,Baltimore County,2020-03-02,3.628,38.882,-0.383,4.191,,2.971
Maryland,Baltimore County,2020-03-03,7.007,22.717,-0.889,7.01,-1.312,4.198
Maryland,Baltimore County,2020-03-04,6.069,62.004,-1.131,7.91,4.579,3.379
Maryland,Baltimore County,2020-03-05,5.266,45.204,-1.237,6.164,,3.35
Maryland,Baltimore County,2020-03-06,0.234,-11.092,1.246,-0.304,-7.44,2.828
Maryland,Baltimore County,2020-03-07,8.925,48.189,-1.54,4.584,0.81,3.798
Maryland,Baltimore County,2020-03-08,8.769,141.399,-1.178,6.749,,3.769
Maryland,Baltimore County,2020-03-09,7.063,120.488,-0.662,5.948,2.438,2.199
Maryland,Baltimore County,2020-03-10,5.482,39.34,-0.217,4.159,1.476,2.863
Maryland,Baltimore County,2020-03-11,6.473,27.282,0.158,3.786,-1.472,1.357
Maryland,Baltimore County,2020-03-12,22.467,27.024,0.036,10.029,-4.05,0.417
Maryland,Baltimore County,2020-03-13,24.549,54.977,3.079,1.319,-9.058,-3.23
Maryland,Baltimore County,2020-03-14,16.738,106.114,2.614,-8.203,1.349,-1.194
Maryland,Baltimore County,2020-03-15,5.413,53.966,4.503,-13.47,-7.234,-8.718
Maryland,Baltimore County,2020-03-16,21.934,27.842,9.552,-4.99,-20.638,-23.663
Maryland,Baltimore County,2020-03-17,8.187,73.138,13.159,-20.533,-23.95,-30.849
Maryland,Baltimore County,2020-03-18,2.856,74.405,15.171,-23.098,-31.724,-35.011
Maryland,Baltimore County,2020-03-19,5.359,47.17,16.698,-23.95,-34.668,-37.642
Maryland,Baltimore County,2020-03-20,8.098,98.38,18.604,-26.543,-32.997,-38.716
Maryland,Baltimore County,2020-03-21,6.203,82.262,11.855,-36.048,-31.034,-25.427
Maryland,Baltimore County,2020-03-22,-9.186,58.568,11.197,-41.078,-35.446,-31.831
Maryland,Baltimore County,2020-03-23,-10.691,-48.003,20.841,-36.179,-52.002,-45.14
Maryland,Baltimore County,2020-03-24,-12.907,62.611,20.829,-39.701,-45.932,-48.348
Maryland,Baltimore County,2020-03-25,-22.87,-41.667,24.281,-45.577,-54.618,-50.701
Maryland,Baltimore County,2020-03-26,-12.872,84.021,21.618,-36.927,-48.762,-49.524
Maryland,Baltimore County,2020-03-27,-14.495,66.551,23.71,-40.325,-44.481,-48.365
Maryland,Baltimore County,2020-03-28,-21.023,-34.073,16.605,-51.038,-50.464,-37.182
Maryland,Baltimore County,2020-03-29,-21.833,10.877,13.506,-47.771,-40.509,-37.416
Maryland,Harford County,2020-02-16,-6.634,,-1.338,4.156,25.471,3.115
Maryland,Harford County,2020-02-17,-4.112,,6.921,7.715,63.261,-33.631
Maryland,Harford County,2020-02-18,-4.088,,-0.49,1.146,21.143,1.935
Maryland,Harford County,2020-02-19,-2.288,,-0.33,2.364,14.297,1.567
Maryland,Harford County,2020-02-20,-2.888,,-0.081,0.378,19.591,1.498
Maryland,Harford County,2020-02-21,-5.265,,0.39,-1.28,8.389,0.182
Maryland,Harford County,2020-02-22,3.138,,-1.94,5.206,39.557,4.671
