state,county,category,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29
Maryland,Baltimore,grocery/pharmacy,0.909,-8.23,-0.178,0.876,-1.04,-4.015,3.633,4.92,0.249,-1.428,1.652,-0.718,3.1,1.955,5.609,3.267,9.993,7.283,6.611,-1.472,5.663,8.367,6.733,5.15,4.33,12.603,9.837,8.344,2.256,8.13,-1.224,-4.931,-3.739,-6.825,-7.091,-11.219,-21.297,-21.822,-29.133,-19.486,-23.398,-28.516,-18.74
Maryland,Baltimore,parks,30.919,6.127,23.85,12.031,-2.223,-0.602,33.938,63.678,6.127,,7.915,9.845,20.171,-0.336,40.121,24.187,36.476,53.508,32.076,23.182,32.258,100.486,78.367,48.05,39.894,28.9,38.235,46.707,45.274,-0.967,34.722,19.63,24.771,40.041,17.473,27.238,-38.377,22.797,-38.627,35.252,22.881,-35.282,12.883
Maryland,Baltimore,residential,-0.677,6.822,-0.607,-0.652,-0.19,0.656,-1.173,-1.339,-0.122,0.228,-1.023,-0.571,-0.945,-1.571,-1.71,-0.53,-1.663,-1.515,-1.411,0.908,-1.474,-1.815,-1.021,-0.399,-0.004,-0.184,3.567,1.776,3.497,8.817,11.476,13.205,14.819,16.352,10.482,10.214,19.672,18.466,21.552,19.397,21.353,15.14,12.166
Maryland,Baltimore,retail/recreation,7.482,-0.849,5.951,4.918,3.163,0.04,8.504,9.916,8.046,3.49,7.842,5.538,8.773,9.137,14.079,8.686,15.445,14.037,10.097,1.545,8.84,13.415,12.487,9.051,6.294,7.209,-1.03,-6.911,-12.129,-9.365,-20.484,-24.654,-26.424,-28.793,-37.342,-39.706,-39.054,-37.661,-46.583,-37.416,-40.706,-51.971,-46.095
Maryland,Baltimore,transitstations,1.999,-16.474,5.001,2.071,0.079,-0.762,8.017,6.731,-0.738,-2.178,1.633,-2.223,2.781,1.657,4.932,1.476,3.589,4.461,2.144,-3.848,5.345,9.33,3.73,3.549,-0.677,-0.953,-9.944,-5.024,-12.529,-22.419,-24.64,-29.159,-30.488,-31.547,-27.952,-32.323,-48.023,-40.973,-49.156,-39.34,-38.824,-42.062,-35.655
Maryland,Baltimore,workplace,0.34,-26.352,3.96,2.444,2.172,3.551,5.58,3.495,4.095,3.761,2.717,2.107,3.638,3.021,3.835,4.095,4.426,2.219,2.577,2.443,4.615,3.883,3.228,2.147,0.273,-1.118,-8.142,-0.378,-7.863,-23.667,-30.718,-35.708,-38.234,-39.134,-26.472,-31.599,-46.791,-48.056,-52.252,-50.73,-49.268,-37.002,-38.104
Maryland,Baltimore County,grocery/pharmacy,0.677,1.345,0.467,-0.762,-0.819,-2.763,4.782,4.84,-1.153,-2.36,0.785,-0.889,1.658,5.777,7.833,3.628,7.007,6.069,5.266,0.234,8.925,8.769,7.063,5.482,6.473,22.467,24.549,16.738,5.413,21.934,8.187,2.856,5.359,8.098,6.203,-9.186,-10.691,-12.907,-22.87,-12.872,-14.495,-21.023,-21.833
Maryland,Baltimore County,parks,27.61,39.363,37.677,18.353,-0.983,-6.752,95.405,113.788,18.721,-10.527,-6.448,-11.301,-3.858,1.947,48.946,38.882,22.717,62.004,45.204,-11.092,48.189,141.399,120.488,39.34,27.282,27.024,54.977,106.114,53.966,27.842,73.138,74.405,47.17,98.38,82.262,58.568,-48.003,62.611,-41.667,84.021,66.551,-34.073,10.877
Maryland,Baltimore County,residential,-0.911,5.491,-0.369,-0.323,-0.2,0.668,-1.535,-1.373,-0.077,0.345,-0.441,-0.284,0.077,-1.195,-1.311,-0.383,-0.889,-1.131,-1.237,1.246,-1.54,-1.178,-0.662,-0.217,0.158,0.036,3.079,2.614,4.503,9.552,13.159,15.171,16.698,18.604,11.855,11.197,20.841,20.829,24.281,21.618,23.71,16.605,13.506
Maryland,Baltimore County,retail/recreation,4.369,5.588,1.083,1.548,0.39,-1.508,3.586,5.407,-1.03,-0.888,3.174,3.14,1.789,4.21,9.25,4.191,7.01,7.91,6.164,-0.304,4.584,6.749,5.948,4.159,3.786,10.029,1.319,-8.203,-13.47,-4.99,-20.533,-23.098,-23.95,-26.543,-36.048,-41.078,-36.179,-39.701,-45.577,-36.927,-40.325,-51.038,-47.771
Maryland,Baltimore County,transitstations,-6.149,-17.876,-0.492,-0.818,-1.62,-4.691,5.667,1.808,1.138,-3.117,-1.962,-3.726,-1.132,-2.429,0.362,,-1.312,4.579,,-7.44,0.81,,2.438,1.476,-1.472,-4.05,-9.058,1.349,-7.234,-20.638,-23.95,-31.724,-34.668,-32.997,-31.034,-35.446,-52.002,-45.932,-54.618,-48.762,-44.481,-50.464,-40.509
Maryland,Baltimore County,workplace,0.954,-20.901,3.672,3.304,2.73,3.377,3.798,3.905,3.455,2.953,3.103,2.25,3.431,3.255,5.04,2.971,4.198,3.379,3.35,2.828,3.798,3.769,2.199,2.863,1.357,0.417,-3.23,-1.194,-8.718,-23.663,-30.849,-35.011,-37.642,-38.716,-25.427,-31.831,-45.14,-48.348,-50.701,-49.524,-48.365,-37.182,-37.416
Maryland,Harford County,grocery/pharmacy,-6.634,-4.112,-4.088,-2.288,-2.888,-5.265,3.138,-0.494,-3.084,-6.676,-2.894,-3.348,-1.137,2.27,-0.282,0.685,1.022,3.97,2.494,-2.154,5.809,2.541,2.81,1.363,3.23,18.772,17.531,7.812,-3.317,16.516,0.477,-1.615,-3.479,-0.299,-5.876,-22.795,-19.737,-23.504,-29.675,-20.413,-20.163,-29.714,-31.264
Maryland,Harford County,residential,-1.338,6.921,-0.49,-0.33,-0.081,0.39,-1.94,-1.306,-0.153,0.646,-0.212,0.007,0.154,-1.955,-1.204,-0.66,-0.615,-1.191,-0.997,1.252,-1.751,-1.342,-0.687,-0.086,-0.229,0.143,2.567,2.142,3.611,8.214,13.164,14.097,16.714,17.986,10.691,10.47,19.679,20.202,23.464,21.507,22.952,15.689,12.658
Maryland,Harford County,retail/recreation,4.156,7.715,1.146,2.364,0.378,-1.28,5.206,8.619,1.26,0.248,3.441,3.052,0.749,4.662,9.666,4.188,7.157,8.02,5.871,-0.242,6.91,11.266,5.07,4.028,5.386,8.923,0.193,-6.673,-8.958,-2.645,-23.114,-23.64,-28.163,-27.726,-35.756,-38.785,-38.197,-41.332,-45.635,-38.191,-40.43,-51.326,-45.127
