state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
Massachusetts,Barnstable County,2020-02-16,8.442,14.822,-1.383,14.934,,5.081
Massachusetts,Barnstable County,2020-02-17,2.924,61.31,6.177,13.356,-4.134,-32.841
Massachusetts,Barnstable County,2020-02-18,-1.832,-14.205,2.511,2.217,0.827,-9.44
Massachusetts,Barnstable County,2020-02-19,2.448,30.382,0.798,6.379,,-10.522
Massachusetts,Barnstable County,2020-02-20,1.802,11.639,0.725,5.455,2.717,-10.651
Massachusetts,Barnstable County,2020-02-21,-0.876,1.047,2.447,1.482,-3.064,-10.167
Massachusetts,Barnstable County,2020-02-22,-0.558,48.78,-0.99,9.602,-1.965,1.154
Massachusetts,Barnstable County,2020-02-23,10.131,57.642,-2.065,8.557,2.148,2.752
Massachusetts,Barnstable County,2020-02-24,1.949,41.667,-0.066,6.061,3.307,4.276
Massachusetts,Barnstable County,2020-02-25,-0.977,,0.671,0.252,-11.574,1.478
Massachusetts,Barnstable County,2020-02-26,2.081,-3.255,-0.718,2.699,-1.68,2.185
Massachusetts,Barnstable County,2020-02-27,1.201,4.655,0.204,0.813,-5.435,-0.161
Massachusetts,Barnstable County,2020-02-28,3.505,2.617,-0.328,0.453,,3.25
Massachusetts,Barnstable County,2020-02-29,1.786,21.341,-0.952,5.819,17.689,2.472
Massachusetts,Barnstable County,2020-03-01,8.313,-6.588,-0.933,5.049,17.182,1.905
Massachusetts,Barnstable County,2020-03-02,5.726,16.667,0.254,4.559,-3.307,4.533
Massachusetts,Barnstable County,2020-03-03,6.839,48.532,-1.204,12.397,5.787,1.806
Massachusetts,Barnstable County,2020-03-04,5.141,11.936,-0.906,2.944,1.68,2.347
Massachusetts,Barnstable County,2020-03-05,5.527,37.826,-1.412,6.46,10.87,2.501
Massachusetts,Barnstable County,2020-03-06,7.558,6.281,-0.217,3.992,0.766,3.25
Massachusetts,Barnstable County,2020-03-07,-1.675,-0.508,2.114,0.624,-12.775,-1.483
Massachusetts,Barnstable County,2020-03-08,13.378,26.35,-1.305,13.499,2.148,2.964
Massachusetts,Barnstable County,2020-03-09,6.335,67.857,-0.744,9.548,4.96,3.079
Massachusetts,Barnstable County,2020-03-10,9.281,33.144,-0.363,5.644,0.827,1.149
Massachusetts,Barnstable County,2020-03-11,13.22,27.127,-0.536,6.035,3.36,0.89
Massachusetts,Barnstable County,2020-03-12,26.432,43.645,-0.513,5.79,2.717,-0.323
Massachusetts,Barnstable County,2020-03-13,31.327,-8.375,3.664,-1.276,-10.723,-2.417
Massachusetts,Barnstable County,2020-03-14,23.111,80.793,1.798,0.665,3.931,2.637
Massachusetts,Barnstable County,2020-03-15,17.534,48.995,3.168,-5.793,-1.074,-4.234
Massachusetts,Barnstable County,2020-03-16,21.077,26.786,7.405,-7.456,-13.228,-18.815
Massachusetts,Barnstable County,2020-03-17,1.954,-10.062,13.718,-33.412,-28.935,-30.125
Massachusetts,Barnstable County,2020-03-18,1.714,96.029,10.854,-28.802,-11.761,-31.566
Massachusetts,Barnstable County,2020-03-19,-4.926,-16.294,16.446,-40.815,-25.362,-36.632
Massachusetts,Barnstable County,2020-03-20,12.596,25.649,15.861,-33.995,-33.701,-35.083
Massachusetts,Barnstable County,2020-03-21,-0.335,102.642,10.954,-39.821,-21.619,-27.031
Massachusetts,Barnstable County,2020-03-22,-10.521,44.055,9.937,-43.261,-37.586,-31.97
Massachusetts,Barnstable County,2020-03-23,-4.386,-10.119,16.339,-34.275,-39.683,-40.367
Massachusetts,Barnstable County,2020-03-24,-15.997,44.981,18.869,-46.615,-47.95,-47.035
Massachusetts,Barnstable County,2020-03-25,-23.624,8.138,19.429,-51.568,-48.723,-50.343
Massachusetts,Barnstable County,2020-03-26,-17.661,88.454,18.387,-47.37,-48.007,-49.461
Massachusetts,Barnstable County,2020-03-27,-19.607,125.628,19.77,-47.206,-43.658,-47.083
Massachusetts,Barnstable County,2020-03-28,-19.315,114.329,13.487,-51.127,-38.325,-39.227
Massachusetts,Barnstable County,2020-03-29,-29.484,-39.526,13.605,-59.896,-69.802,-42.768
Massachusetts,Berkshire County,2020-02-16,-1.623,,-1.21,20.499,5.787,3.024
Massachusetts,Berkshire County,2020-02-17,0.799,,6.431,17.082,27.778,-34.801
Massachusetts,Berkshire County,2020-02-18,-9.702,,3.454,-0.084,4.96,-10.989
