state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
Michigan,Allegan County,2020-02-16,12.946,44.787,-1.188,13.387,4.253,4.167
Michigan,Allegan County,2020-02-17,1.743,1.103,2.816,0.121,-1.815,-9.351
Michigan,Allegan County,2020-02-18,0.387,-3.635,2.4,0.462,2.416,-7.208
Michigan,Allegan County,2020-02-19,4.213,3.856,-0.573,4.612,3.814,-0.085
Michigan,Allegan County,2020-02-20,2.666,2.335,-0.068,3.121,4.905,-1.871
Michigan,Allegan County,2020-02-21,-2.2,3.964,1.883,-2.828,8.975,-4.83
Michigan,Allegan County,2020-02-22,6.521,56.471,-1.849,9.432,16.698,6.361
Michigan,Allegan County,2020-02-23,11.552,90.389,-2.339,19.762,18.499,9.295
Michigan,Allegan County,2020-02-24,6.777,14.338,-0.133,7.475,5.93,0.087
Michigan,Allegan County,2020-02-25,3.092,1.841,-0.232,-0.116,4.986,1.287
Michigan,Allegan County,2020-02-26,0.574,-12.294,0.92,-1.012,0.559,-1.02
Michigan,Allegan County,2020-02-27,2.666,-7.184,0.25,4.842,6.877,0.425
Michigan,Allegan County,2020-02-28,2.042,-2.02,0.726,3.232,14.765,
Michigan,Allegan County,2020-02-29,9.944,23.415,-2.003,19.195,27.769,7.156
Michigan,Allegan County,2020-03-01,24.299,57.15,-2.578,31.365,22.719,11.218
Michigan,Allegan County,2020-03-02,10.455,27.812,-0.811,16.638,5.228,2.884
Michigan,Allegan County,2020-03-03,10.049,14.172,-0.302,14.336,8.25,2.317
Michigan,Allegan County,2020-03-04,9.383,22.094,-0.797,20.473,8.543,1.361
Michigan,Allegan County,2020-03-05,9.712,20.339,0.182,14.312,8.652,1.19
Michigan,Allegan County,2020-03-06,0.943,0.305,1.28,6.142,6.58,-2.096
Michigan,Allegan County,2020-03-07,12.063,61.445,-2.227,13.238,13.99,6.626
Michigan,Allegan County,2020-03-08,23.502,154.874,-2.599,32.257,14.144,8.333
Michigan,Allegan County,2020-03-09,11.036,30.786,0.22,7.475,3.267,3.146
Michigan,Allegan County,2020-03-10,13.335,48.176,-1.079,18.267,4.96,2.917
Michigan,Allegan County,2020-03-11,15.702,14.245,-0.539,9.674,3.814,2.041
Michigan,Allegan County,2020-03-12,33.326,27.703,-0.921,17.756,1.602,0.425
Michigan,Allegan County,2020-03-13,42.735,8.461,2.993,3.475,-3.093,-3.737
Michigan,Allegan County,2020-03-14,24.289,15.533,3.689,-2.813,-5.415,3.181
Michigan,Allegan County,2020-03-15,26.888,87.083,2.026,9.562,-8.169,-2.564
Michigan,Allegan County,2020-03-16,42.015,12.707,7.242,-7.957,-16.821,-16.429
Michigan,Allegan County,2020-03-17,18.746,44.817,9.758,-23.238,-19.095,-22.052
Michigan,Allegan County,2020-03-18,14.17,9.527,11.337,-28.46,-23.824,-24.66
Michigan,Allegan County,2020-03-19,18.282,9.249,12.868,-29.485,-30.195,-27.806
Michigan,Allegan County,2020-03-20,13.198,-1.563,16.765,-35.881,-32.274,-29.983
Michigan,Allegan County,2020-03-21,8.314,32.712,10.848,-39.797,-32.462,-20.409
Michigan,Allegan County,2020-03-22,-0.996,48.002,8.017,-33.915,-40.61,-25.321
Michigan,Allegan County,2020-03-23,30.204,-0.575,13.184,-24.233,-40.031,-30.673
Michigan,Allegan County,2020-03-24,-17.393,2.761,23.162,-53.76,-50.062,-50.796
Michigan,Allegan County,2020-03-25,-12.255,66.372,22.772,-46.684,-46.554,-53.401
Michigan,Allegan County,2020-03-26,-12.188,11.539,24.62,-49.716,-51.024,-53.656
Michigan,Allegan County,2020-03-27,-13.355,21.687,26.916,-52.285,-52.109,-53.769
Michigan,Allegan County,2020-03-28,-20.214,-22.152,16.735,-58.082,-55.779,-39.758
Michigan,Allegan County,2020-03-29,-17.527,14.944,12.33,-51.382,-55.531,-40.385
Michigan,Alpena County,2020-02-16,12.464,44.787,-1.407,12.277,4.253,2.604
Michigan,Alpena County,2020-02-17,0.672,1.103,3.578,2.959,-1.815,-5.556
Michigan,Alpena County,2020-02-18,-16.587,-3.635,2.206,-14.444,2.416,-15.266
Michigan,Alpena County,2020-02-19,-2.083,3.856,0.257,,3.814,-2.637
Michigan,Alpena County,2020-02-20,-4.644,2.335,0.362,4.2,4.905,
Michigan,Alpena County,2020-02-21,-10.263,3.964,0.879,-0.868,8.975,0.459
Michigan,Alpena County,2020-02-22,-2.495,56.471,-1.743,9.191,16.698,1.085
Michigan,Alpena County,2020-02-23,9.793,90.389,-1.979,14.509,18.499,2.604
Michigan,Alpena County,2020-02-24,-2.688,14.338,0.044,4.735,5.93,3.241
Michigan,Alpena County,2020-02-25,-3.981,1.841,-0.092,-1.944,4.986,3.143
Michigan,Alpena County,2020-02-26,4.167,-12.294,4.875,10.584,0.559,0.44
Michigan,Alpena County,2020-02-27,-1.327,-7.184,3.498,2.8,6.877,-0.875
Michigan,Alpena County,2020-02-28,-15.907,-2.02,0.324,-7.378,14.765,
Michigan,Alpena County,2020-02-29,9.356,23.415,-2.08,13.531,27.769,3.255
Michigan,Alpena County,2020-03-01,18.697,57.15,-2.129,14.881,22.719,1.302
Michigan,Alpena County,2020-03-02,4.704,27.812,-0.557,11.837,5.228,3.704
Michigan,Alpena County,2020-03-03,7.962,14.172,-0.781,9.722,8.25,4.49
