state,county,category,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29
Michigan,Allegan County,grocery/pharmacy,12.946,1.743,0.387,4.213,2.666,-2.2,6.521,11.552,6.777,3.092,0.574,2.666,2.042,9.944,24.299,10.455,10.049,9.383,9.712,0.943,12.063,23.502,11.036,13.335,15.702,33.326,42.735,24.289,26.888,42.015,18.746,14.17,18.282,13.198,8.314,-0.996,30.204,-17.393,-12.255,-12.188,-13.355,-20.214,-17.527
Michigan,Allegan County,parks,44.787,1.103,-3.635,3.856,2.335,3.964,56.471,90.389,14.338,1.841,-12.294,-7.184,-2.02,23.415,57.15,27.812,14.172,22.094,20.339,0.305,61.445,154.874,30.786,48.176,14.245,27.703,8.461,15.533,87.083,12.707,44.817,9.527,9.249,-1.563,32.712,48.002,-0.575,2.761,66.372,11.539,21.687,-22.152,14.944
Michigan,Allegan County,residential,-1.188,2.816,2.4,-0.573,-0.068,1.883,-1.849,-2.339,-0.133,-0.232,0.92,0.25,0.726,-2.003,-2.578,-0.811,-0.302,-0.797,0.182,1.28,-2.227,-2.599,0.22,-1.079,-0.539,-0.921,2.993,3.689,2.026,7.242,9.758,11.337,12.868,16.765,10.848,8.017,13.184,23.162,22.772,24.62,26.916,16.735,12.33
Michigan,Allegan County,retail/recreation,13.387,0.121,0.462,4.612,3.121,-2.828,9.432,19.762,7.475,-0.116,-1.012,4.842,3.232,19.195,31.365,16.638,14.336,20.473,14.312,6.142,13.238,32.257,7.475,18.267,9.674,17.756,3.475,-2.813,9.562,-7.957,-23.238,-28.46,-29.485,-35.881,-39.797,-33.915,-24.233,-53.76,-46.684,-49.716,-52.285,-58.082,-51.382
Michigan,Allegan County,transitstations,4.253,-1.815,2.416,3.814,4.905,8.975,16.698,18.499,5.93,4.986,0.559,6.877,14.765,27.769,22.719,5.228,8.25,8.543,8.652,6.58,13.99,14.144,3.267,4.96,3.814,1.602,-3.093,-5.415,-8.169,-16.821,-19.095,-23.824,-30.195,-32.274,-32.462,-40.61,-40.031,-50.062,-46.554,-51.024,-52.109,-55.779,-55.531
Michigan,Allegan County,workplace,4.167,-9.351,-7.208,-0.085,-1.871,-4.83,6.361,9.295,0.087,1.287,-1.02,0.425,,7.156,11.218,2.884,2.317,1.361,1.19,-2.096,6.626,8.333,3.146,2.917,2.041,0.425,-3.737,3.181,-2.564,-16.429,-22.052,-24.66,-27.806,-29.983,-20.409,-25.321,-30.673,-50.796,-53.401,-53.656,-53.769,-39.758,-40.385
Michigan,Alpena County,grocery/pharmacy,12.464,0.672,-16.587,-2.083,-4.644,-10.263,-2.495,9.793,-2.688,-3.981,4.167,-1.327,-15.907,9.356,18.697,4.704,7.962,11.806,0.663,-20.012,8.733,24.038,3.36,6.635,11.111,29.193,20.012,18.089,21.368,38.306,3.317,9.028,4.644,-5.644,-4.99,,29.57,-39.809,-30.556,-20.568,-29.762,-28.693,-17.806
Michigan,Alpena County,parks,44.787,1.103,-3.635,3.856,2.335,3.964,56.471,90.389,14.338,1.841,-12.294,-7.184,-2.02,23.415,57.15,27.812,14.172,22.094,20.339,0.305,61.445,154.874,30.786,48.176,14.245,27.703,8.461,15.533,87.083,12.707,44.817,9.527,9.249,-1.563,32.712,48.002,-0.575,2.761,66.372,11.539,21.687,-22.152,14.944
Michigan,Alpena County,residential,-1.407,3.578,2.206,0.257,0.362,0.879,-1.743,-1.979,0.044,-0.092,4.875,3.498,0.324,-2.08,-2.129,-0.557,-0.781,-0.81,-0.648,0.816,-2.229,-2.456,-0.165,-0.189,-0.171,0.522,4.262,3.598,2.566,8.624,11.26,13.318,14.867,18.143,11.296,8.932,16.653,24.56,23.506,25.134,27.21,17.24,12.514
Michigan,Alpena County,retail/recreation,12.277,2.959,-14.444,,4.2,-0.868,9.191,14.509,4.735,-1.944,10.584,2.8,-7.378,13.531,14.881,11.837,9.722,6.406,6.16,-12.153,16.085,22.321,0.592,3.889,-2.228,8.121,-4.123,-6.638,2.604,-13.317,-33.889,-33.98,-30.802,-43.186,-40.85,-32.738,-23.082,-60.278,-55.147,-53.763,-56.207,-60.253,-44.643
Michigan,Alpena County,transitstations,4.253,-1.815,2.416,3.814,4.905,8.975,16.698,18.499,5.93,4.986,0.559,6.877,14.765,27.769,22.719,5.228,8.25,8.543,8.652,6.58,13.99,14.144,3.267,4.96,3.814,1.602,-3.093,-5.415,-8.169,-16.821,-19.095,-23.824,-30.195,-32.274,-32.462,-40.61,-40.031,-50.062,-46.554,-51.024,-52.109,-55.779,-55.531
Michigan,Alpena County,workplace,2.604,-5.556,-15.266,-2.637,,0.459,1.085,2.604,3.241,3.143,0.44,-0.875,,3.255,1.302,3.704,4.49,0.879,,-15.143,5.425,5.208,1.852,-2.245,0.44,-2.626,-1.377,3.255,,-14.815,-20.205,-23.295,-26.698,-28.451,-21.701,-24.74,-26.389,-42.654,-40.876,-42.892,-41.758,-36.892,-32.552
Michigan,Antrim County,grocery/pharmacy,15.06,4.34,-7.595,6.443,2.17,3.561,7.788,21.335,,-2.17,-6.443,-2.17,-11.574,3.894,17.57,5.425,5.425,1.074,4.34,-5.342,-8.762,-1.255,,-2.17,5.369,28.212,23.148,10.709,18.825,26.042,19.531,3.222,2.17,-16.026,-9.735,-10.04,18.446,-27.127,-19.33,-16.276,-23.148,-27.259,-21.335
Michigan,Antrim County,parks,44.787,1.103,-3.635,3.856,2.335,3.964,56.471,90.389,14.338,1.841,-12.294,-7.184,-2.02,23.415,57.15,27.812,14.172,22.094,20.339,0.305,61.445,154.874,30.786,48.176,14.245,27.703,8.461,15.533,87.083,12.707,44.817,9.527,9.249,-1.563,32.712,48.002,-0.575,2.761,66.372,11.539,21.687,-22.152,14.944
Michigan,Antrim County,residential,-1.407,3.578,2.206,0.257,0.362,0.879,-1.743,-1.979,0.044,-0.092,4.875,3.498,0.324,-2.08,-2.129,-0.557,-0.781,-0.81,-0.648,0.816,-2.229,-2.456,-0.165,-0.189,-0.171,0.522,4.262,3.598,2.566,8.624,11.26,13.318,14.867,18.143,11.296,8.932,16.653,24.56,23.506,25.134,27.21,17.24,12.514
