state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
Minnesota,Overall,2020-02-16,2.171,11.054,-1.482,8.89,-3.05,1.033
Minnesota,Overall,2020-02-17,-1.426,4.59,5.312,3.574,-6.126,-22.491
Minnesota,Overall,2020-02-18,-1.052,-8.85,0.841,-2.117,6.12,-1.355
Minnesota,Overall,2020-02-19,-1.894,-13.203,0.334,-0.217,2.847,1.214
Minnesota,Overall,2020-02-20,-1.688,-14.253,0.581,-2.125,0.251,1.292
Minnesota,Overall,2020-02-21,2.536,6.219,-0.45,2.126,7.772,2.478
Minnesota,Overall,2020-02-22,4.777,26.523,-1.097,5.168,4.655,3.261
Minnesota,Overall,2020-02-23,7.735,44.163,-1.979,11.113,6.347,3.5
Minnesota,Overall,2020-02-24,3.059,4.655,-0.579,3.539,4.729,2.948
Minnesota,Overall,2020-02-25,1.597,3.036,-0.126,5.11,6.12,1.817
Minnesota,Overall,2020-02-26,2.285,-0.505,-0.792,6.429,5.918,2.249
Minnesota,Overall,2020-02-27,1.291,-4.613,-0.16,2.635,3.91,1.66
Minnesota,Overall,2020-02-28,3.03,0.314,-0.717,4.683,7.632,2.38
Minnesota,Overall,2020-02-29,6.483,5.415,-1.181,7.548,5.679,4.529
Minnesota,Overall,2020-03-01,10.54,40.39,-2.069,14.703,6.445,4.504
Minnesota,Overall,2020-03-02,3.78,-0.721,-0.471,5.572,1.827,2.837
Minnesota,Overall,2020-03-03,7.374,20.09,-0.418,9.978,2.965,0.89
Minnesota,Overall,2020-03-04,4.924,5.433,-0.589,7.413,4.195,2.02
Minnesota,Overall,2020-03-05,0.635,-14.667,0.463,1.209,-0.717,1.223
Minnesota,Overall,2020-03-06,5.707,6.01,0.004,6.131,2.743,-0.561
Minnesota,Overall,2020-03-07,9.035,21.029,-0.946,7.341,6.517,3.043
Minnesota,Overall,2020-03-08,11.61,93.004,-1.897,13.514,7.429,1.908
Minnesota,Overall,2020-03-09,3.0,-1.311,0.854,4.067,-4.764,-1.889
Minnesota,Overall,2020-03-10,4.262,6.33,0.731,5.676,-1.444,-2.015
Minnesota,Overall,2020-03-11,6.73,10.802,0.566,7.13,-1.761,-2.621
Minnesota,Overall,2020-03-12,14.272,-9.817,2.13,2.954,-7.856,-4.161
Minnesota,Overall,2020-03-13,20.022,-2.299,2.991,1.644,-7.35,-6.031
Minnesota,Overall,2020-03-14,14.792,-13.953,3.853,-6.754,-10.054,-0.894
Minnesota,Overall,2020-03-15,19.115,30.665,2.807,-5.152,-15.302,-3.987
Minnesota,Overall,2020-03-16,20.197,-13.376,7.522,-5.456,-26.867,-15.617
