state,county,date,grocery/pharmacy,parks,residential,retail/recreation,workplace
Minnesota,Scott County,2020-02-16,4.335,15.034,-1.614,33.417,-3.019
Minnesota,Scott County,2020-02-17,5.728,26.042,6.009,11.623,-26.623
Minnesota,Scott County,2020-02-18,3.696,,1.531,7.061,-2.794
Minnesota,Scott County,2020-02-19,1.763,-5.869,0.158,2.37,
Minnesota,Scott County,2020-02-20,-0.779,-8.333,0.415,-0.727,1.147
Minnesota,Scott County,2020-02-21,6.922,,-0.607,22.651,8.061
Minnesota,Scott County,2020-02-22,6.834,21.884,-1.355,25.02,2.27
Minnesota,Scott County,2020-02-23,5.326,40.808,-1.769,27.97,6.944
Minnesota,Scott County,2020-02-24,5.728,9.191,-0.92,11.751,2.669
Minnesota,Scott County,2020-02-25,5.338,4.401,0.577,19.675,-0.2
Minnesota,Scott County,2020-02-26,6.51,1.467,-0.714,13.353,1.997
Minnesota,Scott County,2020-02-27,4.676,4.167,-0.143,6.592,1.282
Minnesota,Scott County,2020-02-28,6.127,7.44,-0.565,25.681,8.681
Minnesota,Scott County,2020-02-29,8.929,11.38,-1.566,33.054,2.774
Minnesota,Scott County,2020-03-01,12.014,32.216,-1.705,37.823,6.643
Minnesota,Scott County,2020-03-02,7.193,6.127,-0.804,16.197,3.696
Minnesota,Scott County,2020-03-03,11.772,24.941,-0.252,20.52,2.528
Minnesota,Scott County,2020-03-04,8.002,14.671,-0.662,9.018,2.596
Minnesota,Scott County,2020-03-05,3.507,-6.944,0.775,4.515,1.484
Minnesota,Scott County,2020-03-06,12.368,19.841,0.02,27.028,6.278
Minnesota,Scott County,2020-03-07,15.212,35.889,-1.072,33.559,-3.783
Minnesota,Scott County,2020-03-08,14.492,93.428,-1.554,42.536,-1.51
Minnesota,Scott County,2020-03-09,2.531,6.127,0.69,16.705,-1.985
Minnesota,Scott County,2020-03-10,7.392,13.204,0.967,17.683,-1.929
Minnesota,Scott County,2020-03-11,9.63,13.204,0.883,10.289,-3.062
Minnesota,Scott County,2020-03-12,17.015,-11.111,1.919,6.021,-2.968
Minnesota,Scott County,2020-03-13,29.729,9.921,3.12,20.824,1.473
Minnesota,Scott County,2020-03-14,18.739,-12.255,3.985,14.232,-4.792
Minnesota,Scott County,2020-03-15,15.111,28.995,3.798,15.913,-10.266
Minnesota,Scott County,2020-03-16,22.245,-4.596,9.845,5.145,-20.601
Minnesota,Scott County,2020-03-17,16.973,46.948,14.667,-8.208,-31.064
Minnesota,Scott County,2020-03-18,2.577,48.415,19.082,-36.129,-38.871
Minnesota,Scott County,2020-03-19,-9.611,-34.722,22.445,-49.151,-42.571
Minnesota,Scott County,2020-03-20,5.333,12.401,23.125,-39.195,-41.233
Minnesota,Scott County,2020-03-21,-13.448,0.875,15.229,-49.765,-31.78
Minnesota,Scott County,2020-03-22,-28.488,33.29,12.401,-48.228,-36.534
Minnesota,Scott County,2020-03-23,-16.651,50.551,21.118,-44.652,-47.84
Minnesota,Scott County,2020-03-24,-18.205,51.35,24.077,-45.445,-50.819
Minnesota,Scott County,2020-03-25,-7.324,-2.934,24.8,-42.025,-51.983
Minnesota,Scott County,2020-03-26,-7.014,90.278,24.027,-45.206,-51.476
Minnesota,Scott County,2020-03-27,-8.851,94.246,25.215,-41.215,-48.053
Minnesota,Scott County,2020-03-28,-47.84,-46.394,20.904,-67.21,-41.364
Minnesota,Scott County,2020-03-29,-42.484,-19.33,16.017,-57.592,-43.78
Minnesota,Sherburne County,2020-02-16,6.403,,,10.784,1.903
Minnesota,Sherburne County,2020-02-17,1.984,,,3.605,-24.411
Minnesota,Sherburne County,2020-02-18,5.624,,,-0.608,-2.578
Minnesota,Sherburne County,2020-02-19,0.728,,,0.713,0.1
Minnesota,Sherburne County,2020-02-20,0.467,,,-1.439,-0.923
Minnesota,Sherburne County,2020-02-21,1.796,,,4.501,2.267
Minnesota,Sherburne County,2020-02-22,2.604,,,5.235,4.864
Minnesota,Sherburne County,2020-02-23,11.82,,,15.406,0.476
Minnesota,Sherburne County,2020-02-24,2.232,,,2.237,3.472
Minnesota,Sherburne County,2020-02-25,-2.934,,,2.434,2.785
Minnesota,Sherburne County,2020-02-26,4.613,,,6.421,-0.1
Minnesota,Sherburne County,2020-02-27,-1.401,,,4.096,1.538
Minnesota,Sherburne County,2020-02-28,-1.397,,,6.889,2.38
Minnesota,Sherburne County,2020-02-29,4.774,,,9.858,4.458
Minnesota,Sherburne County,2020-03-01,13.79,,,16.354,4.281
Minnesota,Sherburne County,2020-03-02,1.488,,,4.102,0.526
Minnesota,Sherburne County,2020-03-03,1.223,,,11.074,0.928
Minnesota,Sherburne County,2020-03-04,0.243,,,6.54,-0.201
Minnesota,Sherburne County,2020-03-05,0.934,,,3.321,0.615
Minnesota,Sherburne County,2020-03-06,1.596,,,12.676,-2.04
Minnesota,Sherburne County,2020-03-07,9.766,,,10.731,3.648
Minnesota,Sherburne County,2020-03-08,16.007,,,18.724,1.427
Minnesota,Sherburne County,2020-03-09,2.232,,,4.351,-1.052
Minnesota,Sherburne County,2020-03-10,0.734,,,9.614,1.753
Minnesota,Sherburne County,2020-03-11,5.828,,,6.897,-1.606
Minnesota,Sherburne County,2020-03-12,13.313,,,7.86,-0.205
Minnesota,Sherburne County,2020-03-13,18.359,,,10.196,-2.154
Minnesota,Sherburne County,2020-03-14,21.267,,,2.704,2.837
Minnesota,Sherburne County,2020-03-15,32.752,,,6.044,-2.378
Minnesota,Sherburne County,2020-03-16,26.29,,,2.61,-16.73
Minnesota,Sherburne County,2020-03-17,11.004,,,-10.83,-22.793
Minnesota,Sherburne County,2020-03-18,0.971,,,-26.874,-29.805
Minnesota,Sherburne County,2020-03-19,-2.102,,,-36.087,-33.629
Minnesota,Sherburne County,2020-03-20,8.78,,,-26.179,-34.798
Minnesota,Sherburne County,2020-03-21,-9.549,,,-37.514,-23.103
Minnesota,Sherburne County,2020-03-22,-9.112,,,-34.485,-30.441
Minnesota,Sherburne County,2020-03-23,-12.153,,,-31.822,-35.564
Minnesota,Sherburne County,2020-03-24,-15.16,,,-33.465,-37.541
Minnesota,Sherburne County,2020-03-25,-8.498,,,-27.231,-40.141
Minnesota,Sherburne County,2020-03-26,-7.24,,,-28.117,-40.498
